"id","name","value"
"NL31","Utrecht",8.99
"ITH5","Emilia-Romagna",44.1667
"CH04","Zürich",14.04
"AT11","Burgenland (AT)",40.8533
"HR04","Kontinentalna Hrvatska",11.2533
"FR23","Haute-Normandie",6.0967
"ES70","Canarias",8.0967
"EL63","Dytiki Ellada",1.8433
"HU31","Észak-Magyarország",29.8133
"CZ08","Moravskoslezsko",1.84
"DEA5","Arnsberg",49.0533
"ITF3","Campania",15.4533
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",14.93
"UKG1","Herefordshire, Worcestershire and Warwickshire",26.76
"SI03","Zahodna Slovenija",36.9633
"UKD4","Lancashire",11.36
"UKE3","South Yorkshire",30.07
"PL42","Zachodniopomorskie",21.7167
"BG41","Yugozapaden",9.78
"RO21","Nord-Est",11.88
"UKL2","East Wales",9.6767
"UKN0","Northern Ireland",17.77
"BE31","Prov. Brabant Wallon",12.6733
"DEF0","Schleswig-Holstein",9.9333
"RO11","Nord-Vest",9.7833
"AT32","Salzburg",16.6133
"FR22","Picardie",30.3933
"SE21","Småland med öarna",48.4767
"PL32","Podkarpackie",4.68
"FR81","Languedoc-Roussillon",10.8833
"DE26","Unterfranken",4.6767
"EL64","Sterea Ellada",3.6833
"RO32","Bucureşti - Ilfov",45.4267
"ES61","Andalucía",25.3933
"UKF1","Derbyshire and Nottinghamshire",2.4233
"FR61","Aquitaine",21.3967
"ITH2","Provincia Autonoma di Trento",23.9233
"CZ01","Praha",37.75
"UKG3","West Midlands",24.7667
"DE92","Hannover",27.5
"UKL1","West Wales and The Valleys",23.19
"LT00","Lietuva",20.1333
"PL43","Lubuskie",36.12
"FI1D","Pohjois- ja Itä-Suomi",18.1433
"PT16","Centro (PT)",22.03
"DK03","Syddanmark",47.4233
"EL54","Thessalia",1.7367
"ITF5","Basilicata",20.77
"PL33","Świętokrzyskie",8.73
"UKI1","Inner London",13.1933
"CY00","Kýpros",10.57
"BE21","Prov. Antwerpen",10.62
"FR82","Provence-Alpes-Côte d'Azur",27.6033
"DEB1","Koblenz",19.82
"DEG0","Thüringen",10.5133
"NO01","Oslo og Akershus",23.4467
"ES22","Comunidad Foral de Navarra",12.88
"NL32","Noord-Holland",16.0367
"FR52","Bretagne",13.51
"ES41","Castilla y León",30.81
"BG32","Severen tsentralen",1.0533
"DE21","Oberbayern",25.6033
"CZ06","Jihovýchod",39.9067
"BE33","Prov. Liège",13.35
"EL62","Ionia Nisia",7.1533
"HR03","Jadranska Hrvatska",9.4633
"UKE2","North Yorkshire",19.4
"DE80","Mecklenburg-Vorpommern",7.6767
"FI20","Åland",0.9467
"ES13","Cantabria",10.1433
"UKK4","Devon",41.5867
"FI1C","Etelä-Suomi",17.2433
"EL51","Anatoliki Makedonia, Thraki",21.5033
"SI04","Vzhodna Slovenija",16.72
"IE02","Southern and Eastern",14.3533
"PL22","Śląskie",22.4
"DE12","Karlsruhe",70.35
"UKK3","Cornwall and Isles of Scilly",9.3067
"FI19","Länsi-Suomi",26.5533
"DE91","Braunschweig",22.66
"ITF6","Calabria",47.58
"UKE4","West Yorkshire",9.3067
"NL33","Zuid-Holland",26.34
"SE12","Östra Mellansverige",45.16
"SK01","Bratislavský kraj",21.61
"CZ05","Severovýchod",39.43
"DE71","Darmstadt",5.5233
"RO41","Sud-Vest Oltenia",1.3133
"DE22","Niederbayern",52.84
"EL65","Peloponnisos",6.2567
"FR71","Rhône-Alpes",13.1433
"ES30","Comunidad de Madrid",17.98
"ITI2","Umbria",46.5833
"FR25","Basse-Normandie",7.7833
"FRY1","Guadeloupe",7.1467
"HU21","Közép-Dunántúl",36.6467
"ES43","Extremadura",8.6733
"AT34","Vorarlberg",8.36
"BE24","Prov. Vlaams-Brabant",44.0033
"ES23","La Rioja",10.5133
"DE93","Lüneburg",41.06
"ITF4","Puglia",56.15
"PL11","Łódzkie",39.7467
"PL62","Warmińsko-Mazurskie",2.7833
"PT18","Alentejo",22.5033
"FR24","Centre",7.1
"UKM5","North Eastern Scotland",9.15
"ES64","Ciudad Autónoma de Melilla",5.52
"DED4","Chemnitz",13.6167
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",16.35
"AT31","Oberösterreich",49.2667
"ITH3","Veneto",51.26
"NL11","Groningen",22.1367
"NL42","Limburg (NL)",25.08
"ES52","Comunidad Valenciana",9.5167
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",25.9233
"SK03","Stredné Slovensko",9.6767
"DE40","Brandenburg",7.26
"FR42","Alsace",43.9
"AT22","Steiermark",39.85
"DEA4","Detmold",56.2067
"LV00","Latvija",7.68
"FR51","Pays de la Loire",56.6767
"UKM3","South Western Scotland",20.3967
"ITG1","Sicilia",11.25
"UKC1","Tees Valley and Durham",31.0167
"DEA3","Münster",53.1567
"EE00","Eesti",28.81
"DK05","Nordjylland",3.05
"DK02","Sjælland",8.15
"ITC1","Piemonte",39.4867
"ES42","Castilla-La Mancha",34.91
"UKI2","Outer London",17.6667
"ES21","País Vasco",15.6667
"ITF2","Molise",17.19
"SK04","Východné Slovensko",15.46
"UKD1","Cumbria",9.94
"NO03","Sør-Østlandet",17.4067
"BG31","Severozapaden",3.21
"UKM2","Eastern Scotland",15.51
"NL13","Drenthe",10.57
"PT17","Lisboa",26.3433
"DEC0","Saarland",18.35
"SE31","Norra Mellansverige",9.3067
"CH05","Ostschweiz",7.3067
"PT30","Região Autónoma da Madeira",5.99
"EL30","Attiki",13.0367
"UKH3","Essex",19.2433
"AT13","Wien",22.3967
"PL34","Podlaskie",18.0833
"BE22","Prov. Limburg (BE)",15.1967
"UKH2","Bedfordshire and Hertfordshire",23.6067
"ES12","Principado de Asturias",14.35
"DEA1","Düsseldorf",44.95
"SE23","Västsverige",14.1967
"SE22","Sydsverige",9.25
"DE30","Berlin",17.3533
"FRY2","Martinique",7.78
"LU00","Luxembourg",22.3433
"DEA2","Köln",44.1633
"BG34","Yugoiztochen",9.5667
"FR72","Auvergne",4.2633
"ITI4","Lazio",18.6667
"NL12","Friesland (NL)",46.1633
"BE23","Prov. Oost-Vlaanderen",39.8033
"PL31","Lubelskie",35.28
"BE35","Prov. Namur",16.9267
"DE24","Oberfranken",5.42
"IS01","Höfuðborgarsvæði",17.5633
"AT33","Tirol",47.5833
"MT00","Malta",14.9867
"BE25","Prov. West-Vlaanderen",43.48
"ITI3","Marche",8.4667
"PL61","Kujawsko-Pomorskie",28.9733
"IE01","Border, Midland and Western",52.1
"UKK2","Dorset and Somerset",11.8833
"ITC2","Valle d'Aosta/Vallée d'Aoste",1.74
"NO05","Vestlandet",17.5067
"CZ02","Střední Čechy",41.22
"SE11","Stockholm",6.8367
"DEB2","Trier",33.12
"DE25","Mittelfranken",12.9867
"FR21","Champagne-Ardenne",17.77
"UKD6","Cheshire",17.09
"ITG2","Sardegna",17.6167
"DE73","Kassel",17.3467
"ITH4","Friuli-Venezia Giulia",43.5867
"AT21","Kärnten",37.0633
"PT20","Região Autónoma dos Açores",5.9933
"UKJ4","Kent",19.4533
"RO42","Vest",16.0367
"HU22","Nyugat-Dunántúl",14.1967
"UKJ2","Surrey, East and West Sussex",14.51
"CZ03","Jihozápad",35.8067
"HU33","Dél-Alföld",43.85
"CH02","Espace Mittelland",3.4167
"CH01","Région lémanique",12.1967
"NL21","Overijssel",43.06
"CH03","Nordwestschweiz",3.9933
"UKM6","Highlands and Islands",13.83
"ES53","Illes Balears",11.88
"CH07","Ticino",4.2567
"DED5","Leipzig",40.59
"FR43","Franche-Comté",7.8867
"DE14","Tübingen",54.26
"BG42","Yuzhen tsentralen",7.41
"DE11","Stuttgart",21.3967
"EL42","Notio Aigaio",0.2133
"UKD7","Merseyside",10.3567
"DE72","Gießen",14.67
"ES24","Aragón",18.9267
"PL12","Mazowieckie",16.5633
"PT11","Norte",15.8267
"UKC2","Northumberland and Tyne and Wear",7.2
"BE32","Prov. Hainaut",2.7333
"PL51","Dolnośląskie",8.8833
"ITH1","Provincia Autonoma di Bolzano/Bozen",52.4167
"DE60","Hamburg",9.78
"DEB3","Rheinhessen-Pfalz",10.8867
"CH06","Zentralschweiz",15.1433
"NO04","Agder og Rogaland",52.3633
"DE27","Schwaben",55.4133
"DE13","Freiburg",13.8267
