"id";"name";"value"
"DE27";"Schwaben";72,8759
"UKI1";"Inner London";3,6868
"UKE1";"East Yorkshire and Northern Lincolnshire";5,5164
"BG33";"Severoiztochen";6,3005
"EL62";"Ionia Nisia";0,9982
"CZ05";"Severovýchod";58,1377
"FR83";"Corse";38,9627
"CH05";"Ostschweiz";62,2555
"DEA1";"Düsseldorf";16,6723
"UKF1";"Derbyshire and Nottinghamshire";8,5559
"SE33";"Övre Norrland";13,9005
"SI03";"Zahodna Slovenija";14,0545
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";5,7045
"DE50";"Bremen";20,3359
"SE32";"Mellersta Norrland";13,9277
"NO01";"Oslo og Akershus";53,9009
"ES21";"País Vasco";61,7255
"SK01";"Bratislavský kraj";32,5368
"EL64";"Sterea Ellada";1,1632
"UKF2";"Leicestershire, Rutland and Northamptonshire";17,0714
"DE40";"Brandenburg";11,0436
"CY00";"Kýpros";7,6077
"ITF6";"Calabria";6,2832
"BE34";"Prov. Luxembourg (BE)";5,7355
"FRY4";"Réunion";46,7436
"ITF4";"Puglia";53,8732
"HU32";"Észak-Alföld";43,7623
"ES23";"La Rioja";10,2427
"SE21";"Småland med öarna";61,5186
"ES62";"Región de Murcia";7,3145
"PL42";"Zachodniopomorskie";10,0836
"UKD3";"Greater Manchester";10,2536
"DE30";"Berlin";9,4891
"ITH1";"Provincia Autonoma di Bolzano/Bozen";24,0841
"UKM6";"Highlands and Islands";7,9768
"DE14";"Tübingen";70,8605
"EL63";"Dytiki Ellada";1,3395
"FR22";"Picardie";32,3477
"FR72";"Auvergne";32,0968
"AT21";"Kärnten";9,8564
"ES41";"Castilla y León";16,7523
"FR81";"Languedoc-Roussillon";44,1214
"NO07";"Nord-Norge";47,8382
"ITI4";"Lazio";11,8077
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";6,6823
"DEA4";"Detmold";33,0123
"EL43";"Kriti";3,3527
"FR24";"Centre";39,3005
"FR41";"Lorraine";13,7518
"CH03";"Nordwestschweiz";10,8555
"FRY2";"Martinique";0,5755
"CZ04";"Severozápad";11,9327
"FI1C";"Etelä-Suomi";13,19
"UKE4";"West Yorkshire";35,7423
"UKI2";"Outer London";9,2818
"SK02";"Západné Slovensko";10,9609
"DEA3";"Münster";20,24
"DK02";"Sjælland";13,525
"PL43";"Lubuskie";6,0145
"PT11";"Norte";8,6818
"PT17";"Lisboa";28,5564
"FR30";"Nord - Pas-de-Calais";12,6132
"ES12";"Principado de Asturias";12,9105
"ES11";"Galicia";11,3609
"DE92";"Hannover";17,7036
"UKJ4";"Kent";9,2241
"UKE2";"North Yorkshire";35,7718
"BG34";"Yugoiztochen";2,9464
"ITI2";"Umbria";54,2191
"BG41";"Yugozapaden";15,5564
"ES53";"Illes Balears";28,9695
"FR62";"Midi-Pyrénées";11,0364
"MT00";"Malta";7,8764
"UKJ2";"Surrey, East and West Sussex";6,3368
"FR26";"Bourgogne";40,175
"NO02";"Hedmark og Oppland";47,9368
"NL32";"Noord-Holland";49,1777
"DE60";"Hamburg";15,775
"ITI3";"Marche";60,1932
"ITF3";"Campania";9,0218
"DED2";"Dresden";18,0759
"DE71";"Darmstadt";12,6559
"UKN0";"Northern Ireland";15,4295
"UKD4";"Lancashire";57,1795
"CH04";"Zürich";53,1027
"BG42";"Yuzhen tsentralen";3,1123
