"id";"name";"value"
"PL41";"Wielkopolskie";14,56
"ES22";"Comunidad Foral de Navarra";17,48
"UKD1";"Cumbria";1,94
"DEA5";"Arnsberg";6,31
"DEA1";"Düsseldorf";4,85
"CZ02";"Střední Čechy";5,34
"FR21";"Champagne-Ardenne";3,4
"BE35";"Prov. Namur";12,62
"PL21";"Małopolskie";1,94
"UKK2";"Dorset and Somerset";2,91
"FR41";"Lorraine";14,56
"NL23";"Flevoland";4,85
"ITF6";"Calabria";8,74
"DEB2";"Trier";2,91
"DED4";"Chemnitz";1,46
"DE12";"Karlsruhe";9,22
"DE94";"Weser-Ems";4,85
"PL62";"Warmińsko-Mazurskie";15,53
"RO31";"Sud - Muntenia";3,4
"FR82";"Provence-Alpes-Côte d'Azur";18,45
"SE33";"Övre Norrland";5,34
"DE26";"Unterfranken";2,91
"EL65";"Peloponnisos";1,46
"ES43";"Extremadura";1,46
"DE40";"Brandenburg";13,59
"BE31";"Prov. Brabant Wallon";5,34
"EL41";"Voreio Aigaio";0,49
"HR04";"Kontinentalna Hrvatska";3,4
"HU33";"Dél-Alföld";3,88
"CH02";"Espace Mittelland";0,97
"UKF2";"Leicestershire, Rutland and Northamptonshire";17,48
"PT15";"Algarve";16,5
"DE23";"Oberpfalz";5,34
"DEC0";"Saarland";15,05
"EL61";"Ipeiros";4,37
"SK04";"Východné Slovensko";17,48
"ES51";"Cataluña";18,93
"CZ08";"Moravskoslezsko";3,4
"AT33";"Tirol";19,9
"DEA3";"Münster";4,85
"EE00";"Eesti";4,37
"PL63";"Pomorskie";16,5
"RO42";"Vest";1,46
"DEA2";"Köln";4,37
"DE11";"Stuttgart";2,91
"MT00";"Malta";13,11
"DK01";"Hovedstaden";15,53
"NO05";"Vestlandet";5,83
"FR26";"Bourgogne";14,08
"BE24";"Prov. Vlaams-Brabant";20,39
"FI1D";"Pohjois- ja Itä-Suomi";2,43
"FI1C";"Etelä-Suomi";13,11
"DE92";"Hannover";1,94
"AT34";"Vorarlberg";0,49
"HU21";"Közép-Dunántúl";20,87
"SI03";"Zahodna Slovenija";4,85
