"id";"name";"value"
"BE25";"Prov. West-Vlaanderen";9,36
"CZ03";"Jihozápad";27,88
"HU22";"Nyugat-Dunántúl";15,96
"PL22";"Śląskie";20,58
"NL21";"Overijssel";23,53
"FR82";"Provence-Alpes-Côte d'Azur";21,92
"IS01";"Höfuðborgarsvæði";18,78
"FRY3";"Guyane";0
"BE22";"Prov. Limburg (BE)";16,73
"CH07";"Ticino";35,38
"FR63";"Limousin";21,86
"ES53";"Illes Balears";14,1
"FR21";"Champagne-Ardenne";19,94
"CH03";"Nordwestschweiz";21,79
"CH06";"Zentralschweiz";10,71
"DE92";"Hannover";19,68
"NL31";"Utrecht";11,73
"SI04";"Vzhodna Slovenija";39,36
"UKD7";"Merseyside";3,53
"UKC2";"Northumberland and Tyne and Wear";45,71
"DE60";"Hamburg";39,55
"CZ06";"Jihovýchod";38,14
"ITF4";"Puglia";32,5
"UKF1";"Derbyshire and Nottinghamshire";11,99
"IE02";"Southern and Eastern";15,9
"BG33";"Severoiztochen";2,69
"PL43";"Lubuskie";29,81
"PL21";"Małopolskie";36,03
"BE33";"Prov. Liège";17,18
"BG31";"Severozapaden";0,26
"PL62";"Warmińsko-Mazurskie";13,59
"ES21";"País Vasco";44,36
"PL31";"Lubelskie";16,22
"AT22";"Steiermark";63,4
"RO22";"Sud-Est";8,14
"PL12";"Mazowieckie";15,96
"NO01";"Oslo og Akershus";48,01
"HR04";"Kontinentalna Hrvatska";28,08
"NO03";"Sør-Østlandet";61,41
"FR81";"Languedoc-Roussillon";28,65
"SK02";"Západné Slovensko";23,14
"PT18";"Alentejo";10,9
"FI1C";"Etelä-Suomi";27,18
"FR83";"Corse";7,76
"ES61";"Andalucía";17,24
"UKL1";"West Wales and The Valleys";23,14
"ITG2";"Sardegna";23,27
"DE71";"Darmstadt";36,99
"FR22";"Picardie";32,69
"CH04";"Zürich";18,01
"RO31";"Sud - Muntenia";43,59
"UKD4";"Lancashire";17,24
"CZ07";"Střední Morava";32,76
"CZ04";"Severozápad";21,86
"BE24";"Prov. Vlaams-Brabant";20,64
"PL11";"Łódzkie";22,05
"UKE2";"North Yorkshire";11,15
"AT11";"Burgenland (AT)";42,88
"DE13";"Freiburg";23,53
"UKK2";"Dorset and Somerset";9,36
"PL63";"Pomorskie";7,56
"EL63";"Dytiki Ellada";19,87
"ES22";"Comunidad Foral de Navarra";23,78
"SE23";"Västsverige";41,67
"EL51";"Anatoliki Makedonia, Thraki";34,62
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";43,85
"EL54";"Thessalia";15,19
"ITI2";"Umbria";35,32
"ES70";"Canarias";28,78
"NO04";"Agder og Rogaland";38,59
"FRY2";"Martinique";1,15
"RO32";"Bucureşti - Ilfov";11,6
"AT13";"Wien";13,21
"FR42";"Alsace";55,58
"DE94";"Weser-Ems";31,47
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";25,9
"UKI2";"Outer London";12,12
"PT20";"Região Autónoma dos Açores";7,88
"ES12";"Principado de Asturias";23,85
"UKK4";"Devon";14,42
"PL51";"Dolnośląskie";13,85
"HU23";"Dél-Dunántúl";39,1
"NO02";"Hedmark og Oppland";26,41
"AT21";"Kärnten";50,51
"PT17";"Lisboa";17,31
"ES51";"Cataluña";18,97
"UKD3";"Greater Manchester";27,12
"ITF6";"Calabria";45,9
"HR03";"Jadranska Hrvatska";39,29
"DEC0";"Saarland";26,67
"DE40";"Brandenburg";19,81
"DED5";"Leipzig";38,85
"PT15";"Algarve";12,88
"NL13";"Drenthe";10,58
"DEB1";"Koblenz";13,59
