"id","name","value"
"IE02","Southern and Eastern",19.58
"DK04","Midtjylland",48.3
"RO21","Nord-Est",4.8
"SK02","Západné Slovensko",12.35
"DE26","Unterfranken",34.36
"DK03","Syddanmark",50.54
"ES11","Galicia",35.64
"FR10","Île de France",16.89
"PL62","Warmińsko-Mazurskie",8.06
"FR63","Limousin",14.84
"ITH4","Friuli-Venezia Giulia",17.72
"EL52","Kentriki Makedonia",32.76
"EL65","Peloponnisos",5.37
"SE11","Stockholm",4.41
"FR72","Auvergne",7.04
"NL31","Utrecht",31.86
"PL33","Świętokrzyskie",20.41
"UKI2","Outer London",6.65
"DE94","Weser-Ems",55.41
"SE12","Östra Mellansverige",16.95
"HU23","Dél-Dunántúl",22.39
"CZ08","Moravskoslezsko",9.79
"DEB3","Rheinhessen-Pfalz",15.1
"ES43","Extremadura",2.37
"SE23","Västsverige",11.71
"PL63","Pomorskie",6.01
"ITI1","Toscana",17.98
"FRY3","Guyane",0
"HU31","Észak-Magyarország",19.32
"NL32","Noord-Holland",32.5
"PT11","Norte",27.77
"PT30","Região Autónoma da Madeira",0.19
"NL21","Overijssel",33.91
"DE73","Kassel",39.03
"SI04","Vzhodna Slovenija",18.23
"NL41","Noord-Brabant",12.6
"PT15","Algarve",9.72
"CH01","Région lémanique",13.37
"DEA5","Arnsberg",22.26
"ITF5","Basilicata",22.33
"CH06","Zentralschweiz",22.14
"UKF3","Lincolnshire",21.63
"FR83","Corse",13.63
"NO04","Agder og Rogaland",49.65
"ITG2","Sardegna",24.25
"DE11","Stuttgart",31.99
"CZ03","Jihozápad",19.64
"PT20","Região Autónoma dos Açores",29.49
"FR22","Picardie",14.08
"FR21","Champagne-Ardenne",20.28
"NL34","Zeeland",21.24
"ITC1","Piemonte",22.39
"ES51","Cataluña",48.05
"HR03","Jadranska Hrvatska",13.31
"DE22","Niederbayern",43.31
"EL64","Sterea Ellada",13.18
"ITI3","Marche",15.55
"DEA2","Köln",10.68
"ES70","Canarias",13.12
"DE21","Oberbayern",22.01
"FI20","Åland",2.5
"DE27","Schwaben",16.83
"LT00","Lietuva",16.51
"EL42","Notio Aigaio",0
"ES30","Comunidad de Madrid",45.04
"AT33","Tirol",18.17
"AT12","Niederösterreich",26.94
"SK01","Bratislavský kraj",15.74
"HR04","Kontinentalna Hrvatska",12.54
"DEA3","Münster",45.87
"ITF4","Puglia",31.93
"RO41","Sud-Vest Oltenia",10.68
"EL61","Ipeiros",0.45
"NL12","Friesland (NL)",29.62
"DEA4","Detmold",16.57
"UKM6","Highlands and Islands",16.38
"UKH1","East Anglia",12.41
"ITI4","Lazio",15.23
"PL21","Małopolskie",24.44
"NO02","Hedmark og Oppland",24.06
"UKG2","Shropshire and Staffordshire",45.68
"NL11","Groningen",27.06
"CZ02","Střední Čechy",15.87
"NL22","Gelderland",19.39
"PL51","Dolnośląskie",16.89
"FI19","Länsi-Suomi",13.24
"UKI1","Inner London",4.16
"UKJ3","Hampshire and Isle of Wight",44.08
"UKC2","Northumberland and Tyne and Wear",18.17
"UKG3","West Midlands",15.36
"UKM3","South Western Scotland",54.83
"SE21","Småland med öarna",17.15
"CZ01","Praha",13.31
"DK02","Sjælland",42.16
"HU32","Észak-Alföld",32.57
"UKE3","South Yorkshire",40.69
"SE32","Mellersta Norrland",23.99
"NL42","Limburg (NL)",22.65
"PL22","Śląskie",28.85
"EL63","Dytiki Ellada",42.16
"LV00","Latvija",40.56
"RO22","Sud-Est",30.33
"UKD4","Lancashire",23.48
"UKD7","Merseyside",5.69
"EL41","Voreio Aigaio",3.71
"PL52","Opolskie",9.15
"EE00","Eesti",8.83
"PT16","Centro (PT)",13.05
"DE13","Freiburg",18.43
"DEE0","Sachsen-Anhalt",56.37
"CH07","Ticino",32.57
"RO32","Bucureşti - Ilfov",19.19
"UKM2","Eastern Scotland",49.65
"HU33","Dél-Alföld",14.59
"ITC2","Valle d'Aosta/Vallée d'Aoste",13.12
"UKL2","East Wales",10.17
"UKN0","Northern Ireland",9.72
"BG33","Severoiztochen",1.41
"ES41","Castilla y León",36.28
"EL62","Ionia Nisia",0.26
"DE93","Lüneburg",45.23
"ES42","Castilla-La Mancha",48.62
"NO03","Sør-Østlandet",42.87
"DED5","Leipzig",34.87
"BE25","Prov. West-Vlaanderen",20.15
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",36.02
"BE32","Prov. Hainaut",11.26
"UKH3","Essex",8.83
"PL61","Kujawsko-Pomorskie",29.17
"UKD3","Greater Manchester",44.85
"DE40","Brandenburg",26.17
"CH02","Espace Mittelland",21.18
"ITH2","Provincia Autonoma di Trento",24.31
"ES64","Ciudad Autónoma de Melilla",0.13
"NO07","Nord-Norge",3.77
"ES13","Cantabria",37.56
"ES52","Comunidad Valenciana",20.03
"FR62","Midi-Pyrénées",16.31
"UKJ2","Surrey, East and West Sussex",19.83
"BG34","Yugoiztochen",12.99
"FR23","Haute-Normandie",10.88
"UKF2","Leicestershire, Rutland and Northamptonshire",23.86
"FI1B","Helsinki-Uusimaa",21.24
"PL31","Lubelskie",19.26
"DE24","Oberfranken",19.64
"HU21","Közép-Dunántúl",14.97
"IE01","Border, Midland and Western",9.92
"PL32","Podkarpackie",28.98
"EL51","Anatoliki Makedonia, Thraki",15.42
"BE23","Prov. Oost-Vlaanderen",31.93
"BE21","Prov. Antwerpen",31.48
"RO42","Vest",9.85
"UKK2","Dorset and Somerset",17.08
"PL34","Podlaskie",7.1
"ES21","País Vasco",58.35
"SE33","Övre Norrland",6.65
"BE34","Prov. Luxembourg (BE)",9.6
"FR82","Provence-Alpes-Côte d'Azur",15.67
"DE14","Tübingen",16.83
"ES22","Comunidad Foral de Navarra",50.16
"DE72","Gießen",20.22
"UKJ4","Kent",14.78
"PL42","Zachodniopomorskie",14.08
"HU10","Közép-Magyarország",26.23
"DE80","Mecklenburg-Vorpommern",46.58
"DE91","Braunschweig",16.95
"ITF3","Campania",30.97
"UKE1","East Yorkshire and Northern Lincolnshire",11.84
"IS02","Landsbyggð",14.78
"DEC0","Saarland",30.9
"FR25","Basse-Normandie",13.12
"DEA1","Düsseldorf",12.8
"ES61","Andalucía",22.2
"FR61","Aquitaine",28.09
"ITG1","Sicilia",18.11
"NL13","Drenthe",16.44
"LU00","Luxembourg",10.49
"FR81","Languedoc-Roussillon",20.35
"CH04","Zürich",13.69
"UKD6","Cheshire",25.85
"DK01","Hovedstaden",40.88
"EL54","Thessalia",17.02
"NO05","Vestlandet",30.45
"IS01","Höfuðborgarsvæði",15.16
"RO12","Centru",4.48
"DK05","Nordjylland",48.05
"FR42","Alsace",27
"DEB2","Trier",9.15
"FR43","Franche-Comté",23.8
"UKF1","Derbyshire and Nottinghamshire",19.13
"UKM5","North Eastern Scotland",10.3
"DE25","Mittelfranken",30.52
"FR41","Lorraine",13.76
"BE35","Prov. Namur",11.58
"ITI2","Umbria",28.53
"AT11","Burgenland (AT)",31.73
"DE92","Hannover",13.5
"FR53","Poitou-Charentes",18.87
"BE31","Prov. Brabant Wallon",19.13
"CH05","Ostschweiz",16.57
"SI03","Zahodna Slovenija",23.74
"PL11","Łódzkie",19.77
"UKK4","Devon",17.15
"ES12","Principado de Asturias",52.72
"BE24","Prov. Vlaams-Brabant",13.05
"ITH5","Emilia-Romagna",12.48
"UKL1","West Wales and The Valleys",38.13
"ES23","La Rioja",23.1
"FR24","Centre",14.14
"ITC4","Lombardia",18.3
"SE22","Sydsverige",10.56
"SE31","Norra Mellansverige",18.94
"ITH3","Veneto",24.31
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",21.31
"RO31","Sud - Muntenia",40.37
"ES24","Aragón",17.66
"PT18","Alentejo",6.97
"DE30","Berlin",32.76
"UKD1","Cumbria",13.5
"CZ07","Střední Morava",20.28
"FRY2","Martinique",0.13
"FRY1","Guadeloupe",13.44
"ITH1","Provincia Autonoma di Bolzano/Bozen",12.99
"RO11","Nord-Vest",18.3
"UKE2","North Yorkshire",9.47
"FR26","Bourgogne",8.57
"FR52","Bretagne",14.97
"UKK3","Cornwall and Isles of Scilly",19.9
"MT00","Malta",5.89
"CH03","Nordwestschweiz",12.54
"PL43","Lubuskie",15.16
"NO01","Oslo og Akershus",40.24
"DEF0","Schleswig-Holstein",48.5
"AT21","Kärnten",14.59
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",16.38
"CZ06","Jihovýchod",14.08
"ITC3","Liguria",33.72
"AT31","Oberösterreich",39.92
"AT22","Steiermark",25.08
"ES53","Illes Balears",9.09
"PT17","Lisboa",45.17
"CZ04","Severozápad",12.86
"BE33","Prov. Liège",13.5
"FR71","Rhône-Alpes",42.35
"FRY4","Réunion",26.04
"ES62","Región de Murcia",26.62
"EL43","Kriti",6.97
"BG42","Yuzhen tsentralen",2.75
"CZ05","Severovýchod",19.07
"DED2","Dresden",40.75
"NO06","Trøndelag",51.57
"DE60","Hamburg",41.14
"UKC1","Tees Valley and Durham",30.26
"FR51","Pays de la Loire",49.26
"DE23","Oberpfalz",16.83
"CY00","Kýpros",43.19
"FI1C","Etelä-Suomi",17.53
"AT34","Vorarlberg",19.13
"BG31","Severozapaden",0.26
"DEG0","Thüringen",18.81
"ITF2","Molise",30.9
"AT13","Wien",25.46
"ITF6","Calabria",34.23
"PL12","Mazowieckie",14.4
"DE12","Karlsruhe",32.63
"DE71","Darmstadt",14.72
"DEB1","Koblenz",8.64
"EL53","Dytiki Makedonia",0.13
"AT32","Salzburg",11.45
"DED4","Chemnitz",31.16
"UKE4","West Yorkshire",16.57
"HU22","Nyugat-Dunántúl",11.52
"FR30","Nord - Pas-de-Calais",25.08
"NL33","Zuid-Holland",54.13
"DE50","Bremen",62.51
"SK03","Stredné Slovensko",19.77
"UKH2","Bedfordshire and Hertfordshire",7.04
"EL30","Attiki",14.97
"PL41","Wielkopolskie",26.81
"UKG1","Herefordshire, Worcestershire and Warwickshire",20.47
"BG32","Severen tsentralen",3.39
"ITF1","Abruzzo",17.72
"SK04","Východné Slovensko",17.47
"BG41","Yugozapaden",31.8
"FI1D","Pohjois- ja Itä-Suomi",8.45
"BE22","Prov. Limburg (BE)",19.26
