"id","name","value"
"UKF2","Leicestershire, Rutland and Northamptonshire",16.88
"UKD4","Lancashire",57.72
"DE11","Stuttgart",15.62
"RO11","Nord-Vest",61.13
"NL33","Zuid-Holland",18.58
"UKK4","Devon",30.07
"FR63","Limousin",27.56
"HU22","Nyugat-Dunántúl",50.18
"ES41","Castilla y León",20.11
"SI04","Vzhodna Slovenija",35.73
"FR52","Bretagne",69.75
"CZ07","Střední Morava",12.84
"ES11","Galicia",7.36
"BE22","Prov. Limburg (BE)",26.93
"SE31","Norra Mellansverige",4.76
"ITC2","Valle d'Aosta/Vallée d'Aoste",20.02
"DEC0","Saarland",64
"DEA3","Münster",4.4
"SK04","Východné Slovensko",26.57
"UKH1","East Anglia",65.08
"EL30","Attiki",24.15
"UKE3","South Yorkshire",44.7
"DE24","Oberfranken",58.98
"ITF5","Basilicata",61.58
"PT18","Alentejo",6.91
"NL13","Drenthe",9.52
"PL61","Kujawsko-Pomorskie",47.49
"FR21","Champagne-Ardenne",14.09
"DE92","Hannover",7.99
"ITH1","Provincia Autonoma di Bolzano/Bozen",21.01
"BE32","Prov. Hainaut",4.4
"PL42","Zachodniopomorskie",14.18
"AT13","Wien",56.55
"DE23","Oberpfalz",10.68
"DE27","Schwaben",9.25
"UKD1","Cumbria",14.36
"BE35","Prov. Namur",12.39
"EL62","Ionia Nisia",1.17
"SE33","Övre Norrland",22.71
"DE13","Freiburg",35.28
"DE73","Kassel",33.57
"NO04","Agder og Rogaland",11.85
"HU32","Észak-Alföld",43.27
"DE94","Weser-Ems",2.51
"AT33","Tirol",22.71
"UKG3","West Midlands",22.26
"SK02","Západné Slovensko",33.3
"FRY4","Réunion",17.86
"ITC3","Liguria",67.59
"CH01","Région lémanique",74.6
"FRY3","Guyane",0
"IS01","Höfuðborgarsvæði",28.73
"PL43","Lubuskie",7.36
"NL31","Utrecht",14.99
"ES21","País Vasco",23.16
"PL63","Pomorskie",21.81
"BG42","Yuzhen tsentralen",12.3
"RO42","Vest",49.46
"EE00","Eesti",67.15
"PT17","Lisboa",73.07
"ES13","Cantabria",15.98
"UKD6","Cheshire",42.28
"ES43","Extremadura",14
"UKH3","Essex",25.04
"DE50","Bremen",37.16
"FRY1","Guadeloupe",11.49
"ES64","Ciudad Autónoma de Melilla",1.44
"HU21","Közép-Dunántúl",20.56
"CZ02","Střední Čechy",26.12
"ITI3","Marche",11.85
"FI1B","Helsinki-Uusimaa",62.93
"DK03","Syddanmark",5.83
"PL33","Świętokrzyskie",8.08
"DE14","Tübingen",23.52
"ITF6","Calabria",58.44
"FR10","Île de France",27.56
"SI03","Zahodna Slovenija",16.16
"ITC4","Lombardia",10.41
"FR43","Franche-Comté",13.73
"EL52","Kentriki Makedonia",47.58
"CH04","Zürich",77.65
"DE93","Lüneburg",8.17
"DEF0","Schleswig-Holstein",24.78
"HU31","Észak-Magyarország",28.01
"ITH3","Veneto",10.05
"FR24","Centre",5.57
"NO02","Hedmark og Oppland",22.35
"PL12","Mazowieckie",67.86
"DEG0","Thüringen",47.22
"UKJ2","Surrey, East and West Sussex",47.85
"DEB2","Trier",8.98
"AT22","Steiermark",16.52
"FR81","Languedoc-Roussillon",59.69
"EL64","Sterea Ellada",5.03
"DE21","Oberbayern",30.43
"ITF1","Abruzzo",6.64
"PL21","Małopolskie",24.06
"AT21","Kärnten",15.53
"SE11","Stockholm",27.83
"PL52","Opolskie",12.57
"CZ01","Praha",40.39
"ES22","Comunidad Foral de Navarra",32.23
"BE34","Prov. Luxembourg (BE)",6.01
"PT30","Região Autónoma da Madeira",2.33
"UKJ3","Hampshire and Isle of Wight",29.44
"DED2","Dresden",11.76
"PL62","Warmińsko-Mazurskie",31.33
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",25.85
"PT15","Algarve",37.25
"BG33","Severoiztochen",43.99
"AT32","Salzburg",20.11
"SK03","Stredné Slovensko",54.67
"ITF3","Campania",20.02
"FR62","Midi-Pyrénées",4.58
"CZ08","Moravskoslezsko",6.55
"AT31","Oberösterreich",5.12
"FI1C","Etelä-Suomi",13.38
"ES12","Principado de Asturias",14.18
"ITH4","Friuli-Venezia Giulia",10.59
"BE23","Prov. Oost-Vlaanderen",10.14
"BG31","Severozapaden",8.53
"ITG1","Sicilia",46.41
"FI19","Länsi-Suomi",30.34
"FR22","Picardie",4.04
"EL43","Kriti",53.95
"ITI4","Lazio",62.84
"UKE1","East Yorkshire and Northern Lincolnshire",54.94
"ITF4","Puglia",28.82
"UKE4","West Yorkshire",55.03
"NL21","Overijssel",8.53
"UKE2","North Yorkshire",49.1
"FR30","Nord - Pas-de-Calais",43.09
"UKG1","Herefordshire, Worcestershire and Warwickshire",62.84
"FR26","Bourgogne",20.29
"BE24","Prov. Vlaams-Brabant",59.52
"LT00","Lietuva",65.8
"HR03","Jadranska Hrvatska",5.83
"ES62","Región de Murcia",18.04
"SE12","Östra Mellansverige",17.24
"PL41","Wielkopolskie",60.95
"DEE0","Sachsen-Anhalt",10.59
"PT16","Centro (PT)",44.88
"SE21","Småland med öarna",15.26
"ITI1","Toscana",29.62
"HU33","Dél-Alföld",19.84
"EL42","Notio Aigaio",1.97
"DEA1","Düsseldorf",5.21
"FR72","Auvergne",4.31
"CZ05","Severovýchod",26.57
"NO07","Nord-Norge",9.87
"SK01","Bratislavský kraj",50.27
"NO01","Oslo og Akershus",44.7
"ITI2","Umbria",6.1
"CH05","Ostschweiz",23.7
"PL32","Podkarpackie",4.76
"ES61","Andalucía",24.87
"NL41","Noord-Brabant",79.44
"ES53","Illes Balears",20.92
"UKL2","East Wales",27.83
"UKD7","Merseyside",15.44
"RO31","Sud - Muntenia",53.77
"NL12","Friesland (NL)",14.09
"CY00","Kýpros",67.41
"ES30","Comunidad de Madrid",20.29
"DEA2","Köln",13.55
"FR53","Poitou-Charentes",32.23
"BE21","Prov. Antwerpen",49.91
"UKD3","Greater Manchester",15.98
"NL22","Gelderland",7.72
"DE25","Mittelfranken",67.15
"DK01","Hovedstaden",60.41
"DE72","Gießen",12.48
"PL51","Dolnośląskie",9.07
"DE71","Darmstadt",43.09
"AT12","Niederösterreich",20.29
"FI20","Åland",8.8
"LV00","Latvija",8.35
"DK02","Sjælland",20.74
"UKM5","North Eastern Scotland",12.39
"EL51","Anatoliki Makedonia, Thraki",28.55
"FR61","Aquitaine",13.73
"HU23","Dél-Dunántúl",48.56
"DED5","Leipzig",46.32
"UKJ4","Kent",19.75
"DEA4","Detmold",5.66
"PT11","Norte",67.68
"PL11","Łódzkie",26.93
"FRY2","Martinique",43.63
"DK05","Nordjylland",4.58
"BE31","Prov. Brabant Wallon",18.94
"FR71","Rhône-Alpes",20.74
"FR25","Basse-Normandie",30.97
"BG41","Yugozapaden",46.5
"NL42","Limburg (NL)",5.92
"NO05","Vestlandet",6.46
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",36.62
"EL54","Thessalia",45.6
"DK04","Midtjylland",5.48
"PL31","Lubelskie",52.06
"EL53","Dytiki Makedonia",0.09
"RO21","Nord-Est",38.33
"UKH2","Bedfordshire and Hertfordshire",27.92
"UKN0","Northern Ireland",62.3
"UKG2","Shropshire and Staffordshire",12.84
"PL22","Śląskie",34.38
"DE91","Braunschweig",30.07
"CH07","Ticino",46.05
"UKM3","South Western Scotland",36.54
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",71.63
"ES24","Aragón",9.07
"NL11","Groningen",48.29
"CH03","Nordwestschweiz",46.05
