"id";"name";"value"
"ITF6";"Calabria";19,64
"NO06";"Trøndelag";56,66
"UKD6";"Cheshire";31,38
"PL33";"Świętokrzyskie";7,9
"ITG2";"Sardegna";21,22
"EL54";"Thessalia";12,64
"PL41";"Wielkopolskie";19,41
"AT31";"Oberösterreich";5,64
"UKE4";"West Yorkshire";44,24
"BE34";"Prov. Luxembourg (BE)";36,34
"AT21";"Kärnten";58,24
"DE24";"Oberfranken";23,93
"LU00";"Luxembourg";50,34
"ITI3";"Marche";29,12
"HR03";"Jadranska Hrvatska";1,58
"ES23";"La Rioja";31,38
"DE22";"Niederbayern";18,28
"NL31";"Utrecht";21,9
"PT18";"Alentejo";3,61
"UKJ4";"Kent";15,8
"ES53";"Illes Balears";42,44
"NL13";"Drenthe";0,9
"ES41";"Castilla y León";17,61
"FRY4";"Réunion";2,48
"FRY1";"Guadeloupe";0,9
"SK01";"Bratislavský kraj";56,66
"DK03";"Syddanmark";0,9
"FR72";"Auvergne";3,16
"HU31";"Észak-Magyarország";24,6
"CH02";"Espace Mittelland";32,51
"LT00";"Lietuva";52,6
"PL21";"Małopolskie";40,41
"NL33";"Zuid-Holland";48,53
"FI20";"Åland";0,45
"UKC2";"Northumberland and Tyne and Wear";8,8
"ES70";"Canarias";29,12
"BE22";"Prov. Limburg (BE)";20,32
"ES30";"Comunidad de Madrid";50,34
"CH04";"Zürich";46,28
"UKF2";"Leicestershire, Rutland and Northamptonshire";23,25
"UKF3";"Lincolnshire";19,19
"FR43";"Franche-Comté";40,18
"FR62";"Midi-Pyrénées";23,02
"PL61";"Kujawsko-Pomorskie";8,58
"DE26";"Unterfranken";44,47
"PL63";"Pomorskie";54,63
"NO05";"Vestlandet";23,7
"BG33";"Severoiztochen";2,26
"ITH4";"Friuli-Venezia Giulia";21,67
"DE73";"Kassel";3,61
"UKN0";"Northern Ireland";31,6
"FR63";"Limousin";24,83
"PL62";"Warmińsko-Mazurskie";4,74
"FR41";"Lorraine";5,87
"DEF0";"Schleswig-Holstein";6,55
"HU33";"Dél-Alföld";4,29
"ITC4";"Lombardia";39,73
"SI03";"Zahodna Slovenija";11,74
"NL41";"Noord-Brabant";46,73
"UKG1";"Herefordshire, Worcestershire and Warwickshire";9,93
"FR21";"Champagne-Ardenne";21,9
"PL22";"Śląskie";47,63
"PL52";"Opolskie";3,39
"ITF5";"Basilicata";18,96
"FR81";"Languedoc-Roussillon";44,02
"CZ01";"Praha";58,69
