"id";"name";"value"
"DE14";"Tübingen";4,06
"CH04";"Zürich";3,05
"FR10";"Île de France";2,54
"UKK2";"Dorset and Somerset";25,89
"FR72";"Auvergne";1,02
"PT17";"Lisboa";35,03
"FR83";"Corse";30,96
"UKG3";"West Midlands";2,54
"DE24";"Oberfranken";25,89
"SK02";"Západné Slovensko";3,05
"EL41";"Voreio Aigaio";1,52
"FR25";"Basse-Normandie";3,05
"DE13";"Freiburg";0,51
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";4,57
"HU32";"Észak-Alföld";4,57
"ITH3";"Veneto";56,85
"ES64";"Ciudad Autónoma de Melilla";1,02
"FR43";"Franche-Comté";0,51
"PL43";"Lubuskie";1,52
"LU00";"Luxembourg";23,86
"ES41";"Castilla y León";4,06
"FR42";"Alsace";3,05
"DED2";"Dresden";24,87
"DEA2";"Köln";5,08
"NO04";"Agder og Rogaland";34,52
"UKF2";"Leicestershire, Rutland and Northamptonshire";55,33
"DE92";"Hannover";34,52
"UKK4";"Devon";53,81
"ES12";"Principado de Asturias";5,08
"EL43";"Kriti";1,02
"SE11";"Stockholm";22,84
"BE32";"Prov. Hainaut";3,05
"NL41";"Noord-Brabant";31,47
"SI04";"Vzhodna Slovenija";2,54
"LT00";"Lietuva";4,06
"NL22";"Gelderland";57,87
"DE40";"Brandenburg";25,89
"UKI1";"Inner London";2,03
"FR63";"Limousin";31,98
"DK02";"Sjælland";24,37
"SE22";"Sydsverige";26,4
"FR81";"Languedoc-Roussillon";1,52
"UKE4";"West Yorkshire";58,38
"HR03";"Jadranska Hrvatska";2,54
"CZ02";"Střední Čechy";2,54
"AT11";"Burgenland (AT)";2,54
"HU33";"Dél-Alföld";4,57
"RO22";"Sud-Est";2,54
"ES22";"Comunidad Foral de Navarra";2,54
"UKD3";"Greater Manchester";25,38
"FRY1";"Guadeloupe";1,52
"UKD1";"Cumbria";2,03
"ITF6";"Calabria";5,08
"PL33";"Świętokrzyskie";2,54
"AT22";"Steiermark";2,03
"PL42";"Zachodniopomorskie";2,03
"UKH2";"Bedfordshire and Hertfordshire";2,54
"NO01";"Oslo og Akershus";35,03
"AT33";"Tirol";34,01
"PL22";"Śląskie";5,58
"UKH3";"Essex";24,87
"RO32";"Bucureşti - Ilfov";32,99
"UKK3";"Cornwall and Isles of Scilly";31,47
"IE01";"Border, Midland and Western";25,89
"CZ05";"Severovýchod";2,54
"ITC3";"Liguria";34,52
"PL62";"Warmińsko-Mazurskie";1,02
"PT16";"Centro (PT)";4,06
"DEB1";"Koblenz";24,37
"NL13";"Drenthe";52,79
"DE11";"Stuttgart";3,55
"NL12";"Friesland (NL)";36,04
"BE24";"Prov. Vlaams-Brabant";2,03
"FR21";"Champagne-Ardenne";2,03
"PL12";"Mazowieckie";3,05
"IS01";"Höfuðborgarsvæði";4,06
"CH07";"Ticino";27,41
"ES70";"Canarias";1,52
"DEB3";"Rheinhessen-Pfalz";24,87
"ES51";"Cataluña";4,06
"DEB2";"Trier";25,38
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";2,03
"FR71";"Rhône-Alpes";6,6
"EL42";"Notio Aigaio";0
"CH01";"Région lémanique";1,02
"PT15";"Algarve";3,55
"ES13";"Cantabria";31,47
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";26,4
"CZ07";"Střední Morava";2,03
"UKC2";"Northumberland and Tyne and Wear";2,03
"FR51";"Pays de la Loire";54,82
