"id";"name";"value"
"BE34";"Prov. Luxembourg (BE)";7,01
"ES21";"País Vasco";28,12
"UKE3";"South Yorkshire";34,64
"DE71";"Darmstadt";37,16
"FRY3";"Guyane";0
"DEA3";"Münster";9,7
"DEA4";"Detmold";15,16
"FI20";"Åland";1,06
"ITC2";"Valle d'Aosta/Vallée d'Aoste";25,02
"FR81";"Languedoc-Roussillon";7,74
"UKL1";"West Wales and The Valleys";11,49
"AT33";"Tirol";7,01
"NL34";"Zeeland";4,81
"CZ01";"Praha";52,32
"ITI2";"Umbria";6,76
"NL32";"Noord-Holland";30,73
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";36,84
"DEB2";"Trier";9,21
"PT11";"Norte";29,67
"CH05";"Ostschweiz";11,57
"UKC1";"Tees Valley and Durham";5,87
"HU32";"Észak-Alföld";26,32
"EL41";"Voreio Aigaio";0,98
"CH02";"Espace Mittelland";8,64
"FR30";"Nord - Pas-de-Calais";31,7
"HR04";"Kontinentalna Hrvatska";9,54
"UKG2";"Shropshire and Staffordshire";18,66
"EL51";"Anatoliki Makedonia, Thraki";8,48
"FR61";"Aquitaine";25,18
"EL42";"Notio Aigaio";0,08
"UKE2";"North Yorkshire";15,24
"DE60";"Hamburg";8,96
"HU23";"Dél-Dunántúl";30,07
"NO03";"Sør-Østlandet";15,08
"RO41";"Sud-Vest Oltenia";12,96
"FR62";"Midi-Pyrénées";12,22
"ITF5";"Basilicata";25,84
"PL31";"Lubelskie";19,64
"BG31";"Severozapaden";3,67
"ITH4";"Friuli-Venezia Giulia";5,46
"UKH2";"Bedfordshire and Hertfordshire";52,73
"EL53";"Dytiki Makedonia";0,08
"DE21";"Oberbayern";78,48
"ES30";"Comunidad de Madrid";59,98
"DK03";"Syddanmark";5,38
"DE27";"Schwaben";13,45
"DE13";"Freiburg";13,61
"FR53";"Poitou-Charentes";7,99
"NL11";"Groningen";3,42
"PL62";"Warmińsko-Mazurskie";5,13
"PL33";"Świętokrzyskie";25,18
"NL42";"Limburg (NL)";3,91
"DEE0";"Sachsen-Anhalt";16,63
"DE11";"Stuttgart";31,7
"ITI1";"Toscana";10,19
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";18,34
"DED2";"Dresden";12,06
"UKK3";"Cornwall and Isles of Scilly";6,93
"AT22";"Steiermark";12,71
"BE35";"Prov. Namur";12,31
"UKM6";"Highlands and Islands";11,25
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";60,72
"FI19";"Länsi-Suomi";67,24
"PT18";"Alentejo";6,93
"FRY1";"Guadeloupe";9,21
"RO31";"Sud - Muntenia";50,12
"NO07";"Nord-Norge";2,04
"ES24";"Aragón";7,82
"ES51";"Cataluña";30,89
"SE32";"Mellersta Norrland";5,22
