"id","name","value"
"DE13","Freiburg",27.48
"ITC4","Lombardia",30.46
"BG33","Severoiztochen",11.1
"BG31","Severozapaden",0.56
"UKF2","Leicestershire, Rutland and Northamptonshire",25.75
"RO32","Bucureşti - Ilfov",7.77
"CZ01","Praha",8.26
"SE11","Stockholm",16.66
"LU00","Luxembourg",28.11
"EL54","Thessalia",19.15
"SE31","Norra Mellansverige",31.3
"UKJ3","Hampshire and Isle of Wight",24.22
"ES12","Principado de Asturias",28.24
"PL33","Świętokrzyskie",31.23
"ES23","La Rioja",22.76
"DE60","Hamburg",21.79
"ES22","Comunidad Foral de Navarra",19.71
"UKG3","West Midlands",13.74
"DK03","Syddanmark",24.5
"RO12","Centru",7.36
"ES52","Comunidad Valenciana",22.48
"ES21","País Vasco",40.6
"PL34","Podlaskie",24.36
"SK01","Bratislavský kraj",23.25
"PT15","Algarve",5.9
"FR26","Bourgogne",17.49
"UKK3","Cornwall and Isles of Scilly",7.43
"DE72","Gießen",39
"PL63","Pomorskie",30.88
"DE91","Braunschweig",10.96
"DE93","Lüneburg",37.89
"FR10","Île de France",19.36
"CZ06","Jihovýchod",20.75
"UKM5","North Eastern Scotland",4.23
"NL22","Gelderland",17
"PL31","Lubelskie",37.75
"DEA4","Detmold",15.75
"UKL1","West Wales and The Valleys",29.35
"ITF1","Abruzzo",29.35
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",10.96
"DE27","Schwaben",48.79
"ES62","Región de Murcia",16.17
"AT11","Burgenland (AT)",37.54
"ES61","Andalucía",11.1
"FRY2","Martinique",0.83
"NL21","Overijssel",42.05
"SE32","Mellersta Norrland",26.58
"AT21","Kärnten",11.17
"UKI1","Inner London",5.27
"NL11","Groningen",7.98
"NL32","Noord-Holland",28.59
"DE40","Brandenburg",34.07
"NO07","Nord-Norge",6.45
"FR63","Limousin",36.09
"PL43","Lubuskie",22.9
"DE14","Tübingen",19.85
"FR53","Poitou-Charentes",14.99
"UKG2","Shropshire and Staffordshire",40.32
"UKK4","Devon",11.94
"ITF4","Puglia",21.65
"FRY1","Guadeloupe",5.97
"LT00","Lietuva",11.24
"FR30","Nord - Pas-de-Calais",29.84
"UKL2","East Wales",9.23
"BE33","Prov. Liège",35.81
"DE30","Berlin",29.77
"FI1D","Pohjois- ja Itä-Suomi",15.2
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",28.17
"CH05","Ostschweiz",45.45
"UKC2","Northumberland and Tyne and Wear",11.1
"UKD4","Lancashire",42.68
"DEB1","Koblenz",31.92
"EL64","Sterea Ellada",15.48
"NL42","Limburg (NL)",24.57
"ITI3","Marche",32.2
"DED5","Leipzig",32.82
"CZ02","Střední Čechy",20.12
"NL23","Flevoland",10.48
"MT00","Malta",18.6
"AT33","Tirol",33.93
"FRY3","Guyane",0
"AT12","Niederösterreich",34.63
"AT31","Oberösterreich",40.11
"UKE2","North Yorkshire",18.04
"CZ07","Střední Morava",15.13
"FR72","Auvergne",41.5
"FR41","Lorraine",43.93
"DE23","Oberpfalz",33.17
"NO05","Vestlandet",17.63
"FR23","Haute-Normandie",23.18
"SE23","Västsverige",21.24
"DEG0","Thüringen",21.37
"UKH1","East Anglia",6.45
"PL52","Opolskie",14.99
"SK03","Stredné Slovensko",13.39
"ES42","Castilla-La Mancha",12.91
"CH03","Nordwestschweiz",14.43
"PL42","Zachodniopomorskie",10.41
"NO01","Oslo og Akershus",23.53
"EE00","Eesti",12.49
"FR62","Midi-Pyrénées",8.47
"ITF3","Campania",23.11
"ITC3","Liguria",31.02
"UKD6","Cheshire",27.27
"ITF5","Basilicata",9.99
"DEB2","Trier",22.07
"AT34","Vorarlberg",37.68
"BG34","Yugoiztochen",2.01
"BE34","Prov. Luxembourg (BE)",32.13
"DEA3","Münster",33.52
"IS01","Höfuðborgarsvæði",5
"ES43","Extremadura",11.1
"BE31","Prov. Brabant Wallon",25.4
"UKD1","Cumbria",28.24
"DE12","Karlsruhe",18.46
"ITC1","Piemonte",22.97
"ES24","Aragón",11.73
"PT18","Alentejo",3.75
"NL34","Zeeland",18.95
"EL51","Anatoliki Makedonia, Thraki",1.87
"EL62","Ionia Nisia",0.07
"ITC2","Valle d'Aosta/Vallée d'Aoste",14.16
"FI19","Länsi-Suomi",13.53
"NL12","Friesland (NL)",26.23
"DE92","Hannover",25.47
"DEE0","Sachsen-Anhalt",24.5
"UKK2","Dorset and Somerset",9.23
"UKH3","Essex",8.26
"CZ08","Moravskoslezsko",10.13
"UKC1","Tees Valley and Durham",26.02
"HU33","Dél-Alföld",13.81
"PL62","Warmińsko-Mazurskie",26.86
"SE33","Övre Norrland",17
"DE24","Oberfranken",43.79
"ES51","Cataluña",38.72
"ITF6","Calabria",7.08
"BE23","Prov. Oost-Vlaanderen",40.04
"SE21","Småland med öarna",18.6
"FR25","Basse-Normandie",14.71
"PL32","Podkarpackie",25.05
"SE22","Sydsverige",7.22
"CH01","Région lémanique",15.75
"FR24","Centre",14.64
"NO04","Agder og Rogaland",11.45
"DE80","Mecklenburg-Vorpommern",30.6
"CZ05","Severovýchod",25.82
"ITI1","Toscana",16.66
"FR82","Provence-Alpes-Côte d'Azur",12.7
"FR83","Corse",10.96
"CZ04","Severozápad",30.12
"UKI2","Outer London",8.67
"CH02","Espace Mittelland",29.42
"BG41","Yugozapaden",18.53
"BE25","Prov. West-Vlaanderen",24.22
"UKJ2","Surrey, East and West Sussex",7.98
"HR03","Jadranska Hrvatska",1.94
"IS02","Landsbyggð",3.68
"ITF2","Molise",9.99
"CY00","Kýpros",13.05
"UKF3","Lincolnshire",37.34
"CZ03","Jihozápad",29.49
"NL13","Drenthe",12.49
"PL12","Mazowieckie",27.83
"SI04","Vzhodna Slovenija",27.13
"FR21","Champagne-Ardenne",31.02
"ITH5","Emilia-Romagna",27.69
"SK02","Západné Slovensko",29.56
"FR52","Bretagne",6.45
"DK02","Sjælland",21.44
"IE01","Border, Midland and Western",10.69
"IE02","Southern and Eastern",9.02
"EL30","Attiki",10.13
"FR42","Alsace",13.46
"FR81","Languedoc-Roussillon",18.18
"UKN0","Northern Ireland",10.48
"FI20","Åland",5.2
"UKF1","Derbyshire and Nottinghamshire",22.69
"HU22","Nyugat-Dunántúl",12.35
"DK05","Nordjylland",22.41
"BE24","Prov. Vlaams-Brabant",35.18
"PT20","Região Autónoma dos Açores",0.62
"UKJ4","Kent",9.44
"NO03","Sør-Østlandet",31.09
"DK04","Midtjylland",10.34
"ES30","Comunidad de Madrid",10.13
"BE21","Prov. Antwerpen",32.76
"HU23","Dél-Dunántúl",7.84
"EL53","Dytiki Makedonia",0
"FI1C","Etelä-Suomi",15.54
"DED2","Dresden",46.91
"EL65","Peloponnisos",1.18
"RO31","Sud - Muntenia",21.58
"UKD7","Merseyside",18.39
"SE12","Östra Mellansverige",27.55
"UKD3","Greater Manchester",21.1
"AT22","Steiermark",32.62
"DE21","Oberbayern",35.95
"AT32","Salzburg",24.5
"DEA2","Köln",30.53
"RO42","Vest",11.45
"ITI4","Lazio",16.1
"FR43","Franche-Comté",32.34
"FR51","Pays de la Loire",16.72
"UKM2","Eastern Scotland",8.05
"BE32","Prov. Hainaut",22.83
"ITG1","Sicilia",10.06
"DE22","Niederbayern",48.85
"RO11","Nord-Vest",24.71
"UKG1","Herefordshire, Worcestershire and Warwickshire",28.11
"NO06","Trøndelag",18.67
"DE71","Darmstadt",33.1
"CH06","Zentralschweiz",32.55
"DK01","Hovedstaden",10.69
"UKH2","Bedfordshire and Hertfordshire",5.9
"PL41","Wielkopolskie",13.81
"DE25","Mittelfranken",36.57
"BE22","Prov. Limburg (BE)",28.17
"DE73","Kassel",43.16
"DE11","Stuttgart",28.04
"PT11","Norte",26.37
"ITH3","Veneto",30.53
"DEA1","Düsseldorf",33.87
"ES64","Ciudad Autónoma de Melilla",0.07
"ITI2","Umbria",14.64
"UKE3","South Yorkshire",29.49
"ES11","Galicia",17.77
"ES13","Cantabria",21.86
"PT17","Lisboa",12.01
"EL43","Kriti",9.09
"CH04","Zürich",33.73
"DEA5","Arnsberg",28.94
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",21.51
"UKE4","West Yorkshire",19.57
"PL61","Kujawsko-Pomorskie",23.18
"ES70","Canarias",15.2
"DED4","Chemnitz",44.34
"LV00","Latvija",11.66
"AT13","Wien",18.81
"HU21","Közép-Dunántúl",8.12
"BE35","Prov. Namur",30.26
