"id","name","value"
"NO05","Vestlandet",11.03
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",7.13
"PL41","Wielkopolskie",14.53
"FR52","Bretagne",6.58
"DEA1","Düsseldorf",31.05
"DE60","Hamburg",11.72
"FI20","Åland",3.08
"FI1C","Etelä-Suomi",24.33
"NL32","Noord-Holland",24.67
"UKI2","Outer London",5.21
"IS02","Landsbyggð",7.81
"AT22","Steiermark",21.38
"UKC1","Tees Valley and Durham",25.22
"ES21","País Vasco",22.96
"ES64","Ciudad Autónoma de Melilla",0.41
"AT32","Salzburg",14.05
"EL42","Notio Aigaio",0
"FR24","Centre",11.86
"FR30","Nord - Pas-de-Calais",25.02
"ES41","Castilla y León",16.66
"UKI1","Inner London",3.36
"CH03","Nordwestschweiz",15.15
"DE23","Oberpfalz",19.33
"CH07","Ticino",16.79
"CZ08","Moravskoslezsko",7.75
"CH06","Zentralschweiz",25.63
"CH01","Région lémanique",5.76
"DE12","Karlsruhe",11.65
"HU32","Észak-Alföld",10.62
"PL34","Podlaskie",5
"DEC0","Saarland",19.19
"CY00","Kýpros",14.05
"EL64","Sterea Ellada",4.8
"DE26","Unterfranken",24.95
"EL61","Ipeiros",3.22
"FI19","Länsi-Suomi",23.1
"RO41","Sud-Vest Oltenia",0.96
"RO12","Centru",0.62
"EL54","Thessalia",11.45
"CH02","Espace Mittelland",10.9
"ES51","Cataluña",17.96
"ITI3","Marche",11.79
"SE32","Mellersta Norrland",22.21
"EL63","Dytiki Ellada",7.54
"DE40","Brandenburg",10.14
"FR61","Aquitaine",24.13
"UKF1","Derbyshire and Nottinghamshire",6.31
"FR42","Alsace",13.91
"DEA5","Arnsberg",27.14
"IE01","Border, Midland and Western",8.77
"PT16","Centro (PT)",25.84
"BE34","Prov. Luxembourg (BE)",12.27
"RO11","Nord-Vest",7.54
"EL62","Ionia Nisia",0.21
"SI03","Zahodna Slovenija",10.76
"DEF0","Schleswig-Holstein",19.19
"UKH3","Essex",5.48
"FRY4","Réunion",4.32
"FR81","Languedoc-Roussillon",20.49
"PL42","Zachodniopomorskie",7.68
"CH05","Ostschweiz",21.32
"DEB2","Trier",24.81
"UKK3","Cornwall and Isles of Scilly",17.68
"PL11","Łódzkie",14.46
"LV00","Latvija",11.24
"AT21","Kärnten",18.92
