"id","name","value"
"SK01","Bratislavský kraj",54.13
"NO07","Nord-Norge",6.02
"ITF5","Basilicata",3.3
"SE33","Övre Norrland",5.69
"DE72","Gießen",9.98
"PT15","Algarve",3.96
"NL41","Noord-Brabant",64.6
"BE23","Prov. Oost-Vlaanderen",10.4
"DEA1","Düsseldorf",9.49
"CZ07","Střední Morava",60.97
"UKD7","Merseyside",2.81
"FRY3","Guyane",0
"DE73","Kassel",7.43
"ITI1","Toscana",37.29
"ES12","Principado de Asturias",54.21
"FR24","Centre",26.98
"PT17","Lisboa",6.52
"BE25","Prov. West-Vlaanderen",7.1
"IS01","Höfuðborgarsvæði",3.88
"NO05","Vestlandet",5.12
"BE21","Prov. Antwerpen",4.79
"UKG1","Herefordshire, Worcestershire and Warwickshire",20.05
"NO01","Oslo og Akershus",7.26
"NO04","Agder og Rogaland",6.44
"NL22","Gelderland",10.07
"AT22","Steiermark",46.95
"UKC1","Tees Valley and Durham",54.21
"PL41","Wielkopolskie",8.33
"HU31","Észak-Magyarország",41.67
"FR22","Picardie",41.25
"SE11","Stockholm",2.39
"DE12","Karlsruhe",15.43
"FR10","Île de France",42.49
"UKJ3","Hampshire and Isle of Wight",6.68
"DEB2","Trier",8.66
"ES13","Cantabria",2.81
"UKL2","East Wales",3.71
"BG34","Yugoiztochen",3.71
"UKJ2","Surrey, East and West Sussex",7.18
"UKM3","South Western Scotland",54.13
"FR23","Haute-Normandie",10.07
"DEF0","Schleswig-Holstein",7.26
"ES62","Región de Murcia",6.6
"FR71","Rhône-Alpes",15.35
"NL23","Flevoland",5.69
"BE24","Prov. Vlaams-Brabant",14.6
"DE71","Darmstadt",7.18
"EL42","Notio Aigaio",0
"DE30","Berlin",10.56
"UKF3","Lincolnshire",10.97
"UKG3","West Midlands",8.66
"DE94","Weser-Ems",9.74
"FI1C","Etelä-Suomi",44.31
"DEA2","Köln",61.8
"EL41","Voreio Aigaio",1.98
"UKF2","Leicestershire, Rutland and Northamptonshire",39.69
"DE60","Hamburg",6.52
"CZ04","Severozápad",56.85
"CH04","Zürich",10.07
"FR42","Alsace",7.59
"DEE0","Sachsen-Anhalt",11.06
"SI03","Zahodna Slovenija",42.9
"DE22","Niederbayern",27.31
"CZ08","Moravskoslezsko",39.52
"HU33","Dél-Alföld",52.48
"DEA3","Münster",10.31
"DE40","Brandenburg",9.82
"EL65","Peloponnisos",0.66
"SE31","Norra Mellansverige",7.92
"ES53","Illes Balears",24.09
"FI1D","Pohjois- ja Itä-Suomi",27.97
"IS02","Landsbyggð",5.61
"NL11","Groningen",7.1
"EL43","Kriti",6.19
"DED2","Dresden",17.33
"RO12","Centru",2.06
"PL62","Warmińsko-Mazurskie",7.67
"EL63","Dytiki Ellada",2.81
"HU21","Közép-Dunántúl",50.41
"DE21","Oberbayern",18.89
"LT00","Lietuva",9.98
"DE25","Mittelfranken",6.27
"DED5","Leipzig",10.73
"ES22","Comunidad Foral de Navarra",8.58
"ITF3","Campania",9.57
"SI04","Vzhodna Slovenija",60.81
"ITG1","Sicilia",30.2
"FR83","Corse",15.76
"RO22","Sud-Est",0.91
"UKI2","Outer London",4.79
"FR30","Nord - Pas-de-Calais",7.1
"CZ02","Střední Čechy",24.67
"FR25","Basse-Normandie",9.08
"ITH1","Provincia Autonoma di Bolzano/Bozen",10.07
"UKM6","Highlands and Islands",7.43
"FR53","Poitou-Charentes",32.18
"DE50","Bremen",10.48
"UKE2","North Yorkshire",10.64
"PL33","Świętokrzyskie",4.7
"PL31","Lubelskie",7.34
"SK02","Západné Slovensko",57.34
"UKE1","East Yorkshire and Northern Lincolnshire",39.69
"HU23","Dél-Dunántúl",4.46
"ITC1","Piemonte",60.4
"DEB3","Rheinhessen-Pfalz",9.9
"ITH2","Provincia Autonoma di Trento",8.42
"DEC0","Saarland",54.46
"LV00","Latvija",47.36
"ES41","Castilla y León",53.88
"FR63","Limousin",20.05
"FI19","Länsi-Suomi",9.74
"UKE3","South Yorkshire",6.19
"ES24","Aragón",12.46
"CZ06","Jihovýchod",9.32
"ITI2","Umbria",37.87
"FI1B","Helsinki-Uusimaa",10.64
"DE91","Braunschweig",9.65
"FRY2","Martinique",0.25
"ES42","Castilla-La Mancha",31.93
"ES61","Andalucía",56.93
"EE00","Eesti",20.13
"CH02","Espace Mittelland",8.66
"DE93","Lüneburg",9.24
"PL34","Podlaskie",5.28
"EL64","Sterea Ellada",6.52
"EL30","Attiki",4.37
"SE32","Mellersta Norrland",3.55
"PL22","Śląskie",43.48
"AT32","Salzburg",48.27
"DEG0","Thüringen",21.7
"ITH5","Emilia-Romagna",5.86
"UKD3","Greater Manchester",12.71
"LU00","Luxembourg",12.62
"NL33","Zuid-Holland",11.14
"BG33","Severoiztochen",3.8
"ITI3","Marche",53.71
"ITH4","Friuli-Venezia Giulia",69.22
"DE80","Mecklenburg-Vorpommern",11.06
"DE26","Unterfranken",8.5
"AT21","Kärnten",8
"CZ05","Severovýchod",12.87
"UKC2","Northumberland and Tyne and Wear",27.31
"PT11","Norte",10.23
"CZ01","Praha",12.79
"ITI4","Lazio",17.24
"IE01","Border, Midland and Western",5.94
"UKM5","North Eastern Scotland",3.14
"DK04","Midtjylland",51.65
"ES11","Galicia",8.99
"ITC4","Lombardia",57.26
"PL11","Łódzkie",8.66
"BE33","Prov. Liège",58.66
"NL13","Drenthe",5.36
"UKK4","Devon",12.13
"SE12","Östra Mellansverige",7.34
"BE22","Prov. Limburg (BE)",16.34
"DK05","Nordjylland",2.97
"PL52","Opolskie",5.12
"AT34","Vorarlberg",61.72
"PT18","Alentejo",4.79
"DK01","Hovedstaden",3.14
"PL42","Zachodniopomorskie",9.16
"BG32","Severen tsentralen",2.97
"ITF4","Puglia",6.68
"EL52","Kentriki Makedonia",31.02
"DED4","Chemnitz",28.14
"UKD4","Lancashire",9.41
"PT30","Região Autónoma da Madeira",0.08
"NL34","Zeeland",7.43
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",7.43
"EL54","Thessalia",1.9
"FR61","Aquitaine",7.34
"PL43","Lubuskie",37.29
"NL32","Noord-Holland",7.51
"FRY1","Guadeloupe",1.32
"UKH1","East Anglia",4.79
"FR62","Midi-Pyrénées",4.04
"MT00","Malta",6.19
"PL61","Kujawsko-Pomorskie",48.18
"EL53","Dytiki Makedonia",2.23
"UKF1","Derbyshire and Nottinghamshire",1.07
"SE23","Västsverige",7.84
"DE27","Schwaben",9.82
"UKD6","Cheshire",4.29
"ITF1","Abruzzo",5.86
"BG41","Yugozapaden",12.46
"UKN0","Northern Ireland",5.78
"ITH3","Veneto",62.13
