"id","name","value"
"ES43","Extremadura",2.44
"UKI2","Outer London",20.6
"FR10","Île de France",53.39
"DEF0","Schleswig-Holstein",19.76
"IS02","Landsbyggð",5.41
"FI1C","Etelä-Suomi",15.91
"HU22","Nyugat-Dunántúl",27.96
"NO01","Oslo og Akershus",18.17
"BG31","Severozapaden",0.8
"PL62","Warmińsko-Mazurskie",11.7
"DE80","Mecklenburg-Vorpommern",9.66
"HR03","Jadranska Hrvatska",7.04
"NL34","Zeeland",13.78
"BE21","Prov. Antwerpen",14.13
"UKK2","Dorset and Somerset",18.74
"NO07","Nord-Norge",13.82
"DE93","Lüneburg",16.22
"UKF2","Leicestershire, Rutland and Northamptonshire",39.88
"NO05","Vestlandet",22.51
"DE73","Kassel",25.25
"UKJ2","Surrey, East and West Sussex",36.91
"BE32","Prov. Hainaut",17.15
"DE23","Oberpfalz",17.24
"UKD3","Greater Manchester",14
"RO22","Sud-Est",6.69
"AT13","Wien",12.49
"DEA2","Köln",18.79
"DEE0","Sachsen-Anhalt",27.29
"ES41","Castilla y León",20.07
"CY00","Kýpros",10.72
"EL63","Dytiki Ellada",6.56
"AT32","Salzburg",21.27
"ITF5","Basilicata",6.65
"PL33","Świętokrzyskie",5.27
"UKM3","South Western Scotland",32.43
"ES61","Andalucía",23.17
"PL32","Podkarpackie",22.42
"BE35","Prov. Namur",16.3
"CH05","Ostschweiz",14.67
"EL42","Notio Aigaio",0.13
"CZ04","Severozápad",10.46
"FR22","Picardie",16.26
"NO03","Sør-Østlandet",17.99
"DE26","Unterfranken",14.4
"EL51","Anatoliki Makedonia, Thraki",2.44
"ES12","Principado de Asturias",25.21
"IS01","Höfuðborgarsvæði",14.58
"UKF1","Derbyshire and Nottinghamshire",29.11
"NO04","Agder og Rogaland",17.94
"ES30","Comunidad de Madrid",37.66
"ITF3","Campania",30.44
"ITI3","Marche",12.01
"PT15","Algarve",8.15
"FI20","Åland",0.18
"UKG3","West Midlands",37.57
"EE00","Eesti",14.98
"RO32","Bucureşti - Ilfov",17.59
"ITH3","Veneto",13.69
"RO21","Nord-Est",22.68
"IE02","Southern and Eastern",23.93
"DE40","Brandenburg",44.04
"CH03","Nordwestschweiz",14.36
"DE14","Tübingen",31.95
"PL41","Wielkopolskie",19.18
"UKC1","Tees Valley and Durham",14.98
"ITH4","Friuli-Venezia Giulia",12.45
"EL64","Sterea Ellada",1.51
"SE22","Sydsverige",27.2
"ES42","Castilla-La Mancha",20.69
"PL61","Kujawsko-Pomorskie",12.58
"CH06","Zentralschweiz",10.06
"AT34","Vorarlberg",13.42
"UKD6","Cheshire",13.65
"LU00","Luxembourg",24.99
"BE25","Prov. West-Vlaanderen",10.23
"ES52","Comunidad Valenciana",7.13
"ITF6","Calabria",9.7
"ES24","Aragón",8.46
"PL31","Lubelskie",14.05
"DK05","Nordjylland",24.77
"FRY3","Guyane",0
"SK04","Východné Slovensko",31.19
"FRY1","Guadeloupe",1.24
"ES53","Illes Balears",5.63
"UKK3","Cornwall and Isles of Scilly",8.51
"CH04","Zürich",10.63
"NL21","Overijssel",8.95
"DE22","Niederbayern",31.32
"DEB2","Trier",18.83
"DE13","Freiburg",33.32
"HU32","Észak-Alföld",7.8
"DEB1","Koblenz",20.91
"NL31","Utrecht",5.72
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",13.2
"PT20","Região Autónoma dos Açores",0.93
"NL41","Noord-Brabant",23.39
"RO11","Nord-Vest",15.24
"PT17","Lisboa",8.55
"UKE2","North Yorkshire",17.81
"DE27","Schwaben",45.99
"FR21","Champagne-Ardenne",11.03
"DE94","Weser-Ems",12.72
"FR71","Rhône-Alpes",18.74
"UKG2","Shropshire and Staffordshire",30.22
"FR63","Limousin",16.79
"PT11","Norte",9.35
"FI1B","Helsinki-Uusimaa",34.6
"PL52","Opolskie",16.48
"EL62","Ionia Nisia",0
"SE33","Övre Norrland",16.93
"ES64","Ciudad Autónoma de Melilla",0.27
"UKG1","Herefordshire, Worcestershire and Warwickshire",42.49
"PL21","Małopolskie",26.67
"AT33","Tirol",13.25
"BE22","Prov. Limburg (BE)",14.18
"HU23","Dél-Dunántúl",18.65
"CZ02","Střední Čechy",26.89
"NL33","Zuid-Holland",20.74
"IE01","Border, Midland and Western",12.18
"PT18","Alentejo",5.63
"PL11","Łódzkie",22.73
"FR61","Aquitaine",37.66
"HU21","Közép-Dunántúl",20.43
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",13.11
"BE31","Prov. Brabant Wallon",14.71
"BE33","Prov. Liège",35.62
"SK01","Bratislavský kraj",23.31
"PL63","Pomorskie",19.89
"UKH3","Essex",27.69
"UKC2","Northumberland and Tyne and Wear",13.65
"UKE4","West Yorkshire",21.27
"UKK4","Devon",33.67
"NL12","Friesland (NL)",5.05
"UKM6","Highlands and Islands",5.8
"ES11","Galicia",16.57
"UKL1","West Wales and The Valleys",29.51
"BG34","Yugoiztochen",6.2
"DK03","Syddanmark",12.58
"RO31","Sud - Muntenia",11.52
"UKD1","Cumbria",26.54
"ITH2","Provincia Autonoma di Trento",12.98
"FR24","Centre",28.58
"PL12","Mazowieckie",33.32
"DE30","Berlin",32.79
"UKI1","Inner London",17.94
"NL42","Limburg (NL)",4.83
"FR23","Haute-Normandie",31.28
"PT30","Região Autónoma da Madeira",1.82
"DE91","Braunschweig",22.02
"CZ07","Střední Morava",15.77
"CZ05","Severovýchod",13.74
"NL13","Drenthe",11.34
"ITC1","Piemonte",36.51
"BG41","Yugozapaden",12.36
"FR42","Alsace",14.67
"BG32","Severen tsentralen",1.15
"UKF3","Lincolnshire",25.48
"FR51","Pays de la Loire",32.26
"BE23","Prov. Oost-Vlaanderen",4.47
"DE21","Oberbayern",55.34
"LT00","Lietuva",23.44
"LV00","Latvija",10.54
"FR26","Bourgogne",22.15
"EL61","Ipeiros",1.02
"UKE3","South Yorkshire",21.13
"FI19","Länsi-Suomi",26.89
"DED5","Leipzig",9.53
"AT11","Burgenland (AT)",16.13
"DEB3","Rheinhessen-Pfalz",7.8
"DE72","Gießen",18.03
"ITI1","Toscana",40.67
"ITH1","Provincia Autonoma di Bolzano/Bozen",12.67
"PL22","Śląskie",22.68
"UKN0","Northern Ireland",26.81
"UKE1","East Yorkshire and Northern Lincolnshire",6.82
"DE60","Hamburg",29.02
"FI1D","Pohjois- ja Itä-Suomi",31.32
"MT00","Malta",9.13
"SK02","Západné Slovensko",24.41
"UKL2","East Wales",10.94
"HU10","Közép-Magyarország",19.54
"ES21","País Vasco",11.87
"ITF1","Abruzzo",14.44
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",48.25
"PL34","Podlaskie",1.95
"CH07","Ticino",6.42
"CZ03","Jihozápad",17.1
"AT12","Niederösterreich",19.01
"DEA5","Arnsberg",28.36
