"id";"name";"value"
"ITI1";"Toscana";3,97
"RO11";"Nord-Vest";4,18
"NO07";"Nord-Norge";2,51
"RO41";"Sud-Vest Oltenia";0
"HR03";"Jadranska Hrvatska";1,46
"DED2";"Dresden";37,37
"PT15";"Algarve";32,99
"DEA4";"Detmold";35,07
"AT31";"Oberösterreich";14,61
"FRY1";"Guadeloupe";0
"ES62";"Región de Murcia";34,86
"PL22";"Śląskie";19
"DE92";"Hannover";5,85
"EL63";"Dytiki Ellada";40,08
"ES41";"Castilla y León";37,37
"ES61";"Andalucía";33,82
"FR41";"Lorraine";13,15
"ITI4";"Lazio";6,26
"CZ07";"Střední Morava";4,8
"PL31";"Lubelskie";36,53
"HR04";"Kontinentalna Hrvatska";6,89
"UKF3";"Lincolnshire";4,8
"CH03";"Nordwestschweiz";36,12
"NO04";"Agder og Rogaland";33,19
"ITI2";"Umbria";6,47
"FR52";"Bretagne";0,84
"ITC2";"Valle d'Aosta/Vallée d'Aoste";1,67
"SE12";"Östra Mellansverige";2,92
"DE80";"Mecklenburg-Vorpommern";10,65
"UKF2";"Leicestershire, Rutland and Northamptonshire";6,68
"UKI1";"Inner London";0,63
"BG34";"Yugoiztochen";0,21
"DEA2";"Köln";16,28
"FI1B";"Helsinki-Uusimaa";8,14
"UKE2";"North Yorkshire";7,31
"DE24";"Oberfranken";37,58
"CZ08";"Moravskoslezsko";34,03
"UKG2";"Shropshire and Staffordshire";38,62
"BE35";"Prov. Namur";41,34
"ES51";"Cataluña";6,89
"SE21";"Småland med öarna";8,35
"BG41";"Yugozapaden";37,16
"UKM6";"Highlands and Islands";2,3
"FR72";"Auvergne";13,78
"BE25";"Prov. West-Vlaanderen";41,34
"BE33";"Prov. Liège";9,39
"EL53";"Dytiki Makedonia";0,42
"DE60";"Hamburg";6,05
"DEA3";"Münster";45,51
"SE31";"Norra Mellansverige";8,77
"UKG3";"West Midlands";5,22
"UKI2";"Outer London";3,97
"DK05";"Nordjylland";2,3
"DE21";"Oberbayern";30,69
"DEA5";"Arnsberg";43,22
"DE13";"Freiburg";37,37
"HU31";"Észak-Magyarország";31,94
"UKK4";"Devon";5,01
"ITF1";"Abruzzo";7,72
"DK01";"Hovedstaden";4,59
"SK03";"Stredné Slovensko";3,55
"UKM5";"North Eastern Scotland";1,25
"RO21";"Nord-Est";8,14
"SE23";"Västsverige";11,48
"SE33";"Övre Norrland";2,3
"ES24";"Aragón";33,61
"PT20";"Região Autónoma dos Açores";0,21
"SE22";"Sydsverige";5,01
"BE34";"Prov. Luxembourg (BE)";10,23
"FR83";"Corse";0,21
"NL42";"Limburg (NL)";13,15
"LU00";"Luxembourg";38,62
