"id";"name";"value"
"NO07";"Nord-Norge";7,27
"SE31";"Norra Mellansverige";4,58
"UKH3";"Essex";23,52
"CZ05";"Severovýchod";24,06
"SI04";"Vzhodna Slovenija";32,5
"PT15";"Algarve";35,73
"RO32";"Bucureşti - Ilfov";60,59
"FR83";"Corse";11,58
"DE13";"Freiburg";33,75
"DE12";"Karlsruhe";12,75
"AT22";"Steiermark";10,86
"SE33";"Övre Norrland";11,85
"CH05";"Ostschweiz";21,81
"ITF1";"Abruzzo";6,01
"FR82";"Provence-Alpes-Côte d'Azur";46,95
"HR04";"Kontinentalna Hrvatska";23,61
"NO04";"Agder og Rogaland";5,3
"PL21";"Małopolskie";9,25
"UKH2";"Bedfordshire and Hertfordshire";13,91
"UKM5";"North Eastern Scotland";8,35
"DE60";"Hamburg";7,9
"PL51";"Dolnośląskie";8,08
"UKD4";"Lancashire";54,76
"FR63";"Limousin";26,57
"ES64";"Ciudad Autónoma de Melilla";1,44
"ITC1";"Piemonte";7
"FR53";"Poitou-Charentes";30,61
"SI03";"Zahodna Slovenija";13,91
"PL33";"Świętokrzyskie";4,31
"PT30";"Região Autónoma da Madeira";2,78
"EL30";"Attiki";18,31
"ITC3";"Liguria";54,31
"RO12";"Centru";48,03
"DEG0";"Thüringen";37,25
"DEF0";"Schleswig-Holstein";24,15
"DE24";"Oberfranken";46,86
"IS02";"Landsbyggð";3,95
"EL54";"Thessalia";44,43
"UKK4";"Devon";21,45
"ITI3";"Marche";8,62
"BE22";"Prov. Limburg (BE)";26,21
"UKE4";"West Yorkshire";52,06
"FR26";"Bourgogne";18,49
"UKD3";"Greater Manchester";11,49
"CZ08";"Moravskoslezsko";6,46
"DEE0";"Sachsen-Anhalt";5,03
"LV00";"Latvija";6,28
"ES53";"Illes Balears";14,45
"DEB2";"Trier";6,37
"UKK3";"Cornwall and Isles of Scilly";32,85
"UKC1";"Tees Valley and Durham";12,21
"ES42";"Castilla-La Mancha";8,08
"CH01";"Région lémanique";65,71
"EL64";"Sterea Ellada";0,99
"PT18";"Alentejo";3,41
"FR10";"Île de France";12,93
"PL42";"Zachodniopomorskie";8,8
"ES70";"Canarias";30,52
"FI1C";"Etelä-Suomi";10,41
"PL34";"Podlaskie";13,55
"BG41";"Yugozapaden";38,42
"FR62";"Midi-Pyrénées";4,04
"NL41";"Noord-Brabant";65,26
"CZ02";"Střední Čechy";20,02
"FR25";"Basse-Normandie";29,53
"BE21";"Prov. Antwerpen";43,18
"AT11";"Burgenland (AT)";6,91
"DE80";"Mecklenburg-Vorpommern";25,67
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";22,17
"AT32";"Salzburg";17,68
"ITI1";"Toscana";27,92
"CZ01";"Praha";30,97
"LU00";"Luxembourg";13,64
"ITH2";"Provincia Autonoma di Trento";12,48
"NO06";"Trøndelag";26,66
"EL41";"Voreio Aigaio";0,45
"FRY4";"Réunion";11,85
"FR71";"Rhône-Alpes";13,55
"ITH1";"Provincia Autonoma di Bolzano/Bozen";13,55
"SE32";"Mellersta Norrland";7,27
"ITF3";"Campania";13,38
"DE22";"Niederbayern";6,28
"ITF4";"Puglia";26,75
"EL62";"Ionia Nisia";0
"NL42";"Limburg (NL)";5,21
"ITI2";"Umbria";3,77
"RO42";"Vest";35,91
"CH02";"Espace Mittelland";22,71
"PT20";"Região Autónoma dos Açores";2,33
"BG32";"Severen tsentralen";0,54
"PL43";"Lubuskie";4,22
"PL52";"Opolskie";10,41
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";56,1
"BG42";"Yuzhen tsentralen";5,12
"NO05";"Vestlandet";4,67
"ES11";"Galicia";4,13
"NO02";"Hedmark og Oppland";9,78
"UKF2";"Leicestershire, Rutland and Northamptonshire";14,36
"RO31";"Sud - Muntenia";39,32
"UKE2";"North Yorkshire";37,34
"FRY2";"Martinique";42,91
"EE00";"Eesti";52,6
"NL21";"Overijssel";6,46
"DE92";"Hannover";4,67
"NL22";"Gelderland";5,57
"BE31";"Prov. Brabant Wallon";18,4
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";12,84
"DE50";"Bremen";34,74
"ES24";"Aragón";6,55
"ITC2";"Valle d'Aosta/Vallée d'Aoste";18,67
"DE40";"Brandenburg";21,81
"BE34";"Prov. Luxembourg (BE)";4,67
"ITF6";"Calabria";55,92
"DK05";"Nordjylland";3,95
"ITH5";"Emilia-Romagna";7,45
"FI19";"Länsi-Suomi";13,29
"FRY3";"Guyane";0
"BG34";"Yugoiztochen";3,68
"DE71";"Darmstadt";41,38
"ES21";"País Vasco";6,28
"NL31";"Utrecht";11,04
"DEA3";"Münster";2,96
"FRY1";"Guadeloupe";11,31
"SE23";"Västsverige";7,72
"DEA1";"Düsseldorf";3,68
"DE93";"Lüneburg";7,36
"NO01";"Oslo og Akershus";34,02
"UKC2";"Northumberland and Tyne and Wear";7,72
"PL22";"Śląskie";27,02
"UKN0";"Northern Ireland";50,99
"ES23";"La Rioja";8,98
"DED4";"Chemnitz";5,83
"BE23";"Prov. Oost-Vlaanderen";7,09
"PL31";"Lubelskie";50,99
"UKJ2";"Surrey, East and West Sussex";30,88
"UKE1";"East Yorkshire and Northern Lincolnshire";53,32
"LT00";"Lietuva";54,49
"ES22";"Comunidad Foral de Navarra";30,16
"EL51";"Anatoliki Makedonia, Thraki";28,37
"PT16";"Centro (PT)";31,33
"UKM6";"Highlands and Islands";54,22
"DEB3";"Rheinhessen-Pfalz";5,3
"UKF1";"Derbyshire and Nottinghamshire";3,32
"CY00";"Kýpros";51,8
"IE02";"Southern and Eastern";62,93
"UKG1";"Herefordshire, Worcestershire and Warwickshire";59,69
"FR22";"Picardie";2,96
"UKL2";"East Wales";22,44
"UKD7";"Merseyside";13,2
"NL23";"Flevoland";1,26
"FR21";"Champagne-Ardenne";11,76
"HU22";"Nyugat-Dunántúl";45,33
"NL34";"Zeeland";3,32
"EL53";"Dytiki Makedonia";0
"BE24";"Prov. Vlaams-Brabant";54,04
"BE35";"Prov. Namur";9,96
"SK02";"Západné Slovensko";32,41
"UKJ3";"Hampshire and Isle of Wight";16,16
"SK04";"Východné Slovensko";24,6
"FI1D";"Pohjois- ja Itä-Suomi";49,91
"ES41";"Castilla y León";11,31
"RO11";"Nord-Vest";47,76
"FR52";"Bretagne";55,48
"AT34";"Vorarlberg";6,91
"PL62";"Warmińsko-Mazurskie";30,25
"NL33";"Zuid-Holland";16,7
"NL11";"Groningen";47,31
"ITG1";"Sicilia";41,74
"DE11";"Stuttgart";6,28
"CH07";"Ticino";40,84
"IE01";"Border, Midland and Western";36,27
"FR51";"Pays de la Loire";5,3
"UKF3";"Lincolnshire";36,89
"DEA2";"Köln";11,13
"ES51";"Cataluña";40,66
"AT31";"Oberösterreich";2,33
"DE27";"Schwaben";7,63
"DE25";"Mittelfranken";50,99
"DE94";"Weser-Ems";1,97
"ITC4";"Lombardia";8,35
"FR24";"Centre";4,49
"CH06";"Zentralschweiz";56,01
"ES52";"Comunidad Valenciana";18,04
"AT21";"Kärnten";9,96
"UKD6";"Cheshire";39,68
"PL41";"Wielkopolskie";47,67
"FR72";"Auvergne";1,8
"RO41";"Sud-Vest Oltenia";3,05
"UKG2";"Shropshire and Staffordshire";11,13
"EL42";"Notio Aigaio";1,97
"PL11";"Łódzkie";24,87
"NL12";"Friesland (NL)";6,55
"BE25";"Prov. West-Vlaanderen";5,21
"HU32";"Észak-Alföld";30,34
"FI1B";"Helsinki-Uusimaa";48,38
"ES43";"Extremadura";13,64
"UKM2";"Eastern Scotland";61,67
"BG31";"Severozapaden";1,71
"NL13";"Drenthe";8,98
"HU33";"Dél-Alföld";16,61
"FI20";"Åland";8,44
"PL12";"Mazowieckie";56,73
"UKD1";"Cumbria";7,72
"RO21";"Nord-Est";27,47
"DEA5";"Arnsberg";5,3
"CZ03";"Jihozápad";23,07
"ITF5";"Basilicata";47,58
"DE73";"Kassel";31,78
"DE72";"Gießen";10,32
"DE30";"Berlin";63,55
"EL61";"Ipeiros";29,71
"UKL1";"West Wales and The Valleys";30,97
"AT33";"Tirol";19,39
"IS01";"Höfuðborgarsvæði";23,7
"BE32";"Prov. Hainaut";3,77
"SE22";"Sydsverige";23,61
"PL32";"Podkarpackie";2,96
"CZ06";"Jihovýchod";10,68
"DEA4";"Detmold";4,4
"UKG3";"West Midlands";12,66
"UKI1";"Inner London";60,5
"DED2";"Dresden";9,34
"SK03";"Stredné Slovensko";53,77
"ES61";"Andalucía";13,2
"DK02";"Sjælland";19,57
"EL43";"Kriti";51,62
"DE23";"Oberpfalz";9,25
"PL61";"Kujawsko-Pomorskie";45,06
"ES62";"Región de Murcia";16,07
"DED5";"Leipzig";37,25
"HU23";"Dél-Dunántúl";38,24
"ES30";"Comunidad de Madrid";10,95
"SK01";"Bratislavský kraj";34,02
"CH03";"Nordwestschweiz";45,24
"FR41";"Lorraine";12,48
"FR42";"Alsace";10,14
"PT11";"Norte";56,46
"DE91";"Braunschweig";14,36
"DK04";"Midtjylland";2,87
"FR30";"Nord - Pas-de-Calais";32,76
"MT00";"Malta";37,07
"EL65";"Peloponnisos";12,93
"FR61";"Aquitaine";8,62
"RO22";"Sud-Est";28,28
"BE33";"Prov. Liège";10,14
"AT13";"Wien";42,46
"UKJ4";"Kent";16,97
"CH04";"Zürich";63,91
"DK03";"Syddanmark";2,87
