"id","name","value"
"DEA1","Düsseldorf",11.69
"UKK2","Dorset and Somerset",18.06
"DE25","Mittelfranken",23.8
"FR63","Limousin",8.14
"ES43","Extremadura",6.58
"FR62","Midi-Pyrénées",11.06
"DED5","Leipzig",21.09
"ITC3","Liguria",25.68
"HU21","Közép-Dunántúl",8.56
"NO05","Vestlandet",21.82
"UKK3","Cornwall and Isles of Scilly",9.71
"UKF2","Leicestershire, Rutland and Northamptonshire",12.42
"LT00","Lietuva",11.48
"ITF6","Calabria",10.02
"DEB1","Koblenz",22.76
"FRY4","Réunion",10.65
"PL34","Podlaskie",7.1
"FI1B","Helsinki-Uusimaa",18.16
"BE21","Prov. Antwerpen",10.96
"UKK4","Devon",16.18
"PT16","Centro (PT)",11.48
"NO01","Oslo og Akershus",18.37
"HU22","Nyugat-Dunántúl",22.23
"NL42","Limburg (NL)",4.59
"NO04","Agder og Rogaland",26.51
"UKI1","Inner London",5.74
"PL61","Kujawsko-Pomorskie",9.71
"FRY3","Guyane",0
"DEE0","Sachsen-Anhalt",14.41
"FR53","Poitou-Charentes",13.47
"ITH3","Veneto",23.38
"AT21","Kärnten",12.94
"ITF2","Molise",15.76
"DE13","Freiburg",36.01
"DK05","Nordjylland",11.17
"DE71","Darmstadt",14.93
"DE73","Kassel",15.55
"DE91","Braunschweig",12.84
"SE32","Mellersta Norrland",11.59
"PT30","Região Autónoma da Madeira",0.73
"CZ06","Jihovýchod",23.17
"BG34","Yugoiztochen",4.7
"ES53","Illes Balears",11.59
"RO11","Nord-Vest",21.4
"SI03","Zahodna Slovenija",15.03
"RO12","Centru",18.37
"NL11","Groningen",13.05
"SE23","Västsverige",13.26
"PL43","Lubuskie",5.85
"CH04","Zürich",27.45
"BE35","Prov. Namur",11.59
"DE40","Brandenburg",14.72
"UKE4","West Yorkshire",15.76
"UKE2","North Yorkshire",11.06
"UKH1","East Anglia",6.58
"AT11","Burgenland (AT)",24.01
"BE23","Prov. Oost-Vlaanderen",6.89
"PL12","Mazowieckie",15.55
"CH01","Région lémanique",13.15
"DEF0","Schleswig-Holstein",19.62
"DEG0","Thüringen",23.59
"RO42","Vest",9.29
"SE22","Sydsverige",9.81
"FR83","Corse",3.76
"CH02","Espace Mittelland",17.43
"FI19","Länsi-Suomi",16.08
"CH06","Zentralschweiz",27.66
"BG41","Yugozapaden",16.7
"FR41","Lorraine",12.32
"RO21","Nord-Est",12.63
"FR26","Bourgogne",16.6
"ES23","La Rioja",13.88
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",17.12
"AT32","Salzburg",25.78
"FRY2","Martinique",2.4
"ES70","Canarias",10.44
"CH07","Ticino",12.42
"ITG2","Sardegna",10.54
"FR23","Haute-Normandie",11.9
"UKD3","Greater Manchester",13.36
"UKD6","Cheshire",7.31
"UKL1","West Wales and The Valleys",14.51
"PL21","Małopolskie",25.68
"DE72","Gießen",25.68
"ES62","Región de Murcia",10.65
"IS01","Höfuðborgarsvæði",14.93
"DE26","Unterfranken",16.7
"EL43","Kriti",6.89
"HU31","Észak-Magyarország",23.38
"HU33","Dél-Alföld",17.75
"NO07","Nord-Norge",7.72
"UKD7","Merseyside",7.31
"DEA4","Detmold",32.46
"DE24","Oberfranken",25.57
"DEB2","Trier",13.67
"ITF4","Puglia",17.75
"HU10","Közép-Magyarország",23.59
"NO02","Hedmark og Oppland",17.75
"UKE1","East Yorkshire and Northern Lincolnshire",9.19
"NO03","Sør-Østlandet",13.78
"UKF1","Derbyshire and Nottinghamshire",9.29
"RO41","Sud-Vest Oltenia",1.77
"UKD1","Cumbria",9.92
"FR82","Provence-Alpes-Côte d'Azur",14.3
"ITF3","Campania",10.96
"EL30","Attiki",7.93
"DE23","Oberpfalz",25.89
"CY00","Kýpros",6.26
"UKH2","Bedfordshire and Hertfordshire",12.21
"FR61","Aquitaine",10.33
"ITI3","Marche",26.2
"ITI2","Umbria",14.61
"EL62","Ionia Nisia",0.52
"FI1C","Etelä-Suomi",14.2
"ES64","Ciudad Autónoma de Melilla",0.42
"EL42","Notio Aigaio",0
"AT13","Wien",23.49
"ES24","Aragón",10.54
"DK02","Sjælland",13.05
"FI20","Åland",1.04
"IE01","Border, Midland and Western",12.73
"UKJ4","Kent",10.65
"PL32","Podkarpackie",10.75
"PT15","Algarve",7.41
"ITI1","Toscana",31.52
"IE02","Southern and Eastern",8.98
"FR10","Île de France",15.55
"FR81","Languedoc-Roussillon",13.15
"FRY1","Guadeloupe",2.71
"UKM3","South Western Scotland",14.72
"BE22","Prov. Limburg (BE)",19.52
"UKI2","Outer London",14.3
"NL22","Gelderland",9.6
"FR72","Auvergne",7.72
"ITH1","Provincia Autonoma di Bolzano/Bozen",27.77
"DE30","Berlin",13.26
"SE11","Stockholm",5.22
"NL41","Noord-Brabant",10.96
"AT34","Vorarlberg",17.85
"ITC4","Lombardia",19.62
"AT22","Steiermark",20.04
"HR03","Jadranska Hrvatska",7.52
"EL64","Sterea Ellada",0.84
"ITH4","Friuli-Venezia Giulia",17.95
"DEA2","Köln",12.84
"LU00","Luxembourg",10.33
"EL65","Peloponnisos",3.44
"NL31","Utrecht",9.5
"BG32","Severen tsentralen",1.46
"PT11","Norte",11.27
"DE93","Lüneburg",17.33
"DK04","Midtjylland",19.42
"ES30","Comunidad de Madrid",8.87
"UKG2","Shropshire and Staffordshire",16.7
"UKM6","Highlands and Islands",8.98
"BE31","Prov. Brabant Wallon",3.13
"CZ07","Střední Morava",13.78
"MT00","Malta",17.01
"DED2","Dresden",17.33
"SE31","Norra Mellansverige",22.55
"DK03","Syddanmark",26.51
"FR21","Champagne-Ardenne",17.12
"PL31","Lubelskie",9.71
"UKJ3","Hampshire and Isle of Wight",9.92
"UKG1","Herefordshire, Worcestershire and Warwickshire",19.42
"FR43","Franche-Comté",18.58
"ES22","Comunidad Foral de Navarra",16.18
"ITG1","Sicilia",9.29
"SK03","Stredné Slovensko",9.92
"BG33","Severoiztochen",4.49
"SK01","Bratislavský kraj",16.91
"BE33","Prov. Liège",10.75
"PL41","Wielkopolskie",9.19
"DE50","Bremen",24.74
"UKC2","Northumberland and Tyne and Wear",9.19
"CZ08","Moravskoslezsko",13.47
"FR71","Rhône-Alpes",8.66
"SE33","Övre Norrland",15.34
"UKJ2","Surrey, East and West Sussex",9.81
"FR24","Centre",10.44
"UKL2","East Wales",11.38
"FR52","Bretagne",10.33
"FR25","Basse-Normandie",10.96
"DE22","Niederbayern",30.79
"ES61","Andalucía",8.35
"AT31","Oberösterreich",28.81
"ES41","Castilla y León",14.2
"NO06","Trøndelag",11.48
"CZ03","Jihozápad",12.11
"DEA5","Arnsberg",29.12
"UKG3","West Midlands",16.7
"EL63","Dytiki Ellada",1.36
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",6.16
"LV00","Latvija",5.64
"PL52","Opolskie",9.29
"PL42","Zachodniopomorskie",13.99
"ITI4","Lazio",15.14
"FR42","Alsace",18.58
"EE00","Eesti",21.82
"SI04","Vzhodna Slovenija",13.78
"NL34","Zeeland",6.99
"DED4","Chemnitz",29.96
"UKH3","Essex",13.15
"UKF3","Lincolnshire",21.92
"DE92","Hannover",14.93
"PL63","Pomorskie",7.41
"ES52","Comunidad Valenciana",12.63
"SK04","Východné Slovensko",13.99
"RO32","Bucureşti - Ilfov",7.41
"ITF5","Basilicata",17.85
"ES21","País Vasco",27.56
"NL21","Overijssel",8.25
"NL33","Zuid-Holland",10.33
"UKM5","North Eastern Scotland",6.68
"DE12","Karlsruhe",26.3
"PL51","Dolnośląskie",12.73
"ITF1","Abruzzo",18.16
"DE80","Mecklenburg-Vorpommern",12.84
"ES13","Cantabria",8.56
"DE11","Stuttgart",33.82
"ES12","Principado de Asturias",18.37
"UKD4","Lancashire",24.32
"HU32","Észak-Alföld",6.58
"PL22","Śląskie",14.41
"PT18","Alentejo",11.9
"EL51","Anatoliki Makedonia, Thraki",1.98
"ES11","Galicia",6.68
"ITC1","Piemonte",24.53
"DEB3","Rheinhessen-Pfalz",12.63
"RO22","Sud-Est",1.67
"EL54","Thessalia",3.03
"ITC2","Valle d'Aosta/Vallée d'Aoste",3.97
"DE27","Schwaben",38.94
"BE24","Prov. Vlaams-Brabant",11.8
"SE21","Småland med öarna",23.28
"DK01","Hovedstaden",5.01
"AT33","Tirol",20.04
"FR22","Picardie",11.9
"DEA3","Münster",15.55
"NL23","Flevoland",4.49
"HR04","Kontinentalna Hrvatska",8.66
"DE14","Tübingen",37.27
"NL13","Drenthe",10.96
"BE34","Prov. Luxembourg (BE)",6.05
"AT12","Niederösterreich",23.7
"CZ01","Praha",13.78
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",6.05
"EL53","Dytiki Makedonia",0
"BE32","Prov. Hainaut",6.89
"UKE3","South Yorkshire",16.28
"UKC1","Tees Valley and Durham",8.04
"ES51","Cataluña",13.47
"EL41","Voreio Aigaio",0.1
"PT20","Região Autónoma dos Açores",0.84
"EL52","Kentriki Makedonia",20.56
"PL62","Warmińsko-Mazurskie",8.77
"EL61","Ipeiros",2.4
"IS02","Landsbyggð",6.37
"PL11","Łódzkie",5.64
"ITH2","Provincia Autonoma di Trento",21.92
"HU23","Dél-Dunántúl",14.09
"DE60","Hamburg",14.51
"BG42","Yuzhen tsentralen",2.4
"UKM2","Eastern Scotland",16.49
"CZ05","Severovýchod",25.16
"CZ04","Severozápad",11.27
"FR51","Pays de la Loire",15.34
"DE94","Weser-Ems",25.99
"CH05","Ostschweiz",23.28
"SK02","Západné Slovensko",10.86
"RO31","Sud - Muntenia",17.75
"BE25","Prov. West-Vlaanderen",13.57
"CH03","Nordwestschweiz",9.6
"SE12","Östra Mellansverige",20.56
"FR30","Nord - Pas-de-Calais",13.67
"BG31","Severozapaden",1.15
"DEC0","Saarland",22.13
"PT17","Lisboa",10.96
"PL33","Świętokrzyskie",5.01
"NL12","Friesland (NL)",5.85
"ES42","Castilla-La Mancha",8.04
"UKN0","Northern Ireland",17.22
"CZ02","Střední Čechy",16.39
"FI1D","Pohjois- ja Itä-Suomi",16.49
"ITH5","Emilia-Romagna",27.87
"DE21","Oberbayern",30.58
