"id";"name";"value"
"UKE2";"North Yorkshire";8,04
"PL42";"Zachodniopomorskie";2,36
"DE93";"Lüneburg";9,15
"FRY3";"Guyane";0
"FR41";"Lorraine";4,44
"ITG1";"Sicilia";1,53
"NL13";"Drenthe";4,85
"ES22";"Comunidad Foral de Navarra";1,53
"ITI2";"Umbria";5,13
"NL11";"Groningen";4,44
"UKJ3";"Hampshire and Isle of Wight";3,19
"DE60";"Hamburg";4,16
"HU33";"Dél-Alföld";0,55
"FR30";"Nord - Pas-de-Calais";10,12
"ES12";"Principado de Asturias";1,66
"NO07";"Nord-Norge";1,11
"DE13";"Freiburg";5,13
"PL63";"Pomorskie";2,36
"FR63";"Limousin";2,22
"RO11";"Nord-Vest";0,69
"ITF2";"Molise";1,39
"UKK3";"Cornwall and Isles of Scilly";3,61
"BE25";"Prov. West-Vlaanderen";9,85
"UKD7";"Merseyside";6,52
"FR43";"Franche-Comté";5,41
"ES52";"Comunidad Valenciana";8,32
"FRY1";"Guadeloupe";0,28
"FR52";"Bretagne";2,64
"PT17";"Lisboa";3,47
"BE21";"Prov. Antwerpen";10,96
"ITH4";"Friuli-Venezia Giulia";12,07
"RO32";"Bucureşti - Ilfov";2,36
"ES21";"País Vasco";10,4
"BG32";"Severen tsentralen";1,8
"HR03";"Jadranska Hrvatska";0,28
"DE72";"Gießen";6,66
"EL61";"Ipeiros";0,42
"NL21";"Overijssel";7,07
"BE34";"Prov. Luxembourg (BE)";2,08
"HU22";"Nyugat-Dunántúl";0,97
"CH03";"Nordwestschweiz";3,33
"DE22";"Niederbayern";8,46
"SE22";"Sydsverige";4,02
"PT15";"Algarve";0,83
"CH05";"Ostschweiz";14,42
"CH06";"Zentralschweiz";8,18
"LU00";"Luxembourg";5,83
"UKM2";"Eastern Scotland";7,49
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";11,23
"DE80";"Mecklenburg-Vorpommern";8,04
"UKH3";"Essex";3,88
"RO21";"Nord-Est";1,8
"AT12";"Niederösterreich";10,82
"ITI3";"Marche";9,43
"EL52";"Kentriki Makedonia";3,74
"UKM5";"North Eastern Scotland";0,97
"AT11";"Burgenland (AT)";5,96
"CH01";"Région lémanique";1,94
"DEE0";"Sachsen-Anhalt";2,77
"NL31";"Utrecht";5,55
"FRY2";"Martinique";0
"ITH5";"Emilia-Romagna";18,31
"UKD6";"Cheshire";8,88
"ES23";"La Rioja";1,66
"UKL2";"East Wales";4,3
"ES41";"Castilla y León";3,19
"NL42";"Limburg (NL)";12,34
"DE21";"Oberbayern";1,53
"IS01";"Höfuðborgarsvæði";6,8
"UKK2";"Dorset and Somerset";4,16
"ES64";"Ciudad Autónoma de Melilla";0,14
"DE30";"Berlin";7,07
"ITH3";"Veneto";19,83
"DE50";"Bremen";3,74
"DE94";"Weser-Ems";7,07
"AT34";"Vorarlberg";8,74
"PL32";"Podkarpackie";2,77
"UKM6";"Highlands and Islands";3,19
"CY00";"Kýpros";0,97
"PL22";"Śląskie";4,72
"PL34";"Podlaskie";1,94
"ITF5";"Basilicata";2,77
"PT11";"Norte";4,85
"UKC1";"Tees Valley and Durham";5,41
"FI19";"Länsi-Suomi";11,65
"PL12";"Mazowieckie";5,96
"DK01";"Hovedstaden";3,19
"AT33";"Tirol";2,77
"BG33";"Severoiztochen";0,97
"ITH1";"Provincia Autonoma di Bolzano/Bozen";6,52
"CH07";"Ticino";4,3
