"id";"name";"value"
"ES30";"Comunidad de Madrid";2,57
"UKL1";"West Wales and The Valleys";4,5
"FR41";"Lorraine";20,9
"PT16";"Centro (PT)";11,9
"DE12";"Karlsruhe";9
"CY00";"Kýpros";4,66
"EL42";"Notio Aigaio";0
"BG42";"Yuzhen tsentralen";0,64
"SK01";"Bratislavský kraj";18,81
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";22,03
"PL22";"Śląskie";24,92
"CZ08";"Moravskoslezsko";5,14
"DEE0";"Sachsen-Anhalt";21,38
"ITF1";"Abruzzo";6,91
"ITC3";"Liguria";13,5
"BE35";"Prov. Namur";15,59
"SI03";"Zahodna Slovenija";19,77
"PL62";"Warmińsko-Mazurskie";1,61
"EL41";"Voreio Aigaio";1,45
"SK03";"Stredné Slovensko";4,98
"DE91";"Braunschweig";8,04
"ES53";"Illes Balears";3,86
"FR63";"Limousin";10,93
"UKJ3";"Hampshire and Isle of Wight";9,49
"BG34";"Yugoiztochen";0,96
"UKH1";"East Anglia";1,77
"LV00";"Latvija";3,7
"DE92";"Hannover";9,16
"BG32";"Severen tsentralen";0,32
"FR72";"Auvergne";1,93
"ES62";"Región de Murcia";10,13
"DE11";"Stuttgart";4,02
"NL33";"Zuid-Holland";25,4
"CH02";"Espace Mittelland";2,25
"RO42";"Vest";8,68
"RO41";"Sud-Vest Oltenia";0,64
"NL22";"Gelderland";30,23
"FR81";"Languedoc-Roussillon";12,06
"EE00";"Eesti";13,5
"DE72";"Gießen";15,92
"BG33";"Severoiztochen";10,93
"UKC1";"Tees Valley and Durham";23,47
"RO22";"Sud-Est";0,8
"UKD6";"Cheshire";11,25
"UKF2";"Leicestershire, Rutland and Northamptonshire";12,06
"UKH3";"Essex";6,91
"DEB2";"Trier";6,91
"AT12";"Niederösterreich";13,83
"DE26";"Unterfranken";9,81
"HU33";"Dél-Alföld";16,08
"DK03";"Syddanmark";9,97
"HU10";"Közép-Magyarország";10,77
"ITG1";"Sicilia";4,98
"NL11";"Groningen";11,09
"SE12";"Östra Mellansverige";13,99
"CH04";"Zürich";9,81
"UKI2";"Outer London";3,54
"DE30";"Berlin";2,57
"ES61";"Andalucía";22,67
"IS02";"Landsbyggð";8,68
"CZ04";"Severozápad";20,74
"DE27";"Schwaben";8,84
"UKM6";"Highlands and Islands";1,77
"PL63";"Pomorskie";3,38
"FR22";"Picardie";12,86
"UKI1";"Inner London";0,64
"UKE1";"East Yorkshire and Northern Lincolnshire";29,1
"NO05";"Vestlandet";3,54
"RO31";"Sud - Muntenia";7,07
"UKG2";"Shropshire and Staffordshire";3,86
"IE01";"Border, Midland and Western";10,45
"FR71";"Rhône-Alpes";6,27
"DK04";"Midtjylland";6,43
"FR26";"Bourgogne";12,38
"UKE2";"North Yorkshire";14,31
"PL33";"Świętokrzyskie";2,41
"AT13";"Wien";11,58
"AT34";"Vorarlberg";11,9
"CZ03";"Jihozápad";16,88
"ITH3";"Veneto";21,86
"FRY1";"Guadeloupe";0,8
"PL32";"Podkarpackie";13,83
"FR24";"Centre";4,34
"ES11";"Galicia";6,59
"UKJ4";"Kent";9,65
"DEA1";"Düsseldorf";13,34
"ES42";"Castilla-La Mancha";9,32
"BG41";"Yugozapaden";4,98
"DE73";"Kassel";17,52
"LU00";"Luxembourg";13,02
"BE33";"Prov. Liège";21,54
"BE21";"Prov. Antwerpen";2,41
"HU23";"Dél-Dunántúl";3,05
"ITF6";"Calabria";13,67
"NL23";"Flevoland";4,02
"UKM3";"South Western Scotland";12,54
"ITC1";"Piemonte";13,5
"ITH5";"Emilia-Romagna";6,27
"BE23";"Prov. Oost-Vlaanderen";18,49
"DE22";"Niederbayern";13,34
"FI19";"Länsi-Suomi";21,86
"DEA4";"Detmold";19,77
"DED5";"Leipzig";18,49
"SE32";"Mellersta Norrland";4,18
"ITC4";"Lombardia";18,49
"UKD1";"Cumbria";1,45
"ITH2";"Provincia Autonoma di Trento";6,59
"SE33";"Övre Norrland";18,49
"DE21";"Oberbayern";1,29
"DK01";"Hovedstaden";7,23
"ES41";"Castilla y León";19,29
"FR42";"Alsace";15,76
"PT17";"Lisboa";11,9
"ITC2";"Valle d'Aosta/Vallée d'Aoste";1,29
"NO06";"Trøndelag";11,25
"PL43";"Lubuskie";10,93
"DEA3";"Münster";26,37
"FR62";"Midi-Pyrénées";4,82
"RO32";"Bucureşti - Ilfov";8,2
"ES13";"Cantabria";10,29
"EL43";"Kriti";0,48
"ITF5";"Basilicata";10,13
"CZ02";"Střední Čechy";8,04
"BE25";"Prov. West-Vlaanderen";12,86
"EL62";"Ionia Nisia";0
"ITH4";"Friuli-Venezia Giulia";25,88
"FRY3";"Guyane";0
"IS01";"Höfuðborgarsvæði";3,54
"UKM5";"North Eastern Scotland";1,61
"SK02";"Západné Slovensko";15,27
"PT11";"Norte";10,29
"PT15";"Algarve";4,18
"NL21";"Overijssel";14,95
"ES51";"Cataluña";6,75
"AT32";"Salzburg";12,7
"SE21";"Småland med öarna";15,59
"NL41";"Noord-Brabant";10,45
"SE31";"Norra Mellansverige";4,82
"PL52";"Opolskie";1,13
"CZ06";"Jihovýchod";20,26
"EL30";"Attiki";8,84
"UKK4";"Devon";8,84
"UKN0";"Northern Ireland";3,86
"HU22";"Nyugat-Dunántúl";2,89
"EL63";"Dytiki Ellada";13,02
"ITI2";"Umbria";22,19
"NO07";"Nord-Norge";2,25
"DEA2";"Köln";14,79
"DE71";"Darmstadt";4,18
"ITG2";"Sardegna";5,47
"FR23";"Haute-Normandie";1,29
"CH06";"Zentralschweiz";10,45
"DE50";"Bremen";11,74
"FR83";"Corse";1,45
"BE22";"Prov. Limburg (BE)";13,18
"PL31";"Lubelskie";3,7
"FR10";"Île de France";9,49
"DE40";"Brandenburg";2,89
"UKL2";"East Wales";7,88
"FI20";"Åland";0
"DE94";"Weser-Ems";16,24
"ES21";"País Vasco";17,68
"ES23";"La Rioja";7,56
"FRY4";"Réunion";4,18
"CZ07";"Střední Morava";22,19
"NL12";"Friesland (NL)";13,02
"HU31";"Észak-Magyarország";10,29
"FRY2";"Martinique";0,32
"EL52";"Kentriki Makedonia";7,23
"RO11";"Nord-Vest";1,29
"DE24";"Oberfranken";11,58
"FI1C";"Etelä-Suomi";27,49
"HU21";"Közép-Dunántúl";10,13
"FR21";"Champagne-Ardenne";6,11
"PL11";"Łódzkie";11,41
"DE93";"Lüneburg";14,31
"DE80";"Mecklenburg-Vorpommern";17,2
"NL31";"Utrecht";10,13
"ITI1";"Toscana";18,01
"DE14";"Tübingen";13,02
"PL61";"Kujawsko-Pomorskie";14,47
"ITF4";"Puglia";7,72
"NL13";"Drenthe";9,81
"DEB1";"Koblenz";19,61
"BG31";"Severozapaden";0
"CZ05";"Severovýchod";16,08
"ITF3";"Campania";4,66
"FI1B";"Helsinki-Uusimaa";10,29
"UKH2";"Bedfordshire and Hertfordshire";9,49
"ES64";"Ciudad Autónoma de Melilla";0,16
"UKG3";"West Midlands";12,38
"DED2";"Dresden";5,47
"PT18";"Alentejo";15,43
"UKE3";"South Yorkshire";7,07
"PL34";"Podlaskie";1,29
"ES12";"Principado de Asturias";12,06
"FR51";"Pays de la Loire";26,05
"SE23";"Västsverige";11,09
"DE13";"Freiburg";2,41
"DED4";"Chemnitz";8,68
"MT00";"Malta";0,96
"LT00";"Lietuva";7,23
"PL42";"Zachodniopomorskie";3,05
"SE22";"Sydsverige";5,95
"SK04";"Východné Slovensko";8,84
"UKK2";"Dorset and Somerset";3,86
"ITH1";"Provincia Autonoma di Bolzano/Bozen";8,68
"NO03";"Sør-Østlandet";17,52
"ITF2";"Molise";2,89
"UKJ2";"Surrey, East and West Sussex";10,93
"NO04";"Agder og Rogaland";22,19
"DEC0";"Saarland";14,95
"UKD7";"Merseyside";3,7
"AT21";"Kärnten";5,14
"UKG1";"Herefordshire, Worcestershire and Warwickshire";22,67
