"id";"name";"value"
"PL32";"Podkarpackie";30,6
"DK05";"Nordjylland";1,86
"AT21";"Kärnten";2,73
"FR83";"Corse";7,54
"DEE0";"Sachsen-Anhalt";17,27
"ITF4";"Puglia";34,64
"SE12";"Östra Mellansverige";27,43
"DE94";"Weser-Ems";2,4
"UKC2";"Northumberland and Tyne and Wear";28,31
"FR30";"Nord - Pas-de-Calais";26,89
"UKJ3";"Hampshire and Isle of Wight";25,25
"ITH4";"Friuli-Venezia Giulia";16,83
"ES64";"Ciudad Autónoma de Melilla";0
"PL12";"Mazowieckie";38,14
"BE23";"Prov. Oost-Vlaanderen";32,35
"CZ01";"Praha";23,17
"FR24";"Centre";15,08
"UKF1";"Derbyshire and Nottinghamshire";4,15
"PL63";"Pomorskie";21,53
"SE33";"Övre Norrland";9,51
"SK01";"Bratislavský kraj";19,02
"AT22";"Steiermark";11,26
"FR63";"Limousin";27,87
"CZ08";"Moravskoslezsko";28,96
"MT00";"Malta";15,52
"UKF3";"Lincolnshire";8,85
"NL34";"Zeeland";13,22
"ITH1";"Provincia Autonoma di Bolzano/Bozen";18,47
"RO31";"Sud - Muntenia";1,86
"DE21";"Oberbayern";10,71
"ES13";"Cantabria";18,36
"UKK4";"Devon";11,58
"ES43";"Extremadura";3,17
"NO06";"Trøndelag";14,86
"RO12";"Centru";2,62
"PL61";"Kujawsko-Pomorskie";20,87
"CZ02";"Střední Čechy";18,91
"ITC3";"Liguria";21,53
"NL13";"Drenthe";26,89
"BE34";"Prov. Luxembourg (BE)";12,46
"ITI4";"Lazio";20,11
"DE26";"Unterfranken";21,64
"DEC0";"Saarland";29,73
"DK02";"Sjælland";26,34
"EL41";"Voreio Aigaio";0,11
"UKI1";"Inner London";11,91
"DK01";"Hovedstaden";22,51
"ITI3";"Marche";9,51
"PL51";"Dolnośląskie";4,81
"EL65";"Peloponnisos";5,14
"FR62";"Midi-Pyrénées";11,48
"NL12";"Friesland (NL)";19,13
"UKH3";"Essex";18,47
"CH07";"Ticino";22,08
"FR21";"Champagne-Ardenne";16,28
"PL43";"Lubuskie";6,12
"ITC4";"Lombardia";23,72
"PL21";"Małopolskie";15,52
"DE93";"Lüneburg";24,81
"HU23";"Dél-Dunántúl";8,74
"ES12";"Principado de Asturias";16,94
"UKL1";"West Wales and The Valleys";34,1
"FI1D";"Pohjois- ja Itä-Suomi";9,51
"EL63";"Dytiki Ellada";3,39
"SE21";"Småland med öarna";6,56
"DE14";"Tübingen";17,81
"UKF2";"Leicestershire, Rutland and Northamptonshire";27,43
"CH06";"Zentralschweiz";33,33
"ES61";"Andalucía";30,6
"UKG1";"Herefordshire, Worcestershire and Warwickshire";26,23
"DE23";"Oberpfalz";18,03
"UKK3";"Cornwall and Isles of Scilly";12,13
"UKM5";"North Eastern Scotland";7,87
"EL61";"Ipeiros";4,7
"FR10";"Île de France";4,26
"PT15";"Algarve";17,7
"CH05";"Ostschweiz";19,13
"RO22";"Sud-Est";0,55
"AT12";"Niederösterreich";14,21
"CY00";"Kýpros";19,23
"UKD7";"Merseyside";18,47
"DE60";"Hamburg";26,45
"HU31";"Észak-Magyarország";18,47
"UKI2";"Outer London";23,61
"PL11";"Łódzkie";23,72
"PL62";"Warmińsko-Mazurskie";22,4
"DE25";"Mittelfranken";5,57
"EE00";"Eesti";20,77
"SE32";"Mellersta Norrland";10,6
"ES51";"Cataluña";29,73
"AT13";"Wien";34,21
"NL23";"Flevoland";5,46
"ITF2";"Molise";20,44
"ITC2";"Valle d'Aosta/Vallée d'Aoste";10,16
"ES30";"Comunidad de Madrid";7,76
"RO42";"Vest";2,51
"FR71";"Rhône-Alpes";26,01
"NL31";"Utrecht";22,4
"PL42";"Zachodniopomorskie";14,75
"RO32";"Bucureşti - Ilfov";22,51
"FR43";"Franche-Comté";14,54
"CH01";"Région lémanique";36,61
"NO05";"Vestlandet";6,78
"ITF3";"Campania";23,28
"PL22";"Śląskie";22,62
"BE33";"Prov. Liège";29,95
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";5,68
"FR26";"Bourgogne";25,03
"PT20";"Região Autónoma dos Açores";0,11
"UKE1";"East Yorkshire and Northern Lincolnshire";21,09
"ES23";"La Rioja";23,72
"BG31";"Severozapaden";5,9
"ES52";"Comunidad Valenciana";20,87
"UKK2";"Dorset and Somerset";17,05
"IE02";"Southern and Eastern";34,86
"DK03";"Syddanmark";10,93
"UKM3";"South Western Scotland";27,65
"NL41";"Noord-Brabant";5,57
"ES11";"Galicia";28,09
"UKJ4";"Kent";12,46
"FR25";"Basse-Normandie";5,79
"SK04";"Východné Slovensko";21,42
"DE72";"Gießen";20,22
"CZ07";"Střední Morava";32,24
"EL43";"Kriti";15,19
"DEA3";"Münster";11,15
"ITF6";"Calabria";17,27
"UKG2";"Shropshire and Staffordshire";12,9
"FR53";"Poitou-Charentes";14,1
"ITI1";"Toscana";17,81
"SK02";"Západné Slovensko";15,3
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";32,13
"NL33";"Zuid-Holland";17,7
"EL64";"Sterea Ellada";0,44
"ES53";"Illes Balears";33,99
"PL34";"Podlaskie";21,86
"FI1B";"Helsinki-Uusimaa";4,37
"CZ06";"Jihovýchod";16,72
"DE73";"Kassel";11,91
"CH04";"Zürich";36,07
"NL21";"Overijssel";28,31
"PT17";"Lisboa";34,1
"UKJ2";"Surrey, East and West Sussex";15,3
"PT30";"Região Autónoma da Madeira";1,86
"PT16";"Centro (PT)";30,38
"EL53";"Dytiki Makedonia";0,11
"BG32";"Severen tsentralen";11,15
"SK03";"Stredné Slovensko";30,05
"BE22";"Prov. Limburg (BE)";18,14
