"id","name","value"
"ITF1","Abruzzo",8.6
"ITF3","Campania",7.51
"CZ01","Praha",16.32
"UKE2","North Yorkshire",10.34
"UKG1","Herefordshire, Worcestershire and Warwickshire",20.35
"RO21","Nord-Est",6.09
"NO07","Nord-Norge",3.92
"UKH1","East Anglia",3.7
"ITC3","Liguria",20.35
"BG34","Yugoiztochen",9.79
"DEF0","Schleswig-Holstein",33.62
"FR61","Aquitaine",42.44
"CZ07","Střední Morava",31.77
"DEA1","Düsseldorf",20.24
"HR04","Kontinentalna Hrvatska",23.07
"NL22","Gelderland",7.73
"BE33","Prov. Liège",10.45
"RO31","Sud - Muntenia",39.5
"UKF2","Leicestershire, Rutland and Northamptonshire",33.08
"DE21","Oberbayern",37.21
"EL65","Peloponnisos",1.09
"ES41","Castilla y León",4.24
"ITH2","Provincia Autonoma di Trento",16.65
"HR03","Jadranska Hrvatska",37.54
"SK01","Bratislavský kraj",14.15
"EL30","Attiki",3.48
"DK02","Sjælland",32.86
"AT34","Vorarlberg",5.55
"PT18","Alentejo",5.66
"DE26","Unterfranken",29.16
"FR22","Picardie",30.47
"ITC4","Lombardia",12.95
"FR26","Bourgogne",14.8
"CZ06","Jihovýchod",25.24
"ES13","Cantabria",11.75
"ES22","Comunidad Foral de Navarra",13.17
"NL31","Utrecht",5.11
"PL63","Pomorskie",11.32
"SE23","Västsverige",29.05
"ES70","Canarias",21.33
"FR10","Île de France",21.65
"FI20","Åland",0.54
"UKK4","Devon",13.6
"ES11","Galicia",15.34
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",38.52
"NL42","Limburg (NL)",14.25
"DK05","Nordjylland",14.04
"AT33","Tirol",16
"LU00","Luxembourg",25.57
"ITF5","Basilicata",12.51
"LT00","Lietuva",6.09
"CH04","Zürich",7.18
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",38.19
"PL42","Zachodniopomorskie",6.96
"ITI2","Umbria",17.85
"DE12","Karlsruhe",37.76
"FR63","Limousin",5.66
"PT16","Centro (PT)",5.33
"EL41","Voreio Aigaio",0.98
"DE94","Weser-Ems",18.17
"BE24","Prov. Vlaams-Brabant",14.69
"IE01","Border, Midland and Western",3.92
"FR24","Centre",30.36
"DEB3","Rheinhessen-Pfalz",24.27
"BE21","Prov. Antwerpen",15.34
"HU21","Közép-Dunántúl",24.37
"RO42","Vest",7.83
"BG32","Severen tsentralen",1.74
"ITI1","Toscana",20.13
"BE22","Prov. Limburg (BE)",14.58
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",17.41
"PT20","Região Autónoma dos Açores",9.03
"PT30","Região Autónoma da Madeira",0.33
"EL51","Anatoliki Makedonia, Thraki",28.84
"FR30","Nord - Pas-de-Calais",10.66
"ES51","Cataluña",22.52
"CH06","Zentralschweiz",13.82
"UKM3","South Western Scotland",23.61
"DE22","Niederbayern",47.44
"HU32","Észak-Alföld",13.17
"BE31","Prov. Brabant Wallon",6.09
"PL12","Mazowieckie",12.4
"DE91","Braunschweig",34.71
"DE73","Kassel",38.41
"UKK3","Cornwall and Isles of Scilly",12.08
"UKF1","Derbyshire and Nottinghamshire",16.43
"SE12","Östra Mellansverige",7.07
"NL34","Zeeland",15.67
"CZ05","Severovýchod",23.29
"CH05","Ostschweiz",6.96
"PL43","Lubuskie",7.73
"ITG2","Sardegna",5.77
"AT21","Kärnten",32.32
"CZ08","Moravskoslezsko",7.51
"ES23","La Rioja",23.5
"FI1B","Helsinki-Uusimaa",8.38
"FI1D","Pohjois- ja Itä-Suomi",6.31
"NL12","Friesland (NL)",31.01
"IS01","Höfuðborgarsvæði",13.6
"EL52","Kentriki Makedonia",14.91
"CY00","Kýpros",13.6
"AT32","Salzburg",9.9
"RO32","Bucureşti - Ilfov",5.77
"UKM2","Eastern Scotland",16.97
"AT31","Oberösterreich",36.45
"UKD7","Merseyside",4.57
"ES12","Principado de Asturias",14.04
"CZ04","Severozápad",6.42
"AT13","Wien",13.93
"DED2","Dresden",37.87
"CH03","Nordwestschweiz",9.03
"FI1C","Etelä-Suomi",10.66
"PL21","Małopolskie",21
"NO05","Vestlandet",18.17
"UKJ4","Kent",6.64
"EL63","Dytiki Ellada",12.3
"PT15","Algarve",5.55
"ES43","Extremadura",1.09
"DEB2","Trier",6.64
"SE21","Småland med öarna",7.94
"DEC0","Saarland",17.63
"CH02","Espace Mittelland",12.84
"DK01","Hovedstaden",16.1
"EL61","Ipeiros",0.54
"BE35","Prov. Namur",5.77
"PL51","Dolnośląskie",15.34
"PL22","Śląskie",17.52
"NL41","Noord-Brabant",3.16
"CH07","Ticino",17.74
"HU23","Dél-Dunántúl",31.34
"UKD1","Cumbria",6.2
"SE33","Övre Norrland",2.72
"ES62","Región de Murcia",20.67
"DK04","Midtjylland",21.44
"SE22","Sydsverige",6.31
"ES21","País Vasco",33.73
"ES64","Ciudad Autónoma de Melilla",0
"DE11","Stuttgart",48.97
"MT00","Malta",27.42
"PT11","Norte",13.28
"DE40","Brandenburg",10.01
"PL31","Lubelskie",3.59
"DE23","Oberpfalz",10.23
"FR53","Poitou-Charentes",19.04
"DEA2","Köln",17.52
"BE32","Prov. Hainaut",6.75
"DE93","Lüneburg",42.33
"SE11","Stockholm",2.94
"DE25","Mittelfranken",38.74
"BG31","Severozapaden",0.22
"AT11","Burgenland (AT)",41.89
"CZ02","Střední Čechy",24.27
"UKE4","West Yorkshire",8.05
"FR71","Rhône-Alpes",42.33
"HU10","Közép-Magyarország",24.59
"UKD3","Greater Manchester",15.89
"DE13","Freiburg",10.23
"PT17","Lisboa",14.58
"ITG1","Sicilia",6.64
"EL54","Thessalia",11.1
"SK03","Stredné Slovensko",3.81
"ITI3","Marche",6.75
"ITH1","Provincia Autonoma di Bolzano/Bozen",6.42
"ITH5","Emilia-Romagna",17.19
"UKN0","Northern Ireland",4.46
"ITF4","Puglia",17.08
"FR51","Pays de la Loire",42.76
"UKE3","South Yorkshire",31.12
"UKF3","Lincolnshire",6.75
"UKD6","Cheshire",24.48
"FRY1","Guadeloupe",26.33
"AT22","Steiermark",47.12
"UKL2","East Wales",2.39
"FR25","Basse-Normandie",14.36
"FR72","Auvergne",2.5
"DE14","Tübingen",27.31
"NO03","Sør-Østlandet",42.76
"DK03","Syddanmark",24.48
"FR23","Haute-Normandie",34.39
"HU22","Nyugat-Dunántúl",5.22
"UKC2","Northumberland and Tyne and Wear",26.99
"BE23","Prov. Oost-Vlaanderen",7.94
"LV00","Latvija",14.25
"UKM6","Highlands and Islands",11.97
"FI19","Länsi-Suomi",9.47
"DE71","Darmstadt",18.72
"SK04","Východné Slovensko",30.58
"PL33","Świętokrzyskie",29.92
"RO11","Nord-Vest",33.41
"ITI4","Lazio",6.64
"SE31","Norra Mellansverige",9.36
"RO12","Centru",3.16
"DE27","Schwaben",26.33
"ES24","Aragón",7.29
"DED5","Leipzig",25.57
"UKL1","West Wales and The Valleys",14.8
"DED4","Chemnitz",43.09
"FR52","Bretagne",12.08
"PL11","Łódzkie",6.75
"DE72","Gießen",28.18
"FR42","Alsace",45.59
"UKI1","Inner London",1.63
"RO22","Sud-Est",9.58
"NL33","Zuid-Holland",20.89
"AT12","Niederösterreich",15.56
"PL34","Podlaskie",1.85
"FR62","Midi-Pyrénées",8.81
"UKD4","Lancashire",13.71
"NO02","Hedmark og Oppland",19.7
"ES53","Illes Balears",2.94
"ES52","Comunidad Valenciana",5.77
"PL52","Opolskie",6.64
"SK02","Západné Slovensko",23.94
"BG41","Yugozapaden",31.77
"EL42","Notio Aigaio",0
"DEA5","Arnsberg",24.59
"FR43","Franche-Comté",37.54
"FRY3","Guyane",0
"UKE1","East Yorkshire and Northern Lincolnshire",10.66
"BE25","Prov. West-Vlaanderen",5.33
"DE80","Mecklenburg-Vorpommern",24.59
"HU31","Észak-Magyarország",30.03
"DE92","Hannover",9.79
"UKJ3","Hampshire and Isle of Wight",14.15
"DEA4","Detmold",6.42
"EE00","Eesti",10.77
"NL11","Groningen",5.01
"BE34","Prov. Luxembourg (BE)",4.35
"FRY4","Réunion",14.04
"CH01","Région lémanique",2.61
"SE32","Mellersta Norrland",24.16
"DE30","Berlin",8.16
"ITH3","Veneto",9.79
"ES61","Andalucía",11.53
"ITF2","Molise",37.43
"UKJ2","Surrey, East and West Sussex",24.7
"SI03","Zahodna Slovenija",7.07
"BG33","Severoiztochen",0.98
"EL62","Ionia Nisia",0
"ITH4","Friuli-Venezia Giulia",7.51
"BG42","Yuzhen tsentralen",1.96
"ES42","Castilla-La Mancha",15.23
"UKI2","Outer London",4.79
"DEE0","Sachsen-Anhalt",47.99
"FRY2","Martinique",0
"PL41","Wielkopolskie",6.53
"UKG3","West Midlands",30.79
"UKC1","Tees Valley and Durham",32.97
"EL53","Dytiki Makedonia",0.65
"DEG0","Thüringen",37.54
"DEB1","Koblenz",5.11
"ITC2","Valle d'Aosta/Vallée d'Aoste",4.46
"RO41","Sud-Vest Oltenia",10.77
"PL62","Warmińsko-Mazurskie",4.35
"NL21","Overijssel",19.59
"UKK2","Dorset and Somerset",4.68
"DEA3","Münster",22.2
"NO06","Trøndelag",43.53
"NO04","Agder og Rogaland",28.07
"UKM5","North Eastern Scotland",4.13
"PL32","Podkarpackie",17.19
"ES30","Comunidad de Madrid",15.89
"UKH3","Essex",7.07
"EL43","Kriti",2.18
"HU33","Dél-Alföld",4.46
"FR83","Corse",9.58
"ITF6","Calabria",31.23
"ITC1","Piemonte",29.27
"FR81","Languedoc-Roussillon",14.8
"SI04","Vzhodna Slovenija",24.59
"IE02","Southern and Eastern",4.46
"DE50","Bremen",40.59
"IS02","Landsbyggð",11.64
"NL23","Flevoland",4.9
"DE60","Hamburg",35.26
"FR21","Champagne-Ardenne",13.71
"FR41","Lorraine",16.21
"UKH2","Bedfordshire and Hertfordshire",6.42
"UKG2","Shropshire and Staffordshire",30.03
"NL13","Drenthe",4.68
"PL61","Kujawsko-Pomorskie",13.93
"FR82","Provence-Alpes-Côte d'Azur",7.29
"NO01","Oslo og Akershus",44.72
"DE24","Oberfranken",29.27
"EL64","Sterea Ellada",9.79
"CZ03","Jihozápad",10.01
