"id","name","value"
"BG41","Yugozapaden",25.96
"ES11","Galicia",11.15
"FR21","Champagne-Ardenne",11.41
"CZ04","Severozápad",17.24
"FRY1","Guadeloupe",12.56
"UKE1","East Yorkshire and Northern Lincolnshire",8.08
"DE94","Weser-Ems",15.83
"DE27","Schwaben",33.27
"EE00","Eesti",7.18
"DEG0","Thüringen",33.97
"BG34","Yugoiztochen",3.4
"UKM5","North Eastern Scotland",3.65
"ITF1","Abruzzo",23.85
"DEC0","Saarland",21.15
"EL42","Notio Aigaio",0
"AT21","Kärnten",38.46
"NL31","Utrecht",6.15
"NO07","Nord-Norge",5.71
"DEA5","Arnsberg",28.72
"AT22","Steiermark",41.35
"RO32","Bucureşti - Ilfov",10.26
"FR22","Picardie",30.58
"ES52","Comunidad Valenciana",13.01
"MT00","Malta",22.24
"DE22","Niederbayern",40.45
"SE33","Övre Norrland",5.77
"FR41","Lorraine",13.65
"EL43","Kriti",10.83
"HR03","Jadranska Hrvatska",23.14
"EL64","Sterea Ellada",4.36
"AT31","Oberösterreich",39.81
"PL31","Lubelskie",13.97
"CY00","Kýpros",5.83
"EL61","Ipeiros",1.99
"ITC2","Valle d'Aosta/Vallée d'Aoste",7.5
"HU31","Észak-Magyarország",20.26
"CH02","Espace Mittelland",18.53
"UKI1","Inner London",10.9
"DE30","Berlin",20.32
"PL52","Opolskie",10.96
"PL41","Wielkopolskie",9.62
"DK02","Sjælland",27.56
"UKI2","Outer London",9.42
"BG32","Severen tsentralen",3.46
"FR24","Centre",34.81
"ES51","Cataluña",9.36
"FI19","Länsi-Suomi",10.9
"ITH3","Veneto",13.59
"NO01","Oslo og Akershus",27.76
"PL12","Mazowieckie",8.01
"EL54","Thessalia",6.03
"CH06","Zentralschweiz",11.41
"SK03","Stredné Slovensko",7.05
"DE25","Mittelfranken",36.92
"ES21","País Vasco",29.17
"NL32","Noord-Holland",10.64
"UKH3","Essex",23.65
"FI1C","Etelä-Suomi",11.79
"DK01","Hovedstaden",4.62
"DED5","Leipzig",20.13
"FI1D","Pohjois- ja Itä-Suomi",8.85
"ITF2","Molise",17.69
"DE60","Hamburg",26.79
"BE35","Prov. Namur",8.65
"NL12","Friesland (NL)",18.46
"EL41","Voreio Aigaio",0.32
"PT15","Algarve",5.45
"FR53","Poitou-Charentes",26.67
"FR72","Auvergne",6.03
"DE26","Unterfranken",37.82
"AT32","Salzburg",19.62
"ITC1","Piemonte",31.99
"CZ05","Severovýchod",25.32
"CZ03","Jihozápad",15.26
"DE23","Oberpfalz",28.21
"SI04","Vzhodna Slovenija",28.97
"RO31","Sud - Muntenia",25.32
"SE23","Västsverige",37.56
"FR83","Corse",1.28
"ES24","Aragón",14.74
"CH01","Région lémanique",7.95
"UKL2","East Wales",5.83
"UKJ4","Kent",12.82
"DEA1","Düsseldorf",16.35
"ES42","Castilla-La Mancha",12.76
"PL62","Warmińsko-Mazurskie",6.99
"FRY3","Guyane",0
"CH03","Nordwestschweiz",15.83
"DE71","Darmstadt",26.35
"NL11","Groningen",4.1
"DE11","Stuttgart",44.29
"FR82","Provence-Alpes-Côte d'Azur",11.6
"FR23","Haute-Normandie",30.06
"FR61","Aquitaine",23.72
"NO04","Agder og Rogaland",23.08
"EL63","Dytiki Ellada",12.18
"UKG3","West Midlands",42.63
"ITC3","Liguria",22.31
"PT20","Região Autónoma dos Açores",0.96
"NL34","Zeeland",13.72
"LV00","Latvija",9.42
"AT11","Burgenland (AT)",21.41
"DE93","Lüneburg",27.31
"ITI3","Marche",7.5
"PT16","Centro (PT)",10.58
"UKJ3","Hampshire and Isle of Wight",8.4
"BE31","Prov. Brabant Wallon",12.63
"AT34","Vorarlberg",20
"ES43","Extremadura",2.56
"ITF3","Campania",16.92
"UKK4","Devon",9.62
"SE22","Sydsverige",5.77
"SE11","Stockholm",6.6
"PL21","Małopolskie",26.67
"ITF6","Calabria",30.77
"UKL1","West Wales and The Valleys",11.03
"PL32","Podkarpackie",7.44
"PL51","Dolnośląskie",10.51
"NO05","Vestlandet",16.47
"AT12","Niederösterreich",14.04
"LT00","Lietuva",7.63
"UKD7","Merseyside",4.87
"UKH2","Bedfordshire and Hertfordshire",13.53
"FR42","Alsace",36.03
"CH05","Ostschweiz",15.38
"CZ01","Praha",23.01
"HU33","Dél-Alföld",9.42
"HU22","Nyugat-Dunántúl",12.82
"CZ02","Střední Čechy",33.4
"PL42","Zachodniopomorskie",19.23
"ES22","Comunidad Foral de Navarra",13.72
"DE92","Hannover",17.24
"HR04","Kontinentalna Hrvatska",25.06
