"id";"name";"value"
"DE73";"Kassel";9,62
"BG41";"Yugozapaden";0,96
"PT15";"Algarve";0,48
"PL63";"Pomorskie";22,12
"DE26";"Unterfranken";16,35
"BG32";"Severen tsentralen";11,54
"DE91";"Braunschweig";3,37
"FR30";"Nord - Pas-de-Calais";31,73
"NO01";"Oslo og Akershus";3,85
"DEC0";"Saarland";18,75
"UKD7";"Merseyside";34,13
"UKI1";"Inner London";2,88
"CH01";"Région lémanique";2,4
"EL43";"Kriti";1,44
"NL22";"Gelderland";34,62
"FR63";"Limousin";5,29
"NL12";"Friesland (NL)";19,23
"FR52";"Bretagne";7,69
"ES23";"La Rioja";32,69
"SK03";"Stredné Slovensko";17,79
"PL42";"Zachodniopomorskie";10,1
"DE24";"Oberfranken";30,29
"SK01";"Bratislavský kraj";19,23
"HU31";"Észak-Magyarország";3,37
"IE01";"Border, Midland and Western";5,29
"ES30";"Comunidad de Madrid";3,85
"UKE4";"West Yorkshire";10,1
"EL61";"Ipeiros";0,48
"FR53";"Poitou-Charentes";5,77
"SI04";"Vzhodna Slovenija";2,4
"BE32";"Prov. Hainaut";33,17
"UKE2";"North Yorkshire";25
"CZ02";"Střední Čechy";13,46
"NO03";"Sør-Østlandet";11,06
"RO22";"Sud-Est";17,31
"UKK4";"Devon";2,88
"FR42";"Alsace";25,96
"PT30";"Região Autónoma da Madeira";0
"FR81";"Languedoc-Roussillon";27,88
"UKE1";"East Yorkshire and Northern Lincolnshire";9,62
"IS01";"Höfuðborgarsvæði";7,21
"PL11";"Łódzkie";11,54
"DEE0";"Sachsen-Anhalt";15,87
"BE35";"Prov. Namur";18,75
"PL31";"Lubelskie";10,1
"FR24";"Centre";2,88
"DEB1";"Koblenz";15,38
"SK02";"Západné Slovensko";12,5
"RO11";"Nord-Vest";21,15
"FR22";"Picardie";30,29
"AT11";"Burgenland (AT)";18,75
"BE33";"Prov. Liège";22,12
"DEA3";"Münster";38,46
"DK03";"Syddanmark";16,83
"DED4";"Chemnitz";15,87
"SK04";"Východné Slovensko";4,33
"UKG1";"Herefordshire, Worcestershire and Warwickshire";21,63
"UKG3";"West Midlands";5,29
"CZ07";"Střední Morava";16,83
"DE94";"Weser-Ems";12,5
"DE40";"Brandenburg";4,81
"ES13";"Cantabria";1,44
"UKH1";"East Anglia";1,92
"LV00";"Latvija";5,77
"AT31";"Oberösterreich";43,27
"PL32";"Podkarpackie";2,4
"CZ03";"Jihozápad";14,42
"HU33";"Dél-Alföld";0,96
"NL21";"Overijssel";41,83
"ITF5";"Basilicata";2,4
"ITF6";"Calabria";8,17
"HU10";"Közép-Magyarország";0
"CZ06";"Jihovýchod";11,54
"FR26";"Bourgogne";15,87
"EL42";"Notio Aigaio";0
"FR10";"Île de France";8,65
"DE12";"Karlsruhe";1,92
"UKD3";"Greater Manchester";27,4
"ES24";"Aragón";5,29
"FRY4";"Réunion";0,48
"UKF1";"Derbyshire and Nottinghamshire";0,48
"FRY3";"Guyane";0
"BE24";"Prov. Vlaams-Brabant";29,81
"DK02";"Sjælland";8,65
"EL52";"Kentriki Makedonia";5,29
"AT21";"Kärnten";3,37
"RO42";"Vest";0,48
"ES11";"Galicia";7,21
"RO21";"Nord-Est";29,33
"SE23";"Västsverige";12,02
"EL62";"Ionia Nisia";0,48
"ES64";"Ciudad Autónoma de Melilla";0
"UKI2";"Outer London";1,44
"ITC1";"Piemonte";34,13
"ES51";"Cataluña";25,96
"DE13";"Freiburg";0,96
"DE14";"Tübingen";7,69
"AT33";"Tirol";11,54
"ITI2";"Umbria";2,4
"NO04";"Agder og Rogaland";2,88
"AT32";"Salzburg";12,98
"EL65";"Peloponnisos";1,92
"UKC2";"Northumberland and Tyne and Wear";12,98
"CZ04";"Severozápad";8,65
"SE12";"Östra Mellansverige";5,77
"LT00";"Lietuva";14,42
"DE30";"Berlin";0,96
"RO12";"Centru";0
"DEB3";"Rheinhessen-Pfalz";41,35
"EL54";"Thessalia";24,52
"FRY2";"Martinique";0
"PT20";"Região Autónoma dos Açores";0
"FR71";"Rhône-Alpes";24,52
"ITH3";"Veneto";21,63
"FR51";"Pays de la Loire";4,81
"PL41";"Wielkopolskie";13,94
"ES12";"Principado de Asturias";5,29
"AT13";"Wien";5,77
"ITI3";"Marche";17,31
"PL43";"Lubuskie";29,81
"SI03";"Zahodna Slovenija";2,88
"DE23";"Oberpfalz";12,02
"RO31";"Sud - Muntenia";7,21
"UKK3";"Cornwall and Isles of Scilly";30,77
"NL11";"Groningen";5,77
"DE93";"Lüneburg";37,5
"PL62";"Warmińsko-Mazurskie";12,5
"BE34";"Prov. Luxembourg (BE)";38,94
"PL21";"Małopolskie";12,02
"DK01";"Hovedstaden";5,29
"DE25";"Mittelfranken";6,25
"BG34";"Yugoiztochen";0,48
"RO32";"Bucureşti - Ilfov";15,38
"LU00";"Luxembourg";19,23
"HU21";"Közép-Dunántúl";0,96
"DE21";"Oberbayern";1,44
"FR72";"Auvergne";39,42
"FR41";"Lorraine";31,25
"PL51";"Dolnośląskie";2,4
"SE11";"Stockholm";6,25
"AT12";"Niederösterreich";8,65
"PL52";"Opolskie";6,25
"DE92";"Hannover";38,46
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";32,21
"ITC2";"Valle d'Aosta/Vallée d'Aoste";1,92
"FI1D";"Pohjois- ja Itä-Suomi";5,77
"NL23";"Flevoland";35,1
"PL12";"Mazowieckie";5,77
"UKH3";"Essex";4,33
"DE60";"Hamburg";22,6
"FR43";"Franche-Comté";4,33
"UKM5";"North Eastern Scotland";1,44
"ITG1";"Sicilia";2,88
"ES22";"Comunidad Foral de Navarra";5,29
"DE72";"Gießen";19,23
"CZ05";"Severovýchod";28,85
"DEA4";"Detmold";12,5
"CH07";"Ticino";10,1
"NL13";"Drenthe";9,62
"ES61";"Andalucía";15,38
"DEA2";"Köln";39,42
"SE21";"Småland med öarna";9,62
"BE21";"Prov. Antwerpen";36,54
"CH03";"Nordwestschweiz";17,31
"BG31";"Severozapaden";0
"DK05";"Nordjylland";16,35
"PT11";"Norte";37,02
"ITF2";"Molise";6,73
"BG42";"Yuzhen tsentralen";4,81
"RO41";"Sud-Vest Oltenia";0,96
"UKN0";"Northern Ireland";9,62
"EL51";"Anatoliki Makedonia, Thraki";3,85
"ITH1";"Provincia Autonoma di Bolzano/Bozen";17,31
"DE27";"Schwaben";14,42
"BE25";"Prov. West-Vlaanderen";30,29
"NL42";"Limburg (NL)";44,23
"ES43";"Extremadura";11,54
"DE22";"Niederbayern";12,02
"DEF0";"Schleswig-Holstein";34,62
"CZ08";"Moravskoslezsko";4,33
"FI19";"Länsi-Suomi";11,06
"EL41";"Voreio Aigaio";0
"ITG2";"Sardegna";20,19
"FI20";"Åland";0,48
"ITH5";"Emilia-Romagna";37,02
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";2,88
"UKC1";"Tees Valley and Durham";42,31
"DEA5";"Arnsberg";18,75
"NL41";"Noord-Brabant";0,48
"UKK2";"Dorset and Somerset";5,77
"EL64";"Sterea Ellada";5,29
"UKM3";"South Western Scotland";10,1
"PT17";"Lisboa";16,35
"UKD1";"Cumbria";37,5
"FR25";"Basse-Normandie";17,79
"PT16";"Centro (PT)";32,21
"UKE3";"South Yorkshire";2,88
"DED5";"Leipzig";28,85
"CY00";"Kýpros";4,33
"DE11";"Stuttgart";3,85
"SE22";"Sydsverige";6,25
"UKJ3";"Hampshire and Isle of Wight";8,65
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";0,96
"UKD4";"Lancashire";37,02
"FI1C";"Etelä-Suomi";34,62
"ES62";"Región de Murcia";19,23
"FI1B";"Helsinki-Uusimaa";24,04
"FR23";"Haute-Normandie";39,9
"ES42";"Castilla-La Mancha";6,25
"DK04";"Midtjylland";0
"ITH4";"Friuli-Venezia Giulia";5,29
"UKF3";"Lincolnshire";15,38
"NO06";"Trøndelag";2,88
"NL32";"Noord-Holland";36,06
"PL34";"Podlaskie";8,17
"ITI1";"Toscana";2,4
"PT18";"Alentejo";13,46
"DE50";"Bremen";10,58
"ES53";"Illes Balears";3,37
"DEG0";"Thüringen";1,44
"UKL2";"East Wales";8,65
"BG33";"Severoiztochen";1,44
"UKH2";"Bedfordshire and Hertfordshire";2,88
"HU32";"Észak-Alföld";4,33
"FR61";"Aquitaine";37,5
"UKM6";"Highlands and Islands";0,96
"EL63";"Dytiki Ellada";8,17
"NL31";"Utrecht";3,85
"ES70";"Canarias";1,92
"NL34";"Zeeland";38,94
"HU22";"Nyugat-Dunántúl";0,96
"EL53";"Dytiki Makedonia";1,44
"IS02";"Landsbyggð";8,17
"UKD6";"Cheshire";26,44
"ITC4";"Lombardia";40,87
"DE80";"Mecklenburg-Vorpommern";15,38
"CH02";"Espace Mittelland";0,96
"ITH2";"Provincia Autonoma di Trento";3,85
"UKJ2";"Surrey, East and West Sussex";4,33
"EL30";"Attiki";20,67
"HU23";"Dél-Dunántúl";0
"DE71";"Darmstadt";26,44
"ES52";"Comunidad Valenciana";32,69
"PL33";"Świętokrzyskie";21,15
"PL22";"Śląskie";26,92
"FR62";"Midi-Pyrénées";5,77
"UKJ4";"Kent";5,29
"IE02";"Southern and Eastern";7,69
"MT00";"Malta";7,69
"EE00";"Eesti";2,4
"AT22";"Steiermark";2,4
"FRY1";"Guadeloupe";0
"ITI4";"Lazio";17,79
"ES41";"Castilla y León";24,52
"SE33";"Övre Norrland";5,29
"CH06";"Zentralschweiz";38,46
"BE31";"Prov. Brabant Wallon";41,35
"ITF3";"Campania";23,08
"BE23";"Prov. Oost-Vlaanderen";42,79
"CZ01";"Praha";24,52
"DED2";"Dresden";30,77
"PL61";"Kujawsko-Pomorskie";22,6
"DEB2";"Trier";35,1
"NO02";"Hedmark og Oppland";0,96
"CH05";"Ostschweiz";20,19
"FR83";"Corse";3,37
"BE22";"Prov. Limburg (BE)";43,75
"AT34";"Vorarlberg";14,9
"ITF1";"Abruzzo";28,37
"NO07";"Nord-Norge";2,4
"FR82";"Provence-Alpes-Côte d'Azur";1,92
"CH04";"Zürich";29,81
"SE32";"Mellersta Norrland";19,23
"DEA1";"Düsseldorf";39,42
"SE31";"Norra Mellansverige";21,63
"UKL1";"West Wales and The Valleys";25
"UKM2";"Eastern Scotland";2,4
"ITF4";"Puglia";24,52
"NO05";"Vestlandet";1,44
"ITC3";"Liguria";0,48
"ES21";"País Vasco";7,21
"UKG2";"Shropshire and Staffordshire";11,06
"HR03";"Jadranska Hrvatska";0,96
"FR21";"Champagne-Ardenne";28,85
"UKF2";"Leicestershire, Rutland and Northamptonshire";10,58
"HR04";"Kontinentalna Hrvatska";1,92
