"id";"name";"value"
"ITI4";"Lazio";13,67
"IS01";"Höfuðborgarsvæði";43,53
"AT22";"Steiermark";18,48
"NO05";"Vestlandet";50,52
"FR62";"Midi-Pyrénées";10,65
"EL42";"Notio Aigaio";0
"PL42";"Zachodniopomorskie";13,26
"UKJ2";"Surrey, East and West Sussex";10,86
"LT00";"Lietuva";11,69
"BG32";"Severen tsentralen";2,61
"BE33";"Prov. Liège";8,77
"NL41";"Noord-Brabant";11,48
"DEA4";"Detmold";34,03
"EL64";"Sterea Ellada";1,57
"FR81";"Languedoc-Roussillon";40,29
"UKH3";"Essex";11,06
"SE33";"Övre Norrland";17,22
"BG33";"Severoiztochen";7,31
"DE25";"Mittelfranken";52,3
"BG41";"Yugozapaden";19,62
"UKK3";"Cornwall and Isles of Scilly";10,13
"FI1D";"Pohjois- ja Itä-Suomi";13,88
"ES53";"Illes Balears";41,13
"EL52";"Kentriki Makedonia";19,31
"BE31";"Prov. Brabant Wallon";4,8
"SE22";"Sydsverige";11,38
"CZ03";"Jihozápad";11,69
"BE21";"Prov. Antwerpen";8,98
"DE91";"Braunschweig";14,61
"ITF2";"Molise";47,7
"ITC3";"Liguria";55,01
"HR03";"Jadranska Hrvatska";35,28
"NO02";"Hedmark og Oppland";48,12
"DE24";"Oberfranken";27,04
"BE23";"Prov. Oost-Vlaanderen";6,16
"NL31";"Utrecht";7,2
"UKK4";"Devon";43,74
"SE32";"Mellersta Norrland";15,24
"UKM3";"South Western Scotland";11,69
"DE60";"Hamburg";13,78
"BE35";"Prov. Namur";10,86
"CZ02";"Střední Čechy";17,22
"ES70";"Canarias";39,25
"CZ01";"Praha";12,84
"FR42";"Alsace";21,82
"FR63";"Limousin";6,78
"NO04";"Agder og Rogaland";57,62
"ES11";"Galicia";8,77
"NL34";"Zeeland";8,04
"HU22";"Nyugat-Dunántúl";48,96
"SK02";"Západné Slovensko";9,71
"FR22";"Picardie";43,11
"PT18";"Alentejo";11,59
"CZ04";"Severozápad";12,63
"PT20";"Região Autónoma dos Açores";1,57
