"id","name","value"
"ITC3","Liguria",9.51
"NO04","Agder og Rogaland",2.4
"UKI1","Inner London",6.23
"EL30","Attiki",12.35
"ITH3","Veneto",16.17
"EL61","Ipeiros",5.14
"ITI2","Umbria",17.92
"CH06","Zentralschweiz",24.26
"DE50","Bremen",6.78
"PL63","Pomorskie",15.96
"ITC2","Valle d'Aosta/Vallée d'Aoste",10.49
"ES43","Extremadura",4.15
"LT00","Lietuva",14.64
"HU21","Közép-Dunántúl",2.62
"RO41","Sud-Vest Oltenia",0.44
"PT17","Lisboa",22.95
"PL61","Kujawsko-Pomorskie",22.62
"PT20","Região Autónoma dos Açores",0.11
"BG31","Severozapaden",0.22
"HU33","Dél-Alföld",6.01
"MT00","Malta",8.85
"RO32","Bucureşti - Ilfov",17.16
"BE25","Prov. West-Vlaanderen",8.63
"UKC2","Northumberland and Tyne and Wear",24.04
"FR22","Picardie",19.02
"EL52","Kentriki Makedonia",13.77
"ES41","Castilla y León",20.77
"SK03","Stredné Slovensko",20
"ES21","País Vasco",7.65
"IE02","Southern and Eastern",22.08
"FI1C","Etelä-Suomi",18.47
"ITI4","Lazio",9.73
"PL51","Dolnośląskie",3.83
"FR26","Bourgogne",21.42
"ITC4","Lombardia",20.55
"EL54","Thessalia",8.09
"DEF0","Schleswig-Holstein",23.93
"BE21","Prov. Antwerpen",11.48
"ES64","Ciudad Autónoma de Melilla",0
"CH03","Nordwestschweiz",13.33
"ES62","Región de Murcia",11.04
"UKG2","Shropshire and Staffordshire",5.9
"UKE4","West Yorkshire",23.83
"UKC1","Tees Valley and Durham",8.96
"PL62","Warmińsko-Mazurskie",16.39
"NO06","Trøndelag",8.63
"PL43","Lubuskie",6.01
"ITI1","Toscana",19.23
"UKE3","South Yorkshire",6.01
"DED2","Dresden",8.96
"DEA3","Münster",15.96
"DK03","Syddanmark",12.13
"AT11","Burgenland (AT)",7.1
"UKF3","Lincolnshire",8.09
"ITF4","Puglia",24.81
"FR63","Limousin",20
"UKM3","South Western Scotland",21.42
"BE35","Prov. Namur",21.42
"ES42","Castilla-La Mancha",13.44
"SE11","Stockholm",2.95
"UKD6","Cheshire",23.5
"CZ07","Střední Morava",19.23
"DE23","Oberpfalz",13.77
"DE25","Mittelfranken",3.93
"SE21","Småland med öarna",7.43
"ES22","Comunidad Foral de Navarra",5.03
"ES11","Galicia",17.27
"PL22","Śląskie",24.37
"RO11","Nord-Vest",4.26
"FR23","Haute-Normandie",17.27
"NL41","Noord-Brabant",5.36
"UKE2","North Yorkshire",23.72
"DE24","Oberfranken",6.78
"UKH3","Essex",6.78
"RO22","Sud-Est",3.17
"DE30","Berlin",20.55
"DE60","Hamburg",20.87
"FI1D","Pohjois- ja Itä-Suomi",2.73
"DK04","Midtjylland",0.98
"UKK1","Gloucestershire, Wiltshire and Bristol/Bath area",3.5
"AT32","Salzburg",18.47
"EL43","Kriti",9.29
"NO03","Sør-Østlandet",5.79
"ES61","Andalucía",18.8
"PL41","Wielkopolskie",10.38
"PL52","Opolskie",2.51
"DE71","Darmstadt",27.65
"DED4","Chemnitz",5.36
"EL53","Dytiki Makedonia",0.55
"LV00","Latvija",12.46
"UKK3","Cornwall and Isles of Scilly",8.74
"RO21","Nord-Est",13.44
"PL12","Mazowieckie",24.15
"PL21","Małopolskie",14.86
"NO07","Nord-Norge",13.88
"BE33","Prov. Liège",23.83
"DEA4","Detmold",3.5
"CH04","Zürich",25.25
"AT21","Kärnten",2.73
"DE13","Freiburg",19.67
"RO42","Vest",2.51
"FRY4","Réunion",11.37
"HU10","Közép-Magyarország",6.12
"SE32","Mellersta Norrland",5.03
"ITF1","Abruzzo",21.09
"FI20","Åland",0.87
"ES53","Illes Balears",21.75
"DEA5","Arnsberg",7.21
"SE33","Övre Norrland",3.83
"DE40","Brandenburg",6.89
"LU00","Luxembourg",12.35
"FR52","Bretagne",10.27
"UKM5","North Eastern Scotland",1.97
"EL64","Sterea Ellada",1.64
"ITH1","Provincia Autonoma di Bolzano/Bozen",5.14
"CZ01","Praha",18.58
"UKJ2","Surrey, East and West Sussex",15.3
"HU31","Észak-Magyarország",13.66
"DE73","Kassel",5.46
"FR51","Pays de la Loire",15.52
"DK05","Nordjylland",2.73
"DE72","Gießen",8.2
"AT22","Steiermark",6.12
"NL12","Friesland (NL)",8.09
"DE12","Karlsruhe",6.01
"UKF1","Derbyshire and Nottinghamshire",1.97
"EL63","Dytiki Ellada",4.59
"ES51","Cataluña",24.7
"FRY1","Guadeloupe",3.5
"IS02","Landsbyggð",15.85
"AT13","Wien",20.87
"NL34","Zeeland",17.16
"HU32","Észak-Alföld",9.4
"UKD7","Merseyside",13.11
"SE22","Sydsverige",6.89
"DEA1","Düsseldorf",14.21
"UKD4","Lancashire",23.17
"NO02","Hedmark og Oppland",8.09
"IE01","Border, Midland and Western",22.62
"SI03","Zahodna Slovenija",6.56
"UKL1","West Wales and The Valleys",20.66
"DK01","Hovedstaden",11.04
"DEG0","Thüringen",21.2
"EL51","Anatoliki Makedonia, Thraki",5.03
"ITF2","Molise",16.17
"PT15","Algarve",17.49
"ITC1","Piemonte",8.85
"DEB1","Koblenz",21.64
"ITG2","Sardegna",11.58
"BG42","Yuzhen tsentralen",2.4
"UKH2","Bedfordshire and Hertfordshire",14.1
"FR83","Corse",2.19
"PT11","Norte",30.27
"HU23","Dél-Dunántúl",2.73
"PL31","Lubelskie",19.02
"PT18","Alentejo",6.34
"CH01","Région lémanique",25.46
"DE11","Stuttgart",4.7
"ES12","Principado de Asturias",16.5
"PT16","Centro (PT)",20.77
"BG34","Yugoiztochen",1.53
"UKM6","Highlands and Islands",7.1
"FI1B","Helsinki-Uusimaa",7.87
"PL34","Podlaskie",15.3
"NL31","Utrecht",15.3
"ES23","La Rioja",14.32
"ITG1","Sicilia",17.92
"RO31","Sud - Muntenia",2.51
"UKL2","East Wales",15.41
"BE32","Prov. Hainaut",22.51
"CH05","Ostschweiz",11.91
"HR03","Jadranska Hrvatska",11.58
"NL32","Noord-Holland",7.98
"EL65","Peloponnisos",5.57
"HU22","Nyugat-Dunántúl",6.45
"FI19","Länsi-Suomi",4.15
"PL42","Zachodniopomorskie",16.83
"FRY3","Guyane",0
"UKN0","Northern Ireland",10.27
"DE80","Mecklenburg-Vorpommern",29.18
"ES52","Comunidad Valenciana",22.4
"FR10","Île de France",3.39
"UKG1","Herefordshire, Worcestershire and Warwickshire",19.34
"SE23","Västsverige",16.39
"CZ05","Severovýchod",21.64
"DEE0","Sachsen-Anhalt",7.1
"CZ04","Severozápad",5.14
"SK02","Západné Slovensko",14.21
"BE31","Prov. Brabant Wallon",24.59
"BG33","Severoiztochen",4.7
"PL32","Podkarpackie",15.96
"ES30","Comunidad de Madrid",2.73
"ITH4","Friuli-Venezia Giulia",17.38
"HR04","Kontinentalna Hrvatska",13.44
"NO05","Vestlandet",1.86
"BG32","Severen tsentralen",13.01
"FR72","Auvergne",8.96
"DEB2","Trier",7.1
"AT33","Tirol",10.93
"CZ08","Moravskoslezsko",20.87
"DEA2","Köln",15.96
"BG41","Yugozapaden",13.66
"UKI2","Outer London",17.7
"NL42","Limburg (NL)",22.19
"EL41","Voreio Aigaio",0.11
"IS01","Höfuðborgarsvæði",17.6
"FR42","Alsace",21.09
"NO01","Oslo og Akershus",13.33
"UKJ3","Hampshire and Isle of Wight",20.44
"SE31","Norra Mellansverige",6.34
"FRY2","Martinique",1.42
"DEB3","Rheinhessen-Pfalz",25.25
"UKJ4","Kent",6.89
"ITH2","Provincia Autonoma di Trento",17.49
"BE34","Prov. Luxembourg (BE)",8.96
"SI04","Vzhodna Slovenija",19.13
"PT30","Região Autónoma da Madeira",1.86
"ITF3","Campania",19.23
"DED5","Leipzig",21.64
"BE24","Prov. Vlaams-Brabant",19.23
"FR43","Franche-Comté",8.63
"AT31","Oberösterreich",8.85
"UKK2","Dorset and Somerset",17.6
"FR61","Aquitaine",24.7
"CZ06","Jihovýchod",11.15
"DK02","Sjælland",21.64
"CZ03","Jihozápad",5.46
"DE22","Niederbayern",5.36
"FR71","Rhône-Alpes",16.94
"FR21","Champagne-Ardenne",12.79
"FR81","Languedoc-Roussillon",16.94
"UKK4","Devon",6.23
"UKD1","Cumbria",16.5
"FR82","Provence-Alpes-Côte d'Azur",10.16
"SE12","Östra Mellansverige",14.32
"UKG3","West Midlands",5.25
"FR41","Lorraine",11.04
"FR30","Nord - Pas-de-Calais",18.91
"DE21","Oberbayern",3.61
"ES70","Canarias",21.09
"FR62","Midi-Pyrénées",4.92
"NL21","Overijssel",24.26
"NL23","Flevoland",8.2
"UKH1","East Anglia",7.76
"ES24","Aragón",13.44
"UKD3","Greater Manchester",26.01
"EE00","Eesti",15.41
"FR25","Basse-Normandie",6.99
"DE91","Braunschweig",8.2
"PL33","Świętokrzyskie",8.74
"ITH5","Emilia-Romagna",17.81
"CH02","Espace Mittelland",4.81
"BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",25.25
"UKF2","Leicestershire, Rutland and Northamptonshire",15.96
"ITF6","Calabria",11.8
"ITF5","Basilicata",2.95
"NL11","Groningen",22.84
"AT12","Niederösterreich",9.51
"RO12","Centru",2.62
"SK04","Východné Slovensko",16.5
"BE22","Prov. Limburg (BE)",15.41
"SK01","Bratislavský kraj",16.07
"NL13","Drenthe",15.08
"BE23","Prov. Oost-Vlaanderen",25.46
"ES13","Cantabria",16.61
"DE93","Lüneburg",22.4
"DE92","Hannover",8.2
"DE26","Unterfranken",21.42
"DEC0","Saarland",20.22
"EL62","Ionia Nisia",0.22
"FR24","Centre",15.63
"DE27","Schwaben",7.21
"NL22","Gelderland",21.86
"UKE1","East Yorkshire and Northern Lincolnshire",21.86
"CY00","Kýpros",13.01
"AT34","Vorarlberg",3.83
"EL42","Notio Aigaio",0.87
"FR53","Poitou-Charentes",9.07
"UKM2","Eastern Scotland",19.78
"ITI3","Marche",12.02
"PL11","Łódzkie",15.41
"CZ02","Střední Čechy",15.52
"UKJ1","Berkshire, Buckinghamshire and Oxfordshire",19.67
"CH07","Ticino",16.07
"DE14","Tübingen",6.23
"DE94","Weser-Ems",2.19
