"id";"name";"value"
"BE22";"Prov. Limburg (BE)";17,96
"EL42";"Notio Aigaio";0
"UKJ2";"Surrey, East and West Sussex";26,72
"SE33";"Övre Norrland";6,49
"DE26";"Unterfranken";42,93
"HR04";"Kontinentalna Hrvatska";16,07
"SE22";"Sydsverige";14,13
"DE92";"Hannover";38,24
"DE12";"Karlsruhe";48,35
"ES41";"Castilla y León";24,59
"ITH5";"Emilia-Romagna";41,72
"FRY4";"Réunion";1,45
"DK01";"Hovedstaden";2,42
"DEC0";"Saarland";26,91
"ITH2";"Provincia Autonoma di Trento";27,83
"PT16";"Centro (PT)";10,41
"PL21";"Małopolskie";35,24
"ES43";"Extremadura";4,21
"CH04";"Zürich";16,51
"BG42";"Yuzhen tsentralen";10,6
"ES30";"Comunidad de Madrid";5,86
"SE21";"Småland med öarna";23,04
"FI20";"Åland";0,1
"AT11";"Burgenland (AT)";15
"EL43";"Kriti";9,39
"ES22";"Comunidad Foral de Navarra";14,42
"NL21";"Overijssel";10,5
"DE22";"Niederbayern";47,63
"AT21";"Kärnten";24,88
"UKE3";"South Yorkshire";14,86
"UKJ4";"Kent";20,23
"DE23";"Oberpfalz";34,37
"PT11";"Norte";9,05
"FRY1";"Guadeloupe";6,73
"PL22";"Śląskie";29,19
"SI04";"Vzhodna Slovenija";27,93
"UKD4";"Lancashire";13,75
"FR23";"Haute-Normandie";39,06
"NL31";"Utrecht";6,29
"ES51";"Cataluña";6,68
"NL13";"Drenthe";4,7
"BG32";"Severen tsentralen";9,54
"DEA4";"Detmold";29,04
"DE40";"Brandenburg";13,17
"UKK3";"Cornwall and Isles of Scilly";12,15
"ITC4";"Lombardia";15,44
"DE50";"Bremen";20,09
"EL52";"Kentriki Makedonia";14,09
"MT00";"Malta";14,13
"UKD1";"Cumbria";13,5
"PT17";"Lisboa";5,13
"HU21";"Közép-Dunántúl";33,35
"PL34";"Podlaskie";2,42
"SK04";"Východné Slovensko";19,99
"NO03";"Sør-Østlandet";27,78
"DE93";"Lüneburg";32,24
"FRY2";"Martinique";0,34
"EL62";"Ionia Nisia";0,1
"NO05";"Vestlandet";13,79
"IE02";"Southern and Eastern";10,94
"AT12";"Niederösterreich";23,81
"ES53";"Illes Balears";7,94
"BG41";"Yugozapaden";22,51
"IS02";"Landsbyggð";6,34
"ES23";"La Rioja";15,88
"ES11";"Galicia";19,65
"EL54";"Thessalia";3
"PL62";"Warmińsko-Mazurskie";7,89
"NL42";"Limburg (NL)";4,74
"DK03";"Syddanmark";14,52
"DED4";"Chemnitz";34,17
"UKJ3";"Hampshire and Isle of Wight";11,08
"UKD6";"Cheshire";15,2
"ES42";"Castilla-La Mancha";12
"DEA2";"Köln";18,54
"HU10";"Közép-Magyarország";37,08
"DEB3";"Rheinhessen-Pfalz";23,04
"DK02";"Sjælland";15,63
"PL61";"Kujawsko-Pomorskie";4,4
"DEE0";"Sachsen-Anhalt";51,21
"DE11";"Stuttgart";56,82
"EE00";"Eesti";12,92
"SI03";"Zahodna Slovenija";19,12
"PT18";"Alentejo";7,99
"CH07";"Ticino";18,54
"UKL2";"East Wales";3,68
"ITF2";"Molise";20,28
"HU23";"Dél-Dunántúl";22,51
"BE35";"Prov. Namur";7,26
"RO42";"Vest";37,32
"BG34";"Yugoiztochen";2,9
"CZ03";"Jihozápad";25,8
"DE14";"Tübingen";48,45
"UKI1";"Inner London";9,1
"LV00";"Latvija";15
"DE72";"Gießen";24,78
"CZ05";"Severovýchod";21,01
"LT00";"Lietuva";7,21
"RO21";"Nord-Est";16,8
"UKI2";"Outer London";13,55
"BE23";"Prov. Oost-Vlaanderen";6,1
"DE21";"Oberbayern";52,32
"PL63";"Pomorskie";5,03
"HR03";"Jadranska Hrvatska";18,25
"PL11";"Łódzkie";11,52
"NO01";"Oslo og Akershus";21,25
"BE21";"Prov. Antwerpen";7,74
"DE71";"Darmstadt";19,65
"FR53";"Poitou-Charentes";25,94
"ITF1";"Abruzzo";28,56
"SK01";"Bratislavský kraj";8,71
"UKK2";"Dorset and Somerset";13,6
"UKM2";"Eastern Scotland";12,54
"ITF3";"Campania";21,64
"ES12";"Principado de Asturias";8,81
"CZ08";"Moravskoslezsko";19,6
"UKE1";"East Yorkshire and Northern Lincolnshire";6,92
"PT20";"Região Autónoma dos Açores";1,06
"FR81";"Languedoc-Roussillon";5,23
"LU00";"Luxembourg";36,3
"PL52";"Opolskie";25,99
"FR30";"Nord - Pas-de-Calais";18,64
"DEB2";"Trier";19,7
"AT31";"Oberösterreich";43,76
"FR25";"Basse-Normandie";22,7
"SE12";"Östra Mellansverige";27,59
"SE32";"Mellersta Norrland";18,73
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";29,48
"CZ07";"Střední Morava";17,47
"DEA3";"Münster";15,63
"PL33";"Świętokrzyskie";20,43
"DE60";"Hamburg";18,15
"DE80";"Mecklenburg-Vorpommern";19,94
"BE24";"Prov. Vlaams-Brabant";9,29
"UKC1";"Tees Valley and Durham";24,25
"FR43";"Franche-Comté";35,09
"NO04";"Agder og Rogaland";21,15
"SK03";"Stredné Slovensko";8,86
"FR82";"Provence-Alpes-Côte d'Azur";8,03
"ES24";"Aragón";17,91
"ITI3";"Marche";7,79
"FR62";"Midi-Pyrénées";12,97
"UKH3";"Essex";32,14
"BG31";"Severozapaden";0,34
"UKL1";"West Wales and The Valleys";11,33
"BG33";"Severoiztochen";2,18
"FR83";"Corse";0,87
"ITI2";"Umbria";32,58
"ES70";"Canarias";16,89
"NL41";"Noord-Brabant";10,41
"FR71";"Rhône-Alpes";23,33
"DE13";"Freiburg";32,09
"DED5";"Leipzig";17,09
"AT32";"Salzburg";27,69
"CZ06";"Jihovýchod";31,32
"FR22";"Picardie";31,32
"DE27";"Schwaben";45,55
"DE94";"Weser-Ems";26,52
"ES52";"Comunidad Valenciana";13,31
"SK02";"Západné Slovensko";22,07
"FR61";"Aquitaine";13,65
"FRY3";"Guyane";0
"BE31";"Prov. Brabant Wallon";11,52
"FR10";"Île de France";42,06
"EL41";"Voreio Aigaio";0,29
"ITC2";"Valle d'Aosta/Vallée d'Aoste";10,55
"ITC3";"Liguria";33,79
"UKN0";"Northern Ireland";10,02
"ITH1";"Provincia Autonoma di Bolzano/Bozen";24,2
"AT34";"Vorarlberg";21,35
"NL32";"Noord-Holland";10,7
"UKG2";"Shropshire and Staffordshire";42,26
"PL51";"Dolnośląskie";22,17
"DE25";"Mittelfranken";28,75
"ITI1";"Toscana";29,53
"ITI4";"Lazio";7,74
"HU33";"Dél-Alföld";21,97
"EL51";"Anatoliki Makedonia, Thraki";14,13
"RO11";"Nord-Vest";32,77
"UKM6";"Highlands and Islands";4,94
"ES13";"Cantabria";5,28
"NL11";"Groningen";3,73
"UKM5";"North Eastern Scotland";4,4
"SE23";"Västsverige";48,74
"HU22";"Nyugat-Dunántúl";20,04
"ITF6";"Calabria";20,52
"FI19";"Länsi-Suomi";17,33
"CZ02";"Střední Čechy";29,04
"RO22";"Sud-Est";2,47
"NL34";"Zeeland";8,62
"DEB1";"Koblenz";26,38
"FR51";"Pays de la Loire";31,03
"EL30";"Attiki";13,99
"UKM3";"South Western Scotland";16,55
"FI1D";"Pohjois- ja Itä-Suomi";8,03
"NL23";"Flevoland";3,92
"NL12";"Friesland (NL)";11,37
"FR21";"Champagne-Ardenne";15,25
"FR24";"Centre";39,64
"BE32";"Prov. Hainaut";8,86
"PT30";"Região Autónoma da Madeira";0,58
"PL41";"Wielkopolskie";9,78
"ITH4";"Friuli-Venezia Giulia";22,65
"FR26";"Bourgogne";16,99
"NO06";"Trøndelag";21,35
"ES21";"País Vasco";21,68
"RO31";"Sud - Muntenia";25,22
"ES64";"Ciudad Autónoma de Melilla";0,34
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";22,56
"NL22";"Gelderland";6,58
"UKF2";"Leicestershire, Rutland and Northamptonshire";31,46
"DEF0";"Schleswig-Holstein";21,35
"UKG3";"West Midlands";50,77
"FR42";"Alsace";39,64
"EL61";"Ipeiros";1,02
"UKH2";"Bedfordshire and Hertfordshire";13,12
"HU31";"Észak-Magyarország";17,91
"DEA5";"Arnsberg";33,64
"UKG1";"Herefordshire, Worcestershire and Warwickshire";37,42
"AT22";"Steiermark";48,84
"DE30";"Berlin";21,15
"PL32";"Podkarpackie";11,42
"UKF3";"Lincolnshire";21,73
"PL12";"Mazowieckie";10,12
"AT13";"Wien";8,81
"UKK4";"Devon";16,89
"DE24";"Oberfranken";34,8
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";15,1
"ITG1";"Sicilia";26,33
"BE33";"Prov. Liège";7,31
"DE73";"Kassel";46,03
"RO32";"Bucureşti - Ilfov";17,33
"ITF5";"Basilicata";22,22
"DED2";"Dresden";21,64
"DEA1";"Düsseldorf";15,34
"EL63";"Dytiki Ellada";8,37
"CY00";"Kýpros";4,84
"UKE2";"North Yorkshire";11,08
"RO41";"Sud-Vest Oltenia";13,31
"EL53";"Dytiki Makedonia";0,73
"FR72";"Auvergne";10,26
"CZ01";"Praha";17,96
"SE31";"Norra Mellansverige";22,65
"EL64";"Sterea Ellada";1,69
"CZ04";"Severozápad";19,75
"FR52";"Bretagne";9,73
"HU32";"Észak-Alföld";18,25
"PT15";"Algarve";13,7
"BE25";"Prov. West-Vlaanderen";18,15
"ITG2";"Sardegna";6
"CH01";"Région lémanique";5,47
"IE01";"Border, Midland and Western";9,92
"FR63";"Limousin";12,58
"PL42";"Zachodniopomorskie";18,34
"FI1B";"Helsinki-Uusimaa";13,5
"CH03";"Nordwestschweiz";12,97
"CH05";"Ostschweiz";25,27
"SE11";"Stockholm";9
"ITC1";"Piemonte";44,63
"ITF4";"Puglia";31,12
"UKE4";"West Yorkshire";17,38
"PL31";"Lubelskie";13,65
"NO07";"Nord-Norge";13,31
"EL65";"Peloponnisos";4,6
"ES61";"Andalucía";9,54
"RO12";"Centru";17,18
"UKH1";"East Anglia";10,99
"ITH3";"Veneto";17,81
"FI1C";"Etelä-Suomi";9,24
"AT33";"Tirol";24,39
"FR41";"Lorraine";21,97
"UKC2";"Northumberland and Tyne and Wear";17,28
"UKD3";"Greater Manchester";12,63
"NO02";"Hedmark og Oppland";16,6
"IS01";"Höfuðborgarsvæði";5,18
"ES62";"Región de Murcia";14,71
"DK05";"Nordjylland";19,12
"DK04";"Midtjylland";10,6
"DEG0";"Thüringen";30,25
"UKD7";"Merseyside";3,1
"BE34";"Prov. Luxembourg (BE)";17,04
"UKF1";"Derbyshire and Nottinghamshire";14,76
"PL43";"Lubuskie";13,41
"CH02";"Espace Mittelland";19,36
"CH06";"Zentralschweiz";10,65
"DE91";"Braunschweig";42,69
