"id";"name";"value"
"EL64";"Sterea Ellada";1,85
"FI1B";"Helsinki-Uusimaa";19,56
"DE93";"Lüneburg";12,7
"UKD1";"Cumbria";9,81
"UKM2";"Eastern Scotland";19,97
"UKJ3";"Hampshire and Isle of Wight";7
"EL42";"Notio Aigaio";0
"FR10";"Île de France";15,24
"BE34";"Prov. Luxembourg (BE)";8,37
"BE31";"Prov. Brabant Wallon";10,36
"DEC0";"Saarland";10,91
"ES53";"Illes Balears";14,34
"DE80";"Mecklenburg-Vorpommern";15,31
"PT16";"Centro (PT)";8,65
"DE25";"Mittelfranken";17,23
"ES61";"Andalucía";16,82
"SK02";"Západné Slovensko";19,63
"PL21";"Małopolskie";18,81
"DK04";"Midtjylland";9,88
"BG32";"Severen tsentralen";5,7
"FI19";"Länsi-Suomi";14,21
"ITC4";"Lombardia";24,5
"UKK2";"Dorset and Somerset";9,88
"FR62";"Midi-Pyrénées";12,9
"CZ07";"Střední Morava";13,18
"CZ06";"Jihovýchod";19,35
"RO41";"Sud-Vest Oltenia";2,61
"SI03";"Zahodna Slovenija";19,7
"PL51";"Dolnośląskie";13,52
"AT33";"Tirol";18,46
"PL43";"Lubuskie";12,63
"ITF4";"Puglia";7,21
"AT31";"Oberösterreich";22,31
"PL42";"Zachodniopomorskie";15,03
"HU32";"Észak-Alföld";13,04
"UKM6";"Highlands and Islands";8,65
"FR71";"Rhône-Alpes";21,89
"PT18";"Alentejo";4,32
"ES70";"Canarias";9,95
"PL41";"Wielkopolskie";18,67
"AT13";"Wien";12,42
"UKD7";"Merseyside";5,08
"NO03";"Sør-Østlandet";17,23
"FR42";"Alsace";20,73
"NO02";"Hedmark og Oppland";4,05
"UKC1";"Tees Valley and Durham";15,17
"ES42";"Castilla-La Mancha";13,11
"EL62";"Ionia Nisia";0,14
"IE02";"Southern and Eastern";9,06
"ITF1";"Abruzzo";7,48
"RO11";"Nord-Vest";7,41
"FR21";"Champagne-Ardenne";5,56
"LV00";"Latvija";4,94
"ES41";"Castilla y León";6,18
"ITG1";"Sicilia";15,37
"UKM5";"North Eastern Scotland";3,29
"PL63";"Pomorskie";9,06
"ES43";"Extremadura";1,58
"DE91";"Braunschweig";8,03
"CZ02";"Střední Čechy";16,4
"AT12";"Niederösterreich";20,38
"ITC2";"Valle d'Aosta/Vallée d'Aoste";12,83
"DE12";"Karlsruhe";20,25
"DE92";"Hannover";8,3
"FR53";"Poitou-Charentes";18,39
"EE00";"Eesti";13,04
"UKI1";"Inner London";10,98
"ITH1";"Provincia Autonoma di Bolzano/Bozen";7,55
"SK01";"Bratislavský kraj";11,94
"HU31";"Észak-Magyarország";8,92
"DE26";"Unterfranken";16,95
"PL22";"Śląskie";19,08
"ITF2";"Molise";5,77
"ITH5";"Emilia-Romagna";14,82
"BE24";"Prov. Vlaams-Brabant";5,56
"ES13";"Cantabria";4,53
"NL34";"Zeeland";3,57
"BE21";"Prov. Antwerpen";7,82
"PT20";"Região Autónoma dos Açores";1,24
"BE25";"Prov. West-Vlaanderen";11,67
"AT32";"Salzburg";25,12
"UKH3";"Essex";12,35
"ITH3";"Veneto";31,3
"FI1D";"Pohjois- ja Itä-Suomi";8,37
"ES24";"Aragón";20,8
"ITF5";"Basilicata";6,31
"UKF2";"Leicestershire, Rutland and Northamptonshire";15,1
"ITH4";"Friuli-Venezia Giulia";23,06
"DEG0";"Thüringen";17,64
"DEB1";"Koblenz";16,06
"PL33";"Świętokrzyskie";6,93
"EL43";"Kriti";5,08
"BE33";"Prov. Liège";14,14
"DED4";"Chemnitz";25,39
"SE23";"Västsverige";15,44
"PT30";"Região Autónoma da Madeira";1,24
"FR63";"Limousin";15,31
"HU21";"Közép-Dunántúl";14,55
"UKH2";"Bedfordshire and Hertfordshire";5,7
"SK04";"Východné Slovensko";15,17
"UKK3";"Cornwall and Isles of Scilly";5,22
"ES12";"Principado de Asturias";19,63
"UKM3";"South Western Scotland";17,84
"FR43";"Franche-Comté";12,08
"DE13";"Freiburg";21,35
"IE01";"Border, Midland and Western";4,6
"PL11";"Łódzkie";14,28
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";5,08
"NO04";"Agder og Rogaland";9,61
"NO05";"Vestlandet";7,07
"SE32";"Mellersta Norrland";6,04
"RO12";"Centru";6,11
"ES21";"País Vasco";12,01
"EL52";"Kentriki Makedonia";25,12
"MT00";"Malta";11,26
"CZ05";"Severovýchod";14,82
"AT21";"Kärnten";19,84
"DE40";"Brandenburg";11,87
"CH04";"Zürich";19,49
"FR22";"Picardie";9,33
"BG31";"Severozapaden";0,41
"NO07";"Nord-Norge";7,07
"UKD3";"Greater Manchester";8,37
"ITF6";"Calabria";10,98
"LU00";"Luxembourg";14,69
"SE33";"Övre Norrland";12,01
"ITI1";"Toscana";10,78
"UKI2";"Outer London";11,53
"ES22";"Comunidad Foral de Navarra";15,31
"NO01";"Oslo og Akershus";10,91
"EL30";"Attiki";8,37
"SI04";"Vzhodna Slovenija";20,73
"ITF3";"Campania";8,99
"CZ08";"Moravskoslezsko";12,08
"DE23";"Oberpfalz";17,98
"UKE1";"East Yorkshire and Northern Lincolnshire";7,21
"CZ01";"Praha";12,97
"HU22";"Nyugat-Dunántúl";11,26
"DE71";"Darmstadt";6,52
"DE27";"Schwaben";12,15
"DK01";"Hovedstaden";3,57
"CH03";"Nordwestschweiz";12,49
"NL12";"Friesland (NL)";9,81
"DK02";"Sjælland";7,69
"SE12";"Östra Mellansverige";15,72
"NL11";"Groningen";10,43
"NL22";"Gelderland";15,1
"HR04";"Kontinentalna Hrvatska";12,42
"BG34";"Yugoiztochen";6,31
"PL61";"Kujawsko-Pomorskie";6,18
"DE11";"Stuttgart";29,24
"UKK4";"Devon";12,08
"BE23";"Prov. Oost-Vlaanderen";8,03
"FR51";"Pays de la Loire";14,89
"NL23";"Flevoland";3,57
"SE11";"Stockholm";9,27
"ITC1";"Piemonte";18,12
"DEA3";"Münster";11,19
"FR25";"Basse-Normandie";9,75
"PL62";"Warmińsko-Mazurskie";8,58
"PL32";"Podkarpackie";12,42
"BG33";"Severoiztochen";0,82
"NL21";"Overijssel";18,12
"UKE4";"West Yorkshire";14,14
"FR83";"Corse";1,85
"FR82";"Provence-Alpes-Côte d'Azur";11,32
"ES51";"Cataluña";9,54
"DK05";"Nordjylland";16,82
"RO42";"Vest";11,67
"EL41";"Voreio Aigaio";4,39
"ES11";"Galicia";10,23
"ES52";"Comunidad Valenciana";19,22
"UKF3";"Lincolnshire";12,15
"EL63";"Dytiki Ellada";5,08
"LT00";"Lietuva";9,68
"UKE2";"North Yorkshire";6,73
"DE24";"Oberfranken";23,82
"PL12";"Mazowieckie";7,48
"DE30";"Berlin";11,32
"ES62";"Región de Murcia";6,45
"PT15";"Algarve";7,34
"NO06";"Trøndelag";21,55
"FRY2";"Martinique";0,21
"DK03";"Syddanmark";13,45
"FR23";"Haute-Normandie";8,51
"IS02";"Landsbyggð";5,49
"CZ04";"Severozápad";15,03
"EL53";"Dytiki Makedonia";0,34
"EL54";"Thessalia";1,72
"UKH1";"East Anglia";5,15
"FRY4";"Réunion";2,47
"BG41";"Yugozapaden";20,52
"DEE0";"Sachsen-Anhalt";14,55
"FRY3";"Guyane";0
"CH07";"Ticino";11,94
"DE60";"Hamburg";12,22
"UKN0";"Northern Ireland";15,1
"FR81";"Languedoc-Roussillon";6,04
"ITC3";"Liguria";11,6
"FR61";"Aquitaine";7,76
"FR41";"Lorraine";16,82
"PL31";"Lubelskie";6,52
"DEB2";"Trier";14,69
"SE21";"Småland med öarna";17,36
"DE21";"Oberbayern";19,97
"UKJ4";"Kent";8,58
"ES30";"Comunidad de Madrid";5,77
"DEA2";"Köln";22,1
"FR52";"Bretagne";11,26
"DEF0";"Schleswig-Holstein";9,47
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";6,59
"ITI4";"Lazio";11,12
"NL42";"Limburg (NL)";3,64
"RO21";"Nord-Est";4,8
"UKG3";"West Midlands";23,75
"ITG2";"Sardegna";11,39
"SE22";"Sydsverige";13,8
"DE94";"Weser-Ems";15,92
"UKL1";"West Wales and The Valleys";9,88
"DEA5";"Arnsberg";36,24
"PL34";"Podlaskie";2,06
"ITI3";"Marche";14,69
"DED5";"Leipzig";15,65
"PT11";"Norte";9,27
"NL31";"Utrecht";7,41
"DEA4";"Detmold";25,81
"UKG1";"Herefordshire, Worcestershire and Warwickshire";21,83
"UKF1";"Derbyshire and Nottinghamshire";5,77
"UKL2";"East Wales";3,57
"UKJ2";"Surrey, East and West Sussex";25,67
"ES64";"Ciudad Autónoma de Melilla";0,41
"AT34";"Vorarlberg";21,96
"EL65";"Peloponnisos";2,33
"CH06";"Zentralschweiz";22,03
"ITH2";"Provincia Autonoma di Trento";11,87
"AT11";"Burgenland (AT)";15,1
"CZ03";"Jihozápad";12,22
"FR72";"Auvergne";2,4
"RO22";"Sud-Est";2,26
"EL51";"Anatoliki Makedonia, Thraki";5,35
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";20,18
"FR30";"Nord - Pas-de-Calais";16,75
"DE50";"Bremen";14,14
"BE35";"Prov. Namur";4,53
"BE22";"Prov. Limburg (BE)";11,26
"HU10";"Közép-Magyarország";24,71
"DED2";"Dresden";11,05
"PL52";"Opolskie";17,02
"BE32";"Prov. Hainaut";15,58
"DEB3";"Rheinhessen-Pfalz";12,15
"UKD6";"Cheshire";10,98
"DE73";"Kassel";22,24
"HU33";"Dél-Alföld";7,48
"DE14";"Tübingen";23,68
"CH01";"Région lémanique";10,02
"RO31";"Sud - Muntenia";7,07
"ITI2";"Umbria";17,78
"NL32";"Noord-Holland";10,64
"ES23";"La Rioja";13,25
"RO32";"Bucureşti - Ilfov";5,28
"AT22";"Steiermark";19,49
"CY00";"Kýpros";7
"FR26";"Bourgogne";8,3
"DE22";"Niederbayern";20,59
"DE72";"Gießen";16,68
"IS01";"Höfuðborgarsvæði";2,54
"FR24";"Centre";17,71
"NL41";"Noord-Brabant";23,47
"FI1C";"Etelä-Suomi";17,02
"CH05";"Ostschweiz";12,97
"HU23";"Dél-Dunántúl";6,73
"SK03";"Stredné Slovensko";14,34
"CH02";"Espace Mittelland";19,22
"BG42";"Yuzhen tsentralen";2,47
"FI20";"Åland";0,14
"PT17";"Lisboa";6,31
"UKD4";"Lancashire";16,47
"UKC2";"Northumberland and Tyne and Wear";17,71
"FRY1";"Guadeloupe";1,44
"EL61";"Ipeiros";1,24
"DEA1";"Düsseldorf";16,27
"HR03";"Jadranska Hrvatska";6,04
"SE31";"Norra Mellansverige";18,05
"NL13";"Drenthe";12,63
"UKG2";"Shropshire and Staffordshire";16,68
"UKE3";"South Yorkshire";12,56
