"id";"name";"value"
"DEC0";"Saarland";22,392
"UKJ3";"Hampshire and Isle of Wight";10,5128
"DEF0";"Schleswig-Holstein";31,7699
"ITI3";"Marche";7,5462
"EL41";"Voreio Aigaio";0,6241
"BE35";"Prov. Namur";9,8112
"UKE2";"North Yorkshire";9,8462
"SI03";"Zahodna Slovenija";16,3807
"FRY4";"Réunion";6,7968
"DEB3";"Rheinhessen-Pfalz";23,2239
"EL65";"Peloponnisos";2,1171
"PL21";"Małopolskie";29,9441
"UKD7";"Merseyside";4,7123
"EL61";"Ipeiros";1,6857
"PL41";"Wielkopolskie";10,2072
"HU21";"Közép-Dunántúl";37,0078
"HU32";"Észak-Alföld";14,7223
"ES21";"País Vasco";31,767
"CZ07";"Střední Morava";23,3151
"DK04";"Midtjylland";14,4701
"DE12";"Karlsruhe";43,5972
"UKM3";"South Western Scotland";18,5116
"FR30";"Nord - Pas-de-Calais";18,2717
"DEB2";"Trier";14,6251
"FR81";"Languedoc-Roussillon";13,0133
"SE33";"Övre Norrland";5,461
"UKD6";"Cheshire";20,602
"FR53";"Poitou-Charentes";28,2659
"NO03";"Sør-Østlandet";43,9196
"UKF2";"Leicestershire, Rutland and Northamptonshire";25,6662
"HR03";"Jadranska Hrvatska";27,6829
"UKL1";"West Wales and The Valleys";12,8828
"FI20";"Åland";0,2338
"DE92";"Hannover";18,7849
"ITI4";"Lazio";8,3509
"FR22";"Picardie";31,8087
"CH04";"Zürich";14,0152
"IS02";"Landsbyggð";6,091
"RO31";"Sud - Muntenia";31,1045
"CY00";"Kýpros";9,6696
"FRY2";"Martinique";0,3759
"FRY1";"Guadeloupe";16,1467
"NO01";"Oslo og Akershus";32,2094
"ITF3";"Campania";19,1404
"SE21";"Småland med öarna";19,9033
"FR62";"Midi-Pyrénées";14,9003
"CZ08";"Moravskoslezsko";13,9891
"CH07";"Ticino";20,0443
"FR63";"Limousin";17,4045
"SE11";"Stockholm";7,0741
"DE60";"Hamburg";31,5748
"DE25";"Mittelfranken";43,7471
"UKD3";"Greater Manchester";18,7312
"FR24";"Centre";38,342
"DE73";"Kassel";47,8629
"EL62";"Ionia Nisia";0,1504
"UKI2";"Outer London";9,2787
"DED4";"Chemnitz";40,5568
"UKE3";"South Yorkshire";24,3158
"ITF4";"Puglia";21,1962
"PT20";"Região Autónoma dos Açores";3,0193
"FR51";"Pays de la Loire";33,4081
"EL54";"Thessalia";7,3591
"UKF1";"Derbyshire and Nottinghamshire";12,4758
"PL31";"Lubelskie";14,1236
"FI1B";"Helsinki-Uusimaa";18,0925
"CH03";"Nordwestschweiz";17,3681
"AT22";"Steiermark";46,9509
"ITC3";"Liguria";25,2188
"DEB1";"Koblenz";12,7897
"ES23";"La Rioja";27,8962
"NL21";"Overijssel";13,8549
"ITH5";"Emilia-Romagna";18,4441
"BG33";"Severoiztochen";2,4061
"FR83";"Corse";3,3038
"AT34";"Vorarlberg";19,9042
"UKH2";"Bedfordshire and Hertfordshire";15,0703
"DE14";"Tübingen";35,907
"BE25";"Prov. West-Vlaanderen";8,6861
"BG41";"Yugozapaden";30,327
"UKD4";"Lancashire";12,1226
"SI04";"Vzhodna Slovenija";30,12
"DE22";"Niederbayern";46,6106
"DE24";"Oberfranken";42,3786
"BE23";"Prov. Oost-Vlaanderen";9,3064
"ES62";"Región de Murcia";15,8046
"FR10";"Île de France";24,5367
"UKH1";"East Anglia";7,3142
"BE33";"Prov. Liège";10,9809
"SK01";"Bratislavský kraj";10,0823
"ES53";"Illes Balears";10,9338
"FR43";"Franche-Comté";35,73
"PL34";"Podlaskie";2,7084
"CZ02";"Střední Čechy";34,1933
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";16,1229
"ITH4";"Friuli-Venezia Giulia";14,5196
"AT33";"Tirol";18,6319
"CZ01";"Praha";24,3829
"FR21";"Champagne-Ardenne";13,4175
"FR72";"Auvergne";5,6199
"LV00";"Latvija";12,183
"PL33";"Świętokrzyskie";23,4367
"HU22";"Nyugat-Dunántúl";13,0471
"DE40";"Brandenburg";14,7152
"IE02";"Southern and Eastern";14,2799
"BG42";"Yuzhen tsentralen";4,9991
"PT18";"Alentejo";9,567
"UKI1";"Inner London";11,1209
"ITF1";"Abruzzo";25,65
"DEA4";"Detmold";24,6504
"DE71";"Darmstadt";27,1542
"UKK2";"Dorset and Somerset";7,7162
"EL63";"Dytiki Ellada";13,557
"PL43";"Lubuskie";23,6425
"RO42";"Vest";23,7617
"FR41";"Lorraine";12,3694
"FR52";"Bretagne";20,7877
"PL12";"Mazowieckie";9,0374
"IS01";"Höfuðborgarsvæði";8,5803
"DEA2";"Köln";14,353
"DE21";"Oberbayern";45,4361
"PL42";"Zachodniopomorskie";21,5496
"BE32";"Prov. Hainaut";12,3538
"SE31";"Norra Mellansverige";21,3462
"BE22";"Prov. Limburg (BE)";12,9435
"NL12";"Friesland (NL)";21,4404
"FR26";"Bourgogne";12,7661
"HR04";"Kontinentalna Hrvatska";25,9948
"CH05";"Ostschweiz";14,9688
"BG32";"Severen tsentralen";3,1678
"ES51";"Cataluña";10,9023
"BG31";"Severozapaden";0,1545
"UKF3";"Lincolnshire";22,3838
"MT00";"Malta";22,1464
"DEA5";"Arnsberg";30,982
"NL22";"Gelderland";9,1087
"BG34";"Yugoiztochen";5,5545
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";33,7443
"IE01";"Border, Midland and Western";6,4586
"ES24";"Aragón";14,8726
"RO41";"Sud-Vest Oltenia";5,7233
"FR25";"Basse-Normandie";15,8703
"ITH3";"Veneto";13,6987
"DED5";"Leipzig";23,2312
"PL22";"Śląskie";15,0065
"ES11";"Galicia";11,1739
"NL13";"Drenthe";5,7793
"UKD1";"Cumbria";9,7072
"UKG2";"Shropshire and Staffordshire";29,8374
"ITF2";"Molise";22,1161
"ES70";"Canarias";21,3578
"FI1C";"Etelä-Suomi";14,357
"CH01";"Région lémanique";7,8649
"NO04";"Agder og Rogaland";27,0723
"UKG3";"West Midlands";44,4845
"AT12";"Niederösterreich";16,1257
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";25,1926
"DE26";"Unterfranken";38,6135
"ITC4";"Lombardia";14,739
"RO32";"Bucureşti - Ilfov";10,9678
"AT13";"Wien";10,3662
"AT32";"Salzburg";21,7968
"FR23";"Haute-Normandie";31,6562
"FR42";"Alsace";41,3059
"ES30";"Comunidad de Madrid";12,7464
"UKH3";"Essex";23,2112
"ITG1";"Sicilia";19,3628
"AT21";"Kärnten";40,0481
"UKC2";"Northumberland and Tyne and Wear";38,4462
"ES61";"Andalucía";11,4981
"EL51";"Anatoliki Makedonia, Thraki";28,7903
"DE50";"Bremen";35,8674
"UKE1";"East Yorkshire and Northern Lincolnshire";7,7078
"FI19";"Länsi-Suomi";10,8367
"CZ06";"Jihovýchod";30,738
"PL62";"Warmińsko-Mazurskie";8,3048
"ES41";"Castilla y León";9,2562
"HU31";"Észak-Magyarország";22,5138
"DE80";"Mecklenburg-Vorpommern";20,3006
"PT16";"Centro (PT)";10,2441
"EE00";"Eesti";10,172
"RO12";"Centru";11,2348
"ITG2";"Sardegna";11,0781
"DE93";"Lüneburg";31,411
"UKK4";"Devon";9,6087
"ITI1";"Toscana";24,0751
"ITI2";"Umbria";24,9096
"ES64";"Ciudad Autónoma de Melilla";0,26
"UKN0";"Northern Ireland";9,1391
"DE13";"Freiburg";22,2768
"HU23";"Dél-Dunántúl";31,4062
"DE27";"Schwaben";33,6886
"EL30";"Attiki";11,163
"CZ04";"Severozápad";17,6306
"ITF5";"Basilicata";13,4549
"RO22";"Sud-Est";3,8558
"ITC1";"Piemonte";34,1014
"FR82";"Provence-Alpes-Côte d'Azur";12,7797
"EL52";"Kentriki Makedonia";24,4241
"NO02";"Hedmark og Oppland";20,6086
"FRY3";"Guyane";0
"DK05";"Nordjylland";16,1309
"RO11";"Nord-Vest";29,3394
"CZ03";"Jihozápad";18,6228
"SE12";"Östra Mellansverige";18,4165
"SE23";"Västsverige";39,3164
"PL63";"Pomorskie";6,8732
"DED2";"Dresden";36,7667
"PT17";"Lisboa";9,0609
"BE21";"Prov. Antwerpen";20,7045
"SE22";"Sydsverige";5,9914
"EL43";"Kriti";10,7194
"PL11";"Łódzkie";13,5107
"ES42";"Castilla-La Mancha";16,3057
"ITF6";"Calabria";34,5361
"PT11";"Norte";11,0328
"PL51";"Dolnośląskie";10,9361
"DE91";"Braunschweig";35,9951
"UKM5";"North Eastern Scotland";4,0235
"NO05";"Vestlandet";17,9448
"BE34";"Prov. Luxembourg (BE)";6,74
"DEE0";"Sachsen-Anhalt";46,883
"UKL2";"East Wales";5,4851
"DK03";"Syddanmark";16,9872
"UKM6";"Highlands and Islands";8,0565
"DE23";"Oberpfalz";30,0674
"CZ05";"Severovýchod";25,7335
"ES52";"Comunidad Valenciana";14,7675
"ES22";"Comunidad Foral de Navarra";16,063
"DEA3";"Münster";21,9816
"UKM2";"Eastern Scotland";17,6891
"NL42";"Limburg (NL)";8,9813
"DK02";"Sjælland";30,4277
"NO07";"Nord-Norge";5,6441
"HU33";"Dél-Alföld";10,5962
"ITH1";"Provincia Autonoma di Bolzano/Bozen";10,1981
"NL34";"Zeeland";13,6938
"SK04";"Východné Slovensko";21,3262
"NL11";"Groningen";4,8781
"NL41";"Noord-Brabant";14,4735
"HU10";"Közép-Magyarország";33,6714
"DE94";"Weser-Ems";19,9328
"PT15";"Algarve";7,2155
"LU00";"Luxembourg";26,1554
"UKE4";"West Yorkshire";15,0886
"SE32";"Mellersta Norrland";19,3926
"CH06";"Zentralschweiz";11,0849
"UKJ2";"Surrey, East and West Sussex";21,6059
"ES43";"Extremadura";2,4748
"SK03";"Stredné Slovensko";7,0688
"NO06";"Trøndelag";40,1419
"UKK3";"Cornwall and Isles of Scilly";9,5423
