"id";"name";"value"
"NL22";"Gelderland";10,2558
"NL11";"Groningen";13,2233
"UKM3";"South Western Scotland";13,3533
"DEB3";"Rheinhessen-Pfalz";14,2408
"ITC4";"Lombardia";20,3717
"CZ05";"Severovýchod";40,1108
"ES41";"Castilla y León";15,6142
"DEB2";"Trier";29,1233
"PL31";"Lubelskie";23,0517
"EL53";"Dytiki Makedonia";0,05
"DED5";"Leipzig";20,6358
"PT20";"Região Autónoma dos Açores";1,205
"DED2";"Dresden";16,8417
"ITH5";"Emilia-Romagna";42,7108
"BG33";"Severoiztochen";5,8558
"RO11";"Nord-Vest";22,0092
"FR42";"Alsace";20,0167
"EL61";"Ipeiros";3,8867
"ITI2";"Umbria";30,0683
"BE22";"Prov. Limburg (BE)";32,3233
"ITF5";"Basilicata";19,1217
"FR24";"Centre";26,5475
"DE94";"Weser-Ems";27,4358
"PL51";"Dolnośląskie";12,9075
"FR25";"Basse-Normandie";10,6042
"DE22";"Niederbayern";44,8475
"DE13";"Freiburg";50,85
"FR61";"Aquitaine";9,4292
"ITC1";"Piemonte";40,195
"FI1B";"Helsinki-Uusimaa";18,3867
"SI04";"Vzhodna Slovenija";12,9283
"FRY2";"Martinique";2,2625
"UKL2";"East Wales";12,0842
"ES70";"Canarias";24,9583
"CH03";"Nordwestschweiz";10,4633
"FR10";"Île de France";15,8833
"SE21";"Småland med öarna";38,1025
"ES51";"Cataluña";29,4742
"BE25";"Prov. West-Vlaanderen";14,9117
"UKL1";"West Wales and The Valleys";14,2392
"RO41";"Sud-Vest Oltenia";1,825
"CZ06";"Jihovýchod";37,4892
"CH07";"Ticino";28,9217
"UKM6";"Highlands and Islands";8,56
"EL43";"Kriti";6,1242
"RO32";"Bucureşti - Ilfov";22,3017
"CZ03";"Jihozápad";11,9258
"BE33";"Prov. Liège";9,9342
"ITI1";"Toscana";45,4908
"SE23";"Västsverige";12,805
"FR82";"Provence-Alpes-Côte d'Azur";14,0817
"DE23";"Oberpfalz";40,5817
"DEE0";"Sachsen-Anhalt";14,2875
"BG32";"Severen tsentralen";1,9308
"FI19";"Länsi-Suomi";16,4508
"SE22";"Sydsverige";10,4908
"BE32";"Prov. Hainaut";6,82
"DE21";"Oberbayern";44,9608
"ES61";"Andalucía";8,7167
"LT00";"Lietuva";11,6025
"HU22";"Nyugat-Dunántúl";35,8033
"CH01";"Région lémanique";13,455
"UKH1";"East Anglia";21,7142
"DK01";"Hovedstaden";4,81
"ES13";"Cantabria";8,585
"FR30";"Nord - Pas-de-Calais";14,6275
"UKE1";"East Yorkshire and Northern Lincolnshire";9,0125
"DEC0";"Saarland";23,2583
"NO02";"Hedmark og Oppland";32,97
"AT34";"Vorarlberg";31,03
"FR22";"Picardie";27,3575
"PL43";"Lubuskie";5,8558
"IS02";"Landsbyggð";20,645
"UKD7";"Merseyside";6,6475
"EL42";"Notio Aigaio";0
"AT33";"Tirol";35,6908
"ES42";"Castilla-La Mancha";22,7658
"ITF6";"Calabria";9,6733
"UKJ3";"Hampshire and Isle of Wight";11,285
"EE00";"Eesti";38,4075
"ITF2";"Molise";31,8433
"FR43";"Franche-Comté";32,9083
"ITH1";"Provincia Autonoma di Bolzano/Bozen";27,855
"EL30";"Attiki";8,5733
"NO03";"Sør-Østlandet";26,61
"PL12";"Mazowieckie";16,0983
"LV00";"Latvija";19,0625
"CY00";"Kýpros";8,48
"SK04";"Východné Slovensko";29,7858
"HU32";"Észak-Alföld";21,8717
"SI03";"Zahodna Slovenija";14,4042
"ES43";"Extremadura";6,5017
"PL61";"Kujawsko-Pomorskie";23,6358
"FR62";"Midi-Pyrénées";10,8375
"BE23";"Prov. Oost-Vlaanderen";6,6208
"DE71";"Darmstadt";15,0517
"AT32";"Salzburg";26,94
"DE27";"Schwaben";53,4808
"FI1D";"Pohjois- ja Itä-Suomi";15,1942
"SE31";"Norra Mellansverige";22,755
"EL52";"Kentriki Makedonia";20,0567
"DE14";"Tübingen";52,5075
"PL32";"Podkarpackie";10,08
"EL64";"Sterea Ellada";1,2658
"LU00";"Luxembourg";10,1308
"ITI4";"Lazio";14,5792
"UKE2";"North Yorkshire";28,705
"ITH2";"Provincia Autonoma di Trento";35,1175
"HR04";"Kontinentalna Hrvatska";9,7767
"DE40";"Brandenburg";14,2508
"DK02";"Sjælland";13,4908
"UKH3";"Essex";12,2442
"UKH2";"Bedfordshire and Hertfordshire";13,845
"PL33";"Świętokrzyskie";6,4542
"AT13";"Wien";37,0833
"EL62";"Ionia Nisia";0,6075
"BE34";"Prov. Luxembourg (BE)";5,105
"DEF0";"Schleswig-Holstein";18,7333
"FR21";"Champagne-Ardenne";32,1333
"DE72";"Gießen";40,9875
"SE12";"Östra Mellansverige";36,1258
"DEA4";"Detmold";33,0275
"ITG1";"Sicilia";9,0975
"DK04";"Midtjylland";32,8817
