"id";"name";"value"
"PT20";"Região Autónoma dos Açores";0,2981
"FI19";"Länsi-Suomi";8,4848
"UKJ2";"Surrey, East and West Sussex";9,6471
"PT11";"Norte";12,6614
"DE23";"Oberpfalz";7,2414
"ES52";"Comunidad Valenciana";14,6414
"PT30";"Região Autónoma da Madeira";0,16
"DE80";"Mecklenburg-Vorpommern";13,5581
"FR71";"Rhône-Alpes";6,4119
"ITG1";"Sicilia";3,6486
"ITC2";"Valle d'Aosta/Vallée d'Aoste";1,7881
"DEB3";"Rheinhessen-Pfalz";14,5843
"CH07";"Ticino";5,1376
"NL41";"Noord-Brabant";5,03
"EL51";"Anatoliki Makedonia, Thraki";3,4505
"FR22";"Picardie";7,8086
"FR25";"Basse-Normandie";4,1167
"UKN0";"Northern Ireland";5,1714
"FR63";"Limousin";5,6843
"EL62";"Ionia Nisia";0,7314
"PL41";"Wielkopolskie";13,771
"UKK4";"Devon";10,8762
"UKM2";"Eastern Scotland";6,5333
"SK01";"Bratislavský kraj";5,6548
"CZ07";"Střední Morava";13,089
"HU10";"Közép-Magyarország";5,9452
"FR43";"Franche-Comté";4,1962
"ITG2";"Sardegna";5,8462
"ITI4";"Lazio";6,74
"NO07";"Nord-Norge";2,5271
"SK04";"Východné Slovensko";7,079
"UKD3";"Greater Manchester";5,6681
"NL22";"Gelderland";17,4529
"CH05";"Ostschweiz";3,2424
"HU31";"Észak-Magyarország";3,5205
"ITH2";"Provincia Autonoma di Trento";5,8529
"EL41";"Voreio Aigaio";0,2214
"UKL2";"East Wales";8,3962
"HR04";"Kontinentalna Hrvatska";8,3529
"BE25";"Prov. West-Vlaanderen";13,7533
"DE91";"Braunschweig";5,2371
"PL22";"Śląskie";15,4219
"UKG2";"Shropshire and Staffordshire";5,1295
"CZ04";"Severozápad";9,5324
"ES64";"Ciudad Autónoma de Melilla";0,16
"DEA1";"Düsseldorf";10,2352
"LT00";"Lietuva";5,7024
"BE32";"Prov. Hainaut";11,1481
"UKC1";"Tees Valley and Durham";14,9262
"DE24";"Oberfranken";4,5914
"ES70";"Canarias";4,5819
"BE35";"Prov. Namur";10,4786
"AT11";"Burgenland (AT)";6,7005
"PL62";"Warmińsko-Mazurskie";2,5433
"ITH3";"Veneto";11,8371
"BG31";"Severozapaden";0
"UKL1";"West Wales and The Valleys";5,5257
"SI03";"Zahodna Slovenija";9,15
"DEB1";"Koblenz";11,6376
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";13,8805
"EL42";"Notio Aigaio";0
"FR21";"Champagne-Ardenne";4,9586
"UKD4";"Lancashire";5,3724
"IE01";"Border, Midland and Western";5,8071
"EL30";"Attiki";9,0905
"DE11";"Stuttgart";5,5333
"NL12";"Friesland (NL)";8,6438
"DE60";"Hamburg";3,0738
"ES21";"País Vasco";11,6981
"DEG0";"Thüringen";9,9943
"FR41";"Lorraine";15,1552
"UKI1";"Inner London";0,5029
"HU21";"Közép-Dunántúl";5,8557
"HU23";"Dél-Dunántúl";2,3833
"CY00";"Kýpros";3,6829
"FR62";"Midi-Pyrénées";5,4238
"HU22";"Nyugat-Dunántúl";3,8719
"EE00";"Eesti";5,1781
"IE02";"Southern and Eastern";3,5338
"ITH4";"Friuli-Venezia Giulia";12,5152
"ITF2";"Molise";3,4338
"BG41";"Yugozapaden";4,3686
"BE24";"Prov. Vlaams-Brabant";9,5338
"DEF0";"Schleswig-Holstein";4,2071
"ITH1";"Provincia Autonoma di Bolzano/Bozen";7,2419
"UKE1";"East Yorkshire and Northern Lincolnshire";13,7895
"FR81";"Languedoc-Roussillon";13,0238
"ITF6";"Calabria";7,4795
"FRY1";"Guadeloupe";1,079
"DE26";"Unterfranken";8,631
"FR72";"Auvergne";5,1605
"EL43";"Kriti";2,0914
"PL33";"Świętokrzyskie";2,7348
"CZ01";"Praha";11,6862
"FR51";"Pays de la Loire";16,9167
"CH06";"Zentralschweiz";12,3157
"DK01";"Hovedstaden";3,1329
"UKH2";"Bedfordshire and Hertfordshire";5,6586
"PL63";"Pomorskie";3,1962
"FR10";"Île de France";2,7814
"BE34";"Prov. Luxembourg (BE)";3,1043
"UKK2";"Dorset and Somerset";5,3467
"FR82";"Provence-Alpes-Côte d'Azur";3,1048
"DE25";"Mittelfranken";1,5448
"NO03";"Sør-Østlandet";13,7124
"UKK3";"Cornwall and Isles of Scilly";1,6405
"AT13";"Wien";4,82
"FRY2";"Martinique";0,32
"DE22";"Niederbayern";11,5029
"ITC1";"Piemonte";9,4619
"RO31";"Sud - Muntenia";5,4081
"DED5";"Leipzig";15,4138
"PL43";"Lubuskie";11,529
"DEE0";"Sachsen-Anhalt";14,4752
"PL11";"Łódzkie";6,2243
"MT00";"Malta";1,9324
"FI1C";"Etelä-Suomi";16,19
"AT33";"Tirol";9,02
"PL61";"Kujawsko-Pomorskie";7,1319
"SE11";"Stockholm";1,1219
"HU33";"Dél-Alföld";8,9886
"UKF3";"Lincolnshire";4,3029
"DE72";"Gießen";11,3838
"ITC3";"Liguria";8,4648
"PL34";"Podlaskie";2,1614
"DK03";"Syddanmark";7,7167
"ES61";"Andalucía";13,3938
"UKE4";"West Yorkshire";6,7724
"EL61";"Ipeiros";0,2971
"ITF4";"Puglia";9,3238
"FI20";"Åland";2,6971
"BE23";"Prov. Oost-Vlaanderen";15,6881
"SE32";"Mellersta Norrland";5,0533
"CH03";"Nordwestschweiz";11,3957
"FRY3";"Guyane";0
"ES12";"Principado de Asturias";5,8886
"DE12";"Karlsruhe";8,0857
"FR24";"Centre";3,959
"SK02";"Západné Slovensko";6,3329
"SI04";"Vzhodna Slovenija";7,57
"NL11";"Groningen";6,7757
"PT16";"Centro (PT)";8,3914
"DE92";"Hannover";4,6933
"UKF1";"Derbyshire and Nottinghamshire";1,2438
"BG42";"Yuzhen tsentralen";1,3743
"ES42";"Castilla-La Mancha";5,9429
