"id";"name";"value"
"PT15";"Algarve";3,4725
"BE24";"Prov. Vlaams-Brabant";14,8812
"PL12";"Mazowieckie";12,147
"SE23";"Västsverige";6,2324
"BG33";"Severoiztochen";2,1444
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";2,0398
"BE21";"Prov. Antwerpen";9,7774
"DK01";"Hovedstaden";13,2007
"BE35";"Prov. Namur";6,6417
"ITH1";"Provincia Autonoma di Bolzano/Bozen";5,4808
"UKH2";"Bedfordshire and Hertfordshire";8,5736
"HU33";"Dél-Alföld";4,0361
"ITI4";"Lazio";11,2081
"EL53";"Dytiki Makedonia";0,5386
"DEB1";"Koblenz";4,7199
"ITH3";"Veneto";4,8498
"DEE0";"Sachsen-Anhalt";7,8947
"UKI2";"Outer London";7,7349
"PL61";"Kujawsko-Pomorskie";5,6559
"SE12";"Östra Mellansverige";9,3691
"DEC0";"Saarland";9,5398
"ITC2";"Valle d'Aosta/Vallée d'Aoste";0,9985
"FRY1";"Guadeloupe";0,6842
"ITF4";"Puglia";12,1709
"UKE1";"East Yorkshire and Northern Lincolnshire";5,6792
"HU10";"Közép-Magyarország";7,7152
"PL11";"Łódzkie";7,9961
"DEB2";"Trier";2,8485
"NL13";"Drenthe";7,681
"DEF0";"Schleswig-Holstein";7,9496
"EL64";"Sterea Ellada";0,8264
"DEA1";"Düsseldorf";6,9018
"HR03";"Jadranska Hrvatska";3,6536
"DE50";"Bremen";4,9902
"UKM3";"South Western Scotland";8,533
"ITF2";"Molise";5,7881
"UKE2";"North Yorkshire";8,3605
"CH01";"Région lémanique";14,395
"PL43";"Lubuskie";2,583
"CH07";"Ticino";7,6777
"RO42";"Vest";1,4469
"CH03";"Nordwestschweiz";9,5719
"HU32";"Észak-Alföld";9,4025
"DE93";"Lüneburg";8,2095
"BG41";"Yugozapaden";3,1329
"CZ02";"Střední Čechy";4,9865
"FR63";"Limousin";5,4733
"ITF6";"Calabria";7,3523
"CZ04";"Severozápad";4,4103
"SE31";"Norra Mellansverige";3,5361
"UKD1";"Cumbria";3,3248
"CZ05";"Severovýchod";6,4352
"ITC3";"Liguria";9,3989
"ITH4";"Friuli-Venezia Giulia";3,8189
"NL34";"Zeeland";5,1781
"PL42";"Zachodniopomorskie";2,3187
"ES11";"Galicia";8,7021
"DE14";"Tübingen";6,7546
"MT00";"Malta";4,5862
"DEA2";"Köln";10,6117
"CH02";"Espace Mittelland";1,8214
"DK02";"Sjælland";11,451
"FRY2";"Martinique";1,0723
"IE01";"Border, Midland and Western";9,1105
"EL54";"Thessalia";5,1411
"EL62";"Ionia Nisia";0,0618
"FR25";"Basse-Normandie";5,0051
"FR61";"Aquitaine";11,3188
"DEA5";"Arnsberg";4,5589
"SE11";"Stockholm";3,396
"SI04";"Vzhodna Slovenija";8,6384
"FR82";"Provence-Alpes-Côte d'Azur";8,1969
"BE25";"Prov. West-Vlaanderen";5,4834
"NL41";"Noord-Brabant";3,3404
"LV00";"Latvija";5,2542
"PT16";"Centro (PT)";10,5087
"UKM5";"North Eastern Scotland";2,9064
"FI1B";"Helsinki-Uusimaa";6,4738
"DE26";"Unterfranken";7,611
"ES62";"Región de Murcia";4,4009
"UKE3";"South Yorkshire";7,3102
"UKJ3";"Hampshire and Isle of Wight";8,4633
"NL22";"Gelderland";11,0078
"CZ01";"Praha";7,5408
"EL42";"Notio Aigaio";0,05
"AT21";"Kärnten";1,8225
"DE91";"Braunschweig";9,0811
"FR26";"Bourgogne";6,8681
"ITG1";"Sicilia";8,8623
"IE02";"Southern and Eastern";11,8409
"ES23";"La Rioja";7,2402
"ES24";"Aragón";3,1422
"FR51";"Pays de la Loire";5,8706
"CZ08";"Moravskoslezsko";9,1846
"SK03";"Stredné Slovensko";8,3955
"CH05";"Ostschweiz";5,2844
"UKI1";"Inner London";7,5321
"SE32";"Mellersta Norrland";8,3819
"FR42";"Alsace";11,7931
"ITF5";"Basilicata";6,275
"DEB3";"Rheinhessen-Pfalz";10,24
"FRY4";"Réunion";6,1919
"ES22";"Comunidad Foral de Navarra";5,9562
"UKL1";"West Wales and The Valleys";7,299
"ITI2";"Umbria";6,8628
"UKF1";"Derbyshire and Nottinghamshire";1,7564
"RO41";"Sud-Vest Oltenia";0,5795
"PL32";"Podkarpackie";8,3409
"DE72";"Gießen";6,7482
"UKD4";"Lancashire";6,4162
"ITF1";"Abruzzo";6,9336
"CY00";"Kýpros";7,2655
"FR30";"Nord - Pas-de-Calais";10,8894
"RO12";"Centru";1,1828
"DE13";"Freiburg";8,0706
"LT00";"Lietuva";8,9036
"CZ06";"Jihovýchod";8,8858
"DE92";"Hannover";2,8963
"ES52";"Comunidad Valenciana";8,9423
"UKH3";"Essex";9,7503
"BE33";"Prov. Liège";8,6694
"DE80";"Mecklenburg-Vorpommern";13,4849
"SK02";"Západné Slovensko";5,2987
"FR43";"Franche-Comté";5,4355
"DE22";"Niederbayern";6,0004
"NO05";"Vestlandet";2,8645
"FI20";"Åland";0,5059
"PT11";"Norte";14,4323
"FR62";"Midi-Pyrénées";7,7657
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";13,0223
"BE23";"Prov. Oost-Vlaanderen";10,524
"PT17";"Lisboa";13,1193
"DE11";"Stuttgart";3,5359
"RO11";"Nord-Vest";2,434
"PL52";"Opolskie";2,0481
"FR21";"Champagne-Ardenne";9,2165
"ES30";"Comunidad de Madrid";4,0824
"ES21";"País Vasco";10,0719
"HU22";"Nyugat-Dunántúl";4,2962
"IS01";"Höfuðborgarsvæði";8,0814
"UKJ4";"Kent";7,2545
"DK04";"Midtjylland";2,6145
"DK05";"Nordjylland";1,1143
"DE12";"Karlsruhe";6,6374
"NO04";"Agder og Rogaland";2,0548
"PT30";"Região Autónoma da Madeira";1,648
"NL42";"Limburg (NL)";10,6781
"PL51";"Dolnośląskie";2,5892
"UKF3";"Lincolnshire";2,6094
"CH06";"Zentralschweiz";9,2957
"AT13";"Wien";12,1931
"DE27";"Schwaben";3,1469
"ES51";"Cataluña";9,8151
"FR52";"Bretagne";5,2794
"RO32";"Bucureşti - Ilfov";7,5633
"CZ07";"Střední Morava";10,086
"DED5";"Leipzig";12,3283
"AT34";"Vorarlberg";0,9994
"UKK4";"Devon";3,3003
"DE25";"Mittelfranken";1,7509
"DE73";"Kassel";5,9698
"BG34";"Yugoiztochen";0,7072
"ES42";"Castilla-La Mancha";5,5232
"UKD6";"Cheshire";8,863
"PL34";"Podlaskie";3,4071
"UKE4";"West Yorkshire";10,2004
"EL63";"Dytiki Ellada";3,006
"FR10";"Île de France";2,6461
"ITC4";"Lombardia";8,1001
"EL65";"Peloponnisos";2,9705
"AT32";"Salzburg";7,1022
"UKD7";"Merseyside";6,6701
"UKL2";"East Wales";3,5531
"SE33";"Övre Norrland";7,6824
"FR83";"Corse";1,8126
"ES61";"Andalucía";10,3394
"PL41";"Wielkopolskie";7,3964
"BE34";"Prov. Luxembourg (BE)";3,5717
"ES13";"Cantabria";2,8418
"DE30";"Berlin";10,2539
"NL21";"Overijssel";9,8461
"EL61";"Ipeiros";1,235
"FR41";"Lorraine";7,7716
"FI1C";"Etelä-Suomi";10,4613
"PL22";"Śląskie";6,1689
"FR71";"Rhône-Alpes";10,7598
"UKD3";"Greater Manchester";10,394
"ITC1";"Piemonte";4,2175
"AT11";"Burgenland (AT)";4,2772
"UKC2";"Northumberland and Tyne and Wear";9,4285
"DE24";"Oberfranken";2,3461
"SI03";"Zahodna Slovenija";7,3983
"DE71";"Darmstadt";8,6982
"UKM2";"Eastern Scotland";11,7766
"FR72";"Auvergne";3,5804
"DED2";"Dresden";9,9683
"AT12";"Niederösterreich";8,0398
"UKK2";"Dorset and Somerset";4,219
"NL11";"Groningen";12,4614
"ES41";"Castilla y León";9,0311
"ES53";"Illes Balears";9,9129
"PL21";"Małopolskie";3,8895
"PL63";"Pomorskie";5,3444
"SE22";"Sydsverige";4,6128
"DE40";"Brandenburg";6,993
"BG42";"Yuzhen tsentralen";1,7559
"DED4";"Chemnitz";2,841
"PT20";"Região Autónoma dos Açores";0,319
"BG31";"Severozapaden";0,9232
"BE31";"Prov. Brabant Wallon";11,9426
"FR81";"Languedoc-Roussillon";14,0067
"PL33";"Świętokrzyskie";4,9915
"UKC1";"Tees Valley and Durham";9,5133
"FI1D";"Pohjois- ja Itä-Suomi";6,5175
"UKM6";"Highlands and Islands";4,7716
"UKG2";"Shropshire and Staffordshire";5,0981
"EL52";"Kentriki Makedonia";4,2647
