"id";"name";"value"
"RO12";"Centru";21,3533
"CH07";"Ticino";20,7547
"LV00";"Latvija";2,3747
"UKJ4";"Kent";4,5887
"DE27";"Schwaben";5,9313
"UKK4";"Devon";8,6713
"RO31";"Sud - Muntenia";18,828
"PL21";"Małopolskie";22,274
"FRY4";"Réunion";1,794
"DE92";"Hannover";1,8993
"LT00";"Lietuva";25,9007
"UKE3";"South Yorkshire";24,56
"ITC1";"Piemonte";5,432
"FR41";"Lorraine";3,2507
"ES53";"Illes Balears";17,0967
"EL63";"Dytiki Ellada";6,6553
"ITI2";"Umbria";3,066
"EL52";"Kentriki Makedonia";23,864
"DEA2";"Köln";8,2287
"UKN0";"Northern Ireland";8,46
"RO41";"Sud-Vest Oltenia";4,38
"RO32";"Bucureşti - Ilfov";22,9373
"PL32";"Podkarpackie";9,284
"DEC0";"Saarland";18,8273
"HU23";"Dél-Dunántúl";14,1487
"DE14";"Tübingen";7,8973
"FR83";"Corse";0,15
"FI19";"Länsi-Suomi";18,9893
"DE22";"Niederbayern";9,4833
"IE01";"Border, Midland and Western";18,4227
"EL65";"Peloponnisos";11,9787
"DE26";"Unterfranken";10,8533
"IS01";"Höfuðborgarsvæði";3,3407
"ES12";"Principado de Asturias";5,474
"UKK2";"Dorset and Somerset";3,146
"ITF6";"Calabria";7,0133
"HU31";"Észak-Magyarország";19,7547
"DE94";"Weser-Ems";1,0967
"DK05";"Nordjylland";4,616
"ES24";"Aragón";3,0133
"ITI3";"Marche";5,2833
"PL34";"Podlaskie";1,216
"CY00";"Kýpros";21,7113
"UKK3";"Cornwall and Isles of Scilly";4,8293
"AT33";"Tirol";8,7733
"SE32";"Mellersta Norrland";1,824
"AT13";"Wien";13,6607
"UKF2";"Leicestershire, Rutland and Northamptonshire";4,562
"HR03";"Jadranska Hrvatska";0,96
"ITH1";"Provincia Autonoma di Bolzano/Bozen";3,654
"CZ05";"Severovýchod";9,1787
"BG34";"Yugoiztochen";3,94
"AT12";"Niederösterreich";5,0673
"UKF1";"Derbyshire and Nottinghamshire";2,6193
"FI1B";"Helsinki-Uusimaa";31,3813
"DE30";"Berlin";30,0547
"DK02";"Sjælland";3,732
"FI1D";"Pohjois- ja Itä-Suomi";15,532
"EL64";"Sterea Ellada";14,656
"UKF3";"Lincolnshire";10,0513
"PL42";"Zachodniopomorskie";15,5287
"PT18";"Alentejo";1,956
"BG42";"Yuzhen tsentralen";3,6693
"ITG1";"Sicilia";21,0213
"DEB1";"Koblenz";1,6267
"FR22";"Picardie";0,7847
"BG41";"Yugozapaden";11,016
"ITF3";"Campania";19,9713
"BE23";"Prov. Oost-Vlaanderen";3,9247
"FR53";"Poitou-Charentes";8,3633
"UKC2";"Northumberland and Tyne and Wear";5,1907
"ITF4";"Puglia";5,654
"ITH2";"Provincia Autonoma di Trento";15,6087
"SE12";"Östra Mellansverige";20,496
"UKD1";"Cumbria";3,3707
"ITH5";"Emilia-Romagna";1,3827
"DE13";"Freiburg";11,4407
"EE00";"Eesti";22,2867
"ES62";"Región de Murcia";1,2633
"DE73";"Kassel";2,706
"PT30";"Região Autónoma da Madeira";2,48
"PT20";"Região Autónoma dos Açores";12,674
"CZ02";"Střední Čechy";24,5473
"AT22";"Steiermark";11,4193
"UKD3";"Greater Manchester";9,152
"CH04";"Zürich";26,4713
"PL52";"Opolskie";1,9567
"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";18,166
"HU21";"Közép-Dunántúl";15,8593
"BG33";"Severoiztochen";1,4113
"PT15";"Algarve";1,2807
"FRY1";"Guadeloupe";0,45
"CZ01";"Praha";29,0913
"EL53";"Dytiki Makedonia";0
"ES30";"Comunidad de Madrid";21,5473
"SE22";"Sydsverige";10,5647
"CH01";"Région lémanique";26,454
"ES43";"Extremadura";0,23
"FR71";"Rhône-Alpes";23,64
"UKH2";"Bedfordshire and Hertfordshire";23,3107
"EL61";"Ipeiros";15,0373
"UKM6";"Highlands and Islands";7,7927
"PL62";"Warmińsko-Mazurskie";2,1553
"HU10";"Közép-Magyarország";27,4647
"FR61";"Aquitaine";8,35
"FR72";"Auvergne";2,2547
"UKG3";"West Midlands";5,9573
"SK01";"Bratislavský kraj";22,9327
"DEE0";"Sachsen-Anhalt";12,4027
"NL13";"Drenthe";1,0367
"EL43";"Kriti";7,542
"ITC4";"Lombardia";14,6993
"PL12";"Mazowieckie";12,1133
"ES41";"Castilla y León";14,1187
"RO21";"Nord-Est";19,8153
"UKG1";"Herefordshire, Worcestershire and Warwickshire";5,3393
"SE31";"Norra Mellansverige";6,7593
"FR82";"Provence-Alpes-Côte d'Azur";34,268
"UKH1";"East Anglia";31,4213
"SK04";"Východné Slovensko";4,032
"SK02";"Západné Slovensko";3,156
"DE12";"Karlsruhe";25,0853
"SE11";"Stockholm";22,186
"ES51";"Cataluña";7,1507
"SE33";"Övre Norrland";21,5367
"PL22";"Śląskie";17,5147
"PL63";"Pomorskie";25,512
"CH02";"Espace Mittelland";14,7153
"UKI1";"Inner London";26,2927
"ITF5";"Basilicata";15,4387
"CZ07";"Střední Morava";4,0893
"NO02";"Hedmark og Oppland";19,4553
"BG32";"Severen tsentralen";0,23
"AT34";"Vorarlberg";7,222
"FR81";"Languedoc-Roussillon";10,9553
"ES61";"Andalucía";19,474
"ITI1";"Toscana";3,1567
"UKG2";"Shropshire and Staffordshire";6,8173
"PT11";"Norte";10,232
"FI1C";"Etelä-Suomi";9,7807
"FR26";"Bourgogne";2,6813
"CZ04";"Severozápad";8,3827
"DE23";"Oberpfalz";12,2053
"BG31";"Severozapaden";0,06
"FR10";"Île de France";24,4987
"MT00";"Malta";21,522
"ES11";"Galicia";2,284
"SI04";"Vzhodna Slovenija";12,1893
"SE21";"Småland med öarna";1,1867
"AT11";"Burgenland (AT)";5,0527
"NL42";"Limburg (NL)";2,5113
"NL34";"Zeeland";2,56
"ES70";"Canarias";3,448
"SI03";"Zahodna Slovenija";8,9567
"NO06";"Trøndelag";22,194
"ES64";"Ciudad Autónoma de Melilla";0,45
"DE24";"Oberfranken";20,8453
"FR30";"Nord - Pas-de-Calais";9,5573
"DE80";"Mecklenburg-Vorpommern";9,362
"LU00";"Luxembourg";17,518
"NO07";"Nord-Norge";0,7093
"DK01";"Hovedstaden";4,29
"NO04";"Agder og Rogaland";15,286
"IE02";"Southern and Eastern";33,8113
"DEA5";"Arnsberg";8,7887
"UKH3";"Essex";8,46
"CZ06";"Jihovýchod";7,6287
"PL51";"Dolnośląskie";7,572
"NL12";"Friesland (NL)";0,766
"BE21";"Prov. Antwerpen";10,052
"ITC3";"Liguria";20,4627
"SK03";"Stredné Slovensko";3,1173
"DEB2";"Trier";1,0667
"CH05";"Ostschweiz";3,6687
"ES23";"La Rioja";6,0073
"ES42";"Castilla-La Mancha";20,4327
"BE33";"Prov. Liège";5,386
"UKJ3";"Hampshire and Isle of Wight";12,4927
"BE32";"Prov. Hainaut";3,942
"UKE1";"East Yorkshire and Northern Lincolnshire";7,7227
"DE60";"Hamburg";2,2413
"DE25";"Mittelfranken";31,03
"IS02";"Landsbyggð";2,2867
"DEA3";"Münster";7,12
"FR43";"Franche-Comté";7,0107
"FR51";"Pays de la Loire";3,0547
"CZ08";"Moravskoslezsko";4,2433
"DEA1";"Düsseldorf";6,1247
"ES22";"Comunidad Foral de Navarra";5,466
"FR52";"Bretagne";28,396
"FR62";"Midi-Pyrénées";9,544
"ES52";"Comunidad Valenciana";5,0727
"HU32";"Észak-Alföld";16,4513
"PL43";"Lubuskie";10,0833
"DE11";"Stuttgart";21,8367
"NL41";"Noord-Brabant";32,5367
"DE40";"Brandenburg";18,2547
"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";34,9913
"PL61";"Kujawsko-Pomorskie";8,1867
"UKM5";"North Eastern Scotland";12,7487
"PT17";"Lisboa";19,49
"DED2";"Dresden";20,8587
"ES21";"País Vasco";18,042
"ITF2";"Molise";14,674
"UKJ2";"Surrey, East and West Sussex";33,2867
"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";20,3493
"CZ03";"Jihozápad";6,6787
"CH03";"Nordwestschweiz";7,3013
"NO05";"Vestlandet";5,5373
"ITH3";"Veneto";7,586
"BE35";"Prov. Namur";4,1347
"DEA4";"Detmold";2,21
"ITH4";"Friuli-Venezia Giulia";5,5973
"PL11";"Łódzkie";5,3273
"DE21";"Oberbayern";37,2147
"UKC1";"Tees Valley and Durham";10,914
"UKD7";"Merseyside";3,4047
"DEB3";"Rheinhessen-Pfalz";4,0327
"NL22";"Gelderland";7,8573
"NO03";"Sør-Østlandet";5,526
"FR42";"Alsace";5,1887
"EL41";"Voreio Aigaio";0,32
"FR63";"Limousin";6,3193
"DK03";"Syddanmark";0,5107
"FR25";"Basse-Normandie";12,9747
"HU22";"Nyugat-Dunántúl";6,4553
"DE93";"Lüneburg";1,9527
"RO42";"Vest";27,3713
"DEF0";"Schleswig-Holstein";3,236
"FR24";"Centre";7,8093
"ES13";"Cantabria";0,2893
"DED5";"Leipzig";24,902
"HU33";"Dél-Alföld";2,7107
"NL11";"Groningen";3,6093
"DE71";"Darmstadt";8,31
"BE22";"Prov. Limburg (BE)";12,7473
"BE31";"Prov. Brabant Wallon";5,1307
"UKM2";"Eastern Scotland";16,226
"NO01";"Oslo og Akershus";13,202
"DEG0";"Thüringen";11,5547
"UKL1";"West Wales and The Valleys";3,9447
"HR04";"Kontinentalna Hrvatska";22,6187
"EL62";"Ionia Nisia";0
"ITC2";"Valle d'Aosta/Vallée d'Aoste";9,83
"FR21";"Champagne-Ardenne";5,3713
"UKD6";"Cheshire";6,5893
"PL33";"Świętokrzyskie";5,254
"EL30";"Attiki";12,4333
"UKM3";"South Western Scotland";10,532
"BE25";"Prov. West-Vlaanderen";1,3847
"UKE2";"North Yorkshire";16,808
"UKD4";"Lancashire";4,8127
"EL51";"Anatoliki Makedonia, Thraki";2,3947
"CH06";"Zentralschweiz";9,0907
"RO11";"Nord-Vest";20,7193
"ITG2";"Sardegna";3,734
"EL54";"Thessalia";2,0587
"RO22";"Sud-Est";18,152
"PL31";"Lubelskie";4,676
"NL21";"Overijssel";6,036
"DED4";"Chemnitz";13,15
"FR23";"Haute-Normandie";1,2007
"PL41";"Wielkopolskie";15,4407
"AT31";"Oberösterreich";5,16
"UKE4";"West Yorkshire";8,5647
"PT16";"Centro (PT)";18,1207
"DE50";"Bremen";11,9513
"AT32";"Salzburg";6,8047
"ITI4";"Lazio";25,6593
"FI20";"Åland";0,0153
"EL42";"Notio Aigaio";0
"BE34";"Prov. Luxembourg (BE)";4,5287
"DK04";"Midtjylland";0,7093
"BE24";"Prov. Vlaams-Brabant";32,5673
"UKI2";"Outer London";26,202
"UKL2";"East Wales";13,586
"ITF1";"Abruzzo";9,9287
"DE91";"Braunschweig";24,6933
"AT21";"Kärnten";28,9513
"DE72";"Gießen";3,2187
"FRY3";"Guyane";0
"FRY2";"Martinique";1,1273
"SE23";"Västsverige";5,4953
