"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Smart Industry & Industrie 4.0 - Additive manufacturing","UKG2","NL21",63.71,10.95,0,0,0,0,0,31,25,28,0.0043,0.1757,-0.1757,0,"Shropshire and Staffordshire","Manufacturing & MaterialTech","NL21","east","UKG2",76.1146,76.1146
"Smart Industry & Industrie 4.0 - Additive manufacturing","ES12","NL21",63.71,9.57,0,0,0,0,0,25,10,17.5,0.0027,0.1098,-0.1098,0,"Principado de Asturias","Manufacturing & MaterialTech","NL21","east","ES12",66.242,66.242
"Smart Industry & Industrie 4.0 - Additive manufacturing","DE25","NL21",63.71,11.36,0,0,0,0,0,152,25,88.5,0.0135,0.5555,-0.5555,0,"Mittelfranken","Manufacturing & MaterialTech","NL21","east","DE25",79.9363,79.9363
"Smart Industry & Industrie 4.0 - Additive manufacturing","FR25","NL21",63.71,4.41,0,0,0,0,0,25,0,12.5,0.0019,0.0785,-0.0785,0,"Basse-Normandie","Manufacturing & MaterialTech","NL21","east","FR25",31.3694,31.3694
"Smart Industry & Industrie 4.0 - Additive manufacturing","ES22","NL21",63.71,6.34,0,0,0,0,0,25,3,14,0.0021,0.0879,-0.0879,0,"Comunidad Foral de Navarra","Manufacturing & MaterialTech","NL21","east","ES22",41.4013,41.4013
"Smart Industry & Industrie 4.0 - Additive manufacturing","UKI2","NL21",63.71,7.71,0,0,0,0,0,25,11,18,0.0028,0.113,-0.113,0,"Outer London","Manufacturing & MaterialTech","NL21","east","UKI2",52.8662,52.8662
"Smart Industry & Industrie 4.0 - Additive manufacturing","PL22","NL21",63.71,9.23,0,0,0,0,0,25,29,27,0.0041,0.1695,-0.1695,0,"Śląskie","Manufacturing & MaterialTech","NL21","east","PL22",64.3312,64.3312
"Smart Industry & Industrie 4.0 - Additive manufacturing","HR04","NL21",63.71,3.31,0,0,0,0,0,25,1,13,0.002,0.0816,-0.0816,0,"Kontinentalna Hrvatska","Manufacturing & MaterialTech","NL21","east","HR04",29.2994,29.2994
"Smart Industry & Industrie 4.0 - Additive manufacturing","AT34","NL21",63.71,14.39,0,0,0,0,0,29,25,27,0.0041,0.1695,-0.1695,0,"Vorarlberg","Manufacturing & MaterialTech","NL21","east","AT34",93.1529,93.1529
"Smart Industry & Industrie 4.0 - Additive manufacturing","PL52","NL21",63.71,3.37,0,0,0,0,0,25,0,12.5,0.0019,0.0785,-0.0785,0,"Opolskie","Manufacturing & MaterialTech","NL21","east","PL52",29.6178,29.6178
