"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"MedTech en Connected Health";"EL61";"NL22";7,99;42,58;0;0;0;0;0;8;0;4;7e-04;0,0265;-0,0265;0;"Ipeiros";"Prevention & MedTech";"NL22";"east";"EL61";69,7987;69,7987
"MedTech en Connected Health";"ITH1";"NL22";7,99;19,05;0;0;0;0;0;8;1;4,5;8e-04;0,0298;-0,0298;0;"Provincia Autonoma di Bolzano/Bozen";"Prevention & MedTech";"NL22";"east";"ITH1";40,0447;40,0447
"MedTech en Connected Health";"CH02";"NL22";7,99;23,53;0;0;0;0;0;57;8;32,5;0,0057;0,2154;-0,2154;0;"Espace Mittelland";"Prevention & MedTech";"NL22";"east";"CH02";48,0984;48,0984
"MedTech en Connected Health";"ES61";"NL22";7,99;23,53;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Andalucía";"Prevention & MedTech";"NL22";"east";"ES61";48,0984;48,0984
"MedTech en Connected Health";"SI03";"NL22";7,99;14,31;0;0;0;0;0;8;3;5,5;0,001;0,0365;-0,0365;0;"Zahodna Slovenija";"Prevention & MedTech";"NL22";"east";"SI03";31,3199;31,3199
"MedTech en Connected Health";"FR43";"NL22";7,99;10,62;0;0;0;0;0;8;1;4,5;8e-04;0,0298;-0,0298;0;"Franche-Comté";"Prevention & MedTech";"NL22";"east";"FR43";24,3848;24,3848
"MedTech en Connected Health";"FRY2";"NL22";7,99;43,02;0;0;0;0;0;8;0;4;7e-04;0,0265;-0,0265;0;"Martinique";"Prevention & MedTech";"NL22";"east";"FRY2";72,0358;72,0358
"MedTech en Connected Health";"SE23";"NL22";7,99;9,57;0;0;0;0;0;11;8;9,5;0,0017;0,063;-0,063;0;"Västsverige";"Prevention & MedTech";"NL22";"east";"SE23";21,9239;21,9239
"MedTech en Connected Health";"CH03";"NL22";7,99;45,74;2;8,6957;1;12,5;0,0265;89;8;48,5;0,0085;0,3215;0,6785;3,1105;"Nordwestschweiz";"Prevention & MedTech";"NL22";"east";"CH03";25,5034;25,5034
"MedTech en Connected Health";"HU10";"NL22";7,99;54,17;0;0;0;0;0;36;8;22;0,0039;0,1458;-0,1458;0;"Közép-Magyarország";"Prevention & MedTech";"NL22";"east";"HU10";84,1163;84,1163
"MedTech en Connected Health";"LT00";"NL22";7,99;64,18;0;0;0;0;0;8;2;5;9e-04;0,0332;-0,0332;0;"Lietuva";"Prevention & MedTech";"NL22";"east";"LT00";92,17;92,17
"MedTech en Connected Health";"FR42";"NL22";7,99;11,5;0;0;0;0;0;8;16;12;0,0021;0,0796;-0,0796;0;"Alsace";"Prevention & MedTech";"NL22";"east";"FR42";25,5034;25,5034
"MedTech en Connected Health";"UKD1";"NL22";7,99;14,05;0;0;0;0;0;8;0;4;7e-04;0,0265;-0,0265;0;"Cumbria";"Prevention & MedTech";"NL22";"east";"UKD1";30,6488;30,6488
"MedTech en Connected Health";"ITC4";"NL22";7,99;8,6;0;0;0;0;0;37;8;22,5;0,004;0,1492;-0,1492;0;"Lombardia";"Prevention & MedTech";"NL22";"east";"ITC4";19,6868;19,6868
"MedTech en Connected Health";"ITF5";"NL22";7,99;61,19;0;0;0;0;0;8;1;4,5;8e-04;0,0298;-0,0298;0;"Basilicata";"Prevention & MedTech";"NL22";"east";"ITF5";90,3803;90,3803
"MedTech en Connected Health";"AT13";"NL22";7,99;63,04;0;0;0;0;0;35;8;21,5;0,0038;0,1425;-0,1425;0;"Wien";"Prevention & MedTech";"NL22";"east";"AT13";91,7226;91,7226
"MedTech en Connected Health";"ES41";"NL22";7,99;17,73;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Castilla y León";"Prevention & MedTech";"NL22";"east";"ES41";37,8076;37,8076
"MedTech en Connected Health";"SI04";"NL22";7,99;31,78;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Vzhodna Slovenija";"Prevention & MedTech";"NL22";"east";"SI04";58,613;58,613
"MedTech en Connected Health";"UKJ4";"NL22";7,99;19,05;0;0;0;0;0;2;8;5;9e-04;0,0332;-0,0332;0;"Kent";"Prevention & MedTech";"NL22";"east";"UKJ4";40,0447;40,0447
"MedTech en Connected Health";"ITI1";"NL22";7,99;28,53;0;0;0;0;0;8;6;7;0,0012;0,0464;-0,0464;0;"Toscana";"Prevention & MedTech";"NL22";"east";"ITI1";53,915;53,915
"MedTech en Connected Health";"DED2";"NL22";7,99;10,36;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Dresden";"Prevention & MedTech";"NL22";"east";"DED2";23,7136;23,7136
"MedTech en Connected Health";"PL22";"NL22";7,99;28,8;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Śląskie";"Prevention & MedTech";"NL22";"east";"PL22";54,5861;54,5861
"MedTech en Connected Health";"DE14";"NL22";7,99;21,69;0;0;0;0;0;34;8;21;0,0037;0,1392;-0,1392;0;"Tübingen";"Prevention & MedTech";"NL22";"east";"DE14";44,9664;44,9664
"MedTech en Connected Health";"ITC3";"NL22";7,99;66,81;0;0;0;0;0;8;8;8;0,0014;0,053;-0,053;0;"Liguria";"Prevention & MedTech";"NL22";"east";"ITC3";94,8546;94,8546
"MedTech en Connected Health";"ITH2";"NL22";7,99;20,46;0;0;0;0;0;8;3;5,5;0,001;0,0365;-0,0365;0;"Provincia Autonoma di Trento";"Prevention & MedTech";"NL22";"east";"ITH2";42,953;42,953
"MedTech en Connected Health";"PT18";"NL22";7,99;6,06;0;0;0;0;0;8;2;5;9e-04;0,0332;-0,0332;0;"Alentejo";"Prevention & MedTech";"NL22";"east";"PT18";9,8434;9,8434
"MedTech en Connected Health";"SE22";"NL22";7,99;33,01;0;0;0;0;0;39;8;23,5;0,0041;0,1558;-0,1558;0;"Sydsverige";"Prevention & MedTech";"NL22";"east";"SE22";61,5213;61,5213
"MedTech en Connected Health";"UKG3";"NL22";7,99;18,35;0;0;0;0;0;8;8;8;0,0014;0,053;-0,053;0;"West Midlands";"Prevention & MedTech";"NL22";"east";"UKG3";38,9262;38,9262
"MedTech en Connected Health";"CZ05";"NL22";7,99;25,02;0;0;0;0;0;8;1;4,5;8e-04;0,0298;-0,0298;0;"Severovýchod";"Prevention & MedTech";"NL22";"east";"CZ05";50,1119;50,1119
"MedTech en Connected Health";"DEB3";"NL22";7,99;5,53;0;0;0;0;0;24;8;16;0,0028;0,1061;-0,1061;0;"Rheinhessen-Pfalz";"Prevention & MedTech";"NL22";"east";"DEB3";9,396;9,396
"MedTech en Connected Health";"SE21";"NL22";7,99;7,99;0;0;0;0;0;8;12;10;0,0018;0,0663;-0,0663;0;"Småland med öarna";"Prevention & MedTech";"NL22";"east";"SE21";17,4497;17,4497
"MedTech en Connected Health";"BE33";"NL22";7,99;9,22;0;0;0;0;0;8;11;9,5;0,0017;0,063;-0,063;0;"Prov. Liège";"Prevention & MedTech";"NL22";"east";"BE33";21,0291;21,0291
"MedTech en Connected Health";"RO11";"NL22";7,99;60,05;0;0;0;0;0;8;2;5;9e-04;0,0332;-0,0332;0;"Nord-Vest";"Prevention & MedTech";"NL22";"east";"RO11";89,038;89,038
"MedTech en Connected Health";"FR61";"NL22";7,99;12,47;0;0;0;0;0;11;8;9,5;0,0017;0,063;-0,063;0;"Aquitaine";"Prevention & MedTech";"NL22";"east";"FR61";28,1879;28,1879
"MedTech en Connected Health";"CZ04";"NL22";7,99;13,61;0;0;0;0;0;8;0;4;7e-04;0,0265;-0,0265;0;"Severozápad";"Prevention & MedTech";"NL22";"east";"CZ04";29,9776;29,9776
"MedTech en Connected Health";"BE22";"NL22";7,99;26,95;0;0;0;0;0;4;8;6;0,0011;0,0398;-0,0398;0;"Prov. Limburg (BE)";"Prevention & MedTech";"NL22";"east";"BE22";51,9016;51,9016
"MedTech en Connected Health";"UKK3";"NL22";7,99;33,71;0;0;0;0;0;8;2;5;9e-04;0,0332;-0,0332;0;"Cornwall and Isles of Scilly";"Prevention & MedTech";"NL22";"east";"UKK3";62,4161;62,4161
"MedTech en Connected Health";"DEB1";"NL22";7,99;11,06;0;0;0;0;0;5;8;6,5;0,0011;0,0431;-0,0431;0;"Koblenz";"Prevention & MedTech";"NL22";"east";"DEB1";25,0559;25,0559
"MedTech en Connected Health";"AT12";"NL22";7,99;16,77;0;0;0;0;0;21;8;14,5;0,0025;0,0961;-0,0961;0;"Niederösterreich";"Prevention & MedTech";"NL22";"east";"AT12";34,4519;34,4519
"MedTech en Connected Health";"DEA5";"NL22";7,99;6,41;0;0;0;0;0;15;8;11,5;0,002;0,0762;-0,0762;0;"Arnsberg";"Prevention & MedTech";"NL22";"east";"DEA5";11,1857;11,1857
"MedTech en Connected Health";"FI1C";"NL22";7,99;9,31;0;0;0;0;0;13;8;10,5;0,0018;0,0696;-0,0696;0;"Etelä-Suomi";"Prevention & MedTech";"NL22";"east";"FI1C";21,4765;21,4765
"MedTech en Connected Health";"UKH2";"NL22";7,99;29,24;0;0;0;0;0;16;8;12;0,0021;0,0796;-0,0796;0;"Bedfordshire and Hertfordshire";"Prevention & MedTech";"NL22";"east";"UKH2";56,3758;56,3758
"MedTech en Connected Health";"CY00";"NL22";7,99;67,16;0;0;0;0;0;4;8;6;0,0011;0,0398;-0,0398;0;"Kýpros";"Prevention & MedTech";"NL22";"east";"CY00";95,302;95,302
"MedTech en Connected Health";"ITF1";"NL22";7,99;5,09;0;0;0;0;0;8;2;5;9e-04;0,0332;-0,0332;0;"Abruzzo";"Prevention & MedTech";"NL22";"east";"ITF1";8,0537;8,0537
"MedTech en Connected Health";"UKM3";"NL22";7,99;32,57;0;0;0;0;0;4;8;6;0,0011;0,0398;-0,0398;0;"South Western Scotland";"Prevention & MedTech";"NL22";"east";"UKM3";60,6264;60,6264
"MedTech en Connected Health";"FR41";"NL22";7,99;5,27;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Lorraine";"Prevention & MedTech";"NL22";"east";"FR41";8,7248;8,7248
"MedTech en Connected Health";"UKE4";"NL22";7,99;51,54;0;0;0;0;0;8;7;7,5;0,0013;0,0497;-0,0497;0;"West Yorkshire";"Prevention & MedTech";"NL22";"east";"UKE4";81,8792;81,8792
"MedTech en Connected Health";"UKK2";"NL22";7,99;17,03;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Dorset and Somerset";"Prevention & MedTech";"NL22";"east";"UKK2";35,3468;35,3468
"MedTech en Connected Health";"DE73";"NL22";7,99;32,22;0;0;0;0;0;18;8;13;0,0023;0,0862;-0,0862;0;"Kassel";"Prevention & MedTech";"NL22";"east";"DE73";59,9553;59,9553
"MedTech en Connected Health";"PL41";"NL22";7,99;57,95;0;0;0;0;0;8;4;6;0,0011;0,0398;-0,0398;0;"Wielkopolskie";"Prevention & MedTech";"NL22";"east";"PL41";86,8009;86,8009
"MedTech en Connected Health";"NL11";"NL22";7,99;46,09;0;0;0;0;0;8;6;7;0,0012;0,0464;-0,0464;0;"Groningen";"Prevention & MedTech";"NL22";"east";"NL11";77,4049;77,4049
"MedTech en Connected Health";"UKJ2";"NL22";7,99;43,81;0;0;0;0;0;19;8;13,5;0,0024;0,0895;-0,0895;0;"Surrey, East and West Sussex";"Prevention & MedTech";"NL22";"east";"UKJ2";73,3781;73,3781
"MedTech en Connected Health";"UKJ1";"NL22";7,99;71,64;0;0;0;0;0;95;8;51,5;0,009;0,3414;-0,3414;0;"Berkshire, Buckinghamshire and Oxfordshire";"Prevention & MedTech";"NL22";"east";"UKJ1";97,5391;97,5391
"MedTech en Connected Health";"EL43";"NL22";7,99;51,62;0;0;0;0;0;3;8;5,5;0,001;0,0365;-0,0365;0;"Kriti";"Prevention & MedTech";"NL22";"east";"EL43";82,3266;82,3266
"MedTech en Connected Health";"ES30";"NL22";7,99;45,92;0;0;0;0;0;24;8;16;0,0028;0,1061;-0,1061;0;"Comunidad de Madrid";"Prevention & MedTech";"NL22";"east";"ES30";76,9575;76,9575
"MedTech en Connected Health";"DE21";"NL22";7,99;30,55;0;0;0;0;0;166;8;87;0,0153;0,5767;-0,5767;0;"Oberbayern";"Prevention & MedTech";"NL22";"east";"DE21";57,047;57,047
"MedTech en Connected Health";"BE24";"NL22";7,99;57,86;0;0;0;0;0;59;8;33,5;0,0059;0,2221;-0,2221;0;"Prov. Vlaams-Brabant";"Prevention & MedTech";"NL22";"east";"BE24";86,1298;86,1298
"MedTech en Connected Health";"CZ01";"NL22";7,99;38,45;0;0;0;0;0;8;2;5;9e-04;0,0332;-0,0332;0;"Praha";"Prevention & MedTech";"NL22";"east";"CZ01";66,2192;66,2192
"MedTech en Connected Health";"ES24";"NL22";7,99;7,73;0;0;0;0;0;8;1;4,5;8e-04;0,0298;-0,0298;0;"Aragón";"Prevention & MedTech";"NL22";"east";"ES24";15,8837;15,8837
