"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","NO04","NL22",53.65,9.9,0,0,0,0,0,26,4,15,0.002,0.088,-0.088,0,"Agder og Rogaland","Manufacturing & MaterialTech","NL22","east","NO04",51.0574,51.0574
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","AT11","NL22",53.65,16.5,0,0,0,0,0,26,10,18,0.0024,0.1055,-0.1055,0,"Burgenland (AT)","Manufacturing & MaterialTech","NL22","east","AT11",83.0816,83.0816
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","FR21","NL22",53.65,16.82,0,0,0,0,0,26,14,20,0.0026,0.1173,-0.1173,0,"Champagne-Ardenne","Manufacturing & MaterialTech","NL22","east","FR21",84.29,84.29
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","NL31","NL22",53.65,9.19,2,3.9216,1,3.8462,0.0223,26,9,17.5,0.0023,0.1026,0.8974,9.7433,"Utrecht","Manufacturing & MaterialTech","NL22","east","NL31",12.5378,12.5378
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","BE24","NL22",53.65,15.2,0,0,0,0,0,26,52,39,0.0051,0.2287,-0.2287,0,"Prov. Vlaams-Brabant","Manufacturing & MaterialTech","NL22","east","BE24",75.8308,75.8308
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","ITC3","NL22",53.65,7.19,0,0,0,0,0,26,0,13,0.0017,0.0762,-0.0762,0,"Liguria","Manufacturing & MaterialTech","NL22","east","ITC3",40.7855,40.7855
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","UKN0","NL22",53.65,10.38,0,0,0,0,0,26,1,13.5,0.0018,0.0792,-0.0792,0,"Northern Ireland","Manufacturing & MaterialTech","NL22","east","UKN0",53.7764,53.7764
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","DK03","NL22",53.65,10.76,0,0,0,0,0,26,33,29.5,0.0039,0.173,-0.173,0,"Syddanmark","Manufacturing & MaterialTech","NL22","east","DK03",56.1934,56.1934
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","FR61","NL22",53.65,15.41,0,0,0,0,0,23,26,24.5,0.0032,0.1437,-0.1437,0,"Aquitaine","Manufacturing & MaterialTech","NL22","east","FR61",77.4924,77.4924
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","SE32","NL22",53.65,10.22,0,0,0,0,0,26,4,15,0.002,0.088,-0.088,0,"Mellersta Norrland","Manufacturing & MaterialTech","NL22","east","SE32",52.2659,52.2659
"Nieuwe, duurzame en geavanceerde materialen - Composite materials","DE71","NL22",53.65,18.23,0,0,0,0,0,189,26,107.5,0.0141,0.6304,-0.6304,0,"Darmstadt","Manufacturing & MaterialTech","NL22","east","DE71",87.3112,87.3112
