"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Smart Industry & Industrie 4.0 - Autonomous robots","DK04","NL22",18.72,47.53,0,0,0,0,0,8,7,7.5,0.0035,0.0564,-0.0564,0,"Midtjylland","Manufacturing & MaterialTech","NL22","east","DK04",85.8439,85.8439
"Smart Industry & Industrie 4.0 - Autonomous robots","UKE2","NL22",18.72,39.92,0,0,0,0,0,1,7,4,0.0019,0.0301,-0.0301,0,"North Yorkshire","Manufacturing & MaterialTech","NL22","east","UKE2",76.0436,76.0436
"Smart Industry & Industrie 4.0 - Autonomous robots","UKM2","NL22",18.72,15.12,0,0,0,0,0,3,7,5,0.0023,0.0376,-0.0376,0,"Eastern Scotland","Manufacturing & MaterialTech","NL22","east","UKM2",57.7132,57.7132
"Smart Industry & Industrie 4.0 - Autonomous robots","DE25","NL22",18.72,54.42,0,0,0,0,0,55,7,31,0.0146,0.233,-0.233,0,"Mittelfranken","Manufacturing & MaterialTech","NL22","east","DE25",93.4664,93.4664
"Smart Industry & Industrie 4.0 - Autonomous robots","PL63","NL22",18.72,37.55,0,0,0,0,0,7,2,4.5,0.0021,0.0338,-0.0338,0,"Pomorskie","Manufacturing & MaterialTech","NL22","east","PL63",72.9583,72.9583
"Smart Industry & Industrie 4.0 - Autonomous robots","HU10","NL22",18.72,54.94,0,0,0,0,0,21,7,14,0.0066,0.1052,-0.1052,0,"Közép-Magyarország","Manufacturing & MaterialTech","NL22","east","HU10",94.0109,94.0109
"Smart Industry & Industrie 4.0 - Autonomous robots","ITH2","NL22",18.72,48.25,0,0,0,0,0,4,7,5.5,0.0026,0.0413,-0.0413,0,"Provincia Autonoma di Trento","Manufacturing & MaterialTech","NL22","east","ITH2",86.5699,86.5699
"Smart Industry & Industrie 4.0 - Autonomous robots","NL11","NL22",18.72,9.57,0,0,0,0,0,7,1,4,0.0019,0.0301,-0.0301,0,"Groningen","Manufacturing & MaterialTech","NL22","east","NL11",41.0163,41.0163
"Smart Industry & Industrie 4.0 - Autonomous robots","DE80","NL22",18.72,9.36,0,0,0,0,0,7,2,4.5,0.0021,0.0338,-0.0338,0,"Mecklenburg-Vorpommern","Manufacturing & MaterialTech","NL22","east","DE80",39.3829,39.3829
"Smart Industry & Industrie 4.0 - Autonomous robots","DE23","NL22",18.72,51.85,0,0,0,0,0,14,7,10.5,0.0049,0.0789,-0.0789,0,"Oberpfalz","Manufacturing & MaterialTech","NL22","east","DE23",90.5626,90.5626
"Smart Industry & Industrie 4.0 - Autonomous robots","FR22","NL22",18.72,9.26,0,0,0,0,0,7,6,6.5,0.0031,0.0489,-0.0489,0,"Picardie","Manufacturing & MaterialTech","NL22","east","FR22",38.4755,38.4755
"Smart Industry & Industrie 4.0 - Autonomous robots","FI1C","NL22",18.72,12.55,0,0,0,0,0,7,2,4.5,0.0021,0.0338,-0.0338,0,"Etelä-Suomi","Manufacturing & MaterialTech","NL22","east","FI1C",51.3612,51.3612
"Smart Industry & Industrie 4.0 - Autonomous robots","PL61","NL22",18.72,37.24,0,0,0,0,0,7,1,4,0.0019,0.0301,-0.0301,0,"Kujawsko-Pomorskie","Manufacturing & MaterialTech","NL22","east","PL61",72.4138,72.4138
"Smart Industry & Industrie 4.0 - Autonomous robots","UKK1","NL22",18.72,57.61,0,0,0,0,0,22,7,14.5,0.0068,0.109,-0.109,0,"Gloucestershire, Wiltshire and Bristol/Bath area","Manufacturing & MaterialTech","NL22","east","UKK1",96.9147,96.9147
"Smart Industry & Industrie 4.0 - Autonomous robots","IE01","NL22",18.72,13.89,0,0,0,0,0,1,7,4,0.0019,0.0301,-0.0301,0,"Border, Midland and Western","Manufacturing & MaterialTech","NL22","east","IE01",54.9909,54.9909
"Smart Industry & Industrie 4.0 - Autonomous robots","UKG2","NL22",18.72,17.49,0,0,0,0,0,7,0,3.5,0.0016,0.0263,-0.0263,0,"Shropshire and Staffordshire","Manufacturing & MaterialTech","NL22","east","UKG2",62.9764,62.9764
"Smart Industry & Industrie 4.0 - Autonomous robots","DE40","NL22",18.72,15.74,0,0,0,0,0,26,7,16.5,0.0077,0.124,-0.124,0,"Brandenburg","Manufacturing & MaterialTech","NL22","east","DE40",58.9837,58.9837
"Smart Industry & Industrie 4.0 - Autonomous robots","DK02","NL22",18.72,10.49,0,0,0,0,0,0,7,3.5,0.0016,0.0263,-0.0263,0,"Sjælland","Manufacturing & MaterialTech","NL22","east","DK02",44.4646,44.4646
"Smart Industry & Industrie 4.0 - Autonomous robots","UKJ3","NL22",18.72,12.04,0,0,0,0,0,7,1,4,0.0019,0.0301,-0.0301,0,"Hampshire and Isle of Wight","Manufacturing & MaterialTech","NL22","east","UKJ3",49.0018,49.0018
"Smart Industry & Industrie 4.0 - Autonomous robots","DEB1","NL22",18.72,46.81,0,0,0,0,0,9,7,8,0.0038,0.0601,-0.0601,0,"Koblenz","Manufacturing & MaterialTech","NL22","east","DEB1",85.118,85.118
"Smart Industry & Industrie 4.0 - Autonomous robots","DE21","NL22",18.72,63.48,0,0,0,0,0,178,7,92.5,0.0434,0.6952,-0.6952,0,"Oberbayern","Manufacturing & MaterialTech","NL22","east","DE21",98.9111,98.9111
"Smart Industry & Industrie 4.0 - Autonomous robots","NO04","NL22",18.72,55.66,0,0,0,0,0,24,7,15.5,0.0073,0.1165,-0.1165,0,"Agder og Rogaland","Manufacturing & MaterialTech","NL22","east","NO04",95.2813,95.2813
"Smart Industry & Industrie 4.0 - Autonomous robots","DK03","NL22",18.72,55.56,0,0,0,0,0,24,7,15.5,0.0073,0.1165,-0.1165,0,"Syddanmark","Manufacturing & MaterialTech","NL22","east","DK03",94.7368,94.7368
