"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Nanotechnologie en fotonica - Nanotechnologies","DE60","east",12953.0333,8.8914,0,0,0,0,0,12,21,16.5,0.0039,0.1078,-0.1078,0,"Hamburg","Manufacturing & MaterialTech","east","east","DE60",40.7482,40.7482
"Nanotechnologie en fotonica - Nanotechnologies","ES24","east",12953.0333,7.9833,0,0,0,0,0,12,10,11,0.0026,0.0719,-0.0719,0,"Aragón","Manufacturing & MaterialTech","east","east","ES24",31.0415,31.0415
"Nanotechnologie en fotonica - Nanotechnologies","DE91","east",12953.0333,13.43,0,0,0,0,0,12,21,16.5,0.0039,0.1078,-0.1078,0,"Braunschweig","Manufacturing & MaterialTech","east","east","DE91",71.2841,71.2841
"Nanotechnologie en fotonica - Nanotechnologies","LU00","east",12953.0333,10.4524,0,0,0,0,0,12,11,11.5,0.0028,0.0751,-0.0751,0,"Luxembourg","Manufacturing & MaterialTech","east","east","LU00",48.8372,48.8372
"Nanotechnologie en fotonica - Nanotechnologies","UKF1","east",12953.0333,2.8905,0,0,0,0,0,12,2,7,0.0017,0.0457,-0.0457,0,"Derbyshire and Nottinghamshire","Manufacturing & MaterialTech","east","east","UKF1",14.8635,14.8635
"Nanotechnologie en fotonica - Nanotechnologies","BE31","east",12953.0333,18.5038,0,0,0,0,0,12,37,24.5,0.0059,0.16,-0.16,0,"Prov. Brabant Wallon","Manufacturing & MaterialTech","east","east","BE31",93.5288,93.5288
"Nanotechnologie en fotonica - Nanotechnologies","DE73","east",12953.0333,10.4171,0,0,0,0,0,12,11,11.5,0.0028,0.0751,-0.0751,0,"Kassel","Manufacturing & MaterialTech","east","east","DE73",48.4328,48.4328
"Nanotechnologie en fotonica - Nanotechnologies","CH07","east",12953.0333,13.6424,0,0,0,0,0,7,12,9.5,0.0023,0.0621,-0.0621,0,"Ticino","Manufacturing & MaterialTech","east","east","CH07",74.9242,74.9242
"Nanotechnologie en fotonica - Nanotechnologies","DK02","east",12953.0333,14.5986,0,0,0,0,0,12,12,12,0.0029,0.0784,-0.0784,0,"Sjælland","Manufacturing & MaterialTech","east","east","DK02",80.9909,80.9909
"Nanotechnologie en fotonica - Nanotechnologies","FR26","east",12953.0333,10.1862,0,0,0,0,0,12,5,8.5,0.002,0.0555,-0.0555,0,"Bourgogne","Manufacturing & MaterialTech","east","east","FR26",48.0283,48.0283
"Nanotechnologie en fotonica - Nanotechnologies","FR21","east",12953.0333,17.2633,0,0,0,0,0,12,6,9,0.0022,0.0588,-0.0588,0,"Champagne-Ardenne","Manufacturing & MaterialTech","east","east","FR21",91.5066,91.5066
"Nanotechnologie en fotonica - Nanotechnologies","DE26","east",12953.0333,21.591,0,0,0,0,0,34,12,23,0.0055,0.1502,-0.1502,0,"Unterfranken","Manufacturing & MaterialTech","east","east","DE26",96.7644,96.7644
"Nanotechnologie en fotonica - Nanotechnologies","DEB3","east",12953.0333,20.5024,0,0,0,0,0,12,137,74.5,0.0178,0.4866,-0.4866,0,"Rheinhessen-Pfalz","Manufacturing & MaterialTech","east","east","DEB3",95.9555,95.9555
"Nanotechnologie en fotonica - Nanotechnologies","DK03","east",12953.0333,2.6943,0,0,0,0,0,12,5,8.5,0.002,0.0555,-0.0555,0,"Syddanmark","Manufacturing & MaterialTech","east","east","DK03",14.459,14.459
"Nanotechnologie en fotonica - Nanotechnologies","DE11","east",12953.0333,11.3733,0,0,0,0,0,50,12,31,0.0074,0.2025,-0.2025,0,"Stuttgart","Manufacturing & MaterialTech","east","east","DE11",56.5217,56.5217
"Nanotechnologie en fotonica - Nanotechnologies","DE23","east",12953.0333,14.8967,0,0,0,0,0,12,21,16.5,0.0039,0.1078,-0.1078,0,"Oberpfalz","Manufacturing & MaterialTech","east","east","DE23",82.2042,82.2042
"Nanotechnologie en fotonica - Nanotechnologies","UKJ2","east",12953.0333,7.2867,0,0,0,0,0,12,8,10,0.0024,0.0653,-0.0653,0,"Surrey, East and West Sussex","Manufacturing & MaterialTech","east","east","UKJ2",27.8059,27.8059
"Nanotechnologie en fotonica - Nanotechnologies","FR41","east",12953.0333,11.5171,0,0,0,0,0,12,5,8.5,0.002,0.0555,-0.0555,0,"Lorraine","Manufacturing & MaterialTech","east","east","FR41",57.3306,57.3306
"Nanotechnologie en fotonica - Nanotechnologies","FR62","east",12953.0333,8.8605,0,0,0,0,0,12,32,22,0.0053,0.1437,-0.1437,0,"Midi-Pyrénées","Manufacturing & MaterialTech","east","east","FR62",40.3438,40.3438
"Nanotechnologie en fotonica - Nanotechnologies","PL63","east",12953.0333,7.8686,0,0,0,0,0,12,10,11,0.0026,0.0719,-0.0719,0,"Pomorskie","Manufacturing & MaterialTech","east","east","PL63",30.2326,30.2326
"Nanotechnologie en fotonica - Nanotechnologies","UKK4","east",12953.0333,8.7362,0,0,0,0,0,0,12,6,0.0014,0.0392,-0.0392,0,"Devon","Manufacturing & MaterialTech","east","east","UKK4",39.9393,39.9393
"Nanotechnologie en fotonica - Nanotechnologies","FR82","east",12953.0333,21.5757,0,0,0,0,0,12,34,23,0.0055,0.1502,-0.1502,0,"Provence-Alpes-Côte d'Azur","Manufacturing & MaterialTech","east","east","FR82",96.36,96.36
"Nanotechnologie en fotonica - Nanotechnologies","DE92","east",12953.0333,5.1071,0,0,0,0,0,12,14,13,0.0031,0.0849,-0.0849,0,"Hannover","Manufacturing & MaterialTech","east","east","DE92",19.7169,19.7169
"Nanotechnologie en fotonica - Nanotechnologies","AT31","east",12953.0333,9.7752,0,0,0,0,0,12,10,11,0.0026,0.0719,-0.0719,0,"Oberösterreich","Manufacturing & MaterialTech","east","east","AT31",45.1972,45.1972
"Nanotechnologie en fotonica - Nanotechnologies","CY00","east",12953.0333,7.2819,0,0,0,0,0,12,0,6,0.0014,0.0392,-0.0392,0,"Kýpros","Manufacturing & MaterialTech","east","east","CY00",27.4014,27.4014
"Nanotechnologie en fotonica - Nanotechnologies","UKK2","east",12953.0333,5.0324,0,0,0,0,0,12,4,8,0.0019,0.0523,-0.0523,0,"Dorset and Somerset","Manufacturing & MaterialTech","east","east","UKK2",18.5035,18.5035
