"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Green chemistry","DE60","NL11",60.18,17.32,0,0,0,0,0,13,1,7,0.0053,0.0561,-0.0561,0,"Hamburg","Green chemistry","NL11","north","DE60",85.0299,85.0299
"Green chemistry","SE11","NL11",60.18,7.21,0,0,0,0,0,14,1,7.5,0.0057,0.0602,-0.0602,0,"Stockholm","Green chemistry","NL11","north","SE11",23.0539,23.0539
"Green chemistry","PL41","NL11",60.18,5.56,0,0,0,0,0,1,1,1,8e-04,0.008,-0.008,0,"Wielkopolskie","Green chemistry","NL11","north","PL41",10.479,10.479
"Green chemistry","FR26","NL11",60.18,12.77,0,0,0,0,0,3,1,2,0.0015,0.016,-0.016,0,"Bourgogne","Green chemistry","NL11","north","FR26",59.2814,59.2814
"Green chemistry","FR62","NL11",60.18,13.02,0,0,0,0,0,20,1,10.5,0.008,0.0842,-0.0842,0,"Midi-Pyrénées","Green chemistry","NL11","north","FR62",60.479,60.479
"Green chemistry","DE91","NL11",60.18,9.23,0,0,0,0,0,11,1,6,0.0046,0.0481,-0.0481,0,"Braunschweig","Green chemistry","NL11","north","DE91",37.1257,37.1257
"Green chemistry","AT12","NL11",60.18,11.38,0,0,0,0,0,4,1,2.5,0.0019,0.0201,-0.0201,0,"Niederösterreich","Green chemistry","NL11","north","AT12",49.4012,49.4012
"Green chemistry","PL11","NL11",60.18,5.82,0,0,0,0,0,1,1,1,8e-04,0.008,-0.008,0,"Łódzkie","Green chemistry","NL11","north","PL11",12.5749,12.5749
"Green chemistry","FR10","NL11",60.18,3.67,0,0,0,0,0,47,1,24,0.0183,0.1925,-0.1925,0,"Île de France","Green chemistry","NL11","north","FR10",4.1916,4.1916
"Green chemistry","FI1D","NL11",60.18,7.71,0,0,0,0,0,1,2,1.5,0.0011,0.012,-0.012,0,"Pohjois- ja Itä-Suomi","Green chemistry","NL11","north","FI1D",26.9461,26.9461
"Green chemistry","BE22","NL11",60.18,14.41,0,0,0,0,0,3,1,2,0.0015,0.016,-0.016,0,"Prov. Limburg (BE)","Green chemistry","NL11","north","BE22",72.4551,72.4551
"Green chemistry","DE71","NL11",60.18,18.08,0,0,0,0,0,47,1,24,0.0183,0.1925,-0.1925,0,"Darmstadt","Green chemistry","NL11","north","DE71",87.1257,87.1257
"Green chemistry","CZ06","NL11",60.18,7.21,0,0,0,0,0,2,1,1.5,0.0011,0.012,-0.012,0,"Jihovýchod","Green chemistry","NL11","north","CZ06",23.0539,23.0539
"Green chemistry","FR30","NL11",60.18,13.53,0,0,0,0,0,10,1,5.5,0.0042,0.0441,-0.0441,0,"Nord - Pas-de-Calais","Green chemistry","NL11","north","FR30",64.0719,64.0719
"Green chemistry","FR24","NL11",60.18,16.69,0,0,0,0,0,5,1,3,0.0023,0.0241,-0.0241,0,"Centre","Green chemistry","NL11","north","FR24",81.4371,81.4371
"Green chemistry","DE30","NL11",60.18,4.8,0,0,0,0,0,6,1,3.5,0.0027,0.0281,-0.0281,0,"Berlin","Green chemistry","NL11","north","DE30",7.1856,7.1856
"Green chemistry","DE26","NL11",60.18,12.39,0,0,0,0,0,25,1,13,0.0099,0.1043,-0.1043,0,"Unterfranken","Green chemistry","NL11","north","DE26",55.6886,55.6886
"Green chemistry","UKF1","NL11",60.18,4.68,0,0,0,0,0,7,1,4,0.0031,0.0321,-0.0321,0,"Derbyshire and Nottinghamshire","Green chemistry","NL11","north","UKF1",6.5868,6.5868
"Green chemistry","ITC1","NL11",60.18,18.08,0,0,0,0,0,17,1,9,0.0069,0.0722,-0.0722,0,"Piemonte","Green chemistry","NL11","north","ITC1",87.1257,87.1257
"Green chemistry","DE50","NL11",60.18,10.62,0,0,0,0,0,1,0,0.5,4e-04,0.004,-0.004,0,"Bremen","Green chemistry","NL11","north","DE50",45.8084,45.8084
"Green chemistry","UKF2","NL11",60.18,13.65,0,0,0,0,0,1,0,0.5,4e-04,0.004,-0.004,0,"Leicestershire, Rutland and Northamptonshire","Green chemistry","NL11","north","UKF2",66.1677,66.1677
"Green chemistry","HU10","NL11",60.18,6.7,0,0,0,0,0,8,1,4.5,0.0034,0.0361,-0.0361,0,"Közép-Magyarország","Green chemistry","NL11","north","HU10",20.6587,20.6587
"Green chemistry","DE92","NL11",60.18,13.65,0,0,0,0,0,21,1,11,0.0084,0.0882,-0.0882,0,"Hannover","Green chemistry","NL11","north","DE92",66.1677,66.1677
"Green chemistry","ITI2","NL11",60.18,11.38,0,0,0,0,0,1,1,1,8e-04,0.008,-0.008,0,"Umbria","Green chemistry","NL11","north","ITI2",49.4012,49.4012
"Green chemistry","DE21","NL11",60.18,7.33,0,0,0,0,0,15,1,8,0.0061,0.0642,-0.0642,0,"Oberbayern","Green chemistry","NL11","north","DE21",24.2515,24.2515
"Green chemistry","PT18","NL11",60.18,6.7,0,0,0,0,0,12,1,6.5,0.005,0.0521,-0.0521,0,"Alentejo","Green chemistry","NL11","north","PT18",20.6587,20.6587
"Green chemistry","FR71","NL11",60.18,16.94,0,0,0,0,0,49,1,25,0.0191,0.2005,-0.2005,0,"Rhône-Alpes","Green chemistry","NL11","north","FR71",82.6347,82.6347
"Green chemistry","DEA1","NL11",60.18,18.71,0,0,0,0,0,61,1,31,0.0236,0.2487,-0.2487,0,"Düsseldorf","Green chemistry","NL11","north","DEA1",91.018,91.018
"Green chemistry","DEF0","NL11",60.18,15.55,0,0,0,0,0,8,1,4.5,0.0034,0.0361,-0.0361,0,"Schleswig-Holstein","Green chemistry","NL11","north","DEF0",77.8443,77.8443
"Green chemistry","FR72","NL11",60.18,12.9,0,0,0,0,0,16,1,8.5,0.0065,0.0682,-0.0682,0,"Auvergne","Green chemistry","NL11","north","FR72",59.8802,59.8802
"Green chemistry","DEA4","NL11",60.18,11.5,0,0,0,0,0,23,1,12,0.0091,0.0962,-0.0962,0,"Detmold","Green chemistry","NL11","north","DEA4",50.8982,50.8982
"Green chemistry","DED2","NL11",60.18,14.03,0,0,0,0,0,5,1,3,0.0023,0.0241,-0.0241,0,"Dresden","Green chemistry","NL11","north","DED2",70.6587,70.6587
"Green chemistry","FR21","NL11",60.18,13.91,0,0,0,0,0,5,1,3,0.0023,0.0241,-0.0241,0,"Champagne-Ardenne","Green chemistry","NL11","north","FR21",68.8623,68.8623
"Green chemistry","BE23","NL11",60.18,18.46,0,0,0,0,0,5,1,3,0.0023,0.0241,-0.0241,0,"Prov. Oost-Vlaanderen","Green chemistry","NL11","north","BE23",89.8204,89.8204
"Green chemistry","PL22","NL11",60.18,13.65,0,0,0,0,0,0,1,0.5,4e-04,0.004,-0.004,0,"Śląskie","Green chemistry","NL11","north","PL22",66.1677,66.1677
"Green chemistry","UKC1","NL11",60.18,20.48,0,0,0,0,0,11,1,6,0.0046,0.0481,-0.0481,0,"Tees Valley and Durham","Green chemistry","NL11","north","UKC1",93.1138,93.1138
"Green chemistry","NO07","NL11",60.18,3.79,0,0,0,0,0,1,1,1,8e-04,0.008,-0.008,0,"Nord-Norge","Green chemistry","NL11","north","NO07",5.0898,5.0898
"Green chemistry","SE21","NL11",60.18,8.6,0,0,0,0,0,1,0,0.5,4e-04,0.004,-0.004,0,"Småland med öarna","Green chemistry","NL11","north","SE21",32.0359,32.0359
