"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Augmented reality";"DEA2";"north";6860,1333;10,7033;0;0;0;0;0;116;1;58,5;0,0086;0,3836;-0,3836;0;"Köln";"Augmented reality";"north";"north";"DEA2";49,1279;49,1279
"Augmented reality";"CH05";"north";6860,1333;17,8083;0;0;0;0;0;70;1;35,5;0,0052;0,2328;-0,2328;0;"Ostschweiz";"Augmented reality";"north";"north";"CH05";67,8779;67,8779
"Augmented reality";"FR63";"north";6860,1333;11,5317;0;0;0;0;0;0;1;0,5;1e-04;0,0033;-0,0033;0;"Limousin";"Augmented reality";"north";"north";"FR63";51,4535;51,4535
"Augmented reality";"UKL1";"north";6860,1333;14,1883;0;0;0;0;0;1;1;1;1e-04;0,0065;-0,0065;0;"West Wales and The Valleys";"Augmented reality";"north";"north";"UKL1";60,7558;60,7558
"Augmented reality";"RO42";"north";6860,1333;40,8117;0;0;0;0;0;6;1;3,5;5e-04;0,023;-0,023;0;"Vest";"Augmented reality";"north";"north";"RO42";94,7674;94,7674
"Augmented reality";"DED4";"north";6860,1333;12,1417;0;0;0;0;0;8;1;4,5;7e-04;0,0295;-0,0295;0;"Chemnitz";"Augmented reality";"north";"north";"DED4";53,4884;53,4884
"Augmented reality";"BE35";"north";6860,1333;10,8;0;0;0;0;0;1;1;1;1e-04;0,0065;-0,0065;0;"Prov. Namur";"Augmented reality";"north";"north";"BE35";49,4186;49,4186
"Augmented reality";"DE23";"north";6860,1333;13,39;0;0;0;0;0;22;1;11,5;0,0017;0,0754;-0,0754;0;"Oberpfalz";"Augmented reality";"north";"north";"DE23";57,5581;57,5581
"Augmented reality";"ITF4";"north";6860,1333;13,705;0;0;0;0;0;1;2;1,5;2e-04;0,0098;-0,0098;0;"Puglia";"Augmented reality";"north";"north";"ITF4";59,0116;59,0116
"Augmented reality";"ES13";"north";6860,1333;7,8267;0;0;0;0;0;1;1;1;1e-04;0,0065;-0,0065;0;"Cantabria";"Augmented reality";"north";"north";"ES13";39,5349;39,5349
"Augmented reality";"PT17";"north";6860,1333;24,6333;0;0;0;0;0;4;1;2,5;4e-04;0,0164;-0,0164;0;"Lisboa";"Augmented reality";"north";"north";"PT17";77,4709;77,4709
"Augmented reality";"UKJ1";"north";6860,1333;37,93;0;0;0;0;0;92;1;46,5;0,0068;0,3049;-0,3049;0;"Berkshire, Buckinghamshire and Oxfordshire";"Augmented reality";"north";"north";"UKJ1";92,1512;92,1512
