"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Sensor technology";"DE71";"north";8934,5676;15,4284;0;0;0;0;0;456;19;237,5;0,0079;1,3193;-1,3193;0;"Darmstadt";"Sensor technology";"north";"north";"DE71";64,0138;64,0138
"Sensor technology";"FR53";"north";8934,5676;12,8344;0;0;0;0;0;21;19;20;7e-04;0,1111;-0,1111;0;"Poitou-Charentes";"Sensor technology";"north";"north";"FR53";52,5952;52,5952
"Sensor technology";"DE93";"north";8934,5676;10,1676;0;0;0;0;0;72;19;45,5;0,0015;0,2528;-0,2528;0;"Lüneburg";"Sensor technology";"north";"north";"DE93";42,8201;42,8201
"Sensor technology";"AT13";"north";8934,5676;33,4932;0;0;0;0;0;228;19;123,5;0,0041;0,686;-0,686;0;"Wien";"Sensor technology";"north";"north";"AT13";96,6263;96,6263
"Sensor technology";"BE23";"north";8934,5676;13,9236;0;0;0;0;0;184;19;101,5;0,0034;0,5638;-0,5638;0;"Prov. Oost-Vlaanderen";"Sensor technology";"north";"north";"BE23";57,0069;57,0069
"Sensor technology";"PL62";"north";8934,5676;9,9744;0;0;0;0;0;19;6;12,5;4e-04;0,0695;-0,0695;0;"Warmińsko-Mazurskie";"Sensor technology";"north";"north";"PL62";42,0415;42,0415
"Sensor technology";"DE91";"north";8934,5676;28,2908;0;0;0;0;0;165;19;92;0,003;0,5111;-0,5111;0;"Braunschweig";"Sensor technology";"north";"north";"DE91";89,8789;89,8789
"Sensor technology";"ES12";"north";8934,5676;11,1204;0;0;0;0;0;19;11;15;5e-04;0,0833;-0,0833;0;"Principado de Asturias";"Sensor technology";"north";"north";"ES12";45,8478;45,8478
"Sensor technology";"DE30";"north";8934,5676;40,2148;0;0;0;0;0;537;19;278;0,0092;1,5443;-1,5443;0;"Berlin";"Sensor technology";"north";"north";"DE30";100;100
"Sensor technology";"DK03";"north";8934,5676;10,2848;0;0;0;0;0;19;39;29;0,001;0,1612;-0,1612;0;"Syddanmark";"Sensor technology";"north";"north";"DK03";43,3391;43,3391
"Sensor technology";"SE12";"north";8934,5676;15,6172;0;0;0;0;0;135;19;77;0,0025;0,4278;-0,4278;0;"Östra Mellansverige";"Sensor technology";"north";"north";"SE12";65,3114;65,3114
"Sensor technology";"NL23";"north";8934,5676;5,2616;0;0;0;0;0;19;2;10,5;3e-04;0,0583;-0,0583;0;"Flevoland";"Sensor technology";"north";"north";"NL23";33,8235;33,8235
"Sensor technology";"CZ08";"north";8934,5676;11,2164;0;0;0;0;0;19;17;18;6e-04;0,1001;-0,1001;0;"Moravskoslezsko";"Sensor technology";"north";"north";"CZ08";46,3668;46,3668
"Sensor technology";"DK05";"north";8934,5676;7,6544;0;0;0;0;0;22;19;20,5;7e-04;0,1138;-0,1138;0;"Nordjylland";"Sensor technology";"north";"north";"DK05";35,8997;35,8997
"Sensor technology";"UKI1";"north";8934,5676;36,0468;0;0;0;0;0;454;19;236,5;0,0078;1,3137;-1,3137;0;"Inner London";"Sensor technology";"north";"north";"UKI1";98,4429;98,4429
"Sensor technology";"FR51";"north";8934,5676;15,6332;0;0;0;0;0;19;70;44,5;0,0015;0,2471;-0,2471;0;"Pays de la Loire";"Sensor technology";"north";"north";"FR51";65,5709;65,5709
"Sensor technology";"ITF3";"north";8934,5676;25,5636;0;0;0;0;0;51;19;35;0,0012;0,1944;-0,1944;0;"Campania";"Sensor technology";"north";"north";"ITF3";85,2941;85,2941
"Sensor technology";"CZ05";"north";8934,5676;15,58;0;0;0;0;0;33;19;26;9e-04;0,1444;-0,1444;0;"Severovýchod";"Sensor technology";"north";"north";"CZ05";65,0519;65,0519
"Sensor technology";"DEB1";"north";8934,5676;11,8352;0;0;0;0;0;47;19;33;0,0011;0,1833;-0,1833;0;"Koblenz";"Sensor technology";"north";"north";"DEB1";48,1834;48,1834
"Sensor technology";"UKF2";"north";8934,5676;15,686;0;0;0;0;0;27;19;23;8e-04;0,1278;-0,1278;0;"Leicestershire, Rutland and Northamptonshire";"Sensor technology";"north";"north";"UKF2";65,8304;65,8304
"Sensor technology";"DE12";"north";8934,5676;26,0768;0;0;0;0;0;567;19;293;0,0097;1,6277;-1,6277;0;"Karlsruhe";"Sensor technology";"north";"north";"DE12";86,0727;86,0727
"Sensor technology";"ES22";"north";8934,5676;13,4092;0;0;0;0;0;19;19;19;6e-04;0,1056;-0,1056;0;"Comunidad Foral de Navarra";"Sensor technology";"north";"north";"ES22";54,9308;54,9308
"Sensor technology";"FI1D";"north";8934,5676;25,8196;0;0;0;0;0;103;19;61;0,002;0,3388;-0,3388;0;"Pohjois- ja Itä-Suomi";"Sensor technology";"north";"north";"FI1D";85,5536;85,5536
"Sensor technology";"BG41";"north";8934,5676;19,5768;0;0;0;0;0;19;1;10;3e-04;0,0556;-0,0556;0;"Yugozapaden";"Sensor technology";"north";"north";"BG41";76,2111;76,2111
"Sensor technology";"ITF6";"north";8934,5676;15,3136;0;0;0;0;0;19;7;13;4e-04;0,0722;-0,0722;0;"Calabria";"Sensor technology";"north";"north";"ITF6";63,2353;63,2353
"Sensor technology";"ES52";"north";8934,5676;15,4752;0;0;0;0;0;19;43;31;0,001;0,1723;-0,1723;0;"Comunidad Valenciana";"Sensor technology";"north";"north";"ES52";64,2734;64,2734
"Sensor technology";"FR30";"north";8934,5676;25,2772;0;0;0;0;0;73;19;46;0,0015;0,2555;-0,2555;0;"Nord - Pas-de-Calais";"Sensor technology";"north";"north";"FR30";84,5156;84,5156
"Sensor technology";"SE32";"north";8934,5676;7,8368;0;0;0;0;0;19;10;14,5;5e-04;0,0806;-0,0806;0;"Mellersta Norrland";"Sensor technology";"north";"north";"SE32";36,4187;36,4187
"Sensor technology";"NL12";"north";10636,39;10,7629;0;0;0;0;0;19;4;11,5;4e-04;0,064;-0,064;0;"Friesland (NL)";"Sensor technology";"north";"north";"NL12";45,1125;45,1125
"Sensor technology";"DE23";"north";8934,5676;17,38;0;0;0;0;0;101;19;60;0,002;0,3333;-0,3333;0;"Oberpfalz";"Sensor technology";"north";"north";"DE23";70,5017;70,5017
