"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"3D-printing/additive productie","AT22","NL34",22.94,24.74,0,0,0,0,0,29,0,14.5,0.0022,0.091,-0.091,0,"Steiermark","Digitale technologie - Grondstoffen","NL34","south","AT22",55.8036,55.8036
"3D-printing/additive productie","BE10","NL34",22.94,31.05,0,0,0,0,0,0,35,17.5,0.0027,0.1098,-0.1098,0,"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Digitale technologie - Grondstoffen","NL34","south","BE10",68.5268,68.5268
"3D-printing/additive productie","UKJ4","NL34",22.94,9.84,0,0,0,0,0,0,2,1,2e-04,0.0063,-0.0063,0,"Kent","Digitale technologie - Grondstoffen","NL34","south","UKJ4",14.7321,14.7321
"3D-printing/additive productie","BG41","NL34",22.94,11.23,0,0,0,0,0,0,0,0,0,0,0,0,"Yugozapaden","Digitale technologie - Grondstoffen","NL34","south","BG41",19.6429,19.6429
"3D-printing/additive productie","UKE4","NL34",22.94,16.08,0,0,0,0,0,0,5,2.5,4e-04,0.0157,-0.0157,0,"West Yorkshire","Digitale technologie - Grondstoffen","NL34","south","UKE4",32.1429,32.1429
"3D-printing/additive productie","SI03","NL34",22.94,11.02,0,0,0,0,0,0,1,0.5,1e-04,0.0031,-0.0031,0,"Zahodna Slovenija","Digitale technologie - Grondstoffen","NL34","south","SI03",18.3036,18.3036
"3D-printing/additive productie","FR52","NL34",22.94,5.68,0,0,0,0,0,0,10,5,8e-04,0.0314,-0.0314,0,"Bretagne","Digitale technologie - Grondstoffen","NL34","south","FR52",0.8929,0.8929
"3D-printing/additive productie","FI1D","NL34",22.94,11.57,0,0,0,0,0,0,2,1,2e-04,0.0063,-0.0063,0,"Pohjois- ja Itä-Suomi","Digitale technologie - Grondstoffen","NL34","south","FI1D",21.2054,21.2054
"3D-printing/additive productie","IE02","NL34",22.94,24.19,0,0,0,0,0,0,27,13.5,0.0021,0.0847,-0.0847,0,"Southern and Eastern","Digitale technologie - Grondstoffen","NL34","south","IE02",54.9107,54.9107
"3D-printing/additive productie","DEA1","NL34",22.94,37.42,0,0,0,0,0,157,0,78.5,0.012,0.4927,-0.4927,0,"Düsseldorf","Digitale technologie - Grondstoffen","NL34","south","DEA1",77.9018,77.9018
"3D-printing/additive productie","PL33","NL34",22.94,36.8,0,0,0,0,0,0,5,2.5,4e-04,0.0157,-0.0157,0,"Świętokrzyskie","Digitale technologie - Grondstoffen","NL34","south","PL33",75.8929,75.8929
"3D-printing/additive productie","DE91","NL34",22.94,11.23,0,0,0,0,0,46,0,23,0.0035,0.1444,-0.1444,0,"Braunschweig","Digitale technologie - Grondstoffen","NL34","south","DE91",19.6429,19.6429
"3D-printing/additive productie","DE13","NL34",22.94,22.94,0,0,0,0,0,64,0,32,0.0049,0.2008,-0.2008,0,"Freiburg","Digitale technologie - Grondstoffen","NL34","south","DE13",51.1161,51.1161
"3D-printing/additive productie","HU33","NL34",22.94,9.15,0,0,0,0,0,0,2,1,2e-04,0.0063,-0.0063,0,"Dél-Alföld","Digitale technologie - Grondstoffen","NL34","south","HU33",11.6071,11.6071
"3D-printing/additive productie","NO02","NL34",22.94,37.35,0,0,0,0,0,0,3,1.5,2e-04,0.0094,-0.0094,0,"Hedmark og Oppland","Digitale technologie - Grondstoffen","NL34","south","NO02",77.2321,77.2321
"3D-printing/additive productie","UKG1","NL34",22.94,37.98,0,0,0,0,0,0,8,4,6e-04,0.0251,-0.0251,0,"Herefordshire, Worcestershire and Warwickshire","Digitale technologie - Grondstoffen","NL34","south","UKG1",80.1339,80.1339
