"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Electrolizers voor Power2Molecule","DE25","NL34",43.11,35.19,0,0,0,0,0,146,2,74,0.0272,0.5491,-0.5491,0,"Mittelfranken","Digitale technologie - Energie","NL34","south","DE25",90.4051,90.4051
"Electrolizers voor Power2Molecule","UKJ2","NL34",43.11,17.59,0,0,0,0,0,14,2,8,0.0029,0.0594,-0.0594,0,"Surrey, East and West Sussex","Digitale technologie - Energie","NL34","south","UKJ2",67.1642,67.1642
"Electrolizers voor Power2Molecule","UKC1","NL34",43.11,36.93,0,0,0,0,0,9,2,5.5,0.002,0.0408,-0.0408,0,"Tees Valley and Durham","Digitale technologie - Energie","NL34","south","UKC1",93.8166,93.8166
"Electrolizers voor Power2Molecule","NL11","NL34",43.11,5.76,0,0,0,0,0,2,1,1.5,6e-04,0.0111,-0.0111,0,"Groningen","Digitale technologie - Energie","NL34","south","NL11",28.7846,28.7846
"Electrolizers voor Power2Molecule","DE30","NL34",43.11,10.19,0,0,0,0,0,47,2,24.5,0.009,0.1818,-0.1818,0,"Berlin","Digitale technologie - Energie","NL34","south","DE30",52.0256,52.0256
"Electrolizers voor Power2Molecule","DE94","NL34",43.11,18.83,0,0,0,0,0,10,2,6,0.0022,0.0445,-0.0445,0,"Weser-Ems","Digitale technologie - Energie","NL34","south","DE94",70.1493,70.1493
"Electrolizers voor Power2Molecule","FR71","NL34",43.11,37.96,0,0,0,0,0,170,2,86,0.0316,0.6381,-0.6381,0,"Rhône-Alpes","Digitale technologie - Energie","NL34","south","FR71",96.5885,96.5885
"Electrolizers voor Power2Molecule","ES51","NL34",43.11,8.23,0,0,0,0,0,20,2,11,0.004,0.0816,-0.0816,0,"Cataluña","Digitale technologie - Energie","NL34","south","ES51",43.0704,43.0704
"Electrolizers voor Power2Molecule","HR03","NL34",43.11,27.78,0,0,0,0,0,0,2,1,4e-04,0.0074,-0.0074,0,"Jadranska Hrvatska","Digitale technologie - Energie","NL34","south","HR03",81.0235,81.0235
"Electrolizers voor Power2Molecule","NL31","NL34",43.11,7.72,0,0,0,0,0,11,2,6.5,0.0024,0.0482,-0.0482,0,"Utrecht","Digitale technologie - Energie","NL34","south","NL31",39.6588,39.6588
"Electrolizers voor Power2Molecule","BE35","NL34",43.11,6.28,0,0,0,0,0,2,2,2,7e-04,0.0148,-0.0148,0,"Prov. Namur","Digitale technologie - Energie","NL34","south","BE35",31.3433,31.3433
"Electrolizers voor Power2Molecule","UKH1","NL34",43.11,5.86,0,0,0,0,0,4,2,3,0.0011,0.0223,-0.0223,0,"East Anglia","Digitale technologie - Energie","NL34","south","UKH1",29.4243,29.4243
"Electrolizers voor Power2Molecule","CZ02","NL34",43.11,24.28,0,0,0,0,0,1,2,1.5,6e-04,0.0111,-0.0111,0,"Střední Čechy","Digitale technologie - Energie","NL34","south","CZ02",76.1194,76.1194
"Electrolizers voor Power2Molecule","DEB1","NL34",43.11,7.72,0,0,0,0,0,13,2,7.5,0.0028,0.0556,-0.0556,0,"Koblenz","Digitale technologie - Energie","NL34","south","DEB1",39.6588,39.6588
"Electrolizers voor Power2Molecule","CZ03","NL34",43.11,8.23,0,0,0,0,0,7,2,4.5,0.0017,0.0334,-0.0334,0,"Jihozápad","Digitale technologie - Energie","NL34","south","CZ03",43.0704,43.0704
"Electrolizers voor Power2Molecule","CH04","NL34",43.11,7.72,0,0,0,0,0,37,2,19.5,0.0072,0.1447,-0.1447,0,"Zürich","Digitale technologie - Energie","NL34","south","CH04",39.6588,39.6588
"Electrolizers voor Power2Molecule","NL12","NL34",43.11,30.45,0,0,0,0,0,10,2,6,0.0022,0.0445,-0.0445,0,"Friesland (NL)","Digitale technologie - Energie","NL34","south","NL12",85.5011,85.5011
"Electrolizers voor Power2Molecule","NL33","NL34",43.11,22.63,0,0,0,0,0,20,2,11,0.004,0.0816,-0.0816,0,"Zuid-Holland","Digitale technologie - Energie","NL34","south","NL33",74.8401,74.8401
