"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Advanced maintenance (CMMS)","DEB3","NL41",22.42,25.8,0,0,0,0,0,7,38,22.5,0.0248,0.2095,-0.2095,0,"Rheinhessen-Pfalz","Digitale technologie - Grondstoffen","NL41","south","DEB3",49.3056,49.3056
"Advanced maintenance (CMMS)","AT22","NL41",22.42,20.82,0,0,0,0,0,1,7,4,0.0044,0.0372,-0.0372,0,"Steiermark","Digitale technologie - Grondstoffen","NL41","south","AT22",30.9028,30.9028
"Advanced maintenance (CMMS)","SE11","NL41",22.42,12.1,0,0,0,0,0,7,5,6,0.0066,0.0559,-0.0559,0,"Stockholm","Digitale technologie - Grondstoffen","NL41","south","SE11",7.6389,7.6389
"Advanced maintenance (CMMS)","BE23","NL41",22.42,13.88,0,0,0,0,0,7,0,3.5,0.0039,0.0326,-0.0326,0,"Prov. Oost-Vlaanderen","Digitale technologie - Grondstoffen","NL41","south","BE23",9.375,9.375
"Advanced maintenance (CMMS)","ITH2","NL41",22.42,38.43,0,0,0,0,0,7,1,4,0.0044,0.0372,-0.0372,0,"Provincia Autonoma di Trento","Digitale technologie - Grondstoffen","NL41","south","ITH2",84.7222,84.7222
"Advanced maintenance (CMMS)","AT12","NL41",22.42,44.66,0,0,0,0,0,7,9,8,0.0088,0.0745,-0.0745,0,"Niederösterreich","Digitale technologie - Grondstoffen","NL41","south","AT12",95.1389,95.1389
"Advanced maintenance (CMMS)","AT13","NL41",22.42,39.15,0,0,0,0,0,7,21,14,0.0154,0.1304,-0.1304,0,"Wien","Digitale technologie - Grondstoffen","NL41","south","AT13",85.4167,85.4167
"Advanced maintenance (CMMS)","DE73","NL41",22.42,24.73,0,0,0,0,0,7,0,3.5,0.0039,0.0326,-0.0326,0,"Kassel","Digitale technologie - Grondstoffen","NL41","south","DE73",44.7917,44.7917
"Advanced maintenance (CMMS)","UKE3","NL41",22.42,35.05,0,0,0,0,0,7,0,3.5,0.0039,0.0326,-0.0326,0,"South Yorkshire","Digitale technologie - Grondstoffen","NL41","south","UKE3",76.3889,76.3889
"Advanced maintenance (CMMS)","IS01","NL41",22.42,26.16,0,0,0,0,0,7,2,4.5,0.005,0.0419,-0.0419,0,"Höfuðborgarsvæði","Digitale technologie - Grondstoffen","NL41","south","IS01",51.3889,51.3889
"Advanced maintenance (CMMS)","CH01","NL41",22.42,21.71,0,0,0,0,0,7,6,6.5,0.0072,0.0605,-0.0605,0,"Région lémanique","Digitale technologie - Grondstoffen","NL41","south","CH01",34.375,34.375
"Advanced maintenance (CMMS)","DEA5","NL41",22.42,36.83,0,0,0,0,0,7,22,14.5,0.016,0.135,-0.135,0,"Arnsberg","Digitale technologie - Grondstoffen","NL41","south","DEA5",82.2917,82.2917
"Advanced maintenance (CMMS)","UKK2","NL41",22.42,11.92,0,0,0,0,0,7,0,3.5,0.0039,0.0326,-0.0326,0,"Dorset and Somerset","Digitale technologie - Grondstoffen","NL41","south","UKK2",6.5972,6.5972
"Advanced maintenance (CMMS)","FI19","NL41",22.42,28.65,0,0,0,0,0,7,6,6.5,0.0072,0.0605,-0.0605,0,"Länsi-Suomi","Digitale technologie - Grondstoffen","NL41","south","FI19",60.4167,60.4167
"Advanced maintenance (CMMS)","PT16","NL41",22.42,29.18,0,0,0,0,0,7,0,3.5,0.0039,0.0326,-0.0326,0,"Centro (PT)","Digitale technologie - Grondstoffen","NL41","south","PT16",65.2778,65.2778
"Advanced maintenance (CMMS)","DED5","NL41",22.42,45.02,0,0,0,0,0,7,5,6,0.0066,0.0559,-0.0559,0,"Leipzig","Digitale technologie - Grondstoffen","NL41","south","DED5",95.8333,95.8333
"Advanced maintenance (CMMS)","FR22","NL41",22.42,10.32,0,0,0,0,0,7,2,4.5,0.005,0.0419,-0.0419,0,"Picardie","Digitale technologie - Grondstoffen","NL41","south","FR22",2.7778,2.7778
"Advanced maintenance (CMMS)","UKG1","NL41",22.42,19.04,0,0,0,0,0,7,4,5.5,0.0061,0.0512,-0.0512,0,"Herefordshire, Worcestershire and Warwickshire","Digitale technologie - Grondstoffen","NL41","south","UKG1",26.3889,26.3889
"Advanced maintenance (CMMS)","UKC2","NL41",22.42,8.01,0,0,0,0,0,7,1,4,0.0044,0.0372,-0.0372,0,"Northumberland and Tyne and Wear","Digitale technologie - Grondstoffen","NL41","south","UKC2",0.6944,0.6944
"Advanced maintenance (CMMS)","DE71","NL41",22.42,27.22,0,0,0,0,0,7,29,18,0.0198,0.1676,-0.1676,0,"Darmstadt","Digitale technologie - Grondstoffen","NL41","south","DE71",55.9028,55.9028
"Advanced maintenance (CMMS)","UKJ2","NL41",22.42,25.8,0,0,0,0,0,7,5,6,0.0066,0.0559,-0.0559,0,"Surrey, East and West Sussex","Digitale technologie - Grondstoffen","NL41","south","UKJ2",49.3056,49.3056
"Advanced maintenance (CMMS)","FR71","NL41",22.42,16.9,0,0,0,0,0,7,6,6.5,0.0072,0.0605,-0.0605,0,"Rhône-Alpes","Digitale technologie - Grondstoffen","NL41","south","FR71",21.875,21.875
