"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Digitale veiligheid";"HU21";"NL41";35,44;10,03;0;0;0;0;0;208;2;105;0,0086;0,6241;-0,6241;0;"Közép-Dunántúl";"Digitale technologie - Transversal";"NL41";"south";"HU21";53,5545;53,5545
"Digitale veiligheid";"PT15";"NL41";35,44;7,85;0;0;0;0;0;208;1;104,5;0,0086;0,6212;-0,6212;0;"Algarve";"Digitale technologie - Transversal";"NL41";"south";"PT15";43,7599;43,7599
"Digitale veiligheid";"DED2";"NL41";35,44;9,79;0;0;0;0;0;21;208;114,5;0,0094;0,6806;-0,6806;0;"Dresden";"Digitale technologie - Transversal";"NL41";"south";"DED2";52,1327;52,1327
"Digitale veiligheid";"FR24";"NL41";35,44;4,05;0;0;0;0;0;208;16;112;0,0092;0,6658;-0,6658;0;"Centre";"Digitale technologie - Transversal";"NL41";"south";"FR24";27,9621;27,9621
"Digitale veiligheid";"FR52";"NL41";35,44;34,14;0;0;0;0;0;208;63;135,5;0,0111;0,8054;-0,8054;0;"Bretagne";"Digitale technologie - Transversal";"NL41";"south";"FR52";88,1517;88,1517
"Digitale veiligheid";"FR72";"NL41";35,44;4,61;0;0;0;0;0;208;5;106,5;0,0087;0,633;-0,633;0;"Auvergne";"Digitale technologie - Transversal";"NL41";"south";"FR72";30,0158;30,0158
"Digitale veiligheid";"ES23";"NL41";35,44;28,72;0;0;0;0;0;208;1;104,5;0,0086;0,6212;-0,6212;0;"La Rioja";"Digitale technologie - Transversal";"NL41";"south";"ES23";83,0964;83,0964
"Digitale veiligheid";"UKJ3";"NL41";35,44;48,3;0;0;0;0;0;208;48;128;0,0105;0,7608;-0,7608;0;"Hampshire and Isle of Wight";"Digitale technologie - Transversal";"NL41";"south";"UKJ3";98,7362;98,7362
"Digitale veiligheid";"DEA3";"NL41";35,44;10,28;0;0;0;0;0;208;25;116,5;0,0095;0,6925;-0,6925;0;"Münster";"Digitale technologie - Transversal";"NL41";"south";"DEA3";55,7662;55,7662
"Digitale veiligheid";"DEG0";"NL41";35,44;11;0;0;0;0;0;208;25;116,5;0,0095;0,6925;-0,6925;0;"Thüringen";"Digitale technologie - Transversal";"NL41";"south";"DEG0";58,6098;58,6098
"Digitale veiligheid";"BE31";"NL41";35,44;10,92;0;0;0;0;0;208;27;117,5;0,0096;0,6984;-0,6984;0;"Prov. Brabant Wallon";"Digitale technologie - Transversal";"NL41";"south";"BE31";57,6619;57,6619
"Digitale veiligheid";"NO03";"NL41";35,44;16,67;0;0;0;0;0;208;7;107,5;0,0088;0,639;-0,639;0;"Sør-Østlandet";"Digitale technologie - Transversal";"NL41";"south";"NO03";75,0395;75,0395
"Digitale veiligheid";"NL33";"NL41";35,44;6,47;0;0;0;0;0;208;45;126,5;0,0104;0,7519;-0,7519;0;"Zuid-Holland";"Digitale technologie - Transversal";"NL41";"south";"NL33";37,4408;37,4408
"Digitale veiligheid";"NL11";"NL41";35,44;1,7;0;0;0;0;0;208;5;106,5;0,0087;0,633;-0,633;0;"Groningen";"Digitale technologie - Transversal";"NL41";"south";"NL11";24,0126;24,0126
"Digitale veiligheid";"UKI2";"NL41";35,44;46,76;0;0;0;0;0;208;107;157,5;0,0129;0,9362;-0,9362;0;"Outer London";"Digitale technologie - Transversal";"NL41";"south";"UKI2";97,7883;97,7883
"Digitale veiligheid";"ES13";"NL41";35,44;3,07;0;0;0;0;0;208;1;104,5;0,0086;0,6212;-0,6212;0;"Cantabria";"Digitale technologie - Transversal";"NL41";"south";"ES13";25,4344;25,4344
"Digitale veiligheid";"UKG3";"NL41";35,44;17,15;0;0;0;0;0;208;18;113;0,0092;0,6716;-0,6716;0;"West Midlands";"Digitale technologie - Transversal";"NL41";"south";"UKG3";75,6714;75,6714
"Digitale veiligheid";"ITC4";"NL41";35,44;7,61;0;0;0;0;0;208;58;133;0,0109;0,7906;-0,7906;0;"Lombardia";"Digitale technologie - Transversal";"NL41";"south";"ITC4";42,1801;42,1801
"Digitale veiligheid";"FI1D";"NL41";35,44;41,75;0;0;0;0;0;208;35;121,5;0,0099;0,7222;-0,7222;0;"Pohjois- ja Itä-Suomi";"Digitale technologie - Transversal";"NL41";"south";"FI1D";93,6809;93,6809
"Digitale veiligheid";"CZ08";"NL41";35,44;2,18;0;0;0;0;0;208;4;106;0,0087;0,63;-0,63;0;"Moravskoslezsko";"Digitale technologie - Transversal";"NL41";"south";"CZ08";24,4866;24,4866
"Digitale veiligheid";"UKK4";"NL41";35,44;19,58;0;0;0;0;0;208;4;106;0,0087;0,63;-0,63;0;"Devon";"Digitale technologie - Transversal";"NL41";"south";"UKK4";78,831;78,831
"Digitale veiligheid";"CY00";"NL41";35,44;10,19;0;0;0;0;0;208;1;104,5;0,0086;0,6212;-0,6212;0;"Kýpros";"Digitale technologie - Transversal";"NL41";"south";"CY00";55,2923;55,2923
"Digitale veiligheid";"UKC2";"NL41";35,44;4,53;0;0;0;0;0;208;3;105,5;0,0086;0,6271;-0,6271;0;"Northumberland and Tyne and Wear";"Digitale technologie - Transversal";"NL41";"south";"UKC2";29,5419;29,5419
"Digitale veiligheid";"FR82";"NL41";35,44;48,14;7;1,016;1;0,4808;0,0138;208;221;214,5;0,0176;1,275;-0,275;0,7843;"Provence-Alpes-Côte d'Azur";"Digitale technologie - Transversal";"NL41";"south";"FR82";60,5055;60,5055
"Digitale veiligheid";"AT11";"NL41";35,44;7,93;0;0;0;0;0;208;0;104;0,0085;0,6182;-0,6182;0;"Burgenland (AT)";"Digitale technologie - Transversal";"NL41";"south";"AT11";44,5498;44,5498
"Digitale veiligheid";"ES21";"NL41";35,44;10,76;0;0;0;0;0;208;12;110;0,009;0,6539;-0,6539;0;"País Vasco";"Digitale technologie - Transversal";"NL41";"south";"ES21";56,872;56,872
"Digitale veiligheid";"DEB3";"NL41";35,44;6,07;0;0;0;0;0;80;208;144;0,0118;0,8559;-0,8559;0;"Rheinhessen-Pfalz";"Digitale technologie - Transversal";"NL41";"south";"DEB3";35,545;35,545
"Digitale veiligheid";"BE32";"NL41";35,44;4,45;0;0;0;0;0;208;8;108;0,0088;0,6419;-0,6419;0;"Prov. Hainaut";"Digitale technologie - Transversal";"NL41";"south";"BE32";29,0679;29,0679
"Digitale veiligheid";"FI19";"NL41";35,44;44,26;0;0;0;0;0;208;36;122;0,01;0,7252;-0,7252;0;"Länsi-Suomi";"Digitale technologie - Transversal";"NL41";"south";"FI19";96,2085;96,2085
"Digitale veiligheid";"PL21";"NL41";35,44;19,5;0;0;0;0;0;208;32;120;0,0098;0,7132;-0,7132;0;"Małopolskie";"Digitale technologie - Transversal";"NL41";"south";"PL21";78,515;78,515
"Digitale veiligheid";"UKD4";"NL41";35,44;9,3;0;0;0;0;0;208;1;104,5;0,0086;0,6212;-0,6212;0;"Lancashire";"Digitale technologie - Transversal";"NL41";"south";"UKD4";49,4471;49,4471
"Digitale veiligheid";"HU10";"NL41";35,44;39;0;0;0;0;0;208;49;128,5;0,0105;0,7638;-0,7638;0;"Közép-Magyarország";"Digitale technologie - Transversal";"NL41";"south";"HU10";92,4171;92,4171
"Digitale veiligheid";"DEB1";"NL41";35,44;6,15;0;0;0;0;0;208;25;116,5;0,0095;0,6925;-0,6925;0;"Koblenz";"Digitale technologie - Transversal";"NL41";"south";"DEB1";36,3349;36,3349
