"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"GMO","UKG3","NL41",2.16,45.19,0,0,0,0,0,4,0,2,0.005,0.0274,-0.0274,0,"West Midlands","Life Sciences/biotech - Landbouw","NL41","south","UKG3",51.2953,51.2953
"GMO","NL33","NL41",2.16,89.59,0,0,0,0,0,21,4,12.5,0.0309,0.1714,-0.1714,0,"Zuid-Holland","Life Sciences/biotech - Landbouw","NL41","south","NL33",98.4456,98.4456
"GMO","FI1B","NL41",2.16,37.72,0,0,0,0,0,3,4,3.5,0.0087,0.048,-0.048,0,"Helsinki-Uusimaa","Life Sciences/biotech - Landbouw","NL41","south","FI1B",37.8238,37.8238
"GMO","DK04","NL41",2.16,62.08,0,0,0,0,0,6,4,5,0.0124,0.0686,-0.0686,0,"Midtjylland","Life Sciences/biotech - Landbouw","NL41","south","DK04",69.9482,69.9482
"GMO","ITF3","NL41",2.16,48.72,0,0,0,0,0,4,1,2.5,0.0062,0.0343,-0.0343,0,"Campania","Life Sciences/biotech - Landbouw","NL41","south","ITF3",55.9585,55.9585
"GMO","SE22","NL41",2.16,20.83,0,0,0,0,0,2,4,3,0.0074,0.0411,-0.0411,0,"Sydsverige","Life Sciences/biotech - Landbouw","NL41","south","SE22",26.943,26.943
"GMO","DEA1","NL41",2.16,20.83,0,0,0,0,0,18,4,11,0.0272,0.1509,-0.1509,0,"Düsseldorf","Life Sciences/biotech - Landbouw","NL41","south","DEA1",26.943,26.943
"GMO","ES30","NL41",2.16,78.98,0,0,0,0,0,2,4,3,0.0074,0.0411,-0.0411,0,"Comunidad de Madrid","Life Sciences/biotech - Landbouw","NL41","south","ES30",89.1192,89.1192
"GMO","UKJ1","NL41",2.16,92.34,1,16.6667,1,25,0.1805,26,4,15,0.0371,0.2057,0.7943,4.8607,"Berkshire, Buckinghamshire and Oxfordshire","Life Sciences/biotech - Landbouw","NL41","south","UKJ1",49.2228,49.2228
"GMO","UKK1","NL41",2.16,0.2,0,0,0,0,0,4,1,2.5,0.0062,0.0343,-0.0343,0,"Gloucestershire, Wiltshire and Bristol/Bath area","Life Sciences/biotech - Landbouw","NL41","south","UKK1",0,0
"GMO","DK02","NL41",2.16,39.29,0,0,0,0,0,3,4,3.5,0.0087,0.048,-0.048,0,"Sjælland","Life Sciences/biotech - Landbouw","NL41","south","DK02",40.9326,40.9326
"GMO","UKF2","NL41",2.16,51.87,0,0,0,0,0,5,4,4.5,0.0111,0.0617,-0.0617,0,"Leicestershire, Rutland and Northamptonshire","Life Sciences/biotech - Landbouw","NL41","south","UKF2",63.2124,63.2124
"GMO","FR51","NL41",2.16,66.6,0,0,0,0,0,4,4,4,0.0099,0.0549,-0.0549,0,"Pays de la Loire","Life Sciences/biotech - Landbouw","NL41","south","FR51",74.0933,74.0933
"GMO","IE02","NL41",2.16,30.65,0,0,0,0,0,2,4,3,0.0074,0.0411,-0.0411,0,"Southern and Eastern","Life Sciences/biotech - Landbouw","NL41","south","IE02",33.6788,33.6788
"GMO","PL12","NL41",2.16,51.67,0,0,0,0,0,2,4,3,0.0074,0.0411,-0.0411,0,"Mazowieckie","Life Sciences/biotech - Landbouw","NL41","south","PL12",61.1399,61.1399
"GMO","ITI1","NL41",2.16,51.28,0,0,0,0,0,4,6,5,0.0124,0.0686,-0.0686,0,"Toscana","Life Sciences/biotech - Landbouw","NL41","south","ITI1",59.5855,59.5855
