"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Hernieuwbare energie - Windturbines";"PL63";"NL41";12,16;8,84;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Pomorskie";"Geavanceerde materialen - Energie";"NL41";"south";"PL63";28,1996;28,1996
"Hernieuwbare energie - Windturbines";"UKI2";"NL41";12,16;7,09;0;0;0;0;0;6;13;9,5;0,0024;0,0675;-0,0675;0;"Outer London";"Geavanceerde materialen - Energie";"NL41";"south";"UKI2";23,6443;23,6443
"Hernieuwbare energie - Windturbines";"DE94";"NL41";12,16;73,49;0;0;0;0;0;6;269;137,5;0,0346;0,9771;-0,9771;0;"Weser-Ems";"Geavanceerde materialen - Energie";"NL41";"south";"DE94";99,1323;99,1323
"Hernieuwbare energie - Windturbines";"NL32";"NL41";12,16;51,53;0;0;0;0;0;6;17;11,5;0,0029;0,0817;-0,0817;0;"Noord-Holland";"Geavanceerde materialen - Energie";"NL41";"south";"NL32";84,1649;84,1649
"Hernieuwbare energie - Windturbines";"AT11";"NL41";12,16;27,65;0;0;0;0;0;6;2;4;0,001;0,0284;-0,0284;0;"Burgenland (AT)";"Geavanceerde materialen - Energie";"NL41";"south";"AT11";68,5466;68,5466
"Hernieuwbare energie - Windturbines";"DEA2";"NL41";12,16;13,21;0;0;0;0;0;6;28;17;0,0043;0,1208;-0,1208;0;"Köln";"Geavanceerde materialen - Energie";"NL41";"south";"DEA2";37,744;37,744
"Hernieuwbare energie - Windturbines";"ES12";"NL41";12,16;59,06;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Principado de Asturias";"Geavanceerde materialen - Energie";"NL41";"south";"ES12";88,7202;88,7202
"Hernieuwbare energie - Windturbines";"CH06";"NL41";12,16;30,71;0;0;0;0;0;6;21;13,5;0,0034;0,0959;-0,0959;0;"Zentralschweiz";"Geavanceerde materialen - Energie";"NL41";"south";"CH06";71,8004;71,8004
"Hernieuwbare energie - Windturbines";"ES51";"NL41";12,16;49,78;2;25;1;16,6667;0,0354;83;6;44,5;0,0112;0,3162;0,6838;3,1622;"Cataluña";"Geavanceerde materialen - Energie";"NL41";"south";"ES51";42,5163;42,5163
"Hernieuwbare energie - Windturbines";"UKL2";"NL41";12,16;10,24;0;0;0;0;0;6;4;5;0,0013;0,0355;-0,0355;0;"East Wales";"Geavanceerde materialen - Energie";"NL41";"south";"UKL2";31,4534;31,4534
"Hernieuwbare energie - Windturbines";"UKC1";"NL41";12,16;23,1;0;0;0;0;0;6;3;4,5;0,0011;0,032;-0,032;0;"Tees Valley and Durham";"Geavanceerde materialen - Energie";"NL41";"south";"UKC1";63,9913;63,9913
"Hernieuwbare energie - Windturbines";"DE72";"NL41";12,16;21,26;0;0;0;0;0;6;2;4;0,001;0,0284;-0,0284;0;"Gießen";"Geavanceerde materialen - Energie";"NL41";"south";"DE72";60,5206;60,5206
"Hernieuwbare energie - Windturbines";"DE13";"NL41";12,16;14;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Freiburg";"Geavanceerde materialen - Energie";"NL41";"south";"DE13";39,6963;39,6963
"Hernieuwbare energie - Windturbines";"PL51";"NL41";12,16;16,1;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Dolnośląskie";"Geavanceerde materialen - Energie";"NL41";"south";"PL51";46,6377;46,6377
"Hernieuwbare energie - Windturbines";"UKG2";"NL41";12,16;69,99;0;0;0;0;0;6;19;12,5;0,0031;0,0888;-0,0888;0;"Shropshire and Staffordshire";"Geavanceerde materialen - Energie";"NL41";"south";"UKG2";96,0954;96,0954
"Hernieuwbare energie - Windturbines";"DE23";"NL41";12,16;23,45;0;0;0;0;0;6;2;4;0,001;0,0284;-0,0284;0;"Oberpfalz";"Geavanceerde materialen - Energie";"NL41";"south";"DE23";64,4252;64,4252
"Hernieuwbare energie - Windturbines";"ITH1";"NL41";12,16;16,89;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Provincia Autonoma di Bolzano/Bozen";"Geavanceerde materialen - Energie";"NL41";"south";"ITH1";50,5423;50,5423
"Hernieuwbare energie - Windturbines";"DEB1";"NL41";12,16;16,1;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Koblenz";"Geavanceerde materialen - Energie";"NL41";"south";"DEB1";46,6377;46,6377
"Hernieuwbare energie - Windturbines";"ITF6";"NL41";12,16;31,5;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Calabria";"Geavanceerde materialen - Energie";"NL41";"south";"ITF6";73,102;73,102
"Hernieuwbare energie - Windturbines";"DK04";"NL41";12,16;71,04;0;0;0;0;0;827;6;416,5;0,1048;2,9598;-2,9598;0;"Midtjylland";"Geavanceerde materialen - Energie";"NL41";"south";"DK04";97,8308;97,8308
"Hernieuwbare energie - Windturbines";"FR71";"NL41";12,16;27,65;0;0;0;0;0;16;6;11;0,0028;0,0782;-0,0782;0;"Rhône-Alpes";"Geavanceerde materialen - Energie";"NL41";"south";"FR71";68,5466;68,5466
"Hernieuwbare energie - Windturbines";"DE27";"NL41";12,16;25,72;0;0;0;0;0;15;6;10,5;0,0026;0,0746;-0,0746;0;"Schwaben";"Geavanceerde materialen - Energie";"NL41";"south";"DE27";66,5944;66,5944
"Hernieuwbare energie - Windturbines";"UKE3";"NL41";12,16;62,47;0;0;0;0;0;50;6;28;0,007;0,199;-0,199;0;"South Yorkshire";"Geavanceerde materialen - Energie";"NL41";"south";"UKE3";91,757;91,757
"Hernieuwbare energie - Windturbines";"UKC2";"NL41";12,16;20,38;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Northumberland and Tyne and Wear";"Geavanceerde materialen - Energie";"NL41";"south";"UKC2";58,7852;58,7852
"Hernieuwbare energie - Windturbines";"AT21";"NL41";12,16;6,65;0;0;0;0;0;6;2;4;0,001;0,0284;-0,0284;0;"Kärnten";"Geavanceerde materialen - Energie";"NL41";"south";"AT21";23,2104;23,2104
"Hernieuwbare energie - Windturbines";"ITG1";"NL41";12,16;14,44;0;0;0;0;0;6;1;3,5;9e-04;0,0249;-0,0249;0;"Sicilia";"Geavanceerde materialen - Energie";"NL41";"south";"ITG1";41,6486;41,6486
"Hernieuwbare energie - Windturbines";"AT33";"NL41";12,16;15,84;0;0;0;0;0;8;6;7;0,0018;0,0497;-0,0497;0;"Tirol";"Geavanceerde materialen - Energie";"NL41";"south";"AT33";44,9024;44,9024
"Hernieuwbare energie - Windturbines";"HU22";"NL41";12,16;12,42;0;0;0;0;0;6;3;4,5;0,0011;0,032;-0,032;0;"Nyugat-Dunántúl";"Geavanceerde materialen - Energie";"NL41";"south";"HU22";36,2256;36,2256
"Hernieuwbare energie - Windturbines";"NO04";"NL41";12,16;65,35;0;0;0;0;0;6;8;7;0,0018;0,0497;-0,0497;0;"Agder og Rogaland";"Geavanceerde materialen - Energie";"NL41";"south";"NO04";93,9262;93,9262
"Hernieuwbare energie - Windturbines";"DEB2";"NL41";12,16;14,44;0;0;0;0;0;6;4;5;0,0013;0,0355;-0,0355;0;"Trier";"Geavanceerde materialen - Energie";"NL41";"south";"DEB2";41,6486;41,6486
"Hernieuwbare energie - Windturbines";"UKG1";"NL41";12,16;21,61;0;0;0;0;0;1;6;3,5;9e-04;0,0249;-0,0249;0;"Herefordshire, Worcestershire and Warwickshire";"Geavanceerde materialen - Energie";"NL41";"south";"UKG1";61,8221;61,8221
"Hernieuwbare energie - Windturbines";"NL33";"NL41";12,16;61,24;0;0;0;0;0;31;6;18,5;0,0047;0,1315;-0,1315;0;"Zuid-Holland";"Geavanceerde materialen - Energie";"NL41";"south";"NL33";90,4555;90,4555
"Hernieuwbare energie - Windturbines";"PT11";"NL41";12,16;47,77;0;0;0;0;0;6;18;12;0,003;0,0853;-0,0853;0;"Norte";"Geavanceerde materialen - Energie";"NL41";"south";"PT11";80,9111;80,9111
