"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Medtech/beeldvorming";"SE22";"NL41";74,22;7,56;0;0;0;0;0;1800;76;938;0,0645;5,5357;-5,5357;0;"Sydsverige";"Digitale technologie - Gezondheid";"NL41";"south";"SE22";57,1031;57,1031
"Medtech/beeldvorming";"DE94";"NL41";74,22;4,2;0;0;0;0;0;1800;8;904;0,0621;5,335;-5,335;0;"Weser-Ems";"Digitale technologie - Gezondheid";"NL41";"south";"DE94";35,376;35,376
"Medtech/beeldvorming";"NL31";"NL41";74,22;9,87;3;0,0241;2;0,1111;0,0233;1800;46;923;0,0634;5,4472;-3,4472;0,3672;"Utrecht";"Digitale technologie - Gezondheid";"NL41";"south";"NL31";42,6184;42,6184
"Medtech/beeldvorming";"CZ03";"NL41";74,22;9,45;0;0;0;0;0;1800;10;905;0,0622;5,3409;-5,3409;0;"Jihozápad";"Digitale technologie - Gezondheid";"NL41";"south";"CZ03";76,0446;76,0446
"Medtech/beeldvorming";"CZ02";"NL41";74,22;10,79;0;0;0;0;0;1800;23;911,5;0,0626;5,3792;-5,3792;0;"Střední Čechy";"Digitale technologie - Gezondheid";"NL41";"south";"CZ02";87,0474;87,0474
"Medtech/beeldvorming";"NL33";"NL41";74,22;9,02;8;0,0643;5;0,2778;0,0582;1800;91;945,5;0,065;5,5799;-0,5799;0,8961;"Zuid-Holland";"Digitale technologie - Gezondheid";"NL41";"south";"NL33";31,6156;31,6156
"Medtech/beeldvorming";"FRY4";"NL41";74,22;4,27;0;0;0;0;0;1800;1;900,5;0,0619;5,3143;-5,3143;0;"Réunion";"Digitale technologie - Gezondheid";"NL41";"south";"FRY4";35,7939;35,7939
"Medtech/beeldvorming";"ITG1";"NL41";74,22;11,94;0;0;0;0;0;1800;5;902,5;0,062;5,3262;-5,3262;0;"Sicilia";"Digitale technologie - Gezondheid";"NL41";"south";"ITG1";93,1755;93,1755
"Medtech/beeldvorming";"DE26";"NL41";74,22;8,1;0;0;0;0;0;1800;71;935,5;0,0643;5,5209;-5,5209;0;"Unterfranken";"Digitale technologie - Gezondheid";"NL41";"south";"DE26";61,8384;61,8384
"Medtech/beeldvorming";"SE32";"NL41";74,22;3,35;0;0;0;0;0;1800;3;901,5;0,062;5,3202;-5,3202;0;"Mellersta Norrland";"Digitale technologie - Gezondheid";"NL41";"south";"SE32";32,8691;32,8691
"Medtech/beeldvorming";"SK01";"NL41";74,22;10,12;0;0;0;0;0;1800;4;902;0,062;5,3232;-5,3232;0;"Bratislavský kraj";"Digitale technologie - Gezondheid";"NL41";"south";"SK01";82,8691;82,8691
"Medtech/beeldvorming";"PL62";"NL41";74,22;8,35;0;0;0;0;0;1800;2;901;0,0619;5,3173;-5,3173;0;"Warmińsko-Mazurskie";"Digitale technologie - Gezondheid";"NL41";"south";"PL62";63,0919;63,0919
"Medtech/beeldvorming";"UKD7";"NL41";74,22;7,07;0;0;0;0;0;1800;15;907,5;0,0624;5,3556;-5,3556;0;"Merseyside";"Digitale technologie - Gezondheid";"NL41";"south";"UKD7";53,4819;53,4819
"Medtech/beeldvorming";"SK04";"NL41";74,22;7,98;0;0;0;0;0;7;1800;903,5;0,0621;5,3321;-5,3321;0;"Východné Slovensko";"Digitale technologie - Gezondheid";"NL41";"south";"SK04";60,1671;60,1671
"Medtech/beeldvorming";"UKF2";"NL41";74,22;10,66;0;0;0;0;0;1800;10;905;0,0622;5,3409;-5,3409;0;"Leicestershire, Rutland and Northamptonshire";"Digitale technologie - Gezondheid";"NL41";"south";"UKF2";86,351;86,351
"Medtech/beeldvorming";"SE12";"NL41";74,22;8,59;0;0;0;0;0;1800;65;932,5;0,0641;5,5032;-5,5032;0;"Östra Mellansverige";"Digitale technologie - Gezondheid";"NL41";"south";"SE12";65,8774;65,8774
"Medtech/beeldvorming";"CH03";"NL41";74,22;11,09;6;0,0482;1;0,0556;0,0116;1800;205;1002,5;0,0689;5,9163;-4,9163;0,169;"Nordwestschweiz";"Digitale technologie - Gezondheid";"NL41";"south";"CH03";56,546;56,546
"Medtech/beeldvorming";"DE21";"NL41";74,22;8,04;1;0,008;1;0,0556;0,0116;1800;265;1032,5;0,071;6,0933;-5,0933;0,1641;"Oberbayern";"Digitale technologie - Gezondheid";"NL41";"south";"DE21";27,7159;27,7159
"Medtech/beeldvorming";"DEA3";"NL41";74,22;6,64;0;0;0;0;0;31;1800;915,5;0,0629;5,4029;-5,4029;0;"Münster";"Digitale technologie - Gezondheid";"NL41";"south";"DEA3";49,8607;49,8607
"Medtech/beeldvorming";"LU00";"NL41";74,22;7,01;0;0;0;0;0;1800;11;905,5;0,0622;5,3439;-5,3439;0;"Luxembourg";"Digitale technologie - Gezondheid";"NL41";"south";"LU00";52,7855;52,7855
"Medtech/beeldvorming";"UKL1";"NL41";74,22;10,79;0;0;0;0;0;1800;24;912;0,0627;5,3822;-5,3822;0;"West Wales and The Valleys";"Digitale technologie - Gezondheid";"NL41";"south";"UKL1";87,0474;87,0474
