"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Personalised/precision medicine";"UKJ1";"NL41";81,15;8,11;0;0;0;0;0;776;95;435,5;0,0765;2,8868;-2,8868;0;"Berkshire, Buckinghamshire and Oxfordshire";"Digitale technologie - Gezondheid";"NL41";"south";"UKJ1";83,0018;83,0018
"Personalised/precision medicine";"NL32";"NL41";81,15;7,78;0;0;0;0;0;776;9;392,5;0,0689;2,6018;-2,6018;0;"Noord-Holland";"Digitale technologie - Gezondheid";"NL41";"south";"NL32";79,0235;79,0235
"Personalised/precision medicine";"AT34";"NL41";81,15;2,28;0;0;0;0;0;776;6;391;0,0686;2,5918;-2,5918;0;"Vorarlberg";"Digitale technologie - Gezondheid";"NL41";"south";"AT34";19,8915;19,8915
"Personalised/precision medicine";"FRY2";"NL41";81,15;1,86;0;0;0;0;0;776;0;388;0,0681;2,5719;-2,5719;0;"Martinique";"Digitale technologie - Gezondheid";"NL41";"south";"FRY2";18,9873;18,9873
"Personalised/precision medicine";"FR71";"NL41";81,15;6,17;0;0;0;0;0;776;74;425;0,0746;2,8172;-2,8172;0;"Rhône-Alpes";"Digitale technologie - Gezondheid";"NL41";"south";"FR71";61,4828;61,4828
"Personalised/precision medicine";"CH03";"NL41";81,15;5,16;0;0;0;0;0;776;89;432,5;0,0759;2,8669;-2,8669;0;"Nordwestschweiz";"Digitale technologie - Gezondheid";"NL41";"south";"CH03";48,4629;48,4629
"Personalised/precision medicine";"NL12";"NL41";81,15;6,76;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Friesland (NL)";"Digitale technologie - Gezondheid";"NL41";"south";"NL12";68,3544;68,3544
"Personalised/precision medicine";"DE72";"NL41";81,15;4,99;0;0;0;0;0;776;6;391;0,0686;2,5918;-2,5918;0;"Gießen";"Digitale technologie - Gezondheid";"NL41";"south";"DE72";46,6546;46,6546
"Personalised/precision medicine";"SE12";"NL41";81,15;8,2;0;0;0;0;0;776;34;405;0,0711;2,6847;-2,6847;0;"Östra Mellansverige";"Digitale technologie - Gezondheid";"NL41";"south";"SE12";83,906;83,906
"Personalised/precision medicine";"UKC2";"NL41";81,15;7,69;0;0;0;0;0;776;2;389;0,0683;2,5786;-2,5786;0;"Northumberland and Tyne and Wear";"Digitale technologie - Gezondheid";"NL41";"south";"UKC2";78,1193;78,1193
"Personalised/precision medicine";"AT22";"NL41";81,15;3,38;0;0;0;0;0;776;7;391,5;0,0687;2,5952;-2,5952;0;"Steiermark";"Digitale technologie - Gezondheid";"NL41";"south";"AT22";28,3906;28,3906
"Personalised/precision medicine";"UKJ4";"NL41";81,15;7,69;0;0;0;0;0;776;2;389;0,0683;2,5786;-2,5786;0;"Kent";"Digitale technologie - Gezondheid";"NL41";"south";"UKJ4";78,1193;78,1193
"Personalised/precision medicine";"NL31";"NL41";81,15;6,68;0;0;0;0;0;776;13;394,5;0,0693;2,6151;-2,6151;0;"Utrecht";"Digitale technologie - Gezondheid";"NL41";"south";"NL31";67,2694;67,2694
"Personalised/precision medicine";"DEC0";"NL41";81,15;7,19;0;0;0;0;0;9;776;392,5;0,0689;2,6018;-2,6018;0;"Saarland";"Digitale technologie - Gezondheid";"NL41";"south";"DEC0";71,9711;71,9711
"Personalised/precision medicine";"EE00";"NL41";81,15;8,88;0;0;0;0;0;776;5;390,5;0,0686;2,5885;-2,5885;0;"Eesti";"Digitale technologie - Gezondheid";"NL41";"south";"EE00";89,6926;89,6926
"Personalised/precision medicine";"DE30";"NL41";81,15;12,68;0;0;0;0;0;776;101;438,5;0,077;2,9067;-2,9067;0;"Berlin";"Digitale technologie - Gezondheid";"NL41";"south";"DE30";100;100
"Personalised/precision medicine";"AT21";"NL41";81,15;2,37;0;0;0;0;0;776;2;389;0,0683;2,5786;-2,5786;0;"Kärnten";"Digitale technologie - Gezondheid";"NL41";"south";"AT21";20,434;20,434
"Personalised/precision medicine";"FR72";"NL41";81,15;4,06;0;0;0;0;0;776;2;389;0,0683;2,5786;-2,5786;0;"Auvergne";"Digitale technologie - Gezondheid";"NL41";"south";"FR72";34,7197;34,7197
"Personalised/precision medicine";"PL51";"NL41";81,15;4,56;0;0;0;0;0;776;2;389;0,0683;2,5786;-2,5786;0;"Dolnośląskie";"Digitale technologie - Gezondheid";"NL41";"south";"PL51";41,4105;41,4105
"Personalised/precision medicine";"UKH1";"NL41";81,15;9,55;0;0;0;0;0;776;77;426,5;0,0749;2,8272;-2,8272;0;"East Anglia";"Digitale technologie - Gezondheid";"NL41";"south";"UKH1";93,8517;93,8517
"Personalised/precision medicine";"FR21";"NL41";81,15;4,06;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Champagne-Ardenne";"Digitale technologie - Gezondheid";"NL41";"south";"FR21";34,7197;34,7197
"Personalised/precision medicine";"DEG0";"NL41";81,15;9,47;0;0;0;0;0;776;12;394;0,0692;2,6117;-2,6117;0;"Thüringen";"Digitale technologie - Gezondheid";"NL41";"south";"DEG0";93,1284;93,1284
"Personalised/precision medicine";"NL33";"NL41";81,15;6,51;0;0;0;0;0;776;12;394;0,0692;2,6117;-2,6117;0;"Zuid-Holland";"Digitale technologie - Gezondheid";"NL41";"south";"NL33";65,2803;65,2803
"Personalised/precision medicine";"DK01";"NL41";81,15;8,79;0;0;0;0;0;776;80;428;0,0751;2,8371;-2,8371;0;"Hovedstaden";"Digitale technologie - Gezondheid";"NL41";"south";"DK01";88,9693;88,9693
"Personalised/precision medicine";"NL11";"NL41";81,15;6,68;0;0;0;0;0;776;6;391;0,0686;2,5918;-2,5918;0;"Groningen";"Digitale technologie - Gezondheid";"NL41";"south";"NL11";67,2694;67,2694
"Personalised/precision medicine";"BE10";"NL41";81,15;8,54;0;0;0;0;0;776;20;398;0,0699;2,6383;-2,6383;0;"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";"Digitale technologie - Gezondheid";"NL41";"south";"BE10";87,3418;87,3418
"Personalised/precision medicine";"DE60";"NL41";81,15;3,72;0;0;0;0;0;776;19;397,5;0,0698;2,6349;-2,6349;0;"Hamburg";"Digitale technologie - Gezondheid";"NL41";"south";"DE60";30,9222;30,9222
"Personalised/precision medicine";"BE25";"NL41";81,15;3,47;0;0;0;0;0;776;16;396;0,0695;2,625;-2,625;0;"Prov. West-Vlaanderen";"Digitale technologie - Gezondheid";"NL41";"south";"BE25";29,1139;29,1139
"Personalised/precision medicine";"DED2";"NL41";81,15;6,17;0;0;0;0;0;776;4;390;0,0685;2,5852;-2,5852;0;"Dresden";"Digitale technologie - Gezondheid";"NL41";"south";"DED2";61,4828;61,4828
"Personalised/precision medicine";"NL22";"NL41";81,15;5,83;1;0,0193;1;0,1289;0,0265;776;8;392;0,0688;2,5985;-1,5985;0,3848;"Gelderland";"Digitale technologie - Gezondheid";"NL41";"south";"NL22";16,094;16,094
"Personalised/precision medicine";"DE50";"NL41";81,15;8,2;0;0;0;0;0;776;15;395,5;0,0694;2,6217;-2,6217;0;"Bremen";"Digitale technologie - Gezondheid";"NL41";"south";"DE50";83,906;83,906
"Personalised/precision medicine";"BE31";"NL41";81,15;4,9;0;0;0;0;0;776;4;390;0,0685;2,5852;-2,5852;0;"Prov. Brabant Wallon";"Digitale technologie - Gezondheid";"NL41";"south";"BE31";45,7505;45,7505
"Personalised/precision medicine";"SE33";"NL41";81,15;5,75;0;0;0;0;0;776;3;389,5;0,0684;2,5819;-2,5819;0;"Övre Norrland";"Digitale technologie - Gezondheid";"NL41";"south";"SE33";55,1537;55,1537
"Personalised/precision medicine";"FI1D";"NL41";81,15;6,09;0;0;0;0;0;776;25;400,5;0,0703;2,6548;-2,6548;0;"Pohjois- ja Itä-Suomi";"Digitale technologie - Gezondheid";"NL41";"south";"FI1D";59,8553;59,8553
"Personalised/precision medicine";"CH04";"NL41";81,15;10,9;0;0;0;0;0;776;84;430;0,0755;2,8504;-2,8504;0;"Zürich";"Digitale technologie - Gezondheid";"NL41";"south";"CH04";98,5533;98,5533
"Personalised/precision medicine";"FR24";"NL41";81,15;4,31;0;0;0;0;0;776;4;390;0,0685;2,5852;-2,5852;0;"Centre";"Digitale technologie - Gezondheid";"NL41";"south";"FR24";39,4213;39,4213
"Personalised/precision medicine";"ES12";"NL41";81,15;5,58;0;0;0;0;0;776;6;391;0,0686;2,5918;-2,5918;0;"Principado de Asturias";"Digitale technologie - Gezondheid";"NL41";"south";"ES12";53,1646;53,1646
"Personalised/precision medicine";"ITH1";"NL41";81,15;5,83;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Provincia Autonoma di Bolzano/Bozen";"Digitale technologie - Gezondheid";"NL41";"south";"ITH1";56,7812;56,7812
"Personalised/precision medicine";"PL63";"NL41";81,15;7,27;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Pomorskie";"Digitale technologie - Gezondheid";"NL41";"south";"PL63";73,5986;73,5986
"Personalised/precision medicine";"UKJ2";"NL41";81,15;9,55;1;0,0193;1;0,1289;0,0265;776;19;397,5;0,0698;2,6349;-1,6349;0,3795;"Surrey, East and West Sussex";"Digitale technologie - Gezondheid";"NL41";"south";"UKJ2";53,1646;53,1646
"Personalised/precision medicine";"ES41";"NL41";81,15;8,28;0;0;0;0;0;776;4;390;0,0685;2,5852;-2,5852;0;"Castilla y León";"Digitale technologie - Gezondheid";"NL41";"south";"ES41";85,1718;85,1718
"Personalised/precision medicine";"UKG1";"NL41";81,15;6,26;0;0;0;0;0;776;10;393;0,069;2,6051;-2,6051;0;"Herefordshire, Worcestershire and Warwickshire";"Digitale technologie - Gezondheid";"NL41";"south";"UKG1";62,7486;62,7486
"Personalised/precision medicine";"DEA2";"NL41";81,15;7,02;0;0;0;0;0;776;77;426,5;0,0749;2,8272;-2,8272;0;"Köln";"Digitale technologie - Gezondheid";"NL41";"south";"DEA2";70,3436;70,3436
"Personalised/precision medicine";"DEB2";"NL41";81,15;3,21;0;0;0;0;0;776;2;389;0,0683;2,5786;-2,5786;0;"Trier";"Digitale technologie - Gezondheid";"NL41";"south";"DEB2";26,2206;26,2206
"Personalised/precision medicine";"NL42";"NL41";81,15;3,72;0;0;0;0;0;776;12;394;0,0692;2,6117;-2,6117;0;"Limburg (NL)";"Digitale technologie - Gezondheid";"NL41";"south";"NL42";30,9222;30,9222
"Personalised/precision medicine";"ITI3";"NL41";81,15;4,82;0;0;0;0;0;776;3;389,5;0,0684;2,5819;-2,5819;0;"Marche";"Digitale technologie - Gezondheid";"NL41";"south";"ITI3";44,8463;44,8463
"Personalised/precision medicine";"DE13";"NL41";81,15;6,34;0;0;0;0;0;776;40;408;0,0716;2,7045;-2,7045;0;"Freiburg";"Digitale technologie - Gezondheid";"NL41";"south";"DE13";63,472;63,472
"Personalised/precision medicine";"SE23";"NL41";81,15;6,42;0;0;0;0;0;776;11;393,5;0,0691;2,6084;-2,6084;0;"Västsverige";"Digitale technologie - Gezondheid";"NL41";"south";"SE23";64,3761;64,3761
"Personalised/precision medicine";"ITH2";"NL41";81,15;7,27;0;0;0;0;0;776;3;389,5;0,0684;2,5819;-2,5819;0;"Provincia Autonoma di Trento";"Digitale technologie - Gezondheid";"NL41";"south";"ITH2";73,5986;73,5986
"Personalised/precision medicine";"BE21";"NL41";81,15;7,27;1;0,0193;1;0,1289;0,0265;776;28;402;0,0706;2,6648;-1,6648;0,3753;"Prov. Antwerpen";"Digitale technologie - Gezondheid";"NL41";"south";"BE21";32,9114;32,9114
"Personalised/precision medicine";"NO01";"NL41";81,15;10,82;0;0;0;0;0;776;7;391,5;0,0687;2,5952;-2,5952;0;"Oslo og Akershus";"Digitale technologie - Gezondheid";"NL41";"south";"NO01";98,1917;98,1917
"Personalised/precision medicine";"DE27";"NL41";81,15;4,14;0;0;0;0;0;776;12;394;0,0692;2,6117;-2,6117;0;"Schwaben";"Digitale technologie - Gezondheid";"NL41";"south";"DE27";36,528;36,528
"Personalised/precision medicine";"ITC4";"NL41";81,15;4,65;0;0;0;0;0;776;37;406,5;0,0714;2,6946;-2,6946;0;"Lombardia";"Digitale technologie - Gezondheid";"NL41";"south";"ITC4";42,4955;42,4955
"Personalised/precision medicine";"ITH3";"NL41";81,15;4,23;0;0;0;0;0;776;15;395,5;0,0694;2,6217;-2,6217;0;"Veneto";"Digitale technologie - Gezondheid";"NL41";"south";"ITH3";37,9747;37,9747
"Personalised/precision medicine";"FR82";"NL41";81,15;10,48;0;0;0;0;0;776;35;405,5;0,0712;2,688;-2,688;0;"Provence-Alpes-Côte d'Azur";"Digitale technologie - Gezondheid";"NL41";"south";"FR82";96,9259;96,9259
"Personalised/precision medicine";"UKD4";"NL41";81,15;7,95;0;0;0;0;0;776;44;410;0,072;2,7178;-2,7178;0;"Lancashire";"Digitale technologie - Gezondheid";"NL41";"south";"UKD4";80,2893;80,2893
"Personalised/precision medicine";"EL51";"NL41";81,15;2,28;0;0;0;0;0;776;2;389;0,0683;2,5786;-2,5786;0;"Anatoliki Makedonia, Thraki";"Digitale technologie - Gezondheid";"NL41";"south";"EL51";19,8915;19,8915
"Personalised/precision medicine";"FR43";"NL41";81,15;4,14;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Franche-Comté";"Digitale technologie - Gezondheid";"NL41";"south";"FR43";36,528;36,528
"Personalised/precision medicine";"IE01";"NL41";81,15;6,42;0;0;0;0;0;776;8;392;0,0688;2,5985;-2,5985;0;"Border, Midland and Western";"Digitale technologie - Gezondheid";"NL41";"south";"IE01";64,3761;64,3761
"Personalised/precision medicine";"UKM3";"NL41";81,15;10,57;0;0;0;0;0;776;4;390;0,0685;2,5852;-2,5852;0;"South Western Scotland";"Digitale technologie - Gezondheid";"NL41";"south";"UKM3";97,4684;97,4684
"Personalised/precision medicine";"NO03";"NL41";81,15;7,19;0;0;0;0;0;776;0;388;0,0681;2,5719;-2,5719;0;"Sør-Østlandet";"Digitale technologie - Gezondheid";"NL41";"south";"NO03";71,9711;71,9711
"Personalised/precision medicine";"DEA1";"NL41";81,15;2,96;0;0;0;0;0;776;67;421,5;0,074;2,794;-2,794;0;"Düsseldorf";"Digitale technologie - Gezondheid";"NL41";"south";"DEA1";24,4123;24,4123
"Personalised/precision medicine";"UKC1";"NL41";81,15;3,04;0;0;0;0;0;776;0;388;0,0681;2,5719;-2,5719;0;"Tees Valley and Durham";"Digitale technologie - Gezondheid";"NL41";"south";"UKC1";25,4973;25,4973
"Personalised/precision medicine";"DEB3";"NL41";81,15;3,38;0;0;0;0;0;24;776;400;0,0702;2,6515;-2,6515;0;"Rheinhessen-Pfalz";"Digitale technologie - Gezondheid";"NL41";"south";"DEB3";28,3906;28,3906
"Personalised/precision medicine";"PT15";"NL41";81,15;5,83;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Algarve";"Digitale technologie - Gezondheid";"NL41";"south";"PT15";56,7812;56,7812
"Personalised/precision medicine";"DE92";"NL41";81,15;3,3;0;0;0;0;0;776;16;396;0,0695;2,625;-2,625;0;"Hannover";"Digitale technologie - Gezondheid";"NL41";"south";"DE92";27,3056;27,3056
"Personalised/precision medicine";"UKE4";"NL41";81,15;8,62;0;0;0;0;0;776;7;391,5;0,0687;2,5952;-2,5952;0;"West Yorkshire";"Digitale technologie - Gezondheid";"NL41";"south";"UKE4";87,7034;87,7034
"Personalised/precision medicine";"NO04";"NL41";81,15;5,49;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Agder og Rogaland";"Digitale technologie - Gezondheid";"NL41";"south";"NO04";52,0796;52,0796
"Personalised/precision medicine";"UKJ3";"NL41";81,15;10,65;0;0;0;0;0;776;5;390,5;0,0686;2,5885;-2,5885;0;"Hampshire and Isle of Wight";"Digitale technologie - Gezondheid";"NL41";"south";"UKJ3";97,83;97,83
"Personalised/precision medicine";"AT12";"NL41";81,15;9,3;0;0;0;0;0;776;21;398,5;0,07;2,6416;-2,6416;0;"Niederösterreich";"Digitale technologie - Gezondheid";"NL41";"south";"AT12";91,8626;91,8626
"Personalised/precision medicine";"FR63";"NL41";81,15;5,07;0;0;0;0;0;776;1;388,5;0,0682;2,5753;-2,5753;0;"Limousin";"Digitale technologie - Gezondheid";"NL41";"south";"FR63";47,3779;47,3779
"Personalised/precision medicine";"UKL2";"NL41";81,15;8,11;0;0;0;0;0;776;0;388;0,0681;2,5719;-2,5719;0;"East Wales";"Digitale technologie - Gezondheid";"NL41";"south";"UKL2";83,0018;83,0018
