"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Precisielandbouw";"DEB3";"NL41";14,04;14,2;0;0;0;0;0;7;2;4,5;0,0123;0,0597;-0,0597;0;"Rheinhessen-Pfalz";"Digitale technologie - Landbouw";"NL41";"south";"DEB3";31,6832;31,6832
"Precisielandbouw";"DK01";"NL41";14,04;12,3;0;0;0;0;0;4;2;3;0,0082;0,0398;-0,0398;0;"Hovedstaden";"Digitale technologie - Landbouw";"NL41";"south";"DK01";23,7624;23,7624
"Precisielandbouw";"UKH1";"NL41";14,04;27,76;0;0;0;0;0;17;2;9,5;0,026;0,126;-0,126;0;"East Anglia";"Digitale technologie - Landbouw";"NL41";"south";"UKH1";63,3663;63,3663
"Precisielandbouw";"DE71";"NL41";14,04;5,05;0;0;0;0;0;6;2;4;0,0109;0,0531;-0,0531;0;"Darmstadt";"Digitale technologie - Landbouw";"NL41";"south";"DE71";4,4554;4,4554
"Precisielandbouw";"BE25";"NL41";14,04;44,32;0;0;0;0;0;14;2;8;0,0219;0,1061;-0,1061;0;"Prov. West-Vlaanderen";"Digitale technologie - Landbouw";"NL41";"south";"BE25";74,2574;74,2574
"Precisielandbouw";"DK04";"NL41";14,04;43,06;0;0;0;0;0;5;2;3,5;0,0096;0,0464;-0,0464;0;"Midtjylland";"Digitale technologie - Landbouw";"NL41";"south";"DK04";72,2772;72,2772
"Precisielandbouw";"UKF1";"NL41";14,04;1,74;0;0;0;0;0;2;2;2;0,0055;0,0265;-0,0265;0;"Derbyshire and Nottinghamshire";"Digitale technologie - Landbouw";"NL41";"south";"UKF1";0;0
"Precisielandbouw";"AT12";"NL41";14,04;13,41;0;0;0;0;0;2;2;2;0,0055;0,0265;-0,0265;0;"Niederösterreich";"Digitale technologie - Landbouw";"NL41";"south";"AT12";27,7228;27,7228
"Precisielandbouw";"ITC4";"NL41";14,04;4,89;0;0;0;0;0;4;2;3;0,0082;0,0398;-0,0398;0;"Lombardia";"Digitale technologie - Landbouw";"NL41";"south";"ITC4";2,9703;2,9703
"Precisielandbouw";"FI1B";"NL41";14,04;20,66;0;0;0;0;0;2;2;2;0,0055;0,0265;-0,0265;0;"Helsinki-Uusimaa";"Digitale technologie - Landbouw";"NL41";"south";"FI1B";49,0099;49,0099
"Precisielandbouw";"SE11";"NL41";14,04;5,05;0;0;0;0;0;8;2;5;0,0137;0,0663;-0,0663;0;"Stockholm";"Digitale technologie - Landbouw";"NL41";"south";"SE11";4,4554;4,4554
"Precisielandbouw";"DEA4";"NL41";14,04;58,68;0;0;0;0;0;60;2;31;0,0848;0,4113;-0,4113;0;"Detmold";"Digitale technologie - Landbouw";"NL41";"south";"DEA4";92,5743;92,5743
"Precisielandbouw";"ITH1";"NL41";14,04;58,99;0;0;0;0;0;2;0;1;0,0027;0,0133;-0,0133;0;"Provincia Autonoma di Bolzano/Bozen";"Digitale technologie - Landbouw";"NL41";"south";"ITH1";94,0594;94,0594
"Precisielandbouw";"FR51";"NL41";14,04;63,25;0;0;0;0;0;2;2;2;0,0055;0,0265;-0,0265;0;"Pays de la Loire";"Digitale technologie - Landbouw";"NL41";"south";"FR51";99,0099;99,0099
"Precisielandbouw";"SE12";"NL41";14,04;47,63;0;0;0;0;0;16;2;9;0,0246;0,1194;-0,1194;0;"Östra Mellansverige";"Digitale technologie - Landbouw";"NL41";"south";"SE12";79,2079;79,2079
"Precisielandbouw";"RO32";"NL41";14,04;46,69;0;0;0;0;0;1;2;1,5;0,0041;0,0199;-0,0199;0;"Bucureşti - Ilfov";"Digitale technologie - Landbouw";"NL41";"south";"RO32";77,2277;77,2277
"Precisielandbouw";"ITI4";"NL41";14,04;17,67;0;0;0;0;0;0;2;1;0,0027;0,0133;-0,0133;0;"Lazio";"Digitale technologie - Landbouw";"NL41";"south";"ITI4";40,5941;40,5941
"Precisielandbouw";"DEA2";"NL41";14,04;47,32;0;0;0;0;0;46;2;24;0,0657;0,3184;-0,3184;0;"Köln";"Digitale technologie - Landbouw";"NL41";"south";"DEA2";78,2178;78,2178
"Precisielandbouw";"UKJ1";"NL41";14,04;13,09;0;0;0;0;0;7;2;4,5;0,0123;0,0597;-0,0597;0;"Berkshire, Buckinghamshire and Oxfordshire";"Digitale technologie - Landbouw";"NL41";"south";"UKJ1";26,7327;26,7327
"Precisielandbouw";"DE11";"NL41";14,04;23,5;0;0;0;0;0;19;2;10,5;0,0287;0,1393;-0,1393;0;"Stuttgart";"Digitale technologie - Landbouw";"NL41";"south";"DE11";56,4356;56,4356
"Precisielandbouw";"BE24";"NL41";14,04;42,74;0;0;0;0;0;3;2;2,5;0,0068;0,0332;-0,0332;0;"Prov. Vlaams-Brabant";"Digitale technologie - Landbouw";"NL41";"south";"BE24";71,2871;71,2871
"Precisielandbouw";"ES22";"NL41";14,04;12,93;0;0;0;0;0;1;2;1,5;0,0041;0,0199;-0,0199;0;"Comunidad Foral de Navarra";"Digitale technologie - Landbouw";"NL41";"south";"ES22";25,7426;25,7426
"Precisielandbouw";"DE12";"NL41";14,04;74,45;0;0;0;0;0;83;2;42,5;0,1163;0,5639;-0,5639;0;"Karlsruhe";"Digitale technologie - Landbouw";"NL41";"south";"DE12";100;100
"Precisielandbouw";"UKG1";"NL41";14,04;29,81;0;0;0;0;0;1;2;1,5;0,0041;0,0199;-0,0199;0;"Herefordshire, Worcestershire and Warwickshire";"Digitale technologie - Landbouw";"NL41";"south";"UKG1";66,3366;66,3366
"Precisielandbouw";"UKM5";"NL41";14,04;8,52;0;0;0;0;0;0;2;1;0,0027;0,0133;-0,0133;0;"North Eastern Scotland";"Digitale technologie - Landbouw";"NL41";"south";"UKM5";10,8911;10,8911
"Precisielandbouw";"ES51";"NL41";14,04;19,24;0;0;0;0;0;1;2;1,5;0,0041;0,0199;-0,0199;0;"Cataluña";"Digitale technologie - Landbouw";"NL41";"south";"ES51";46,5347;46,5347
"Precisielandbouw";"DE13";"NL41";14,04;13,72;0;0;0;0;0;2;2;2;0,0055;0,0265;-0,0265;0;"Freiburg";"Digitale technologie - Landbouw";"NL41";"south";"DE13";29,2079;29,2079
"Precisielandbouw";"DE30";"NL41";14,04;14,83;0;0;0;0;0;14;2;8;0,0219;0,1061;-0,1061;0;"Berlin";"Digitale technologie - Landbouw";"NL41";"south";"DE30";34,6535;34,6535
"Precisielandbouw";"UKD3";"NL41";14,04;10,25;0;0;0;0;0;2;3;2,5;0,0068;0,0332;-0,0332;0;"Greater Manchester";"Digitale technologie - Landbouw";"NL41";"south";"UKD3";12,8713;12,8713
"Precisielandbouw";"FR62";"NL41";14,04;21,77;0;0;0;0;0;2;1;1,5;0,0041;0,0199;-0,0199;0;"Midi-Pyrénées";"Digitale technologie - Landbouw";"NL41";"south";"FR62";50,9901;50,9901
