"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Robotics - Robots";"CH06";"NL41";14,16;62,28;0;0;0;0;0;45;19;32;0,0097;0,217;-0,217;0;"Zentralschweiz";"Digitale technologie - Transversal";"NL41";"south";"CH06";96,6833;96,6833
"Robotics - Robots";"AT11";"NL41";14,16;32,32;0;0;0;0;0;19;3;11;0,0033;0,0746;-0,0746;0;"Burgenland (AT)";"Digitale technologie - Transversal";"NL41";"south";"AT11";71,8076;71,8076
"Robotics - Robots";"BE10";"NL41";14,16;6,49;0;0;0;0;0;8;19;13,5;0,0041;0,0916;-0,0916;0;"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";"Digitale technologie - Transversal";"NL41";"south";"BE10";35,3234;35,3234
"Robotics - Robots";"SE12";"NL41";14,16;55,63;0;0;0;0;0;19;38;28,5;0,0086;0,1933;-0,1933;0;"Östra Mellansverige";"Digitale technologie - Transversal";"NL41";"south";"SE12";91,0448;91,0448
"Robotics - Robots";"PT11";"NL41";14,16;8,22;0;0;0;0;0;1;19;10;0,003;0,0678;-0,0678;0;"Norte";"Digitale technologie - Transversal";"NL41";"south";"PT11";36,9818;36,9818
"Robotics - Robots";"HU32";"NL41";14,16;43,58;0;0;0;0;0;19;2;10,5;0,0032;0,0712;-0,0712;0;"Észak-Alföld";"Digitale technologie - Transversal";"NL41";"south";"HU32";79,602;79,602
"Robotics - Robots";"NO07";"NL41";14,16;48,04;0;0;0;0;0;19;1;10;0,003;0,0678;-0,0678;0;"Nord-Norge";"Digitale technologie - Transversal";"NL41";"south";"NO07";81,7579;81,7579
"Robotics - Robots";"DE40";"NL41";14,16;10,72;0;0;0;0;0;29;19;24;0,0073;0,1628;-0,1628;0;"Brandenburg";"Digitale technologie - Transversal";"NL41";"south";"DE40";44,2786;44,2786
"Robotics - Robots";"NO05";"NL41";14,16;56,81;0;0;0;0;0;14;19;16,5;0,005;0,1119;-0,1119;0;"Vestlandet";"Digitale technologie - Transversal";"NL41";"south";"NO05";91,3765;91,3765
"Robotics - Robots";"BE24";"NL41";14,16;8,53;0;0;0;0;0;19;10;14,5;0,0044;0,0983;-0,0983;0;"Prov. Vlaams-Brabant";"Digitale technologie - Transversal";"NL41";"south";"BE24";38,6401;38,6401
"Robotics - Robots";"UKN0";"NL41";14,16;14,95;0;0;0;0;0;19;1;10;0,003;0,0678;-0,0678;0;"Northern Ireland";"Digitale technologie - Transversal";"NL41";"south";"UKN0";56,8823;56,8823
"Robotics - Robots";"ES42";"NL41";14,16;45,62;0;0;0;0;0;19;0;9,5;0,0029;0,0644;-0,0644;0;"Castilla-La Mancha";"Digitale technologie - Transversal";"NL41";"south";"ES42";80,4312;80,4312
"Robotics - Robots";"FR82";"NL41";14,16;11,11;0;0;0;0;0;19;6;12,5;0,0038;0,0848;-0,0848;0;"Provence-Alpes-Côte d'Azur";"Digitale technologie - Transversal";"NL41";"south";"FR82";46,1028;46,1028
"Robotics - Robots";"NL22";"NL41";14,16;15,1;0;0;0;0;0;19;9;14;0,0042;0,095;-0,095;0;"Gelderland";"Digitale technologie - Transversal";"NL41";"south";"NL22";57,2139;57,2139
"Robotics - Robots";"SK02";"NL41";14,16;11,11;0;0;0;0;0;19;3;11;0,0033;0,0746;-0,0746;0;"Západné Slovensko";"Digitale technologie - Transversal";"NL41";"south";"SK02";46,1028;46,1028
"Robotics - Robots";"CH03";"NL41";14,16;10,49;0;0;0;0;0;25;19;22;0,0067;0,1492;-0,1492;0;"Nordwestschweiz";"Digitale technologie - Transversal";"NL41";"south";"CH03";42,9519;42,9519
"Robotics - Robots";"SK01";"NL41";14,16;32,16;0;0;0;0;0;19;2;10,5;0,0032;0,0712;-0,0712;0;"Bratislavský kraj";"Digitale technologie - Transversal";"NL41";"south";"SK01";71,476;71,476
"Robotics - Robots";"CH01";"NL41";14,16;6,65;0;0;0;0;0;19;19;19;0,0058;0,1289;-0,1289;0;"Région lémanique";"Digitale technologie - Transversal";"NL41";"south";"CH01";35,9867;35,9867
"Robotics - Robots";"CH05";"NL41";14,16;62,21;0;0;0;0;0;43;19;31;0,0094;0,2103;-0,2103;0;"Ostschweiz";"Digitale technologie - Transversal";"NL41";"south";"CH05";96,3516;96,3516
"Robotics - Robots";"FR81";"NL41";14,16;43,58;0;0;0;0;0;29;19;24;0,0073;0,1628;-0,1628;0;"Languedoc-Roussillon";"Digitale technologie - Transversal";"NL41";"south";"FR81";79,602;79,602
"Robotics - Robots";"CZ06";"NL41";14,16;57,12;2;3,0303;1;5,2632;0,0447;19;11;15;0,0045;0,1017;0,8983;9,829;"Jihovýchod";"Digitale technologie - Transversal";"NL41";"south";"CZ06";57,3798;57,3798
"Robotics - Robots";"DE11";"NL41";14,16;70,97;0;0;0;0;0;185;19;102;0,0309;0,6918;-0,6918;0;"Stuttgart";"Digitale technologie - Transversal";"NL41";"south";"DE11";99,6683;99,6683
"Robotics - Robots";"DE50";"NL41";14,16;20,03;0;0;0;0;0;19;4;11,5;0,0035;0,078;-0,078;0;"Bremen";"Digitale technologie - Transversal";"NL41";"south";"DE50";63,5158;63,5158
"Robotics - Robots";"NL32";"NL41";14,16;49,06;0;0;0;0;0;9;19;14;0,0042;0,095;-0,095;0;"Noord-Holland";"Digitale technologie - Transversal";"NL41";"south";"NL32";83,5821;83,5821
"Robotics - Robots";"FR71";"NL41";14,16;10,72;0;0;0;0;0;38;19;28,5;0,0086;0,1933;-0,1933;0;"Rhône-Alpes";"Digitale technologie - Transversal";"NL41";"south";"FR71";44,2786;44,2786
"Robotics - Robots";"HR03";"NL41";14,16;40,53;0;0;0;0;0;19;1;10;0,003;0,0678;-0,0678;0;"Jadranska Hrvatska";"Digitale technologie - Transversal";"NL41";"south";"HR03";76,7828;76,7828
"Robotics - Robots";"BE21";"NL41";14,16;8,29;0;0;0;0;0;8;19;13,5;0,0041;0,0916;-0,0916;0;"Prov. Antwerpen";"Digitale technologie - Transversal";"NL41";"south";"BE21";37,4793;37,4793
"Robotics - Robots";"DEA4";"NL41";14,16;33,18;0;0;0;0;0;26;19;22,5;0,0068;0,1526;-0,1526;0;"Detmold";"Digitale technologie - Transversal";"NL41";"south";"DEA4";72,8027;72,8027
"Robotics - Robots";"FI1B";"NL41";14,16;14,24;0;0;0;0;0;15;19;17;0,0052;0,1153;-0,1153;0;"Helsinki-Uusimaa";"Digitale technologie - Transversal";"NL41";"south";"FI1B";55,2239;55,2239
"Robotics - Robots";"FR23";"NL41";14,16;15,57;0;0;0;0;0;19;3;11;0,0033;0,0746;-0,0746;0;"Haute-Normandie";"Digitale technologie - Transversal";"NL41";"south";"FR23";57,5456;57,5456
"Robotics - Robots";"FRY4";"NL41";14,16;46,95;0;0;0;0;0;19;1;10;0,003;0,0678;-0,0678;0;"Réunion";"Digitale technologie - Transversal";"NL41";"south";"FRY4";80,7629;80,7629
"Robotics - Robots";"ITC1";"NL41";14,16;63,77;8;12,1212;2;10,5263;0,0893;33;19;26;0,0079;0,1763;1,8237;11,3415;"Piemonte";"Digitale technologie - Transversal";"NL41";"south";"ITC1";62,5207;62,5207
"Robotics - Robots";"FR53";"NL41";14,16;48,67;0;0;0;0;0;19;6;12,5;0,0038;0,0848;-0,0848;0;"Poitou-Charentes";"Digitale technologie - Transversal";"NL41";"south";"FR53";82,7529;82,7529
"Robotics - Robots";"DE92";"NL41";14,16;17,76;0;0;0;0;0;19;20;19,5;0,0059;0,1323;-0,1323;0;"Hannover";"Digitale technologie - Transversal";"NL41";"south";"DE92";62,1891;62,1891
"Robotics - Robots";"LV00";"NL41";14,16;26,68;0;0;0;0;0;19;2;10,5;0,0032;0,0712;-0,0712;0;"Latvija";"Digitale technologie - Transversal";"NL41";"south";"LV00";68,1592;68,1592
"Robotics - Robots";"ES30";"NL41";14,16;7,59;0;0;0;0;0;13;19;16;0,0048;0,1085;-0,1085;0;"Comunidad de Madrid";"Digitale technologie - Transversal";"NL41";"south";"ES30";36,6501;36,6501
"Robotics - Robots";"DED4";"NL41";14,16;65,02;0;0;0;0;0;19;15;17;0,0052;0,1153;-0,1153;0;"Chemnitz";"Digitale technologie - Transversal";"NL41";"south";"DED4";98,01;98,01
"Robotics - Robots";"DEA2";"NL41";14,16;14,55;0;0;0;0;0;45;19;32;0,0097;0,217;-0,217;0;"Köln";"Digitale technologie - Transversal";"NL41";"south";"DEA2";55,8872;55,8872
"Robotics - Robots";"FR52";"NL41";14,16;5,4;0;0;0;0;0;19;11;15;0,0045;0,1017;-0,1017;0;"Bretagne";"Digitale technologie - Transversal";"NL41";"south";"FR52";33,665;33,665
