"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Super-labfoods";"ITI1";"NL41";29,12;43,89;0;0;0;0;0;39;17;28;0,007;0,1764;-0,1764;0;"Toscana";"Life Sciences/biotech - Landbouw";"NL41";"south";"ITI1";82,3409;82,3409
"Super-labfoods";"SE12";"NL41";29,12;11,1;0;0;0;0;0;39;12;25,5;0,0064;0,1607;-0,1607;0;"Östra Mellansverige";"Life Sciences/biotech - Landbouw";"NL41";"south";"SE12";31,2115;31,2115
"Super-labfoods";"EL63";"NL41";29,12;28,95;0;0;0;0;0;39;2;20,5;0,0051;0,1292;-0,1292;0;"Dytiki Ellada";"Life Sciences/biotech - Landbouw";"NL41";"south";"EL63";59,7536;59,7536
"Super-labfoods";"UKG3";"NL41";29,12;6,92;0;0;0;0;0;39;3;21;0,0052;0,1323;-0,1323;0;"West Midlands";"Life Sciences/biotech - Landbouw";"NL41";"south";"UKG3";24,846;24,846
"Super-labfoods";"ES43";"NL41";29,12;45,6;0;0;0;0;0;39;3;21;0,0052;0,1323;-0,1323;0;"Extremadura";"Life Sciences/biotech - Landbouw";"NL41";"south";"ES43";85,4209;85,4209
"Super-labfoods";"FR43";"NL41";29,12;35,53;0;0;0;0;0;39;15;27;0,0067;0,1701;-0,1701;0;"Franche-Comté";"Life Sciences/biotech - Landbouw";"NL41";"south";"FR43";70,0205;70,0205
"Super-labfoods";"PT16";"NL41";29,12;54,14;0;0;0;0;0;39;9;24;0,006;0,1512;-0,1512;0;"Centro (PT)";"Life Sciences/biotech - Landbouw";"NL41";"south";"PT16";92,6078;92,6078
"Super-labfoods";"CH06";"NL41";29,12;11,53;0;0;0;0;0;39;16;27,5;0,0069;0,1733;-0,1733;0;"Zentralschweiz";"Life Sciences/biotech - Landbouw";"NL41";"south";"CH06";32,0329;32,0329
"Super-labfoods";"FR53";"NL41";29,12;39,03;0;0;0;0;0;39;8;23,5;0,0059;0,1481;-0,1481;0;"Poitou-Charentes";"Life Sciences/biotech - Landbouw";"NL41";"south";"FR53";72,8953;72,8953
"Super-labfoods";"BE24";"NL41";29,12;54,23;0;0;0;0;0;39;32;35,5;0,0089;0,2237;-0,2237;0;"Prov. Vlaams-Brabant";"Life Sciences/biotech - Landbouw";"NL41";"south";"BE24";93,0185;93,0185
"Super-labfoods";"UKC1";"NL41";29,12;14,01;0;0;0;0;0;39;2;20,5;0,0051;0,1292;-0,1292;0;"Tees Valley and Durham";"Life Sciences/biotech - Landbouw";"NL41";"south";"UKC1";34,7023;34,7023
"Super-labfoods";"DK02";"NL41";29,12;33,13;0;0;0;0;0;39;5;22;0,0055;0,1386;-0,1386;0;"Sjælland";"Life Sciences/biotech - Landbouw";"NL41";"south";"DK02";67,1458;67,1458
"Super-labfoods";"UKJ1";"NL41";29,12;27,24;0;0;0;0;0;39;38;38,5;0,0096;0,2426;-0,2426;0;"Berkshire, Buckinghamshire and Oxfordshire";"Life Sciences/biotech - Landbouw";"NL41";"south";"UKJ1";55,4415;55,4415
"Super-labfoods";"LT00";"NL41";29,12;39,8;0;0;0;0;0;39;2;20,5;0,0051;0,1292;-0,1292;0;"Lietuva";"Life Sciences/biotech - Landbouw";"NL41";"south";"LT00";74,1273;74,1273
