"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"3D-printing/additive productie";"PL51";"NL42";45,6;21,14;0;0;0;0;0;22;13;17,5;0,0027;0,1098;-0,1098;0;"Dolnośląskie";"Digitale technologie - Grondstoffen";"NL42";"south";"PL51";79,0017;79,0017
"3D-printing/additive productie";"CZ02";"NL42";45,6;16,63;0;0;0;0;0;22;1;11,5;0,0018;0,0722;-0,0722;0;"Střední Čechy";"Digitale technologie - Grondstoffen";"NL42";"south";"CZ02";67,642;67,642
"3D-printing/additive productie";"PL62";"NL42";45,6;10,67;0;0;0;0;0;22;13;17,5;0,0027;0,1098;-0,1098;0;"Warmińsko-Mazurskie";"Digitale technologie - Grondstoffen";"NL42";"south";"PL62";45,2668;45,2668
"3D-printing/additive productie";"ITC4";"NL42";45,6;15,45;0;0;0;0;0;22;38;30;0,0046;0,1883;-0,1883;0;"Lombardia";"Digitale technologie - Grondstoffen";"NL42";"south";"ITC4";64,8881;64,8881
"3D-printing/additive productie";"ITI1";"NL42";45,6;17,33;0;0;0;0;0;22;18;20;0,0031;0,1255;-0,1255;0;"Toscana";"Digitale technologie - Grondstoffen";"NL42";"south";"ITI1";68,6747;68,6747
"3D-printing/additive productie";"UKJ2";"NL42";45,6;7,35;0;0;0;0;0;22;13;17,5;0,0027;0,1098;-0,1098;0;"Surrey, East and West Sussex";"Digitale technologie - Grondstoffen";"NL42";"south";"UKJ2";31,1532;31,1532
"3D-printing/additive productie";"UKM5";"NL42";45,6;4,85;0;0;0;0;0;22;2;12;0,0018;0,0753;-0,0753;0;"North Eastern Scotland";"Digitale technologie - Grondstoffen";"NL42";"south";"UKM5";23,9243;23,9243
"3D-printing/additive productie";"RO11";"NL42";45,6;13,17;0;0;0;0;0;22;1;11,5;0,0018;0,0722;-0,0722;0;"Nord-Vest";"Digitale technologie - Grondstoffen";"NL42";"south";"RO11";54,7332;54,7332
"3D-printing/additive productie";"SE31";"NL42";45,6;24,19;0;0;0;0;0;22;19;20,5;0,0031;0,1287;-0,1287;0;"Norra Mellansverige";"Digitale technologie - Grondstoffen";"NL42";"south";"SE31";88,6403;88,6403
"3D-printing/additive productie";"NL31";"NL42";45,6;7,9;0;0;0;0;0;22;21;21,5;0,0033;0,1349;-0,1349;0;"Utrecht";"Digitale technologie - Grondstoffen";"NL42";"south";"NL31";35,284;35,284
