"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Biosensors","ES22","NL42",27.01,43.86,0,0,0,0,0,8,13,10.5,0.0017,0.0647,-0.0647,0,"Comunidad Foral de Navarra","Life Sciences/biotech - Transversal","NL42","south","ES22",67.7632,67.7632
"Biosensors","PL61","NL42",27.01,3.25,0,0,0,0,0,13,2,7.5,0.0012,0.0462,-0.0462,0,"Kujawsko-Pomorskie","Life Sciences/biotech - Transversal","NL42","south","PL61",35.8553,35.8553
"Biosensors","FR71","NL42",27.01,17.66,0,0,0,0,0,110,13,61.5,0.0099,0.3787,-0.3787,0,"Rhône-Alpes","Life Sciences/biotech - Transversal","NL42","south","FR71",53.6184,53.6184
"Biosensors","FR43","NL42",27.01,7.61,0,0,0,0,0,13,7,10,0.0016,0.0616,-0.0616,0,"Franche-Comté","Life Sciences/biotech - Transversal","NL42","south","FR43",41.4474,41.4474
"Biosensors","CZ07","NL42",27.01,63.15,0,0,0,0,0,14,13,13.5,0.0022,0.0831,-0.0831,0,"Střední Morava","Life Sciences/biotech - Transversal","NL42","south","CZ07",94.0789,94.0789
"Biosensors","BE21","NL42",27.01,57.66,0,0,0,0,0,44,13,28.5,0.0046,0.1755,-0.1755,0,"Prov. Antwerpen","Life Sciences/biotech - Transversal","NL42","south","BE21",88.6513,88.6513
"Biosensors","UKE4","NL42",27.01,50.86,0,0,0,0,0,13,9,11,0.0018,0.0677,-0.0677,0,"West Yorkshire","Life Sciences/biotech - Transversal","NL42","south","UKE4",75.6579,75.6579
"Biosensors","DEA1","NL42",27.01,4.67,0,0,0,0,0,83,13,48,0.0077,0.2955,-0.2955,0,"Düsseldorf","Life Sciences/biotech - Transversal","NL42","south","DEA1",37.8289,37.8289
"Biosensors","AT22","NL42",27.01,12.39,0,0,0,0,0,20,13,16.5,0.0027,0.1016,-0.1016,0,"Steiermark","Life Sciences/biotech - Transversal","NL42","south","AT22",47.0395,47.0395
"Biosensors","AT31","NL42",27.01,0.81,0,0,0,0,0,13,2,7.5,0.0012,0.0462,-0.0462,0,"Oberösterreich","Life Sciences/biotech - Transversal","NL42","south","AT31",28.4539,28.4539
"Biosensors","PL52","NL42",27.01,34.92,0,0,0,0,0,13,4,8.5,0.0014,0.0523,-0.0523,0,"Opolskie","Life Sciences/biotech - Transversal","NL42","south","PL52",61.1842,61.1842
"Biosensors","NL33","NL42",27.01,54.72,0,0,0,0,0,68,13,40.5,0.0065,0.2493,-0.2493,0,"Zuid-Holland","Life Sciences/biotech - Transversal","NL42","south","NL33",83.3882,83.3882
"Biosensors","DE11","NL42",27.01,5.18,2,1.2048,2,15.3846,0.0524,114,13,63.5,0.0102,0.391,1.609,5.1157,"Stuttgart","Life Sciences/biotech - Transversal","NL42","south","DE11",1.3158,1.3158
