"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Robotisering Chirurgie-opafstand","UKI2","NL42",8.12,77.03,0,0,0,0,0,13,0,6.5,0.0073,0.065,-0.065,0,"Outer London","Digitale technologie - Gezondheid","NL42","south","UKI2",97.4194,97.4194
"Robotisering Chirurgie-opafstand","UKH3","NL42",8.12,15.89,0,0,0,0,0,0,1,0.5,6e-04,0.005,-0.005,0,"Essex","Digitale technologie - Gezondheid","NL42","south","UKH3",35.8065,35.8065
"Robotisering Chirurgie-opafstand","DEG0","NL42",8.12,40.07,0,0,0,0,0,5,0,2.5,0.0028,0.025,-0.025,0,"Thüringen","Digitale technologie - Gezondheid","NL42","south","DEG0",65.8065,65.8065
"Robotisering Chirurgie-opafstand","UKD4","NL42",8.12,61.66,0,0,0,0,0,0,2,1,0.0011,0.01,-0.01,0,"Lancashire","Digitale technologie - Gezondheid","NL42","south","UKD4",80.6452,80.6452
"Robotisering Chirurgie-opafstand","NO03","NL42",8.12,8.29,0,0,0,0,0,0,0,0,0,0,0,0,"Sør-Østlandet","Digitale technologie - Gezondheid","NL42","south","NO03",18.7097,18.7097
"Robotisering Chirurgie-opafstand","UKM3","NL42",8.12,27.12,0,0,0,0,0,0,1,0.5,6e-04,0.005,-0.005,0,"South Western Scotland","Digitale technologie - Gezondheid","NL42","south","UKM3",55.1613,55.1613
"Robotisering Chirurgie-opafstand","ES61","NL42",8.12,20.73,0,0,0,0,0,0,1,0.5,6e-04,0.005,-0.005,0,"Andalucía","Digitale technologie - Gezondheid","NL42","south","ES61",45.1613,45.1613
"Robotisering Chirurgie-opafstand","FR24","NL42",8.12,7.43,0,0,0,0,0,0,1,0.5,6e-04,0.005,-0.005,0,"Centre","Digitale technologie - Gezondheid","NL42","south","FR24",15.1613,15.1613
"Robotisering Chirurgie-opafstand","ES51","NL42",8.12,46.29,0,0,0,0,0,1,0,0.5,6e-04,0.005,-0.005,0,"Cataluña","Digitale technologie - Gezondheid","NL42","south","ES51",70.3226,70.3226
"Robotisering Chirurgie-opafstand","DK04","NL42",8.12,6.22,0,0,0,0,0,0,0,0,0,0,0,0,"Midtjylland","Digitale technologie - Gezondheid","NL42","south","DK04",9.0323,9.0323
"Robotisering Chirurgie-opafstand","FR82","NL42",8.12,62.52,0,0,0,0,0,10,0,5,0.0056,0.05,-0.05,0,"Provence-Alpes-Côte d'Azur","Digitale technologie - Gezondheid","NL42","south","FR82",83.2258,83.2258
"Robotisering Chirurgie-opafstand","PT17","NL42",8.12,77.37,0,0,0,0,0,1,0,0.5,6e-04,0.005,-0.005,0,"Lisboa","Digitale technologie - Gezondheid","NL42","south","PT17",98.7097,98.7097
"Robotisering Chirurgie-opafstand","BE24","NL42",8.12,59.24,0,0,0,0,0,24,0,12,0.0135,0.1199,-0.1199,0,"Prov. Vlaams-Brabant","Digitale technologie - Gezondheid","NL42","south","BE24",78.7097,78.7097
"Robotisering Chirurgie-opafstand","DE12","NL42",8.12,19,0,0,0,0,0,24,0,12,0.0135,0.1199,-0.1199,0,"Karlsruhe","Digitale technologie - Gezondheid","NL42","south","DE12",43.2258,43.2258
"Robotisering Chirurgie-opafstand","SE22","NL42",8.12,32.82,0,0,0,0,0,14,0,7,0.0079,0.07,-0.07,0,"Sydsverige","Digitale technologie - Gezondheid","NL42","south","SE22",60.6452,60.6452
"Robotisering Chirurgie-opafstand","ITF4","NL42",8.12,27.29,0,0,0,0,0,0,0,0,0,0,0,0,"Puglia","Digitale technologie - Gezondheid","NL42","south","ITF4",56.129,56.129
"Robotisering Chirurgie-opafstand","BE23","NL42",8.12,7.08,0,0,0,0,0,11,0,5.5,0.0062,0.055,-0.055,0,"Prov. Oost-Vlaanderen","Digitale technologie - Gezondheid","NL42","south","BE23",12.2581,12.2581
"Robotisering Chirurgie-opafstand","UKM2","NL42",8.12,69.26,0,0,0,0,0,0,3,1.5,0.0017,0.015,-0.015,0,"Eastern Scotland","Digitale technologie - Gezondheid","NL42","south","UKM2",89.6774,89.6774
"Robotisering Chirurgie-opafstand","DE91","NL42",8.12,20.21,0,0,0,0,0,0,7,3.5,0.0039,0.035,-0.035,0,"Braunschweig","Digitale technologie - Gezondheid","NL42","south","DE91",44.5161,44.5161
