"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Artificial intelligence";"UKM3";"south";13567,4491;11,9869;0;0;0;0;0;258;0;129;0,0204;0,8956;-0,8956;0;"South Western Scotland";"Digitale technologie - Transversal";"south";"south";"UKM3";79,0792;79,0792
"Artificial intelligence";"PL12";"south";13567,4491;14,8274;0;0;0;0;0;258;5;131,5;0,0208;0,913;-0,913;0;"Mazowieckie";"Digitale technologie - Transversal";"south";"south";"PL12";90,0646;90,0646
"Artificial intelligence";"EL61";"south";13567,4491;4,6424;0;0;0;0;0;258;1;129,5;0,0204;0,8991;-0,8991;0;"Ipeiros";"Digitale technologie - Transversal";"south";"south";"EL61";38,3683;38,3683
"Artificial intelligence";"UKK3";"south";13567,4491;4,74;0;0;0;0;0;258;0;129;0,0204;0,8956;-0,8956;0;"Cornwall and Isles of Scilly";"Digitale technologie - Transversal";"south";"south";"UKK3";39,0145;39,0145
"Artificial intelligence";"RO11";"south";13567,4491;6,3649;0;0;0;0;0;258;6;132;0,0208;0,9165;-0,9165;0;"Nord-Vest";"Digitale technologie - Transversal";"south";"south";"RO11";49,3538;49,3538
"Artificial intelligence";"FR52";"south";13567,4491;9,6625;0;0;0;0;0;258;59;158,5;0,025;1,1004;-1,1004;0;"Bretagne";"Digitale technologie - Transversal";"south";"south";"FR52";67,4475;67,4475
"Artificial intelligence";"DEA2";"south";13567,4491;14,4075;0;0;0;0;0;258;114;186;0,0294;1,2913;-1,2913;0;"Köln";"Digitale technologie - Transversal";"south";"south";"DEA2";89,4184;89,4184
"Artificial intelligence";"ES52";"south";13567,4491;3,7412;0;0;0;0;0;258;7;132,5;0,0209;0,9199;-0,9199;0;"Comunidad Valenciana";"Digitale technologie - Transversal";"south";"south";"ES52";35,1373;35,1373
"Artificial intelligence";"NL33";"south";13567,4491;7,2762;1;0,0396;1;0,3876;0,0227;258;21;139,5;0,022;0,9685;0,0315;1,0325;"Zuid-Holland";"Digitale technologie - Transversal";"south";"south";"NL33";19,3861;19,3861
"Artificial intelligence";"FR41";"south";13567,4491;5,5819;0;0;0;0;0;258;4;131;0,0207;0,9095;-0,9095;0;"Lorraine";"Digitale technologie - Transversal";"south";"south";"FR41";42,8918;42,8918
"Artificial intelligence";"CH05";"south";13567,4491;8,3412;0;0;0;0;0;258;31;144,5;0,0228;1,0032;-1,0032;0;"Ostschweiz";"Digitale technologie - Transversal";"south";"south";"CH05";59,37;59,37
"Artificial intelligence";"ITC4";"south";13567,4491;3,5669;0;0;0;0;0;258;43;150,5;0,0238;1,0449;-1,0449;0;"Lombardia";"Digitale technologie - Transversal";"south";"south";"ITC4";34,168;34,168
"Artificial intelligence";"DEA3";"south";13567,4491;7,9587;0;0;0;0;0;258;16;137;0,0216;0,9512;-0,9512;0;"Münster";"Digitale technologie - Transversal";"south";"south";"DEA3";56,462;56,462
"Artificial intelligence";"ES51";"south";13567,4491;9,6606;1;0,0396;1;0,3876;0,0227;258;31;144,5;0,0228;1,0032;-0,0032;0,9968;"Cataluña";"Digitale technologie - Transversal";"south";"south";"ES51";33,2795;33,2795
"Artificial intelligence";"DE24";"south";13567,4491;10,9106;0;0;0;0;0;258;52;155;0,0245;1,0761;-1,0761;0;"Oberfranken";"Digitale technologie - Transversal";"south";"south";"DE24";74,5557;74,5557
"Artificial intelligence";"UKH1";"south";13567,4491;12,7805;0;0;0;0;0;79;258;168,5;0,0266;1,1699;-1,1699;0;"East Anglia";"Digitale technologie - Transversal";"south";"south";"UKH1";84,5719;84,5719
"Artificial intelligence";"UKH3";"south";13567,4491;12,1407;0;0;0;0;0;258;8;133;0,021;0,9234;-0,9234;0;"Essex";"Digitale technologie - Transversal";"south";"south";"UKH3";80,6947;80,6947
"Artificial intelligence";"ITF5";"south";13567,4491;10,0618;0;0;0;0;0;258;1;129,5;0,0204;0,8991;-0,8991;0;"Basilicata";"Digitale technologie - Transversal";"south";"south";"ITF5";70,0323;70,0323
"Artificial intelligence";"UKN0";"south";13567,4491;10,0056;0;0;0;0;0;258;2;130;0,0205;0,9026;-0,9026;0;"Northern Ireland";"Digitale technologie - Transversal";"south";"south";"UKN0";69,3861;69,3861
"Artificial intelligence";"DED2";"south";13567,4491;9,0394;0;0;0;0;0;258;15;136,5;0,0215;0,9477;-0,9477;0;"Dresden";"Digitale technologie - Transversal";"south";"south";"DED2";63,2472;63,2472
"Artificial intelligence";"ITF3";"south";13567,4491;13,4525;0;0;0;0;0;258;11;134,5;0,0212;0,9338;-0,9338;0;"Campania";"Digitale technologie - Transversal";"south";"south";"ITF3";87,4798;87,4798
"Artificial intelligence";"AT34";"south";13567,4491;4,8813;0;0;0;0;0;258;12;135;0,0213;0,9373;-0,9373;0;"Vorarlberg";"Digitale technologie - Transversal";"south";"south";"AT34";39,3376;39,3376
"Artificial intelligence";"DE21";"south";13567,4491;23,4093;0;0;0;0;0;258;429;343,5;0,0542;2,3849;-2,3849;0;"Oberbayern";"Digitale technologie - Transversal";"south";"south";"DE21";99,7577;99,7577
"Artificial intelligence";"UKH2";"south";13567,4491;15,4812;0;0;0;0;0;258;40;149;0,0235;1,0345;-1,0345;0;"Bedfordshire and Hertfordshire";"Digitale technologie - Transversal";"south";"south";"UKH2";91,357;91,357
"Artificial intelligence";"EL30";"south";13567,4491;8,9237;2;0,0791;1;0,3876;0,0227;258;10;134;0,0212;0,9304;0,0696;1,0749;"Attiki";"Digitale technologie - Transversal";"south";"south";"EL30";28,1099;28,1099
"Artificial intelligence";"MT00";"south";13567,4491;10,4374;0;0;0;0;0;258;7;132,5;0,0209;0,9199;-0,9199;0;"Malta";"Digitale technologie - Transversal";"south";"south";"MT00";71,9709;71,9709
