"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Hernieuwbare energie - Windturbines","PL63","south",2697.744,9.4,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Pomorskie","Geavanceerde materialen - Energie","south","south","PL63",26.3277,26.3277
"Hernieuwbare energie - Windturbines","UKI2","south",2697.744,8.278,0,0,0,0,0,6,13,9.5,0.0024,0.0675,-0.0675,0,"Outer London","Geavanceerde materialen - Energie","south","south","UKI2",22.2599,22.2599
"Hernieuwbare energie - Windturbines","SE33","south",2697.744,9.836,0,0,0,0,0,6,0,3,8e-04,0.0213,-0.0213,0,"Övre Norrland","Geavanceerde materialen - Energie","south","south","SE33",27.6836,27.6836
"Hernieuwbare energie - Windturbines","FR52","south",2697.744,6.65,0,0,0,0,0,6,6,6,0.0015,0.0426,-0.0426,0,"Bretagne","Geavanceerde materialen - Energie","south","south","FR52",20.452,20.452
"Hernieuwbare energie - Windturbines","DE94","south",2697.744,69.922,0,0,0,0,0,6,269,137.5,0.0346,0.9771,-0.9771,0,"Weser-Ems","Geavanceerde materialen - Energie","south","south","DE94",98.6441,98.6441
"Hernieuwbare energie - Windturbines","HU10","south",2697.744,13.77,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Közép-Magyarország","Geavanceerde materialen - Energie","south","south","HU10",37.4011,37.4011
"Hernieuwbare energie - Windturbines","NL32","south",2697.744,49.502,0,0,0,0,0,6,17,11.5,0.0029,0.0817,-0.0817,0,"Noord-Holland","Geavanceerde materialen - Energie","south","south","NL32",82.8249,82.8249
"Hernieuwbare energie - Windturbines","NO03","south",2697.744,42.236,0,0,0,0,0,6,5,5.5,0.0014,0.0391,-0.0391,0,"Sør-Østlandet","Geavanceerde materialen - Energie","south","south","NO03",77.8531,77.8531
"Hernieuwbare energie - Windturbines","AT11","south",2697.744,22.398,0,0,0,0,0,6,2,4,0.001,0.0284,-0.0284,0,"Burgenland (AT)","Geavanceerde materialen - Energie","south","south","AT11",63.8418,63.8418
"Hernieuwbare energie - Windturbines","DEA2","south",2697.744,11.566,0,0,0,0,0,6,28,17,0.0043,0.1208,-0.1208,0,"Köln","Geavanceerde materialen - Energie","south","south","DEA2",31.2994,31.2994
"Hernieuwbare energie - Windturbines","ES12","south",2697.744,55.56,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Principado de Asturias","Geavanceerde materialen - Energie","south","south","ES12",87.3446,87.3446
"Hernieuwbare energie - Windturbines","BE22","south",2697.744,16.222,0,0,0,0,0,6,9,7.5,0.0019,0.0533,-0.0533,0,"Prov. Limburg (BE)","Geavanceerde materialen - Energie","south","south","BE22",46.4407,46.4407
"Hernieuwbare energie - Windturbines","CH06","south",2697.744,30.606,0,0,0,0,0,6,21,13.5,0.0034,0.0959,-0.0959,0,"Zentralschweiz","Geavanceerde materialen - Energie","south","south","CH06",71.9774,71.9774
"Hernieuwbare energie - Windturbines","DEA5","south",2697.744,25.62,0,0,0,0,0,6,32,19,0.0048,0.135,-0.135,0,"Arnsberg","Geavanceerde materialen - Energie","south","south","DEA5",67.4576,67.4576
"Hernieuwbare energie - Windturbines","ES51","south",2697.744,48.172,2,25,1,16.6667,0.0354,83,6,44.5,0.0112,0.3162,0.6838,3.1622,"Cataluña","Geavanceerde materialen - Energie","south","south","ES51",39.548,39.548
"Hernieuwbare energie - Windturbines","DE40","south",2697.744,21.21,0,0,0,0,0,6,6,6,0.0015,0.0426,-0.0426,0,"Brandenburg","Geavanceerde materialen - Energie","south","south","DE40",62.0339,62.0339
"Hernieuwbare energie - Windturbines","DK02","south",2697.744,59.076,0,0,0,0,0,28,6,17,0.0043,0.1208,-0.1208,0,"Sjælland","Geavanceerde materialen - Energie","south","south","DK02",91.4124,91.4124
"Hernieuwbare energie - Windturbines","UKG1","south",2697.744,24.094,0,0,0,0,0,1,6,3.5,9e-04,0.0249,-0.0249,0,"Herefordshire, Worcestershire and Warwickshire","Geavanceerde materialen - Energie","south","south","UKG1",66.1017,66.1017
"Hernieuwbare energie - Windturbines","UKL2","south",2697.744,11.324,0,0,0,0,0,6,4,5,0.0013,0.0355,-0.0355,0,"East Wales","Geavanceerde materialen - Energie","south","south","UKL2",30.3955,30.3955
"Hernieuwbare energie - Windturbines","UKC1","south",2697.744,19.74,0,0,0,0,0,6,3,4.5,0.0011,0.032,-0.032,0,"Tees Valley and Durham","Geavanceerde materialen - Energie","south","south","UKC1",57.5141,57.5141
"Hernieuwbare energie - Windturbines","CZ04","south",2697.744,16.134,0,0,0,0,0,6,3,4.5,0.0011,0.032,-0.032,0,"Severozápad","Geavanceerde materialen - Energie","south","south","CZ04",44.6328,44.6328
"Hernieuwbare energie - Windturbines","DE72","south",2697.744,20.352,0,0,0,0,0,6,2,4,0.001,0.0284,-0.0284,0,"Gießen","Geavanceerde materialen - Energie","south","south","DE72",58.8701,58.8701
"Hernieuwbare energie - Windturbines","DED4","south",2697.744,32.474,0,0,0,0,0,6,3,4.5,0.0011,0.032,-0.032,0,"Chemnitz","Geavanceerde materialen - Energie","south","south","DED4",73.3333,73.3333
"Hernieuwbare energie - Windturbines","DE13","south",2697.744,14.524,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Freiburg","Geavanceerde materialen - Energie","south","south","DE13",39.661,39.661
"Hernieuwbare energie - Windturbines","PL51","south",2697.744,14.736,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Dolnośląskie","Geavanceerde materialen - Energie","south","south","PL51",41.0169,41.0169
"Hernieuwbare energie - Windturbines","UKG2","south",2697.744,67.47,0,0,0,0,0,6,19,12.5,0.0031,0.0888,-0.0888,0,"Shropshire and Staffordshire","Geavanceerde materialen - Energie","south","south","UKG2",97.2881,97.2881
"Hernieuwbare energie - Windturbines","DE23","south",2697.744,23.274,0,0,0,0,0,6,2,4,0.001,0.0284,-0.0284,0,"Oberpfalz","Geavanceerde materialen - Energie","south","south","DE23",65.1977,65.1977
"Hernieuwbare energie - Windturbines","ITH1","south",2697.744,16.994,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Provincia Autonoma di Bolzano/Bozen","Geavanceerde materialen - Energie","south","south","ITH1",49.1525,49.1525
"Hernieuwbare energie - Windturbines","DEB1","south",2697.744,14.876,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Koblenz","Geavanceerde materialen - Energie","south","south","DEB1",41.4689,41.4689
"Hernieuwbare energie - Windturbines","ITF6","south",2697.744,28.208,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Calabria","Geavanceerde materialen - Energie","south","south","ITF6",69.2655,69.2655
"Hernieuwbare energie - Windturbines","UKH3","south",2697.744,8.99,0,0,0,0,0,6,4,5,0.0013,0.0355,-0.0355,0,"Essex","Geavanceerde materialen - Energie","south","south","UKH3",24.0678,24.0678
"Hernieuwbare energie - Windturbines","DE92","south",2697.744,16.2,0,0,0,0,0,6,37,21.5,0.0054,0.1528,-0.1528,0,"Hannover","Geavanceerde materialen - Energie","south","south","DE92",45.9887,45.9887
"Hernieuwbare energie - Windturbines","DE25","south",2697.744,26.686,0,0,0,0,0,55,6,30.5,0.0077,0.2167,-0.2167,0,"Mittelfranken","Geavanceerde materialen - Energie","south","south","DE25",68.3616,68.3616
"Hernieuwbare energie - Windturbines","DK04","south",2697.744,69.324,0,0,0,0,0,827,6,416.5,0.1048,2.9598,-2.9598,0,"Midtjylland","Geavanceerde materialen - Energie","south","south","DK04",98.1921,98.1921
"Hernieuwbare energie - Windturbines","UKF1","south",2697.744,29.168,0,0,0,0,0,6,12,9,0.0023,0.064,-0.064,0,"Derbyshire and Nottinghamshire","Geavanceerde materialen - Energie","south","south","UKF1",70.1695,70.1695
"Hernieuwbare energie - Windturbines","ES21","south",2697.744,71.372,0,0,0,0,0,27,6,16.5,0.0042,0.1173,-0.1173,0,"País Vasco","Geavanceerde materialen - Energie","south","south","ES21",99.548,99.548
"Hernieuwbare energie - Windturbines","NL11","south",2697.744,24.602,0,0,0,0,0,6,6,6,0.0015,0.0426,-0.0426,0,"Groningen","Geavanceerde materialen - Energie","south","south","NL11",66.5537,66.5537
"Hernieuwbare energie - Windturbines","FR71","south",2697.744,24.638,0,0,0,0,0,16,6,11,0.0028,0.0782,-0.0782,0,"Rhône-Alpes","Geavanceerde materialen - Energie","south","south","FR71",67.0056,67.0056
"Hernieuwbare energie - Windturbines","DE27","south",2697.744,23.9,0,0,0,0,0,15,6,10.5,0.0026,0.0746,-0.0746,0,"Schwaben","Geavanceerde materialen - Energie","south","south","DE27",65.6497,65.6497
"Hernieuwbare energie - Windturbines","DEA4","south",2697.744,16.238,0,0,0,0,0,6,5,5.5,0.0014,0.0391,-0.0391,0,"Detmold","Geavanceerde materialen - Energie","south","south","DEA4",46.8927,46.8927
"Hernieuwbare energie - Windturbines","DE24","south",2697.744,21.222,0,0,0,0,0,6,3,4.5,0.0011,0.032,-0.032,0,"Oberfranken","Geavanceerde materialen - Energie","south","south","DE24",62.4859,62.4859
"Hernieuwbare energie - Windturbines","EL63","south",2697.744,50.446,0,0,0,0,0,6,0,3,8e-04,0.0213,-0.0213,0,"Dytiki Ellada","Geavanceerde materialen - Energie","south","south","EL63",84.1808,84.1808
"Hernieuwbare energie - Windturbines","UKE3","south",2697.744,58.794,0,0,0,0,0,50,6,28,0.007,0.199,-0.199,0,"South Yorkshire","Geavanceerde materialen - Energie","south","south","UKE3",90.9605,90.9605
"Hernieuwbare energie - Windturbines","NL31","south",2697.744,51.058,0,0,0,0,0,6,11,8.5,0.0021,0.0604,-0.0604,0,"Utrecht","Geavanceerde materialen - Energie","south","south","NL31",85.0847,85.0847
"Hernieuwbare energie - Windturbines","NO06","south",2697.744,64.392,0,0,0,0,0,6,4,5,0.0013,0.0355,-0.0355,0,"Trøndelag","Geavanceerde materialen - Energie","south","south","NO06",95.0282,95.0282
"Hernieuwbare energie - Windturbines","UKC2","south",2697.744,18.456,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Northumberland and Tyne and Wear","Geavanceerde materialen - Energie","south","south","UKC2",53.8983,53.8983
"Hernieuwbare energie - Windturbines","UKG3","south",2697.744,21.118,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"West Midlands","Geavanceerde materialen - Energie","south","south","UKG3",61.5819,61.5819
"Hernieuwbare energie - Windturbines","AT21","south",2697.744,8.958,0,0,0,0,0,6,2,4,0.001,0.0284,-0.0284,0,"Kärnten","Geavanceerde materialen - Energie","south","south","AT21",23.6158,23.6158
"Hernieuwbare energie - Windturbines","ITC3","south",2697.744,38.742,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Liguria","Geavanceerde materialen - Energie","south","south","ITC3",77.4011,77.4011
"Hernieuwbare energie - Windturbines","ITG1","south",2697.744,16.4,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Sicilia","Geavanceerde materialen - Energie","south","south","ITG1",47.7966,47.7966
"Hernieuwbare energie - Windturbines","BE23","south",2697.744,51.23,2,25,2,33.3333,0.0708,35,6,20.5,0.0052,0.1457,1.8543,13.7282,"Prov. Oost-Vlaanderen","Geavanceerde materialen - Energie","south","south","BE23",43.2768,43.2768
"Hernieuwbare energie - Windturbines","AT33","south",2697.744,16.152,0,0,0,0,0,8,6,7,0.0018,0.0497,-0.0497,0,"Tirol","Geavanceerde materialen - Energie","south","south","AT33",45.0847,45.0847
"Hernieuwbare energie - Windturbines","AT32","south",2697.744,17.166,0,0,0,0,0,10,6,8,0.002,0.0568,-0.0568,0,"Salzburg","Geavanceerde materialen - Energie","south","south","AT32",49.6045,49.6045
"Hernieuwbare energie - Windturbines","PL22","south",2697.744,16.818,0,0,0,0,0,6,2,4,0.001,0.0284,-0.0284,0,"Śląskie","Geavanceerde materialen - Energie","south","south","PL22",48.2486,48.2486
"Hernieuwbare energie - Windturbines","HU22","south",2697.744,12.212,0,0,0,0,0,6,3,4.5,0.0011,0.032,-0.032,0,"Nyugat-Dunántúl","Geavanceerde materialen - Energie","south","south","HU22",32.4294,32.4294
"Hernieuwbare energie - Windturbines","NO04","south",2697.744,63.986,0,0,0,0,0,6,8,7,0.0018,0.0497,-0.0497,0,"Agder og Rogaland","Geavanceerde materialen - Energie","south","south","NO04",94.5763,94.5763
"Hernieuwbare energie - Windturbines","DEB2","south",2697.744,13.564,0,0,0,0,0,6,4,5,0.0013,0.0355,-0.0355,0,"Trier","Geavanceerde materialen - Energie","south","south","DEB2",36.0452,36.0452
"Hernieuwbare energie - Windturbines","UKD3","south",2697.744,55.608,0,0,0,0,0,34,6,20,0.005,0.1421,-0.1421,0,"Greater Manchester","Geavanceerde materialen - Energie","south","south","UKD3",87.7966,87.7966
"Hernieuwbare energie - Windturbines","NL33","south",2697.744,58.336,0,0,0,0,0,31,6,18.5,0.0047,0.1315,-0.1315,0,"Zuid-Holland","Geavanceerde materialen - Energie","south","south","NL33",90.0565,90.0565
"Hernieuwbare energie - Windturbines","PT11","south",2697.744,46.686,0,0,0,0,0,6,18,12,0.003,0.0853,-0.0853,0,"Norte","Geavanceerde materialen - Energie","south","south","PT11",80.565,80.565
"Hernieuwbare energie - Windturbines","UKJ1","south",2697.744,9.924,0,0,0,0,0,6,5,5.5,0.0014,0.0391,-0.0391,0,"Berkshire, Buckinghamshire and Oxfordshire","Geavanceerde materialen - Energie","south","south","UKJ1",28.1356,28.1356
"Hernieuwbare energie - Windturbines","DE14","south",2697.744,22.152,0,0,0,0,0,30,6,18,0.0045,0.1279,-0.1279,0,"Tübingen","Geavanceerde materialen - Energie","south","south","DE14",63.3898,63.3898
"Hernieuwbare energie - Windturbines","DEA1","south",2697.744,14.66,0,0,0,0,0,52,6,29,0.0073,0.2061,-0.2061,0,"Düsseldorf","Geavanceerde materialen - Energie","south","south","DEA1",40.565,40.565
"Hernieuwbare energie - Windturbines","CH01","south",2697.744,3.11,0,0,0,0,0,6,1,3.5,9e-04,0.0249,-0.0249,0,"Région lémanique","Geavanceerde materialen - Energie","south","south","CH01",16.8362,16.8362
"Hernieuwbare energie - Windturbines","CH03","south",2697.744,9.712,0,0,0,0,0,6,10,8,0.002,0.0568,-0.0568,0,"Nordwestschweiz","Geavanceerde materialen - Energie","south","south","CH03",26.7797,26.7797
"Hernieuwbare energie - Windturbines","DEA3","south",2697.744,57.83,0,0,0,0,0,48,6,27,0.0068,0.1919,-0.1919,0,"Münster","Geavanceerde materialen - Energie","south","south","DEA3",89.6045,89.6045
"Hernieuwbare energie - Windturbines","BE25","south",2697.744,15.872,0,0,0,0,0,6,5,5.5,0.0014,0.0391,-0.0391,0,"Prov. West-Vlaanderen","Geavanceerde materialen - Energie","south","south","BE25",43.7288,43.7288
