"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Robotisering Chirurgie-opafstand";"ITF1";"south";12463,2114;8,1054;0;0;0;0;0;161;1;81;0,0911;0,8095;-0,8095;0;"Abruzzo";"Digitale technologie - Gezondheid";"south";"south";"ITF1";69,4836;69,4836
"Robotisering Chirurgie-opafstand";"CH04";"south";12463,2114;14,8801;0;0;0;0;0;161;21;91;0,1023;0,9094;-0,9094;0;"Zürich";"Digitale technologie - Gezondheid";"south";"south";"CH04";98,9045;98,9045
"Robotisering Chirurgie-opafstand";"BE24";"south";12463,2114;7,2956;0;0;0;0;0;161;24;92,5;0,104;0,9244;-0,9244;0;"Prov. Vlaams-Brabant";"Digitale technologie - Gezondheid";"south";"south";"BE24";60,0939;60,0939
"Robotisering Chirurgie-opafstand";"FR10";"south";12463,2114;5,9504;0;0;0;0;0;161;40;100,5;0,113;1,0044;-1,0044;0;"Île de France";"Digitale technologie - Gezondheid";"south";"south";"FR10";40,6886;40,6886
"Robotisering Chirurgie-opafstand";"FR43";"south";12463,2114;7,4446;0;0;0;0;0;161;0;80,5;0,0905;0,8045;-0,8045;0;"Franche-Comté";"Digitale technologie - Gezondheid";"south";"south";"FR43";62,5978;62,5978
"Robotisering Chirurgie-opafstand";"NO06";"south";12463,2114;9,9168;0;0;0;0;0;161;1;81;0,0911;0,8095;-0,8095;0;"Trøndelag";"Digitale technologie - Gezondheid";"south";"south";"NO06";85,759;85,759
"Robotisering Chirurgie-opafstand";"AT12";"south";12463,2114;10,3856;0;0;0;0;0;161;3;82;0,0922;0,8195;-0,8195;0;"Niederösterreich";"Digitale technologie - Gezondheid";"south";"south";"AT12";92,0188;92,0188
"Robotisering Chirurgie-opafstand";"UKL1";"south";12463,2114;7,1951;0;0;0;0;0;161;4;82,5;0,0927;0,8245;-0,8245;0;"West Wales and The Valleys";"Digitale technologie - Gezondheid";"south";"south";"UKL1";58,216;58,216
"Robotisering Chirurgie-opafstand";"FR71";"south";12463,2114;7,3176;0;0;0;0;0;161;48;104,5;0,1175;1,0444;-1,0444;0;"Rhône-Alpes";"Digitale technologie - Gezondheid";"south";"south";"FR71";60,7199;60,7199
"Robotisering Chirurgie-opafstand";"ITH3";"south";12463,2114;3,5049;0;0;0;0;0;8;161;84,5;0,095;0,8445;-0,8445;0;"Veneto";"Digitale technologie - Gezondheid";"south";"south";"ITH3";15,3365;15,3365
