"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Smart grids","ES52","south",5657.85,14.5442,0,0,0,0,0,0,5,2.5,9e-04,0.0172,-0.0172,0,"Comunidad Valenciana","Digitale technologie - Energie","south","south","ES52",44.5645,44.5645
"Smart grids","PL11","south",5657.85,13.5229,0,0,0,0,0,0,2,1,3e-04,0.0069,-0.0069,0,"Łódzkie","Digitale technologie - Energie","south","south","PL11",40.7502,40.7502
"Smart grids","UKE1","south",5657.85,2.2408,0,0,0,0,0,0,0,0,0,0,0,0,"East Yorkshire and Northern Lincolnshire","Digitale technologie - Energie","south","south","UKE1",25.2384,25.2384
"Smart grids","UKE4","south",5657.85,21.3208,0,0,0,0,0,0,1,0.5,2e-04,0.0035,-0.0035,0,"West Yorkshire","Digitale technologie - Energie","south","south","UKE4",60.2034,60.2034
"Smart grids","RO42","south",5657.85,34.1408,0,0,0,0,0,2,0,1,3e-04,0.0069,-0.0069,0,"Vest","Digitale technologie - Energie","south","south","RO42",83.5982,83.5982
"Smart grids","DED2","south",5657.85,34.6825,0,0,0,0,0,0,20,10,0.0035,0.0689,-0.0689,0,"Dresden","Digitale technologie - Energie","south","south","DED2",84.3611,84.3611
"Smart grids","PL21","south",5657.85,45.3104,0,0,0,0,0,23,0,11.5,0.004,0.0792,-0.0792,0,"Małopolskie","Digitale technologie - Energie","south","south","PL21",98.4743,98.4743
"Smart grids","UKD7","south",5657.85,3.2317,0,0,0,0,0,0,1,0.5,2e-04,0.0035,-0.0035,0,"Merseyside","Digitale technologie - Energie","south","south","UKD7",26.0013,26.0013
"Smart grids","DE40","south",5657.85,31.4221,0,0,0,0,0,14,0,7,0.0024,0.0482,-0.0482,0,"Brandenburg","Digitale technologie - Energie","south","south","DE40",80.5467,80.5467
"Smart grids","EL30","south",5657.85,10.01,0,0,0,0,0,0,2,1,3e-04,0.0069,-0.0069,0,"Attiki","Digitale technologie - Energie","south","south","EL30",35.1558,35.1558
"Smart grids","UKK1","south",5657.85,45.0412,0,0,0,0,0,39,0,19.5,0.0068,0.1344,-0.1344,0,"Gloucestershire, Wiltshire and Bristol/Bath area","Digitale technologie - Energie","south","south","UKK1",97.3299,97.3299
