"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"CO2 vrije elektriciteit","PL43","NL31",43.89,13.69,0,0,0,0,0,17,4,10.5,0.0014,0.0602,-0.0602,0,"Lubuskie","Energie en Klimaat","NL31","west","PL43",52.5526,52.5526
"CO2 vrije elektriciteit","CZ01","NL31",43.89,11.52,0,0,0,0,0,2,17,9.5,0.0013,0.0545,-0.0545,0,"Praha","Energie en Klimaat","NL31","west","CZ01",43.2432,43.2432
"CO2 vrije elektriciteit","BE24","NL31",43.89,15.42,0,0,0,0,0,13,17,15,0.002,0.086,-0.086,0,"Prov. Vlaams-Brabant","Energie en Klimaat","NL31","west","BE24",60.8108,60.8108
"CO2 vrije elektriciteit","FR53","NL31",43.89,15.23,0,0,0,0,0,17,4,10.5,0.0014,0.0602,-0.0602,0,"Poitou-Charentes","Energie en Klimaat","NL31","west","FR53",59.3093,59.3093
"CO2 vrije elektriciteit","PT18","NL31",43.89,7.87,0,0,0,0,0,17,3,10,0.0013,0.0574,-0.0574,0,"Alentejo","Energie en Klimaat","NL31","west","PT18",34.8348,34.8348
"CO2 vrije elektriciteit","FRY4","NL31",43.89,20.41,0,0,0,0,0,17,2,9.5,0.0013,0.0545,-0.0545,0,"Réunion","Energie en Klimaat","NL31","west","FRY4",73.2733,73.2733
"CO2 vrije elektriciteit","SE31","NL31",43.89,14.14,0,0,0,0,0,17,0,8.5,0.0011,0.0487,-0.0487,0,"Norra Mellansverige","Energie en Klimaat","NL31","west","SE31",54.955,54.955
"CO2 vrije elektriciteit","EL52","NL31",43.89,30.77,0,0,0,0,0,17,6,11.5,0.0015,0.066,-0.066,0,"Kentriki Makedonia","Energie en Klimaat","NL31","west","EL52",95.6456,95.6456
"CO2 vrije elektriciteit","EL64","NL31",43.89,15.42,0,0,0,0,0,17,2,9.5,0.0013,0.0545,-0.0545,0,"Sterea Ellada","Energie en Klimaat","NL31","west","EL64",60.8108,60.8108
"CO2 vrije elektriciteit","DE22","NL31",43.89,35.83,0,0,0,0,0,49,17,33,0.0044,0.1893,-0.1893,0,"Niederbayern","Energie en Klimaat","NL31","west","DE22",98.7988,98.7988
"CO2 vrije elektriciteit","DK02","NL31",43.89,20.35,0,0,0,0,0,25,17,21,0.0028,0.1204,-0.1204,0,"Sjælland","Energie en Klimaat","NL31","west","DK02",72.8228,72.8228
"CO2 vrije elektriciteit","NO01","NL31",43.89,27.77,0,0,0,0,0,17,19,18,0.0024,0.1032,-0.1032,0,"Oslo og Akershus","Energie en Klimaat","NL31","west","NO01",91.1411,91.1411
"CO2 vrije elektriciteit","UKE2","NL31",43.89,7.81,0,0,0,0,0,17,0,8.5,0.0011,0.0487,-0.0487,0,"North Yorkshire","Energie en Klimaat","NL31","west","UKE2",34.3844,34.3844
"CO2 vrije elektriciteit","FR62","NL31",43.89,14.33,0,0,0,0,0,17,17,17,0.0022,0.0975,-0.0975,0,"Midi-Pyrénées","Energie en Klimaat","NL31","west","FR62",55.5556,55.5556
"CO2 vrije elektriciteit","SE33","NL31",43.89,6.14,0,0,0,0,0,17,0,8.5,0.0011,0.0487,-0.0487,0,"Övre Norrland","Energie en Klimaat","NL31","west","SE33",31.2312,31.2312
"CO2 vrije elektriciteit","DEC0","NL31",43.89,21.11,0,0,0,0,0,17,20,18.5,0.0024,0.1061,-0.1061,0,"Saarland","Energie en Klimaat","NL31","west","DEC0",76.1261,76.1261
"CO2 vrije elektriciteit","UKD3","NL31",43.89,28.15,0,0,0,0,0,52,17,34.5,0.0046,0.1979,-0.1979,0,"Greater Manchester","Energie en Klimaat","NL31","west","UKD3",91.5916,91.5916
"CO2 vrije elektriciteit","DEB2","NL31",43.89,8.57,0,0,0,0,0,17,4,10.5,0.0014,0.0602,-0.0602,0,"Trier","Energie en Klimaat","NL31","west","DEB2",36.3363,36.3363
"CO2 vrije elektriciteit","DE12","NL31",43.89,31.48,0,0,0,0,0,184,17,100.5,0.0133,0.5764,-0.5764,0,"Karlsruhe","Energie en Klimaat","NL31","west","DE12",96.8468,96.8468
"CO2 vrije elektriciteit","UKH2","NL31",43.89,6.85,0,0,0,0,0,17,3,10,0.0013,0.0574,-0.0574,0,"Bedfordshire and Hertfordshire","Energie en Klimaat","NL31","west","UKH2",32.2823,32.2823
"CO2 vrije elektriciteit","LT00","NL31",43.89,18.17,0,0,0,0,0,17,7,12,0.0016,0.0688,-0.0688,0,"Lietuva","Energie en Klimaat","NL31","west","LT00",68.4685,68.4685
"CO2 vrije elektriciteit","ITF4","NL31",43.89,30.2,0,0,0,0,0,17,10,13.5,0.0018,0.0774,-0.0774,0,"Puglia","Energie en Klimaat","NL31","west","ITF4",94.5946,94.5946
"CO2 vrije elektriciteit","PT17","NL31",43.89,23.74,0,0,0,0,0,17,18,17.5,0.0023,0.1004,-0.1004,0,"Lisboa","Energie en Klimaat","NL31","west","PT17",83.1832,83.1832
"CO2 vrije elektriciteit","FR83","NL31",43.89,11.77,0,0,0,0,0,0,17,8.5,0.0011,0.0487,-0.0487,0,"Corse","Energie en Klimaat","NL31","west","FR83",44.4444,44.4444
"CO2 vrije elektriciteit","DE30","NL31",43.89,21.5,0,0,0,0,0,81,17,49,0.0065,0.2811,-0.2811,0,"Berlin","Energie en Klimaat","NL31","west","DE30",76.8769,76.8769
"CO2 vrije elektriciteit","CZ06","NL31",43.89,12.73,0,0,0,0,0,17,2,9.5,0.0013,0.0545,-0.0545,0,"Jihovýchod","Energie en Klimaat","NL31","west","CZ06",46.997,46.997
"CO2 vrije elektriciteit","DED5","NL31",43.89,31.48,0,0,0,0,0,26,17,21.5,0.0028,0.1233,-0.1233,0,"Leipzig","Energie en Klimaat","NL31","west","DED5",96.8468,96.8468
"CO2 vrije elektriciteit","UKC1","NL31",43.89,30.26,0,0,0,0,0,17,5,11,0.0015,0.0631,-0.0631,0,"Tees Valley and Durham","Energie en Klimaat","NL31","west","UKC1",94.8949,94.8949
"CO2 vrije elektriciteit","AT32","NL31",43.89,12.09,0,0,0,0,0,17,2,9.5,0.0013,0.0545,-0.0545,0,"Salzburg","Energie en Klimaat","NL31","west","AT32",45.1952,45.1952
"CO2 vrije elektriciteit","ES13","NL31",43.89,15.93,0,0,0,0,0,17,3,10,0.0013,0.0574,-0.0574,0,"Cantabria","Energie en Klimaat","NL31","west","ES13",62.6126,62.6126
"CO2 vrije elektriciteit","SK01","NL31",43.89,15.61,0,0,0,0,0,17,1,9,0.0012,0.0516,-0.0516,0,"Bratislavský kraj","Energie en Klimaat","NL31","west","SK01",61.2613,61.2613
"CO2 vrije elektriciteit","BE32","NL31",43.89,9.02,0,0,0,0,0,6,17,11.5,0.0015,0.066,-0.066,0,"Prov. Hainaut","Energie en Klimaat","NL31","west","BE32",36.9369,36.9369
"CO2 vrije elektriciteit","AT13","NL31",43.89,13.24,0,0,0,0,0,54,17,35.5,0.0047,0.2036,-0.2036,0,"Wien","Energie en Klimaat","NL31","west","AT13",50.9009,50.9009
"CO2 vrije elektriciteit","ES30","NL31",43.89,23.74,0,0,0,0,0,59,17,38,0.005,0.218,-0.218,0,"Comunidad de Madrid","Energie en Klimaat","NL31","west","ES30",83.1832,83.1832
"CO2 vrije elektriciteit","ITF6","NL31",43.89,24.06,0,0,0,0,0,17,5,11,0.0015,0.0631,-0.0631,0,"Calabria","Energie en Klimaat","NL31","west","ITF6",84.985,84.985
"CO2 vrije elektriciteit","BE23","NL31",43.89,9.6,1,3.7037,1,5.8824,0.023,38,17,27.5,0.0036,0.1577,0.8423,6.3393,"Prov. Oost-Vlaanderen","Energie en Klimaat","NL31","west","BE23",2.8529,2.8529
"CO2 vrije elektriciteit","UKG1","NL31",43.89,18.11,0,0,0,0,0,1,17,9,0.0012,0.0516,-0.0516,0,"Herefordshire, Worcestershire and Warwickshire","Energie en Klimaat","NL31","west","UKG1",68.1682,68.1682
"CO2 vrije elektriciteit","DK04","NL31",43.89,22.46,0,0,0,0,0,757,17,387,0.0511,2.2197,-2.2197,0,"Midtjylland","Energie en Klimaat","NL31","west","DK04",80.03,80.03
"CO2 vrije elektriciteit","UKH1","NL31",43.89,11.07,0,0,0,0,0,17,36,26.5,0.0035,0.152,-0.152,0,"East Anglia","Energie en Klimaat","NL31","west","UKH1",41.4414,41.4414
"CO2 vrije elektriciteit","EE00","NL31",43.89,8.13,0,0,0,0,0,17,2,9.5,0.0013,0.0545,-0.0545,0,"Eesti","Energie en Klimaat","NL31","west","EE00",35.1351,35.1351
"CO2 vrije elektriciteit","PT11","NL31",43.89,8.38,0,0,0,0,0,17,14,15.5,0.002,0.0889,-0.0889,0,"Norte","Energie en Klimaat","NL31","west","PT11",36.036,36.036
"CO2 vrije elektriciteit","HU21","NL31",43.89,14.78,0,0,0,0,0,17,1,9,0.0012,0.0516,-0.0516,0,"Közép-Dunántúl","Energie en Klimaat","NL31","west","HU21",57.5075,57.5075
"CO2 vrije elektriciteit","CZ05","NL31",43.89,17.85,0,0,0,0,0,17,1,9,0.0012,0.0516,-0.0516,0,"Severovýchod","Energie en Klimaat","NL31","west","CZ05",67.5676,67.5676
"CO2 vrije elektriciteit","DEA1","NL31",43.89,11.52,0,0,0,0,0,70,17,43.5,0.0057,0.2495,-0.2495,0,"Düsseldorf","Energie en Klimaat","NL31","west","DEA1",43.2432,43.2432
"CO2 vrije elektriciteit","AT22","NL31",43.89,26.81,0,0,0,0,0,12,17,14.5,0.0019,0.0832,-0.0832,0,"Steiermark","Energie en Klimaat","NL31","west","AT22",89.1892,89.1892
"CO2 vrije elektriciteit","UKD6","NL31",43.89,22.52,0,0,0,0,0,17,14,15.5,0.002,0.0889,-0.0889,0,"Cheshire","Energie en Klimaat","NL31","west","UKD6",80.4805,80.4805
"CO2 vrije elektriciteit","UKJ1","NL31",43.89,20.54,0,0,0,0,0,45,17,31,0.0041,0.1778,-0.1778,0,"Berkshire, Buckinghamshire and Oxfordshire","Energie en Klimaat","NL31","west","UKJ1",74.1742,74.1742
"CO2 vrije elektriciteit","NL41","NL31",43.89,8.77,0,0,0,0,0,18,17,17.5,0.0023,0.1004,-0.1004,0,"Noord-Brabant","Energie en Klimaat","NL31","west","NL41",36.6366,36.6366
"CO2 vrije elektriciteit","DEG0","NL31",43.89,17.21,1,3.7037,1,5.8824,0.023,14,17,15.5,0.002,0.0889,0.9111,11.2464,"Thüringen","Energie en Klimaat","NL31","west","DEG0",30.7808,30.7808
"CO2 vrije elektriciteit","UKI2","NL31",43.89,3.45,0,0,0,0,0,23,17,20,0.0026,0.1147,-0.1147,0,"Outer London","Energie en Klimaat","NL31","west","UKI2",28.8288,28.8288
"CO2 vrije elektriciteit","SI03","NL31",43.89,20.47,0,0,0,0,0,17,1,9,0.0012,0.0516,-0.0516,0,"Zahodna Slovenija","Energie en Klimaat","NL31","west","SI03",73.5736,73.5736
"CO2 vrije elektriciteit","PT20","NL31",43.89,10.24,0,0,0,0,0,17,2,9.5,0.0013,0.0545,-0.0545,0,"Região Autónoma dos Açores","Energie en Klimaat","NL31","west","PT20",39.6396,39.6396
"CO2 vrije elektriciteit","AT11","NL31",43.89,30.52,0,0,0,0,0,17,10,13.5,0.0018,0.0774,-0.0774,0,"Burgenland (AT)","Energie en Klimaat","NL31","west","AT11",95.1952,95.1952
"CO2 vrije elektriciteit","CH04","NL31",43.89,11.52,0,0,0,0,0,36,17,26.5,0.0035,0.152,-0.152,0,"Zürich","Energie en Klimaat","NL31","west","CH04",43.2432,43.2432
"CO2 vrije elektriciteit","ITG1","NL31",43.89,14.08,0,0,0,0,0,17,3,10,0.0013,0.0574,-0.0574,0,"Sicilia","Energie en Klimaat","NL31","west","ITG1",54.2042,54.2042
"CO2 vrije elektriciteit","UKF3","NL31",43.89,15.99,0,0,0,0,0,17,1,9,0.0012,0.0516,-0.0516,0,"Lincolnshire","Energie en Klimaat","NL31","west","UKF3",63.0631,63.0631
"CO2 vrije elektriciteit","PL22","NL31",43.89,25.4,0,0,0,0,0,17,4,10.5,0.0014,0.0602,-0.0602,0,"Śląskie","Energie en Klimaat","NL31","west","PL22",87.2372,87.2372
"CO2 vrije elektriciteit","HR04","NL31",43.89,11.13,0,0,0,0,0,17,0,8.5,0.0011,0.0487,-0.0487,0,"Kontinentalna Hrvatska","Energie en Klimaat","NL31","west","HR04",41.7417,41.7417
"CO2 vrije elektriciteit","LV00","NL31",43.89,20.67,0,0,0,0,0,17,0,8.5,0.0011,0.0487,-0.0487,0,"Latvija","Energie en Klimaat","NL31","west","LV00",75.0751,75.0751
"CO2 vrije elektriciteit","BG41","NL31",43.89,28.85,0,0,0,0,0,17,0,8.5,0.0011,0.0487,-0.0487,0,"Yugozapaden","Energie en Klimaat","NL31","west","BG41",92.7928,92.7928
"CO2 vrije elektriciteit","CZ02","NL31",43.89,15.87,0,0,0,0,0,5,17,11,0.0015,0.0631,-0.0631,0,"Střední Čechy","Energie en Klimaat","NL31","west","CZ02",62.012,62.012
"CO2 vrije elektriciteit","ES41","NL31",43.89,17.72,0,0,0,0,0,17,0,8.5,0.0011,0.0487,-0.0487,0,"Castilla y León","Energie en Klimaat","NL31","west","ES41",67.2673,67.2673
"CO2 vrije elektriciteit","DEF0","NL31",43.89,24.5,0,0,0,0,0,124,17,70.5,0.0093,0.4044,-0.4044,0,"Schleswig-Holstein","Energie en Klimaat","NL31","west","DEF0",86.036,86.036
