"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"E-health","BE10","NL31",17.06,17.06,0,0,0,0,0,20,13,16.5,0.0029,0.1094,-0.1094,0,"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Gezondheid","NL31","west","BE10",60.6107,60.6107
"E-health","PT16","NL31",17.06,37.34,0,0,0,0,0,4,13,8.5,0.0015,0.0563,-0.0563,0,"Centro (PT)","Gezondheid","NL31","west","PT16",77.7099,77.7099
"E-health","NO05","NL31",17.06,4.04,0,0,0,0,0,13,5,9,0.0016,0.0597,-0.0597,0,"Vestlandet","Gezondheid","NL31","west","NO05",35.2672,35.2672
"E-health","CH02","NL31",17.06,17.5,0,0,0,0,0,57,13,35,0.0061,0.232,-0.232,0,"Espace Mittelland","Gezondheid","NL31","west","CH02",61.8321,61.8321
"E-health","AT31","NL31",17.06,2.69,0,0,0,0,0,4,13,8.5,0.0015,0.0563,-0.0563,0,"Oberösterreich","Gezondheid","NL31","west","AT31",33.1298,33.1298
"E-health","ITC4","NL31",17.06,6.91,0,0,0,0,0,37,13,25,0.0044,0.1657,-0.1657,0,"Lombardia","Gezondheid","NL31","west","ITC4",44.4275,44.4275
"E-health","HU23","NL31",17.06,44.7,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Dél-Dunántúl","Gezondheid","NL31","west","HU23",85.0382,85.0382
"E-health","DE23","NL31",17.06,7.27,0,0,0,0,0,3,13,8,0.0014,0.053,-0.053,0,"Oberpfalz","Gezondheid","NL31","west","DE23",45.3435,45.3435
"E-health","FR71","NL31",17.06,16.7,0,0,0,0,0,74,13,43.5,0.0076,0.2883,-0.2883,0,"Rhône-Alpes","Gezondheid","NL31","west","FR71",59.542,59.542
"E-health","FR53","NL31",17.06,29.98,0,0,0,0,0,13,9,11,0.0019,0.0729,-0.0729,0,"Poitou-Charentes","Gezondheid","NL31","west","FR53",73.1298,73.1298
"E-health","UKD4","NL31",17.06,50.54,0,0,0,0,0,44,13,28.5,0.005,0.1889,-0.1889,0,"Lancashire","Gezondheid","NL31","west","UKD4",88.5496,88.5496
"E-health","DEA2","NL31",17.06,11.67,0,0,0,0,0,77,13,45,0.0079,0.2983,-0.2983,0,"Köln","Gezondheid","NL31","west","DEA2",51.2977,51.2977
"E-health","ITF4","NL31",17.06,22.71,0,0,0,0,0,13,2,7.5,0.0013,0.0497,-0.0497,0,"Puglia","Gezondheid","NL31","west","ITF4",66.7176,66.7176
"E-health","SK03","NL31",17.06,48.03,0,0,0,0,0,13,4,8.5,0.0015,0.0563,-0.0563,0,"Stredné Slovensko","Gezondheid","NL31","west","SK03",86.2595,86.2595
"E-health","DK02","NL31",17.06,18.22,0,0,0,0,0,7,13,10,0.0018,0.0663,-0.0663,0,"Sjælland","Gezondheid","NL31","west","DK02",62.5954,62.5954
"E-health","DEA4","NL31",17.06,4.49,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Detmold","Gezondheid","NL31","west","DEA4",36.6412,36.6412
"E-health","PL62","NL31",17.06,27.83,0,0,0,0,0,2,13,7.5,0.0013,0.0497,-0.0497,0,"Warmińsko-Mazurskie","Gezondheid","NL31","west","PL62",71.145,71.145
"E-health","FR82","NL31",17.06,53.05,0,0,0,0,0,35,13,24,0.0042,0.1591,-0.1591,0,"Provence-Alpes-Côte d'Azur","Gezondheid","NL31","west","FR82",90.5344,90.5344
"E-health","DEB3","NL31",17.06,2.06,0,0,0,0,0,24,13,18.5,0.0032,0.1226,-0.1226,0,"Rheinhessen-Pfalz","Gezondheid","NL31","west","DEB3",31.4504,31.4504
"E-health","UKG3","NL31",17.06,16.34,0,0,0,0,0,13,8,10.5,0.0018,0.0696,-0.0696,0,"West Midlands","Gezondheid","NL31","west","UKG3",59.084,59.084
"E-health","FR61","NL31",17.06,8.71,0,0,0,0,0,11,13,12,0.0021,0.0796,-0.0796,0,"Aquitaine","Gezondheid","NL31","west","FR61",48.0916,48.0916
"E-health","DK01","NL31",17.06,53.86,0,0,0,0,0,80,13,46.5,0.0082,0.3082,-0.3082,0,"Hovedstaden","Gezondheid","NL31","west","DK01",91.145,91.145
"E-health","DEA1","NL31",17.06,4.49,0,0,0,0,0,67,13,40,0.007,0.2652,-0.2652,0,"Düsseldorf","Gezondheid","NL31","west","DEA1",36.6412,36.6412
"E-health","CH01","NL31",17.06,64.9,0,0,0,0,0,97,13,55,0.0097,0.3646,-0.3646,0,"Région lémanique","Gezondheid","NL31","west","CH01",97.5573,97.5573
"E-health","NL33","NL31",17.06,14.9,4,17.3913,3,23.0769,0.0794,12,13,12.5,0.0022,0.0828,2.9172,36.2122,"Zuid-Holland","Gezondheid","NL31","west","NL33",23.0534,23.0534
"E-health","UKJ4","NL31",17.06,12.48,0,0,0,0,0,2,13,7.5,0.0013,0.0497,-0.0497,0,"Kent","Gezondheid","NL31","west","UKJ4",52.8244,52.8244
"E-health","DEB1","NL31",17.06,9.07,0,0,0,0,0,5,13,9,0.0016,0.0597,-0.0597,0,"Koblenz","Gezondheid","NL31","west","DEB1",48.855,48.855
"E-health","FR81","NL31",17.06,50.54,0,0,0,0,0,27,13,20,0.0035,0.1326,-0.1326,0,"Languedoc-Roussillon","Gezondheid","NL31","west","FR81",88.5496,88.5496
"E-health","FR21","NL31",17.06,14.09,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Champagne-Ardenne","Gezondheid","NL31","west","FR21",56.6412,56.6412
"E-health","NL11","NL31",17.06,39.86,0,0,0,0,0,13,6,9.5,0.0017,0.063,-0.063,0,"Groningen","Gezondheid","NL31","west","NL11",79.8473,79.8473
"E-health","CZ05","NL31",17.06,20.2,0,0,0,0,0,13,1,7,0.0012,0.0464,-0.0464,0,"Severovýchod","Gezondheid","NL31","west","CZ05",64.8855,64.8855
