"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Engineering Fabrication - Autonomous robots","LU00","NL31",14.82,11.59,0,0,0,0,0,5,3,4,0.0019,0.0301,-0.0301,0,"Luxembourg","Sleuteltechnologieen","NL31","west","LU00",39.4366,39.4366
"Engineering Fabrication - Autonomous robots","HU10","NL31",14.82,55.32,0,0,0,0,0,5,21,13,0.0061,0.0977,-0.0977,0,"Közép-Magyarország","Sleuteltechnologieen","NL31","west","HU10",91.7505,91.7505
"Engineering Fabrication - Autonomous robots","DE80","NL31",14.82,12.94,0,0,0,0,0,5,2,3.5,0.0016,0.0263,-0.0263,0,"Mecklenburg-Vorpommern","Sleuteltechnologieen","NL31","west","DE80",41.8511,41.8511
"Engineering Fabrication - Autonomous robots","DEA1","NL31",14.82,15.14,0,0,0,0,0,45,5,25,0.0117,0.1879,-0.1879,0,"Düsseldorf","Sleuteltechnologieen","NL31","west","DEA1",47.2837,47.2837
"Engineering Fabrication - Autonomous robots","FR61","NL31",14.82,9.92,0,0,0,0,0,5,3,4,0.0019,0.0301,-0.0301,0,"Aquitaine","Sleuteltechnologieen","NL31","west","FR61",31.5895,31.5895
"Engineering Fabrication - Autonomous robots","UKD4","NL31",14.82,52.61,0,0,0,0,0,5,14,9.5,0.0045,0.0714,-0.0714,0,"Lancashire","Sleuteltechnologieen","NL31","west","UKD4",89.1348,89.1348
"Engineering Fabrication - Autonomous robots","CZ01","NL31",14.82,13.47,0,0,0,0,0,5,1,3,0.0014,0.0225,-0.0225,0,"Praha","Sleuteltechnologieen","NL31","west","CZ01",43.0584,43.0584
"Engineering Fabrication - Autonomous robots","ITH4","NL31",14.82,20.35,0,0,0,0,0,5,1,3,0.0014,0.0225,-0.0225,0,"Friuli-Venezia Giulia","Sleuteltechnologieen","NL31","west","ITH4",60.161,60.161
"Engineering Fabrication - Autonomous robots","DE13","NL31",14.82,65.34,0,0,0,0,0,54,5,29.5,0.0138,0.2217,-0.2217,0,"Freiburg","Sleuteltechnologieen","NL31","west","DE13",98.7928,98.7928
"Engineering Fabrication - Autonomous robots","EL30","NL31",14.82,8.35,0,0,0,0,0,5,1,3,0.0014,0.0225,-0.0225,0,"Attiki","Sleuteltechnologieen","NL31","west","EL30",28.7726,28.7726
"Engineering Fabrication - Autonomous robots","DED4","NL31",14.82,58.66,0,0,0,0,0,5,13,9,0.0042,0.0676,-0.0676,0,"Chemnitz","Sleuteltechnologieen","NL31","west","DED4",96.3783,96.3783
"Engineering Fabrication - Autonomous robots","DE71","NL31",14.82,16.39,0,0,0,0,0,5,31,18,0.0085,0.1353,-0.1353,0,"Darmstadt","Sleuteltechnologieen","NL31","west","DE71",52.1127,52.1127
"Engineering Fabrication - Autonomous robots","ES52","NL31",14.82,10.96,0,0,0,0,0,5,2,3.5,0.0016,0.0263,-0.0263,0,"Comunidad Valenciana","Sleuteltechnologieen","NL31","west","ES52",34.8089,34.8089
"Engineering Fabrication - Autonomous robots","DE12","NL31",14.82,62.32,0,0,0,0,0,81,5,43,0.0202,0.3232,-0.3232,0,"Karlsruhe","Sleuteltechnologieen","NL31","west","DE12",98.3903,98.3903
