"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Hergebruik plastic";"DEF0";"NL31";41,47;35,51;0;0;0;0;0;2;6;4;0,0063;0,0346;-0,0346;0;"Schleswig-Holstein";"Energie en Klimaat";"NL31";"west";"DEF0";90,7692;90,7692
"Hergebruik plastic";"ITI4";"NL31";41,47;25,66;0;0;0;0;0;6;4;5;0,0079;0,0432;-0,0432;0;"Lazio";"Energie en Klimaat";"NL31";"west";"ITI4";76,9231;76,9231
"Hergebruik plastic";"FR61";"NL31";41,47;32,87;0;0;0;0;0;1;6;3,5;0,0055;0,0302;-0,0302;0;"Aquitaine";"Energie en Klimaat";"NL31";"west";"FR61";85,4945;85,4945
"Hergebruik plastic";"BE21";"NL31";41,47;35,37;0;0;0;0;0;6;16;11;0,0174;0,095;-0,095;0;"Prov. Antwerpen";"Energie en Klimaat";"NL31";"west";"BE21";90,1099;90,1099
"Hergebruik plastic";"CZ06";"NL31";41,47;20,25;0;0;0;0;0;6;2;4;0,0063;0,0346;-0,0346;0;"Jihovýchod";"Energie en Klimaat";"NL31";"west";"CZ06";67,4725;67,4725
"Hergebruik plastic";"UKD7";"NL31";41,47;24,83;0;0;0;0;0;6;6;6;0,0095;0,0518;-0,0518;0;"Merseyside";"Energie en Klimaat";"NL31";"west";"UKD7";75,8242;75,8242
"Hergebruik plastic";"DE26";"NL31";41,47;19,56;0;0;0;0;0;6;5;5,5;0,0087;0,0475;-0,0475;0;"Unterfranken";"Energie en Klimaat";"NL31";"west";"DE26";64,6154;64,6154
"Hergebruik plastic";"UKK2";"NL31";41,47;5,41;0;0;0;0;0;6;0;3;0,0048;0,0259;-0,0259;0;"Dorset and Somerset";"Energie en Klimaat";"NL31";"west";"UKK2";38,4615;38,4615
"Hergebruik plastic";"FR23";"NL31";41,47;34,95;0;0;0;0;0;4;6;5;0,0079;0,0432;-0,0432;0;"Haute-Normandie";"Energie en Klimaat";"NL31";"west";"FR23";89,2308;89,2308
"Hergebruik plastic";"ITC1";"NL31";41,47;40,08;0;0;0;0;0;4;6;5;0,0079;0,0432;-0,0432;0;"Piemonte";"Energie en Klimaat";"NL31";"west";"ITC1";95,1648;95,1648
"Hergebruik plastic";"FI1B";"NL31";41,47;17,2;0;0;0;0;0;6;16;11;0,0174;0,095;-0,095;0;"Helsinki-Uusimaa";"Energie en Klimaat";"NL31";"west";"FI1B";59,7802;59,7802
"Hergebruik plastic";"PL12";"NL31";41,47;7,77;0;0;0;0;0;1;6;3,5;0,0055;0,0302;-0,0302;0;"Mazowieckie";"Energie en Klimaat";"NL31";"west";"PL12";43,2967;43,2967
"Hergebruik plastic";"SE11";"NL31";41,47;4,44;0;0;0;0;0;2;6;4;0,0063;0,0346;-0,0346;0;"Stockholm";"Energie en Klimaat";"NL31";"west";"SE11";37,1429;37,1429
"Hergebruik plastic";"NL12";"NL31";41,47;23,58;0;0;0;0;0;6;0;3;0,0048;0,0259;-0,0259;0;"Friesland (NL)";"Energie en Klimaat";"NL31";"west";"NL12";72,967;72,967
"Hergebruik plastic";"SE33";"NL31";41,47;10,96;0;0;0;0;0;6;1;3,5;0,0055;0,0302;-0,0302;0;"Övre Norrland";"Energie en Klimaat";"NL31";"west";"SE33";50,3297;50,3297
