"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Vertical Farming","FR30","NL31",19.47,7.1,0,0,0,0,0,1,3,2,0.0014,0.0169,-0.0169,0,"Nord - Pas-de-Calais","Landbouw, Water en Voedsel","NL31","west","FR30",21.8232,21.8232
"Vertical Farming","ITH1","NL31",19.47,10.07,0,0,0,0,0,1,1,1,7e-04,0.0084,-0.0084,0,"Provincia Autonoma di Bolzano/Bozen","Landbouw, Water en Voedsel","NL31","west","ITH1",44.4751,44.4751
"Vertical Farming","UKC2","NL31",19.47,27.31,0,0,0,0,0,1,4,2.5,0.0017,0.0211,-0.0211,0,"Northumberland and Tyne and Wear","Landbouw, Water en Voedsel","NL31","west","UKC2",65.4696,65.4696
"Vertical Farming","DE50","NL31",19.47,10.48,0,0,0,0,0,1,0,0.5,3e-04,0.0042,-0.0042,0,"Bremen","Landbouw, Water en Voedsel","NL31","west","DE50",48.3425,48.3425
"Vertical Farming","UKH2","NL31",19.47,22.36,0,0,0,0,0,1,15,8,0.0056,0.0675,-0.0675,0,"Bedfordshire and Hertfordshire","Landbouw, Water en Voedsel","NL31","west","UKH2",62.9834,62.9834
"Vertical Farming","ITH5","NL31",19.47,5.86,0,0,0,0,0,8,1,4.5,0.0031,0.038,-0.038,0,"Emilia-Romagna","Landbouw, Water en Voedsel","NL31","west","ITH5",14.0884,14.0884
"Vertical Farming","UKE4","NL31",19.47,3.47,0,0,0,0,0,1,1,1,7e-04,0.0084,-0.0084,0,"West Yorkshire","Landbouw, Water en Voedsel","NL31","west","UKE4",4.4199,4.4199
"Vertical Farming","CH03","NL31",19.47,4.46,0,0,0,0,0,1,7,4,0.0028,0.0337,-0.0337,0,"Nordwestschweiz","Landbouw, Water en Voedsel","NL31","west","CH03",7.1823,7.1823
"Vertical Farming","BE25","NL31",19.47,7.1,0,0,0,0,0,1,2,1.5,0.001,0.0126,-0.0126,0,"Prov. West-Vlaanderen","Landbouw, Water en Voedsel","NL31","west","BE25",21.8232,21.8232
"Vertical Farming","ES13","NL31",19.47,2.81,0,0,0,0,0,1,0,0.5,3e-04,0.0042,-0.0042,0,"Cantabria","Landbouw, Water en Voedsel","NL31","west","ES13",1.6575,1.6575
"Vertical Farming","DED5","NL31",19.47,10.73,0,0,0,0,0,1,2,1.5,0.001,0.0126,-0.0126,0,"Leipzig","Landbouw, Water en Voedsel","NL31","west","DED5",50.2762,50.2762
"Vertical Farming","FI1D","NL31",19.47,27.97,0,0,0,0,0,1,3,2,0.0014,0.0169,-0.0169,0,"Pohjois- ja Itä-Suomi","Landbouw, Water en Voedsel","NL31","west","FI1D",66.2983,66.2983
