"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Aerospace";"HU22";"NL32";20,47;27,96;0;0;0;0;0;40;3;21,5;0,0016;0,1366;-0,1366;0;"Nyugat-Dunántúl";"Veiligheid";"NL32";"west";"HU22";84,8787;84,8787
"Aerospace";"NL34";"NL32";20,47;13,78;0;0;0;0;0;40;0;20;0,0015;0,1271;-0,1271;0;"Zeeland";"Veiligheid";"NL32";"west";"NL34";51,7832;51,7832
"Aerospace";"UKM5";"NL32";20,47;6,47;0;0;0;0;0;40;3;21,5;0,0016;0,1366;-0,1366;0;"North Eastern Scotland";"Veiligheid";"NL32";"west";"UKM5";35,806;35,806
"Aerospace";"CH05";"NL32";20,47;14,67;0;0;0;0;0;25;40;32,5;0,0024;0,2066;-0,2066;0;"Ostschweiz";"Veiligheid";"NL32";"west";"CH05";55,3495;55,3495
"Aerospace";"DE93";"NL32";20,47;16,22;0;0;0;0;0;23;40;31,5;0,0023;0,2002;-0,2002;0;"Lüneburg";"Veiligheid";"NL32";"west";"DE93";58,6305;58,6305
"Aerospace";"UKK2";"NL32";20,47;18,74;0;0;0;0;0;40;14;27;0,002;0,1716;-0,1716;0;"Dorset and Somerset";"Veiligheid";"NL32";"west";"UKK2";65,9058;65,9058
"Aerospace";"LV00";"NL32";20,47;10,54;0;0;0;0;0;40;1;20,5;0,0015;0,1303;-0,1303;0;"Latvija";"Veiligheid";"NL32";"west";"LV00";42,9387;42,9387
"Aerospace";"ES24";"NL32";20,47;8,46;0;0;0;0;0;40;1;20,5;0,0015;0,1303;-0,1303;0;"Aragón";"Veiligheid";"NL32";"west";"ES24";37,8031;37,8031
"Aerospace";"DEA4";"NL32";20,47;16,3;0;0;0;0;0;39;40;39,5;0,0029;0,2511;-0,2511;0;"Detmold";"Veiligheid";"NL32";"west";"DEA4";59,3438;59,3438
"Aerospace";"DE30";"NL32";20,47;32,79;2;2,2222;1;2,5;0,0115;163;40;101,5;0,0074;0,6451;0,3549;1,5502;"Berlin";"Veiligheid";"NL32";"west";"DE30";58,7732;58,7732
"Aerospace";"DE13";"NL32";20,47;33,32;0;0;0;0;0;74;40;57;0,0042;0,3622;-0,3622;0;"Freiburg";"Veiligheid";"NL32";"west";"DE13";92,7247;92,7247
"Aerospace";"NO05";"NL32";20,47;22,51;0;0;0;0;0;40;5;22,5;0,0016;0,143;-0,143;0;"Vestlandet";"Veiligheid";"NL32";"west";"NO05";74,6077;74,6077
"Aerospace";"FR62";"NL32";20,47;52,95;2;2,2222;1;2,5;0,0115;570;40;305;0,0223;1,9384;-0,9384;0,5159;"Midi-Pyrénées";"Veiligheid";"NL32";"west";"FR62";67,0471;67,0471
"Aerospace";"SK02";"NL32";20,47;24,41;0;0;0;0;0;40;0;20;0,0015;0,1271;-0,1271;0;"Západné Slovensko";"Veiligheid";"NL32";"west";"SK02";78,602;78,602
"Aerospace";"NO06";"NL32";20,47;36,64;0;0;0;0;0;40;9;24,5;0,0018;0,1557;-0,1557;0;"Trøndelag";"Veiligheid";"NL32";"west";"NO06";94,5792;94,5792
"Aerospace";"BE33";"NL32";20,47;35,62;0;0;0;0;0;28;40;34;0,0025;0,216;-0,216;0;"Prov. Liège";"Veiligheid";"NL32";"west";"BE33";94,0086;94,0086
"Aerospace";"HU10";"NL32";20,47;19,54;0;0;0;0;0;40;14;27;0,002;0,1716;-0,1716;0;"Közép-Magyarország";"Veiligheid";"NL32";"west";"HU10";67,7603;67,7603
"Aerospace";"UKF1";"NL32";20,47;29,11;0;0;0;0;0;312;40;176;0,0129;1,1185;-1,1185;0;"Derbyshire and Nottinghamshire";"Veiligheid";"NL32";"west";"UKF1";86,5906;86,5906
"Aerospace";"BE10";"NL32";20,47;13,2;0;0;0;0;0;40;21;30,5;0,0022;0,1938;-0,1938;0;"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";"Veiligheid";"NL32";"west";"BE10";49,5007;49,5007
"Aerospace";"UKI1";"NL32";20,47;17,94;0;0;0;0;0;82;40;61;0,0045;0,3877;-0,3877;0;"Inner London";"Veiligheid";"NL32";"west";"UKI1";64,0514;64,0514
"Aerospace";"FR30";"NL32";20,47;9,79;0;0;0;0;0;40;6;23;0,0017;0,1462;-0,1462;0;"Nord - Pas-de-Calais";"Veiligheid";"NL32";"west";"FR30";40,9415;40,9415
"Aerospace";"ES53";"NL32";20,47;5,63;0;0;0;0;0;40;4;22;0,0016;0,1399;-0,1399;0;"Illes Balears";"Veiligheid";"NL32";"west";"ES53";34,6648;34,6648
"Aerospace";"DE26";"NL32";20,47;14,4;0;0;0;0;0;40;21;30,5;0,0022;0,1938;-0,1938;0;"Unterfranken";"Veiligheid";"NL32";"west";"DE26";54,3509;54,3509
"Aerospace";"UKL1";"NL32";20,47;29,51;0;0;0;0;0;40;26;33;0,0024;0,2097;-0,2097;0;"West Wales and The Valleys";"Veiligheid";"NL32";"west";"UKL1";87,1612;87,1612
"Aerospace";"ITF1";"NL32";20,47;14,44;0;0;0;0;0;40;2;21;0,0015;0,1334;-0,1334;0;"Abruzzo";"Veiligheid";"NL32";"west";"ITF1";54,6362;54,6362
"Aerospace";"PL51";"NL32";20,47;31,46;0;0;0;0;0;40;40;40;0,0029;0,2542;-0,2542;0;"Dolnośląskie";"Veiligheid";"NL32";"west";"PL51";89,4437;89,4437
"Aerospace";"CY00";"NL32";20,47;10,72;0;0;0;0;0;40;3;21,5;0,0016;0,1366;-0,1366;0;"Kýpros";"Veiligheid";"NL32";"west";"CY00";43,5093;43,5093
"Aerospace";"FR81";"NL32";20,47;16,04;0;0;0;0;0;40;20;30;0,0022;0,1907;-0,1907;0;"Languedoc-Roussillon";"Veiligheid";"NL32";"west";"FR81";58,0599;58,0599
"Aerospace";"UKE1";"NL32";20,47;6,82;0;0;0;0;0;40;0;20;0,0015;0,1271;-0,1271;0;"East Yorkshire and Northern Lincolnshire";"Veiligheid";"NL32";"west";"UKE1";36,0913;36,0913
"Aerospace";"FR21";"NL32";20,47;11,03;0;0;0;0;0;40;4;22;0,0016;0,1399;-0,1399;0;"Champagne-Ardenne";"Veiligheid";"NL32";"west";"FR21";44,6505;44,6505
"Aerospace";"HU33";"NL32";20,47;23,35;0;0;0;0;0;40;7;23,5;0,0017;0,1493;-0,1493;0;"Dél-Alföld";"Veiligheid";"NL32";"west";"HU33";76,8902;76,8902
"Aerospace";"DE22";"NL32";20,47;31,32;0;0;0;0;0;40;26;33;0,0024;0,2097;-0,2097;0;"Niederbayern";"Veiligheid";"NL32";"west";"DE22";89,0157;89,0157
"Aerospace";"BE21";"NL32";20,47;14,13;0;0;0;0;0;40;18;29;0,0021;0,1843;-0,1843;0;"Prov. Antwerpen";"Veiligheid";"NL32";"west";"BE21";52,9244;52,9244
"Aerospace";"DEC0";"NL32";20,47;17,28;0;0;0;0;0;10;40;25;0,0018;0,1589;-0,1589;0;"Saarland";"Veiligheid";"NL32";"west";"DEC0";62,1969;62,1969
"Aerospace";"ITG2";"NL32";20,47;17,28;0;0;0;0;0;40;2;21;0,0015;0,1334;-0,1334;0;"Sardegna";"Veiligheid";"NL32";"west";"ITG2";62,1969;62,1969
"Aerospace";"DEA1";"NL32";20,47;20,74;0;0;0;0;0;186;40;113;0,0083;0,7182;-0,7182;0;"Düsseldorf";"Veiligheid";"NL32";"west";"DEA1";70,1854;70,1854
"Aerospace";"UKD3";"NL32";20,47;14;0;0;0;0;0;40;12;26;0,0019;0,1652;-0,1652;0;"Greater Manchester";"Veiligheid";"NL32";"west";"UKD3";52,3538;52,3538
"Aerospace";"DEB1";"NL32";20,47;20,91;0;0;0;0;0;47;40;43,5;0,0032;0,2764;-0,2764;0;"Koblenz";"Veiligheid";"NL32";"west";"DEB1";70,6134;70,6134
"Aerospace";"ITC4";"NL32";20,47;23,17;0;0;0;0;0;98;40;69;0,005;0,4385;-0,4385;0;"Lombardia";"Veiligheid";"NL32";"west";"ITC4";76,1769;76,1769
"Aerospace";"DK02";"NL32";20,47;8,68;0;0;0;0;0;40;5;22,5;0,0016;0,143;-0,143;0;"Sjælland";"Veiligheid";"NL32";"west";"DK02";38,3738;38,3738
"Aerospace";"DEE0";"NL32";20,47;27,29;0;0;0;0;0;32;40;36;0,0026;0,2288;-0,2288;0;"Sachsen-Anhalt";"Veiligheid";"NL32";"west";"DEE0";83,7375;83,7375
"Aerospace";"ITG1";"NL32";20,47;14,27;0;0;0;0;0;40;1;20,5;0,0015;0,1303;-0,1303;0;"Sicilia";"Veiligheid";"NL32";"west";"ITG1";53,7803;53,7803
"Aerospace";"FR22";"NL32";20,47;16,26;0;0;0;0;0;40;13;26,5;0,0019;0,1684;-0,1684;0;"Picardie";"Veiligheid";"NL32";"west";"FR22";58,9158;58,9158
"Aerospace";"ITI1";"NL32";20,47;40,67;4;4,4444;1;2,5;0,0115;22;40;31;0,0023;0,197;0,803;5,0756;"Toscana";"Veiligheid";"NL32";"west";"ITI1";65,0499;65,0499
"Aerospace";"UKJ2";"NL32";20,47;36,91;0;0;0;0;0;88;40;64;0,0047;0,4067;-0,4067;0;"Surrey, East and West Sussex";"Veiligheid";"NL32";"west";"UKJ2";95,0071;95,0071
"Aerospace";"CZ02";"NL32";20,47;26,89;0;0;0;0;0;40;17;28,5;0,0021;0,1811;-0,1811;0;"Střední Čechy";"Veiligheid";"NL32";"west";"CZ02";82,7389;82,7389
"Aerospace";"SI03";"NL32";20,47;29,24;0;0;0;0;0;40;8;24;0,0018;0,1525;-0,1525;0;"Zahodna Slovenija";"Veiligheid";"NL32";"west";"SI03";86,8759;86,8759
"Aerospace";"NL21";"NL32";20,47;8,95;0;0;0;0;0;4;40;22;0,0016;0,1399;-0,1399;0;"Overijssel";"Veiligheid";"NL32";"west";"NL21";38,9444;38,9444
"Aerospace";"EE00";"NL32";20,47;14,98;0;0;0;0;0;40;3;21,5;0,0016;0,1366;-0,1366;0;"Eesti";"Veiligheid";"NL32";"west";"EE00";56,4907;56,4907
"Aerospace";"IE02";"NL32";20,47;23,93;0;0;0;0;0;62;40;51;0,0037;0,3241;-0,3241;0;"Southern and Eastern";"Veiligheid";"NL32";"west";"IE02";78,0314;78,0314
"Aerospace";"AT33";"NL32";20,47;13,25;0;0;0;0;0;7;40;23,5;0,0017;0,1493;-0,1493;0;"Tirol";"Veiligheid";"NL32";"west";"AT33";49,786;49,786
"Aerospace";"ES22";"NL32";20,47;19,1;0;0;0;0;0;40;5;22,5;0,0016;0,143;-0,143;0;"Comunidad Foral de Navarra";"Veiligheid";"NL32";"west";"ES22";67,1897;67,1897
