"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Klimaatneutrale Landbouw","UKC1","NL32",59.81,23.47,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Tees Valley and Durham","Landbouw, Water en Voedsel","NL32","west","UKC1",93.8776,93.8776
"Klimaatneutrale Landbouw","UKK1","NL32",59.81,1.93,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Gloucestershire, Wiltshire and Bristol/Bath area","Landbouw, Water en Voedsel","NL32","west","UKK1",10.8844,10.8844
"Klimaatneutrale Landbouw","SE12","NL32",59.81,13.99,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Östra Mellansverige","Landbouw, Water en Voedsel","NL32","west","SE12",67.6871,67.6871
"Klimaatneutrale Landbouw","EE00","NL32",59.81,13.5,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Eesti","Landbouw, Water en Voedsel","NL32","west","EE00",64.2857,64.2857
"Klimaatneutrale Landbouw","CH01","NL32",59.81,6.43,0,0,0,0,0,2,12,7,0.022,0.0749,-0.0749,0,"Région lémanique","Landbouw, Water en Voedsel","NL32","west","CH01",28.9116,28.9116
"Klimaatneutrale Landbouw","PL12","NL32",59.81,4.5,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Mazowieckie","Landbouw, Water en Voedsel","NL32","west","PL12",22.7891,22.7891
"Klimaatneutrale Landbouw","ITC3","NL32",59.81,13.5,0,0,0,0,0,1,2,1.5,0.0047,0.016,-0.016,0,"Liguria","Landbouw, Water en Voedsel","NL32","west","ITC3",64.2857,64.2857
"Klimaatneutrale Landbouw","ES62","NL32",59.81,10.13,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Región de Murcia","Landbouw, Water en Voedsel","NL32","west","ES62",42.8571,42.8571
"Klimaatneutrale Landbouw","ES51","NL32",59.81,6.75,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Cataluña","Landbouw, Water en Voedsel","NL32","west","ES51",29.932,29.932
"Klimaatneutrale Landbouw","PL41","NL32",59.81,13.99,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Wielkopolskie","Landbouw, Water en Voedsel","NL32","west","PL41",67.6871,67.6871
"Klimaatneutrale Landbouw","SK02","NL32",59.81,15.27,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Západné Slovensko","Landbouw, Water en Voedsel","NL32","west","SK02",72.1088,72.1088
"Klimaatneutrale Landbouw","FRY4","NL32",59.81,4.18,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Réunion","Landbouw, Water en Voedsel","NL32","west","FRY4",20.4082,20.4082
"Klimaatneutrale Landbouw","DK04","NL32",59.81,6.43,0,0,0,0,0,2,5,3.5,0.011,0.0374,-0.0374,0,"Midtjylland","Landbouw, Water en Voedsel","NL32","west","DK04",28.9116,28.9116
"Klimaatneutrale Landbouw","SE21","NL32",59.81,15.59,0,0,0,0,0,2,3,2.5,0.0079,0.0267,-0.0267,0,"Småland med öarna","Landbouw, Water en Voedsel","NL32","west","SE21",73.1293,73.1293
"Klimaatneutrale Landbouw","AT13","NL32",59.81,11.58,0,0,0,0,0,0,2,1,0.0031,0.0107,-0.0107,0,"Wien","Landbouw, Water en Voedsel","NL32","west","AT13",52.7211,52.7211
"Klimaatneutrale Landbouw","CH04","NL32",59.81,9.81,0,0,0,0,0,2,3,2.5,0.0079,0.0267,-0.0267,0,"Zürich","Landbouw, Water en Voedsel","NL32","west","CH04",40.1361,40.1361
"Klimaatneutrale Landbouw","DE60","NL32",59.81,2.57,0,0,0,0,0,2,5,3.5,0.011,0.0374,-0.0374,0,"Hamburg","Landbouw, Water en Voedsel","NL32","west","DE60",14.2857,14.2857
"Klimaatneutrale Landbouw","FR63","NL32",59.81,10.93,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Limousin","Landbouw, Water en Voedsel","NL32","west","FR63",48.9796,48.9796
"Klimaatneutrale Landbouw","AT22","NL32",59.81,12.7,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Steiermark","Landbouw, Water en Voedsel","NL32","west","AT22",58.5034,58.5034
"Klimaatneutrale Landbouw","DE93","NL32",59.81,14.31,0,0,0,0,0,2,3,2.5,0.0079,0.0267,-0.0267,0,"Lüneburg","Landbouw, Water en Voedsel","NL32","west","DE93",69.0476,69.0476
"Klimaatneutrale Landbouw","ITI3","NL32",59.81,13.5,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Marche","Landbouw, Water en Voedsel","NL32","west","ITI3",64.2857,64.2857
"Klimaatneutrale Landbouw","DE14","NL32",59.81,13.02,0,0,0,0,0,2,5,3.5,0.011,0.0374,-0.0374,0,"Tübingen","Landbouw, Water en Voedsel","NL32","west","DE14",60.8844,60.8844
"Klimaatneutrale Landbouw","CH02","NL32",59.81,2.25,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Espace Mittelland","Landbouw, Water en Voedsel","NL32","west","CH02",11.5646,11.5646
"Klimaatneutrale Landbouw","DE94","NL32",59.81,16.24,0,0,0,0,0,5,2,3.5,0.011,0.0374,-0.0374,0,"Weser-Ems","Landbouw, Water en Voedsel","NL32","west","DE94",76.5306,76.5306
"Klimaatneutrale Landbouw","ES30","NL32",59.81,2.57,0,0,0,0,0,2,4,3,0.0094,0.0321,-0.0321,0,"Comunidad de Madrid","Landbouw, Water en Voedsel","NL32","west","ES30",14.2857,14.2857
"Klimaatneutrale Landbouw","DK01","NL32",59.81,7.23,0,0,0,0,0,2,7,4.5,0.0142,0.0481,-0.0481,0,"Hovedstaden","Landbouw, Water en Voedsel","NL32","west","DK01",30.6122,30.6122
"Klimaatneutrale Landbouw","FR71","NL32",59.81,6.27,0,0,0,0,0,2,6,4,0.0126,0.0428,-0.0428,0,"Rhône-Alpes","Landbouw, Water en Voedsel","NL32","west","FR71",27.2109,27.2109
"Klimaatneutrale Landbouw","ES13","NL32",59.81,10.29,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Cantabria","Landbouw, Water en Voedsel","NL32","west","ES13",44.898,44.898
"Klimaatneutrale Landbouw","FR81","NL32",59.81,12.06,0,0,0,0,0,2,3,2.5,0.0079,0.0267,-0.0267,0,"Languedoc-Roussillon","Landbouw, Water en Voedsel","NL32","west","FR81",56.1224,56.1224
"Klimaatneutrale Landbouw","BE21","NL32",59.81,2.41,0,0,0,0,0,2,3,2.5,0.0079,0.0267,-0.0267,0,"Prov. Antwerpen","Landbouw, Water en Voedsel","NL32","west","BE21",12.585,12.585
"Klimaatneutrale Landbouw","EL43","NL32",59.81,0.48,0,0,0,0,0,1,2,1.5,0.0047,0.016,-0.016,0,"Kriti","Landbouw, Water en Voedsel","NL32","west","EL43",6.8027,6.8027
"Klimaatneutrale Landbouw","CH06","NL32",59.81,10.45,0,0,0,0,0,0,2,1,0.0031,0.0107,-0.0107,0,"Zentralschweiz","Landbouw, Water en Voedsel","NL32","west","CH06",47.2789,47.2789
"Klimaatneutrale Landbouw","ITH3","NL32",59.81,21.86,0,0,0,0,0,2,3,2.5,0.0079,0.0267,-0.0267,0,"Veneto","Landbouw, Water en Voedsel","NL32","west","ITH3",88.7755,88.7755
"Klimaatneutrale Landbouw","AT12","NL32",59.81,13.83,0,0,0,0,0,0,2,1,0.0031,0.0107,-0.0107,0,"Niederösterreich","Landbouw, Water en Voedsel","NL32","west","AT12",66.6667,66.6667
"Klimaatneutrale Landbouw","CZ07","NL32",59.81,22.19,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Střední Morava","Landbouw, Water en Voedsel","NL32","west","CZ07",91.1565,91.1565
"Klimaatneutrale Landbouw","ITC4","NL32",59.81,18.49,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Lombardia","Landbouw, Water en Voedsel","NL32","west","ITC4",80.6122,80.6122
"Klimaatneutrale Landbouw","ITH4","NL32",59.81,25.88,0,0,0,0,0,2,4,3,0.0094,0.0321,-0.0321,0,"Friuli-Venezia Giulia","Landbouw, Water en Voedsel","NL32","west","ITH4",96.5986,96.5986
"Klimaatneutrale Landbouw","NL13","NL32",59.81,9.81,0,0,0,0,0,1,2,1.5,0.0047,0.016,-0.016,0,"Drenthe","Landbouw, Water en Voedsel","NL32","west","NL13",40.1361,40.1361
"Klimaatneutrale Landbouw","PL51","NL32",59.81,4.34,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Dolnośląskie","Landbouw, Water en Voedsel","NL32","west","PL51",21.7687,21.7687
"Klimaatneutrale Landbouw","UKF3","NL32",59.81,8.36,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Lincolnshire","Landbouw, Water en Voedsel","NL32","west","UKF3",34.0136,34.0136
"Klimaatneutrale Landbouw","NL41","NL32",59.81,10.45,2,66.6667,1,50,0.2941,11,2,6.5,0.0204,0.0695,0.9305,14.3872,"Noord-Brabant","Landbouw, Water en Voedsel","NL32","west","NL41",0,0
"Klimaatneutrale Landbouw","FR42","NL32",59.81,15.76,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Alsace","Landbouw, Water en Voedsel","NL32","west","FR42",74.1497,74.1497
"Klimaatneutrale Landbouw","UKG3","NL32",59.81,12.38,0,0,0,0,0,1,2,1.5,0.0047,0.016,-0.016,0,"West Midlands","Landbouw, Water en Voedsel","NL32","west","UKG3",57.1429,57.1429
"Klimaatneutrale Landbouw","BE22","NL32",59.81,13.18,0,0,0,0,0,2,4,3,0.0094,0.0321,-0.0321,0,"Prov. Limburg (BE)","Landbouw, Water en Voedsel","NL32","west","BE22",61.9048,61.9048
"Klimaatneutrale Landbouw","DED5","NL32",59.81,18.49,0,0,0,0,0,2,5,3.5,0.011,0.0374,-0.0374,0,"Leipzig","Landbouw, Water en Voedsel","NL32","west","DED5",80.6122,80.6122
"Klimaatneutrale Landbouw","DEB3","NL32",59.81,18.49,0,0,0,0,0,31,2,16.5,0.0519,0.1764,-0.1764,0,"Rheinhessen-Pfalz","Landbouw, Water en Voedsel","NL32","west","DEB3",80.6122,80.6122
"Klimaatneutrale Landbouw","FI1B","NL32",59.81,10.29,0,0,0,0,0,0,2,1,0.0031,0.0107,-0.0107,0,"Helsinki-Uusimaa","Landbouw, Water en Voedsel","NL32","west","FI1B",44.898,44.898
"Klimaatneutrale Landbouw","IE01","NL32",59.81,10.45,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Border, Midland and Western","Landbouw, Water en Voedsel","NL32","west","IE01",47.2789,47.2789
"Klimaatneutrale Landbouw","SE23","NL32",59.81,11.09,0,0,0,0,0,2,4,3,0.0094,0.0321,-0.0321,0,"Västsverige","Landbouw, Water en Voedsel","NL32","west","SE23",49.6599,49.6599
"Klimaatneutrale Landbouw","DK02","NL32",59.81,8.2,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Sjælland","Landbouw, Water en Voedsel","NL32","west","DK02",33.3333,33.3333
"Klimaatneutrale Landbouw","UKC2","NL32",59.81,6.27,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Northumberland and Tyne and Wear","Landbouw, Water en Voedsel","NL32","west","UKC2",27.2109,27.2109
"Klimaatneutrale Landbouw","DE26","NL32",59.81,9.81,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Unterfranken","Landbouw, Water en Voedsel","NL32","west","DE26",40.1361,40.1361
"Klimaatneutrale Landbouw","UKI1","NL32",59.81,0.64,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Inner London","Landbouw, Water en Voedsel","NL32","west","UKI1",7.8231,7.8231
"Klimaatneutrale Landbouw","PT11","NL32",59.81,10.29,0,0,0,0,0,2,4,3,0.0094,0.0321,-0.0321,0,"Norte","Landbouw, Water en Voedsel","NL32","west","PT11",44.898,44.898
"Klimaatneutrale Landbouw","CZ06","NL32",59.81,20.26,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Jihovýchod","Landbouw, Water en Voedsel","NL32","west","CZ06",85.7143,85.7143
"Klimaatneutrale Landbouw","UKL1","NL32",59.81,4.5,0,0,0,0,0,1,2,1.5,0.0047,0.016,-0.016,0,"West Wales and The Valleys","Landbouw, Water en Voedsel","NL32","west","UKL1",22.7891,22.7891
"Klimaatneutrale Landbouw","UKD6","NL32",59.81,11.25,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Cheshire","Landbouw, Water en Voedsel","NL32","west","UKD6",50.6803,50.6803
"Klimaatneutrale Landbouw","UKJ3","NL32",59.81,9.49,0,0,0,0,0,2,2,2,0.0063,0.0214,-0.0214,0,"Hampshire and Isle of Wight","Landbouw, Water en Voedsel","NL32","west","UKJ3",37.415,37.415
"Klimaatneutrale Landbouw","CZ05","NL32",59.81,16.08,0,0,0,0,0,2,1,1.5,0.0047,0.016,-0.016,0,"Severovýchod","Landbouw, Water en Voedsel","NL32","west","CZ05",75.5102,75.5102
"Klimaatneutrale Landbouw","NL21","NL32",59.81,14.95,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Overijssel","Landbouw, Water en Voedsel","NL32","west","NL21",71.0884,71.0884
"Klimaatneutrale Landbouw","DE92","NL32",59.81,9.16,0,0,0,0,0,1,2,1.5,0.0047,0.016,-0.016,0,"Hannover","Landbouw, Water en Voedsel","NL32","west","DE92",36.0544,36.0544
"Klimaatneutrale Landbouw","FR82","NL32",59.81,3.86,0,0,0,0,0,2,4,3,0.0094,0.0321,-0.0321,0,"Provence-Alpes-Côte d'Azur","Landbouw, Water en Voedsel","NL32","west","FR82",18.3673,18.3673
"Klimaatneutrale Landbouw","AT11","NL32",59.81,17.85,0,0,0,0,0,2,0,1,0.0031,0.0107,-0.0107,0,"Burgenland (AT)","Landbouw, Water en Voedsel","NL32","west","AT11",78.2313,78.2313
